,date,code,open,high,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
967,2023-02-24 09:00:00,SHB,10.15,10.15,10.1,10.05,10.1,10.119999885559082
968,2023-02-24 10:00:00,SHB,10.1,10.2,10.1,10.05,10.1,10.109999656677246
969,2023-02-24 11:00:00,SHB,10.05,10.1,10.0,10.0,10.05,10.039999961853027
970,2023-02-24 13:00:00,SHB,10.0,10.05,9.99,9.95,9.96,9.989999771118164
971,2023-02-24 14:00:00,SHB,10.0,10.05,9.96,9.96,9.97,10.0
972,2023-02-27 09:00:00,SHB,9.8,9.9,9.87,9.8,9.81,9.819999694824219
973,2023-02-27 10:00:00,SHB,9.88,9.89,9.83,9.83,9.84,9.859999656677246
974,2023-02-27 11:00:00,SHB,9.83,9.84,9.8,9.79,9.8,9.8100004196167
975,2023-02-27 13:00:00,SHB,9.8,9.86,9.85,9.78,9.79,9.800000190734863
976,2023-02-27 14:00:00,SHB,9.86,9.88,9.79,9.78,9.79,9.84000015258789
977,2023-02-28 09:00:00,SHB,9.86,9.93,9.88,9.85,9.86,9.869999885559082
978,2023-02-28 10:00:00,SHB,9.88,9.9,9.88,9.87,9.88,9.869999885559082
979,2023-02-28 11:00:00,SHB,9.88,9.89,9.82,9.82,9.83,9.859999656677246
980,2023-02-28 13:00:00,SHB,9.86,9.86,9.79,9.77,9.78,9.829999923706055
981,2023-02-28 14:00:00,SHB,9.8,9.81,9.79,9.78,9.79,9.789999961853027
982,2023-03-01 09:00:00,SHB,9.8,9.8,9.74,9.73,9.74,9.770000457763672
983,2023-03-01 10:00:00,SHB,9.74,9.79,9.77,9.69,9.7,9.729999542236328
984,2023-03-01 11:00:00,SHB,9.77,9.77,9.75,9.74,9.75,9.75
985,2023-03-01 13:00:00,SHB,9.75,9.89,9.84,9.74,9.75,9.779999732971191
986,2023-03-01 14:00:00,SHB,9.83,10.0,10.0,9.82,9.83,9.869999885559082
987,2023-03-02 09:00:00,SHB,10.05,10.1,10.0,9.99,10.0,10.039999961853027
988,2023-03-02 10:00:00,SHB,10.0,10.0,9.94,9.94,9.95,9.970000267028809
989,2023-03-02 11:00:00,SHB,9.93,9.97,9.96,9.9,9.91,9.920000076293945
990,2023-03-02 13:00:00,SHB,9.96,9.99,9.95,9.93,9.94,9.949999809265137
991,2023-03-02 14:00:00,SHB,9.95,9.96,9.9,9.9,9.91,9.930000305175781
992,2023-03-03 09:00:00,SHB,9.98,10.0,9.93,9.93,9.94,9.960000038146973
993,2023-03-03 10:00:00,SHB,9.93,9.97,9.89,9.89,9.9,9.920000076293945
994,2023-03-03 11:00:00,SHB,9.89,9.9,9.84,9.82,9.83,9.869999885559082
995,2023-03-03 13:00:00,SHB,9.84,9.87,9.84,9.8,9.81,9.829999923706055
996,2023-03-03 14:00:00,SHB,9.85,9.86,9.78,9.78,9.79,9.829999923706055
997,2023-03-06 09:00:00,SHB,9.91,10.0,9.97,9.91,9.92,9.930000305175781
998,2023-03-06 10:00:00,SHB,9.97,10.05,9.98,9.96,9.97,9.979999542236328
999,2023-03-06 11:00:00,SHB,9.98,10.05,9.99,9.98,9.99,9.989999771118164
1000,2023-03-06 13:00:00,SHB,9.98,10.05,9.99,9.95,9.96,9.979999542236328
1001,2023-03-06 14:00:00,SHB,9.99,9.99,9.92,9.92,9.93,9.960000038146973
1002,2023-03-07 09:00:00,SHB,9.99,10.0,9.98,9.96,9.97,9.970000267028809
1003,2023-03-07 10:00:00,SHB,9.98,9.99,9.95,9.92,9.93,9.960000038146973
1004,2023-03-07 11:00:00,SHB,9.95,9.96,9.94,9.93,9.94,9.9399995803833
1005,2023-03-07 13:00:00,SHB,9.93,9.96,9.95,9.92,9.93,9.920000076293945
1006,2023-03-07 14:00:00,SHB,9.95,9.99,9.97,9.95,9.96,9.949999809265137
1007,2023-03-08 09:00:00,SHB,9.83,9.94,9.92,9.83,9.85,9.850000381469727
1008,2023-03-08 10:00:00,SHB,9.92,9.98,9.96,9.91,9.92,9.920000076293945
1009,2023-03-08 11:00:00,SHB,9.95,9.96,9.96,9.94,9.95,9.9399995803833
1010,2023-03-08 13:00:00,SHB,9.95,10.0,9.99,9.92,9.93,9.949999809265137
1011,2023-03-08 14:00:00,SHB,9.99,10.1,10.05,9.97,9.98,10.010000228881836
1012,2023-03-09 09:00:00,SHB,10.1,10.25,10.15,10.1,10.15,10.140000343322754
1013,2023-03-09 10:00:00,SHB,10.15,10.2,10.15,10.05,10.1,10.140000343322754
1014,2023-03-09 11:00:00,SHB,10.15,10.2,10.15,10.1,10.15,10.140000343322754
1015,2023-03-09 13:00:00,SHB,10.15,10.35,10.25,10.1,10.15,10.199999809265137
1016,2023-03-09 14:00:00,SHB,10.25,10.35,10.3,10.2,10.25,10.260000228881836
1017,2023-03-10 09:00:00,SHB,10.2,10.25,10.15,10.1,10.15,10.1899995803833
1018,2023-03-10 10:00:00,SHB,10.15,10.25,10.15,10.15,10.2,10.170000076293945
1019,2023-03-10 11:00:00,SHB,10.2,10.2,10.1,10.1,10.15,10.170000076293945
1020,2023-03-10 13:00:00,SHB,10.1,10.2,10.2,10.1,10.15,10.119999885559082
1021,2023-03-10 14:00:00,SHB,10.2,10.2,10.1,10.1,10.15,10.170000076293945
1022,2023-03-13 09:00:00,SHB,9.95,10.1,9.93,9.9,9.92,9.979999542236328
1023,2023-03-13 10:00:00,SHB,9.93,10.0,9.98,9.92,9.93,9.9399995803833
1024,2023-03-13 11:00:00,SHB,9.98,10.05,10.0,9.97,9.98,9.989999771118164
1025,2023-03-13 13:00:00,SHB,10.0,10.1,9.99,9.96,9.97,10.010000228881836
1026,2023-03-13 14:00:00,SHB,9.99,10.0,9.94,9.9,9.92,9.960000038146973
1027,2023-03-14 09:00:00,SHB,9.94,9.99,9.97,9.92,9.93,9.9399995803833
1028,2023-03-14 10:00:00,SHB,9.97,10.2,10.0,9.95,9.96,10.029999732971191
1029,2023-03-14 11:00:00,SHB,10.0,10.0,10.0,9.95,9.96,9.979999542236328
