,date,code,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
972,2023-02-24 09:00:00,TCB,27.6,27.5,27.55,27.799999237060547
973,2023-02-24 10:00:00,TCB,27.35,27.2,27.25,27.479999542236328
974,2023-02-24 11:00:00,TCB,27.25,27.2,27.25,27.290000915527344
975,2023-02-24 13:00:00,TCB,27.4,27.15,27.2,27.270000457763672
976,2023-02-24 14:00:00,TCB,27.25,27.2,27.25,27.440000534057617
977,2023-02-27 09:00:00,TCB,26.75,26.65,26.7,27.06999969482422
978,2023-02-27 10:00:00,TCB,26.7,26.65,26.7,26.719999313354492
979,2023-02-27 11:00:00,TCB,26.7,26.6,26.65,26.690000534057617
980,2023-02-27 13:00:00,TCB,27.0,26.6,26.65,26.790000915527344
981,2023-02-27 14:00:00,TCB,27.0,26.85,26.9,26.959999084472656
982,2023-02-28 09:00:00,TCB,26.9,26.85,26.9,27.010000228881836
983,2023-02-28 10:00:00,TCB,26.95,26.85,26.9,26.93000030517578
984,2023-02-28 11:00:00,TCB,26.9,26.85,26.9,26.920000076293945
985,2023-02-28 13:00:00,TCB,26.85,26.8,26.85,26.8799991607666
986,2023-02-28 14:00:00,TCB,26.5,26.5,26.6,26.799999237060547
987,2023-03-01 09:00:00,TCB,26.2,26.05,26.1,26.239999771118164
988,2023-03-01 10:00:00,TCB,26.65,26.15,26.2,26.34000015258789
989,2023-03-01 11:00:00,TCB,26.7,26.6,26.65,26.700000762939453
990,2023-03-01 13:00:00,TCB,27.0,26.7,26.75,26.809999465942383
991,2023-03-01 14:00:00,TCB,27.3,26.95,27.0,27.079999923706055
992,2023-03-02 09:00:00,TCB,27.3,27.1,27.25,27.440000534057617
993,2023-03-02 10:00:00,TCB,27.2,27.1,27.15,27.229999542236328
994,2023-03-02 11:00:00,TCB,27.2,27.1,27.15,27.100000381469727
995,2023-03-02 13:00:00,TCB,27.05,27.05,27.1,27.09000015258789
996,2023-03-02 14:00:00,TCB,27.2,27.0,27.05,27.09000015258789
997,2023-03-03 09:00:00,TCB,27.0,26.9,26.95,27.15999984741211
998,2023-03-03 10:00:00,TCB,26.9,26.85,26.9,26.940000534057617
999,2023-03-03 11:00:00,TCB,26.8,26.8,26.85,26.8700008392334
1000,2023-03-03 13:00:00,TCB,26.85,26.65,26.7,26.760000228881836
1001,2023-03-03 14:00:00,TCB,26.8,26.55,26.6,26.739999771118164
1002,2023-03-06 09:00:00,TCB,27.35,26.9,27.0,27.100000381469727
1003,2023-03-06 10:00:00,TCB,27.1,27.1,27.15,27.239999771118164
