date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,AAA,11.55,11.4,11.75,11.25,11.2,0.0
2022-05-13 10:00:00,AAA,11.45,11.45,11.55,11.35,11.3,11.2
2022-05-13 11:00:00,AAA,11.45,11.3,11.5,11.2,11.15,11.25
2022-05-13 13:00:00,AAA,11.25,11.1,11.4,10.85,10.8,11.216666666666667
2022-05-13 14:00:00,AAA,11.05,10.75,11.1,10.8,10.75,11.1125
2022-05-16 09:00:00,AAA,11.15,11.15,11.35,11.15,11.1,11.040000000000001
2022-05-16 10:00:00,AAA,11.15,11.1,11.25,10.95,10.9,11.02
2022-05-16 11:00:00,AAA,11.15,11.1,11.15,11.1,11.05,10.94
2022-05-16 13:00:00,AAA,11.1,11.0,11.15,10.85,10.8,10.92
2022-05-16 14:00:00,AAA,10.95,10.8,11.05,10.85,10.8,10.860000000000001
2022-05-17 09:00:00,AAA,11.0,11.15,11.15,10.9,10.85,10.93
2022-05-17 10:00:00,AAA,11.15,11.25,11.35,11.15,11.1,11.0
2022-05-17 11:00:00,AAA,11.25,11.2,11.3,11.2,11.15,11.06
2022-05-17 13:00:00,AAA,11.15,11.55,11.55,11.2,11.15,11.16
2022-05-17 14:00:00,AAA,11.55,11.55,11.55,11.55,11.55,11.19
2022-05-18 09:00:00,AAA,11.9,12.0,12.15,11.75,11.7,11.27
2022-05-18 10:00:00,AAA,12.0,11.95,12.05,11.95,11.9,11.38
2022-05-18 11:00:00,AAA,11.95,11.95,12.0,11.95,11.9,11.53
2022-05-18 13:00:00,AAA,11.95,11.85,12.1,11.9,11.85,11.65
2022-05-18 14:00:00,AAA,11.9,11.8,11.95,11.8,11.75,11.78
2022-05-19 09:00:00,AAA,11.4,11.6,11.7,11.45,11.4,11.27
2022-05-19 10:00:00,AAA,11.6,11.7,11.8,11.6,11.55,11.44
2022-05-19 11:00:00,AAA,11.7,11.75,11.85,11.7,11.65,11.72
2022-05-19 13:00:00,AAA,11.75,11.75,12.0,11.75,11.7,11.7
2022-05-19 14:00:00,AAA,11.8,11.8,12.1,11.8,11.75,11.78
2022-05-20 09:00:00,AAA,12.0,12.1,12.2,11.85,11.8,11.82
2022-05-20 10:00:00,AAA,12.1,12.2,12.2,12.1,12.05,11.83
2022-05-20 11:00:00,AAA,12.2,12.05,12.2,12.1,12.05,11.9
2022-05-20 13:00:00,AAA,12.05,12.0,12.15,11.95,11.9,11.9
2022-05-20 14:00:00,AAA,12.0,12.1,12.1,11.95,11.9,11.91
2022-05-23 09:00:00,AAA,12.3,12.15,12.3,12.2,12.15,11.940000000000001
2022-05-23 10:00:00,AAA,12.1,12.05,12.2,12.1,12.05,11.96
2022-05-23 11:00:00,AAA,12.1,12.05,12.1,12.05,12.0,11.96
2022-05-23 13:00:00,AAA,12.05,11.9,12.05,11.95,11.9,11.91
2022-05-23 14:00:00,AAA,11.95,11.9,11.95,11.75,11.7,11.82
2022-05-24 09:00:00,AAA,11.9,11.8,11.9,11.65,11.6,11.709999999999999
2022-05-24 10:00:00,AAA,11.8,11.75,11.9,11.75,11.7,11.69
2022-05-24 11:00:00,AAA,11.8,11.8,11.85,11.8,11.75,11.68
2022-05-24 13:00:00,AAA,11.85,11.55,11.85,11.4,11.35,11.54
2022-05-24 14:00:00,AAA,11.55,12.0,12.0,11.5,11.45,11.64
2022-05-25 09:00:00,AAA,12.1,11.95,12.15,11.95,11.9,11.92
2022-05-25 10:00:00,AAA,11.95,11.9,12.0,11.9,11.85,11.86
2022-05-25 11:00:00,AAA,11.9,12.1,12.15,11.9,11.85,11.84
2022-05-25 13:00:00,AAA,12.1,12.6,12.8,12.1,12.05,12.020000000000001
2022-05-25 14:00:00,AAA,12.6,12.6,12.7,12.6,12.55,12.07
2022-05-26 09:00:00,AAA,12.75,12.9,13.1,12.7,12.6,12.17
2022-05-26 10:00:00,AAA,12.9,12.9,13.0,12.9,12.85,12.280000000000001
2022-05-26 11:00:00,AAA,12.9,12.9,12.95,12.9,12.85,12.44
2022-05-26 13:00:00,AAA,12.9,12.75,12.9,12.65,12.6,12.58
2022-05-26 14:00:00,AAA,12.8,12.75,12.85,12.7,12.65,12.69
2022-05-27 09:00:00,AAA,12.7,12.7,12.85,12.65,12.6,12.65
2022-05-27 10:00:00,AAA,12.7,12.75,12.85,12.75,12.7,12.6
2022-05-27 11:00:00,AAA,12.75,12.75,12.8,12.75,12.7,12.62
2022-05-27 13:00:00,AAA,12.7,12.8,12.8,12.75,12.7,12.65
2022-05-27 14:00:00,AAA,12.8,12.65,12.85,12.7,12.65,12.65
2022-05-30 09:00:00,AAA,12.7,12.75,12.8,12.65,12.6,12.67
2022-05-30 10:00:00,AAA,12.75,12.75,12.8,12.7,12.65,12.67
