date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,ACL,25.5,24.0,25.5,24.05,24.0,0.0
2022-05-13 10:00:00,ACL,24.0,24.0,24.0,24.0,24.0,24.0
2022-05-13 11:00:00,ACL,24.0,24.0,24.0,24.0,24.0,24.0
2022-05-13 13:00:00,ACL,24.0,24.0,24.0,24.0,24.0,24.0
2022-05-13 14:00:00,ACL,24.0,24.0,24.0,24.0,24.0,24.0
2022-05-16 09:00:00,ACL,25.0,23.4,25.0,23.25,23.2,24.0
2022-05-16 10:00:00,ACL,23.25,22.4,23.4,22.4,22.35,23.84
2022-05-16 11:00:00,ACL,22.4,22.6,23.0,22.45,22.4,23.67
2022-05-16 13:00:00,ACL,22.7,22.35,22.7,22.4,22.35,23.35
2022-05-16 14:00:00,ACL,22.35,22.35,22.35,22.35,22.35,23.02
2022-05-17 09:00:00,ACL,20.8,21.0,21.65,20.85,20.8,22.69
2022-05-17 10:00:00,ACL,20.85,21.6,21.8,20.9,20.85,22.05
2022-05-17 11:00:00,ACL,21.6,21.4,21.6,21.25,21.2,21.75
2022-05-17 13:00:00,ACL,21.4,23.3,23.6,21.6,21.4,22.060000000000002
2022-05-17 14:00:00,ACL,23.4,23.5,23.7,23.2,22.9,23.67
2022-05-18 09:00:00,ACL,23.8,24.0,24.1,23.15,23.0,23.78
2022-05-18 10:00:00,ACL,23.95,23.8,24.5,23.55,23.5,23.8
2022-05-18 11:00:00,ACL,24.0,24.2,24.2,23.9,23.8,23.9
2022-05-18 13:00:00,ACL,24.2,24.0,24.6,23.9,23.8,23.86
2022-05-18 14:00:00,ACL,24.0,23.7,24.1,23.8,23.7,23.9
2022-05-19 09:00:00,ACL,22.7,22.9,23.15,22.6,22.5,22.47
2022-05-19 10:00:00,ACL,22.8,22.95,23.05,22.8,22.75,22.5
2022-05-19 11:00:00,ACL,22.95,23.15,23.35,22.95,22.9,22.58
2022-05-19 13:00:00,ACL,23.3,22.9,23.4,23.0,22.9,22.68
2022-05-19 14:00:00,ACL,22.9,23.2,23.2,22.85,22.8,22.79
2022-05-20 09:00:00,ACL,22.8,23.5,23.6,22.9,22.8,22.849999999999998
2022-05-20 10:00:00,ACL,23.4,23.55,23.6,23.1,23.0,22.86
2022-05-20 11:00:00,ACL,23.6,23.2,23.6,23.2,23.15,22.9
2022-05-20 13:00:00,ACL,23.2,22.9,23.3,22.85,22.8,22.77
2022-05-20 14:00:00,ACL,23.0,22.85,23.1,22.9,22.85,22.75
2022-05-23 09:00:00,ACL,23.0,23.1,23.3,22.8,22.7,22.82
2022-05-23 10:00:00,ACL,22.9,24.2,24.4,23.1,22.9,23.04
2022-05-23 11:00:00,ACL,24.1,24.0,24.1,23.9,23.85,23.96
2022-05-23 13:00:00,ACL,23.95,23.8,24.3,23.85,23.8,23.81
2022-05-23 14:00:00,ACL,23.8,23.5,23.8,23.0,22.9,22.99
2022-05-24 09:00:00,ACL,24.05,24.1,24.5,23.4,23.3,23.580000000000002
2022-05-24 10:00:00,ACL,24.1,24.1,24.2,23.95,23.9,23.93
2022-05-24 11:00:00,ACL,24.0,24.1,24.2,24.1,24.0,23.94
2022-05-24 13:00:00,ACL,24.1,23.5,24.1,23.4,23.3,23.38
2022-05-24 14:00:00,ACL,23.5,24.2,24.2,23.4,23.3,23.3
2022-05-25 09:00:00,ACL,24.25,24.5,24.9,24.3,24.25,23.87
2022-05-25 10:00:00,ACL,24.6,25.3,25.65,24.6,24.55,23.97
2022-05-25 11:00:00,ACL,25.3,25.85,25.85,25.35,25.3,24.12
2022-05-25 13:00:00,ACL,25.85,25.85,25.85,25.85,25.85,24.38
2022-05-25 14:00:00,ACL,25.85,25.85,25.85,25.85,25.85,25.85
2022-05-26 09:00:00,ACL,26.0,25.75,26.0,25.45,25.25,25.11
2022-05-26 10:00:00,ACL,25.75,25.6,25.8,25.35,25.3,25.36
2022-05-26 11:00:00,ACL,25.6,25.4,25.6,25.45,25.4,25.51
2022-05-26 13:00:00,ACL,25.35,25.65,25.8,25.3,25.25,25.42
2022-05-26 14:00:00,ACL,25.65,25.8,25.85,25.1,25.05,25.3
2022-05-27 09:00:00,ACL,25.8,26.5,26.8,25.55,25.5,25.46
2022-05-27 10:00:00,ACL,26.5,26.8,27.4,26.5,26.4,25.55
2022-05-27 11:00:00,ACL,27.1,27.0,27.2,26.9,26.8,25.77
2022-05-27 13:00:00,ACL,27.0,27.0,27.25,27.05,27.0,26.080000000000002
2022-05-27 14:00:00,ACL,27.0,26.7,27.15,26.65,26.6,26.31
2022-05-30 09:00:00,ACL,26.7,27.1,27.3,26.6,26.5,26.46
2022-05-30 10:00:00,ACL,27.1,26.75,27.3,26.6,26.5,26.66
2022-05-30 11:00:00,ACL,26.75,26.75,26.75,26.75,26.7,26.68
2022-05-30 13:00:00,ACL,26.75,27.1,27.4,26.1,26.0,26.56
2022-05-30 14:00:00,ACL,27.0,26.7,27.2,26.8,26.7,26.72
2022-05-31 09:00:00,ACL,26.7,26.9,26.9,26.3,26.25,26.44
2022-05-31 10:00:00,ACL,26.9,26.5,26.9,26.55,26.5,26.55
2022-05-31 11:00:00,ACL,26.7,26.9,27.05,26.75,26.7,26.66
2022-05-31 13:00:00,ACL,26.9,26.5,27.1,26.6,26.5,26.6
2022-05-31 14:00:00,ACL,26.45,26.6,26.75,26.25,26.2,26.53
2022-06-01 09:00:00,ACL,26.55,26.3,26.6,26.3,26.25,26.43
2022-06-01 10:00:00,ACL,26.25,26.0,26.25,25.6,25.55,25.55
2022-06-01 11:00:00,ACL,26.0,25.8,26.0,25.75,25.7,25.560000000000002
2022-06-01 13:00:00,ACL,25.8,27.1,27.3,25.65,25.6,26.07
2022-06-01 14:00:00,ACL,27.1,28.45,28.45,27.15,27.1,26.56
2022-06-02 09:00:00,ACL,28.95,29.05,29.9,28.9,28.8,26.78
2022-06-02 10:00:00,ACL,29.05,29.2,29.3,29.1,29.05,27.240000000000002
2022-06-02 11:00:00,ACL,29.25,29.2,29.25,29.0,28.9,27.75
2022-06-02 13:00:00,ACL,29.0,28.9,29.2,28.6,28.55,28.17
2022-06-02 14:00:00,ACL,28.9,28.45,28.9,28.4,28.35,28.48
2022-06-03 09:00:00,ACL,28.4,28.05,28.4,27.55,27.5,27.560000000000002
2022-06-03 10:00:00,ACL,28.05,27.8,28.2,27.85,27.8,27.35
2022-06-03 11:00:00,ACL,27.8,28.0,28.1,27.9,27.8,27.55
2022-06-03 13:00:00,ACL,28.0,28.8,28.8,27.55,27.5,27.71
2022-06-03 14:00:00,ACL,28.8,29.0,29.5,28.85,28.8,28.73
2022-06-06 09:00:00,ACL,28.7,29.1,29.1,27.9,27.85,28.42
2022-06-06 10:00:00,ACL,29.1,29.0,29.35,28.85,28.8,28.82
2022-06-06 11:00:00,ACL,29.0,29.05,29.1,28.85,28.8,28.82
2022-06-06 13:00:00,ACL,29.2,29.15,29.3,29.05,29.0,28.87
2022-06-06 14:00:00,ACL,29.1,28.6,29.1,28.4,28.1,28.66
