date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,ANV,44.7,42.9,44.75,41.6,41.55,0.0
2022-05-13 10:00:00,ANV,42.9,41.85,43.0,41.6,41.55,41.55
2022-05-13 11:00:00,ANV,41.85,41.55,41.95,41.6,41.55,41.55
2022-05-13 13:00:00,ANV,41.55,41.55,41.55,41.55,41.55,41.55
2022-05-13 14:00:00,ANV,41.55,41.55,41.55,41.55,41.55,41.55
2022-05-16 09:00:00,ANV,44.0,40.35,44.0,40.0,39.9,41.55
2022-05-16 10:00:00,ANV,40.45,39.05,40.8,38.8,38.7,41.22
2022-05-16 11:00:00,ANV,39.05,39.25,39.6,39.0,38.9,40.98
2022-05-16 13:00:00,ANV,39.25,38.65,39.25,38.7,38.65,40.449999999999996
2022-05-16 14:00:00,ANV,38.65,38.65,39.0,38.7,38.65,39.87
2022-05-17 09:00:00,ANV,37.0,36.65,37.2,36.0,35.95,39.29
2022-05-17 10:00:00,ANV,36.65,37.5,38.6,36.65,36.6,38.17
2022-05-17 11:00:00,ANV,37.5,37.5,37.6,37.25,37.2,37.75
2022-05-17 13:00:00,ANV,37.5,41.35,41.35,37.6,37.5,38.3
2022-05-17 14:00:00,ANV,41.35,41.35,41.35,41.35,41.3,40.98
2022-05-18 09:00:00,ANV,42.2,42.8,43.05,41.5,41.45,41.5
2022-05-18 10:00:00,ANV,42.8,42.2,43.5,42.15,42.1,41.53
2022-05-18 11:00:00,ANV,42.25,43.0,43.0,42.35,42.25,41.64
2022-05-18 13:00:00,ANV,43.0,42.4,43.5,42.45,42.4,41.78
2022-05-18 14:00:00,ANV,42.35,42.0,42.5,41.95,41.9,41.78
2022-05-19 09:00:00,ANV,39.5,41.2,41.7,39.9,39.5,40.93
2022-05-19 10:00:00,ANV,41.25,41.6,42.0,41.1,41.0,41.57
2022-05-19 11:00:00,ANV,41.6,42.05,42.8,41.6,41.5,41.49
2022-05-19 13:00:00,ANV,42.2,42.0,42.8,41.9,41.85,41.7
2022-05-19 14:00:00,ANV,41.95,42.0,42.5,41.9,41.85,41.65
2022-05-20 09:00:00,ANV,41.95,41.7,42.5,41.35,41.2,41.73
2022-05-20 10:00:00,ANV,41.9,42.05,42.15,41.7,41.65,41.6
2022-05-20 11:00:00,ANV,42.05,41.75,42.15,41.75,41.7,41.63
2022-05-20 13:00:00,ANV,41.75,41.6,41.75,40.8,40.7,41.39
2022-05-20 14:00:00,ANV,41.6,40.85,41.7,40.85,40.8,41.22
2022-05-23 09:00:00,ANV,41.0,41.1,41.4,40.6,40.1,41.07
2022-05-23 10:00:00,ANV,41.1,43.3,43.7,41.15,41.1,41.78
