date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,ASM,17.0,16.35,17.2,16.05,16.0,0.0
2022-05-13 10:00:00,ASM,16.35,16.1,16.5,16.15,16.1,16.0
2022-05-13 11:00:00,ASM,16.1,15.95,16.15,16.0,15.95,16.05
2022-05-13 13:00:00,ASM,15.95,15.95,16.15,16.0,15.95,16.016666666666666
2022-05-13 14:00:00,ASM,15.95,15.95,15.95,15.95,15.95,16.0
2022-05-16 09:00:00,ASM,16.3,16.2,16.7,16.25,16.2,15.99
2022-05-16 10:00:00,ASM,16.2,15.95,16.4,15.6,15.55,16.03
2022-05-16 11:00:00,ASM,15.95,16.0,16.05,15.95,15.9,15.9
2022-05-16 13:00:00,ASM,16.0,14.9,16.05,14.9,14.85,15.86
2022-05-16 14:00:00,ASM,14.9,14.85,15.5,14.9,14.85,15.64
2022-05-17 09:00:00,ASM,14.8,14.75,15.0,14.2,14.15,15.42
2022-05-17 10:00:00,ASM,14.75,14.9,15.2,14.8,14.75,15.14
2022-05-17 11:00:00,ASM,14.9,15.15,15.2,14.95,14.9,14.91
2022-05-17 13:00:00,ASM,15.15,15.85,15.85,15.2,15.15,15.51
2022-05-17 14:00:00,ASM,15.85,15.85,15.85,15.85,15.85,15.86
2022-05-18 09:00:00,ASM,16.15,16.65,16.7,16.1,16.05,15.95
2022-05-18 10:00:00,ASM,16.6,16.5,16.65,16.45,16.4,16.06
2022-05-18 11:00:00,ASM,16.5,16.55,16.6,16.55,16.5,16.15
2022-05-18 13:00:00,ASM,16.55,16.45,16.85,16.45,16.4,16.25
2022-05-18 14:00:00,ASM,16.45,16.2,16.5,16.25,16.2,16.32
2022-05-19 09:00:00,ASM,15.5,16.1,16.3,15.6,15.5,15.84
2022-05-19 10:00:00,ASM,16.1,16.15,16.3,16.0,15.95,15.97
2022-05-19 11:00:00,ASM,16.15,16.15,16.45,16.2,16.15,16.08
2022-05-19 13:00:00,ASM,16.15,16.15,16.5,16.15,16.1,16.12
2022-05-19 14:00:00,ASM,16.15,16.15,16.45,16.1,16.05,16.1
2022-05-20 09:00:00,ASM,16.3,16.55,16.65,16.2,16.15,16.27
2022-05-20 10:00:00,ASM,16.55,16.65,16.65,16.5,16.45,16.33
2022-05-20 11:00:00,ASM,16.65,16.4,16.7,16.4,16.35,16.39
2022-05-20 13:00:00,ASM,16.4,16.4,16.55,16.2,16.15,16.21
2022-05-20 14:00:00,ASM,16.35,16.3,16.4,16.25,16.2,16.14
2022-05-23 09:00:00,ASM,16.6,16.65,16.8,16.5,16.45,16.419999999999998
2022-05-23 10:00:00,ASM,16.65,17.1,17.4,16.7,16.65,16.439999999999998
2022-05-23 11:00:00,ASM,17.1,17.1,17.1,16.95,16.9,16.47
2022-05-23 13:00:00,ASM,17.1,17.0,17.3,16.9,16.85,16.57
2022-05-23 14:00:00,ASM,17.0,16.9,17.1,16.55,16.5,16.66
2022-05-24 09:00:00,ASM,17.0,17.4,17.65,17.05,17.0,16.669999999999998
2022-05-24 10:00:00,ASM,17.4,17.15,17.4,17.2,17.15,16.78
2022-05-24 11:00:00,ASM,17.15,17.15,17.3,17.2,17.15,16.91
2022-05-24 13:00:00,ASM,17.15,16.8,17.2,16.6,16.55,16.81
2022-05-24 14:00:00,ASM,16.75,17.45,17.45,16.75,16.7,16.91
2022-05-25 09:00:00,ASM,17.6,17.55,17.8,17.45,17.4,17.009999999999998
2022-05-25 10:00:00,ASM,17.55,17.95,18.1,17.55,17.5,17.08
2022-05-25 11:00:00,ASM,17.95,18.1,18.2,18.0,17.95,17.24
2022-05-25 13:00:00,ASM,18.1,18.2,18.5,18.1,18.05,17.4
2022-05-25 14:00:00,ASM,18.2,18.45,18.45,18.25,18.2,17.61
2022-05-26 09:00:00,ASM,18.4,18.2,18.5,18.05,18.0,17.82
2022-05-26 10:00:00,ASM,18.2,18.3,18.4,18.1,18.05,17.94
2022-05-26 11:00:00,ASM,18.25,18.15,18.3,18.2,18.15,18.05
2022-05-26 13:00:00,ASM,18.15,18.05,18.25,17.9,17.85,18.04
2022-05-26 14:00:00,ASM,18.05,18.05,18.2,17.95,17.9,18.01
2022-05-27 09:00:00,ASM,17.95,18.25,18.35,17.85,17.8,17.96
2022-05-27 10:00:00,ASM,18.2,18.45,18.7,18.25,18.2,18.09
2022-05-27 11:00:00,ASM,18.45,18.4,18.55,18.45,18.4,18.12
2022-05-27 13:00:00,ASM,18.4,18.3,18.6,18.35,18.3,18.169999999999998
2022-05-27 14:00:00,ASM,18.35,18.2,18.35,18.05,18.0,18.02
2022-05-30 09:00:00,ASM,18.3,18.2,18.35,18.1,18.05,18.05
2022-05-30 10:00:00,ASM,18.2,18.15,18.4,18.2,18.15,18.06
2022-05-30 11:00:00,ASM,18.2,18.25,18.25,18.2,18.15,18.08
2022-05-30 13:00:00,ASM,18.25,18.45,18.75,18.2,18.15,18.23
2022-05-30 14:00:00,ASM,18.45,18.25,18.5,18.35,18.25,18.18
2022-05-31 09:00:00,ASM,18.1,18.2,18.35,17.95,17.9,17.93
2022-05-31 10:00:00,ASM,18.2,18.25,18.3,18.15,18.1,18.11
2022-05-31 11:00:00,ASM,18.25,18.25,18.45,18.25,18.2,18.1
2022-05-31 13:00:00,ASM,18.25,18.1,18.35,18.15,18.1,18.09
2022-05-31 14:00:00,ASM,18.1,18.0,18.25,17.95,17.9,17.94
2022-06-01 09:00:00,ASM,17.9,18.0,18.2,17.8,17.75,17.88
