date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,BCG,18.9,18.45,19.2,18.15,18.1,0.0
2022-05-13 10:00:00,BCG,18.45,18.45,18.9,18.5,18.45,18.1
2022-05-13 11:00:00,BCG,18.45,18.35,18.5,18.3,18.25,18.275
2022-05-13 13:00:00,BCG,18.35,18.15,18.6,17.75,17.7,18.266666666666666
2022-05-13 14:00:00,BCG,18.15,17.7,18.3,17.75,17.7,18.125
2022-05-16 09:00:00,BCG,18.5,18.65,18.9,18.5,18.4,18.04
2022-05-16 10:00:00,BCG,18.6,18.4,18.8,18.3,18.2,18.18
2022-05-16 11:00:00,BCG,18.35,18.5,18.5,18.35,18.3,18.2
2022-05-16 13:00:00,BCG,18.5,18.2,18.5,17.85,17.8,18.03
2022-05-16 14:00:00,BCG,18.2,18.0,18.5,17.9,17.8,17.95
2022-05-17 09:00:00,BCG,17.8,18.5,18.6,17.85,17.8,17.97
2022-05-17 10:00:00,BCG,18.5,18.8,18.95,18.5,18.45,18.32
2022-05-17 11:00:00,BCG,18.85,18.9,18.9,18.75,18.7,18.32
2022-05-17 13:00:00,BCG,18.9,19.25,19.25,18.9,18.85,18.419999999999998
2022-05-17 14:00:00,BCG,19.25,19.25,19.25,19.25,19.25,18.57
2022-05-18 09:00:00,BCG,20.0,20.1,20.2,19.55,19.5,18.67
2022-05-18 10:00:00,BCG,20.1,19.85,20.1,19.8,19.75,18.95
2022-05-18 11:00:00,BCG,19.85,20.0,20.0,19.85,19.8,19.21
2022-05-18 13:00:00,BCG,20.0,19.5,20.1,19.55,19.5,19.43
2022-05-18 14:00:00,BCG,19.5,19.3,19.6,19.35,19.3,19.43
2022-05-19 09:00:00,BCG,18.65,19.1,19.3,18.7,18.65,18.57
2022-05-19 10:00:00,BCG,19.1,19.5,19.8,19.05,19.0,19.11
2022-05-19 11:00:00,BCG,19.5,19.5,19.7,19.5,19.45,19.37
2022-05-19 13:00:00,BCG,19.5,19.35,19.7,19.35,19.3,19.3
2022-05-19 14:00:00,BCG,19.3,19.6,19.75,19.3,19.25,19.26
2022-05-20 09:00:00,BCG,19.5,19.9,20.15,19.4,19.35,19.5
2022-05-20 10:00:00,BCG,19.9,20.05,20.1,19.85,19.8,19.580000000000002
2022-05-20 11:00:00,BCG,20.05,20.1,20.4,20.05,20.0,19.67
2022-05-20 13:00:00,BCG,20.1,19.85,20.2,19.65,19.6,19.67
2022-05-20 14:00:00,BCG,19.85,19.9,19.95,19.7,19.65,19.69
2022-05-23 09:00:00,BCG,20.4,20.15,20.4,20.05,20.0,19.73
2022-05-23 10:00:00,BCG,20.15,20.3,20.45,20.2,20.15,19.87
