date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,BSR,19.2,19.4,19.8,19.1,19.0,0.0
2022-05-13 10:00:00,BSR,19.4,19.3,19.7,19.1,19.0,19.0
2022-05-13 11:00:00,BSR,19.3,19.1,19.4,19.0,18.9,19.0
2022-05-13 13:00:00,BSR,19.2,18.9,19.3,18.6,18.5,18.966666666666665
2022-05-13 14:00:00,BSR,18.9,18.5,18.9,18.2,18.1,18.85
2022-05-16 09:00:00,BSR,18.5,19.8,20.3,18.6,18.5,18.7
2022-05-16 10:00:00,BSR,19.9,19.7,20.0,19.5,19.4,18.78
2022-05-16 11:00:00,BSR,19.7,19.6,19.7,19.6,19.5,18.96
2022-05-16 13:00:00,BSR,19.6,19.5,19.7,19.3,19.2,19.16
2022-05-16 14:00:00,BSR,19.5,19.3,19.7,19.3,19.2,19.12
2022-05-16 15:00:00,BSR,19.3,19.3,19.3,19.3,19.3,19.06
2022-05-17 09:00:00,BSR,19.8,20.5,20.9,19.6,19.5,19.259999999999998
2022-05-17 10:00:00,BSR,20.6,20.4,20.7,20.4,20.3,19.36
2022-05-17 11:00:00,BSR,20.4,20.3,20.5,20.4,20.3,19.58
2022-05-17 13:00:00,BSR,20.4,21.2,21.4,20.4,20.3,19.8
2022-05-17 14:00:00,BSR,21.2,21.2,21.3,21.1,21.0,19.96
2022-05-18 09:00:00,BSR,21.2,21.5,21.6,21.2,21.1,20.28
2022-05-18 10:00:00,BSR,21.5,21.7,21.9,21.4,21.3,20.6
2022-05-18 11:00:00,BSR,21.8,21.8,21.9,21.8,21.7,20.8
2022-05-18 13:00:00,BSR,21.8,21.8,22.1,21.8,21.7,21.080000000000002
2022-05-18 14:00:00,BSR,21.8,21.7,22.0,21.8,21.7,21.36
2022-05-19 09:00:00,BSR,21.4,21.6,21.7,20.8,20.7,21.36
2022-05-19 10:00:00,BSR,21.6,22.1,22.3,21.6,21.5,21.5
2022-05-19 11:00:00,BSR,22.1,23.0,23.2,22.2,22.1,21.58
2022-05-19 13:00:00,BSR,22.9,22.8,23.0,22.8,22.7,21.74
2022-05-19 14:00:00,BSR,22.8,22.7,23.0,22.7,22.6,21.94
2022-05-19 15:00:00,BSR,22.8,22.8,22.8,22.8,22.8,22.12
2022-05-20 09:00:00,BSR,22.8,23.6,23.7,22.7,22.6,22.34
2022-05-20 10:00:00,BSR,23.6,23.9,23.9,23.5,23.4,22.560000000000002
2022-05-20 11:00:00,BSR,23.9,23.7,24.0,23.7,23.6,22.82
2022-05-20 13:00:00,BSR,23.6,23.5,23.7,23.3,23.2,22.98
2022-05-20 14:00:00,BSR,23.5,23.4,23.6,23.4,23.3,23.1
2022-05-23 09:00:00,BSR,23.4,23.4,23.9,23.4,23.3,23.22
2022-05-23 10:00:00,BSR,23.4,23.7,23.7,23.5,23.4,23.36
2022-05-23 11:00:00,BSR,23.6,23.9,24.3,23.7,23.6,23.38
2022-05-23 13:00:00,BSR,23.9,24.1,24.5,23.9,23.8,23.46
2022-05-23 14:00:00,BSR,24.1,24.2,24.4,23.8,23.7,23.56
2022-05-23 15:00:00,BSR,24.1,24.1,24.1,24.1,24.1,23.62
2022-05-24 09:00:00,BSR,24.0,23.7,24.1,23.7,23.6,23.68
2022-05-24 10:00:00,BSR,23.7,23.7,24.0,23.8,23.7,23.52
2022-05-24 11:00:00,BSR,23.7,23.8,23.9,23.8,23.7,23.580000000000002
2022-05-24 13:00:00,BSR,23.8,22.9,23.8,22.8,22.7,23.18
2022-05-24 14:00:00,BSR,22.9,23.9,24.0,22.9,22.8,23.18
2022-05-25 09:00:00,BSR,23.5,23.8,24.2,23.6,23.5,23.6
2022-05-25 10:00:00,BSR,23.9,23.9,23.9,23.9,23.8,23.740000000000002
2022-05-25 11:00:00,BSR,23.9,24.3,24.4,23.9,23.8,23.8
2022-05-25 13:00:00,BSR,24.3,24.5,24.6,24.4,24.3,23.84
2022-05-25 14:00:00,BSR,24.5,24.9,25.0,24.5,24.4,23.94
2022-05-26 09:00:00,BSR,24.6,24.7,25.0,24.5,24.4,24.0
2022-05-26 10:00:00,BSR,24.7,24.5,24.7,24.5,24.4,24.18
2022-05-26 11:00:00,BSR,24.5,24.2,24.5,24.3,24.2,24.06
2022-05-26 13:00:00,BSR,24.2,24.1,24.5,23.9,23.8,23.92
2022-05-26 14:00:00,BSR,24.1,23.8,24.2,23.6,23.5,23.68
2022-05-27 09:00:00,BSR,24.1,24.1,24.5,24.0,23.9,23.84
2022-05-27 10:00:00,BSR,24.2,23.5,24.3,23.6,23.5,23.64
2022-05-27 11:00:00,BSR,23.5,23.8,24.1,23.6,23.5,23.58
2022-05-27 13:00:00,BSR,23.8,24.1,24.1,23.8,23.7,23.740000000000002
2022-05-27 14:00:00,BSR,24.1,23.9,24.2,23.9,23.8,23.740000000000002
2022-05-27 15:00:00,BSR,23.9,23.9,23.9,23.9,23.9,23.8
2022-05-30 09:00:00,BSR,24.2,25.4,25.5,24.1,24.0,24.259999999999998
2022-05-30 10:00:00,BSR,25.3,25.1,25.4,25.0,24.9,24.3
2022-05-30 11:00:00,BSR,25.1,25.1,25.2,25.2,25.1,24.48
2022-05-30 13:00:00,BSR,25.2,24.9,25.2,24.9,24.8,24.64
2022-05-30 14:00:00,BSR,24.9,24.7,24.9,24.5,24.4,24.46
2022-05-30 15:00:00,BSR,24.8,24.8,24.8,24.8,24.8,24.48
2022-05-31 09:00:00,BSR,25.1,25.8,26.0,24.9,24.8,24.64
2022-05-31 10:00:00,BSR,25.8,26.4,26.4,25.7,25.6,24.88
2022-05-31 11:00:00,BSR,26.4,26.3,26.4,26.3,26.2,25.04
2022-05-31 13:00:00,BSR,26.4,26.5,27.2,26.5,26.4,25.32
2022-05-31 14:00:00,BSR,26.4,26.6,26.8,26.4,26.3,25.58
2022-05-31 15:00:00,BSR,26.6,26.6,26.6,26.6,26.6,25.86
2022-06-01 09:00:00,BSR,26.5,27.0,27.2,26.4,25.9,26.22
2022-06-01 10:00:00,BSR,27.0,26.9,27.1,26.8,26.7,26.28
2022-06-01 11:00:00,BSR,27.0,26.8,27.0,26.8,26.7,26.38
2022-06-01 13:00:00,BSR,26.8,27.7,27.8,26.9,26.8,26.4
2022-06-01 14:00:00,BSR,27.7,27.6,27.8,27.5,27.4,26.5
2022-06-01 15:00:00,BSR,27.6,27.6,27.6,27.6,27.6,26.7
2022-06-02 09:00:00,BSR,27.2,27.3,27.7,27.2,27.1,27.04
2022-06-02 10:00:00,BSR,27.2,28.1,28.6,27.3,27.2,27.12
2022-06-02 11:00:00,BSR,28.1,28.1,28.4,28.1,28.0,27.22
2022-06-02 13:00:00,BSR,28.1,28.2,28.2,27.8,27.7,27.46
2022-06-02 14:00:00,BSR,28.2,27.1,28.2,27.1,27.0,27.56
2022-06-02 15:00:00,BSR,27.1,27.1,27.1,27.1,27.1,26.64
2022-06-03 09:00:00,BSR,27.0,27.5,27.8,27.1,27.0,27.2
2022-06-03 10:00:00,BSR,27.4,27.8,28.2,27.5,27.4,27.26
2022-06-03 11:00:00,BSR,27.8,27.6,27.9,27.7,27.6,27.44
2022-06-03 13:00:00,BSR,27.7,27.7,27.8,27.5,27.4,27.42
2022-06-03 14:00:00,BSR,27.7,27.6,28.0,27.6,27.5,27.48
2022-06-03 15:00:00,BSR,27.7,27.7,27.7,27.7,27.7,27.5
2022-06-06 09:00:00,BSR,27.5,29.3,29.8,27.8,27.5,27.56
2022-06-06 10:00:00,BSR,29.3,30.0,30.4,29.3,29.2,27.56
2022-06-06 11:00:00,BSR,29.9,29.9,30.0,29.8,29.7,28.0
2022-06-06 13:00:00,BSR,29.9,31.2,31.4,29.9,29.8,28.419999999999998
2022-06-06 14:00:00,BSR,31.2,30.5,31.2,30.2,30.1,28.84
2022-06-06 15:00:00,BSR,30.4,30.4,30.4,30.4,30.4,29.26
2022-06-07 09:00:00,BSR,30.5,30.8,31.4,30.1,30.0,29.84
2022-06-07 10:00:00,BSR,30.7,29.9,30.8,29.7,29.6,29.88
2022-06-07 11:00:00,BSR,30.0,30.4,30.5,29.3,29.2,29.74
2022-06-07 13:00:00,BSR,30.4,30.5,30.5,30.0,29.9,29.78
2022-06-07 14:00:00,BSR,30.5,31.6,31.9,30.6,30.5,30.04
2022-06-07 15:00:00,BSR,31.6,31.7,31.7,31.7,31.6,30.16
2022-06-08 09:00:00,BSR,31.6,31.5,32.5,31.4,31.3,30.400000000000002
2022-06-08 10:00:00,BSR,31.6,31.2,31.6,30.8,30.7,30.7
2022-06-08 11:00:00,BSR,31.2,31.5,31.8,31.3,31.2,30.84
2022-06-08 13:00:00,BSR,31.5,31.1,31.5,31.2,31.1,30.98
2022-06-08 14:00:00,BSR,31.0,31.2,31.2,30.9,30.8,30.72
2022-06-09 09:00:00,BSR,31.4,32.4,32.7,31.5,31.4,31.06
2022-06-09 10:00:00,BSR,32.4,32.1,32.5,32.0,31.9,31.32
2022-06-09 11:00:00,BSR,32.1,32.3,32.6,32.0,31.9,31.48
2022-06-09 13:00:00,BSR,32.3,32.0,32.5,32.1,32.0,31.62
2022-06-09 14:00:00,BSR,32.0,32.2,32.3,32.1,32.0,31.759999999999998
2022-06-10 09:00:00,BSR,32.0,32.2,32.5,31.5,31.4,31.84
