date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,CEO,32.7,32.7,33.4,30.6,30.5,0.0
2022-05-13 10:00:00,CEO,32.7,33.0,33.4,32.0,31.9,30.5
2022-05-13 11:00:00,CEO,33.0,32.5,33.0,32.2,32.1,31.2
2022-05-13 13:00:00,CEO,32.4,31.1,33.3,30.1,30.0,31.5
2022-05-13 14:00:00,CEO,31.5,30.8,32.3,29.8,29.7,31.125
2022-05-16 09:00:00,CEO,30.0,33.7,33.8,30.8,30.0,30.84
2022-05-16 10:00:00,CEO,33.7,33.6,33.8,33.1,33.0,30.9
2022-05-16 11:00:00,CEO,33.6,33.6,33.8,33.6,33.5,31.5
2022-05-16 13:00:00,CEO,33.6,33.5,33.7,32.6,32.5,32.2
2022-05-16 14:00:00,CEO,33.4,33.8,33.8,33.5,33.4,32.6
2022-05-17 09:00:00,CEO,33.8,35.3,35.6,33.5,33.2,32.86
2022-05-17 10:00:00,CEO,35.3,35.8,36.3,35.1,35.0,33.12
2022-05-17 11:00:00,CEO,35.8,35.7,36.0,35.7,35.6,33.62
2022-05-17 13:00:00,CEO,35.7,37.1,37.1,35.8,35.7,34.14
2022-05-17 14:00:00,CEO,37.1,37.1,37.1,37.1,37.1,34.6
2022-05-18 09:00:00,CEO,37.2,39.7,40.0,37.5,37.2,35.32
2022-05-18 10:00:00,CEO,39.7,38.8,39.8,38.5,38.4,36.120000000000005
2022-05-18 11:00:00,CEO,38.9,39.3,39.4,38.8,38.7,36.800000000000004
2022-05-18 13:00:00,CEO,39.3,38.9,40.2,38.9,38.8,37.42
2022-05-18 14:00:00,CEO,38.9,38.1,39.4,38.2,38.1,38.04
2022-05-19 09:00:00,CEO,38.3,37.9,38.9,35.1,35.0,37.300000000000004
2022-05-19 10:00:00,CEO,37.9,38.1,38.5,37.6,37.5,37.9
2022-05-19 11:00:00,CEO,38.1,37.9,38.5,38.0,37.9,37.96
2022-05-19 13:00:00,CEO,38.0,37.8,38.7,37.6,37.5,37.86
2022-05-19 14:00:00,CEO,37.7,38.2,38.7,37.2,37.1,37.62
2022-05-20 09:00:00,CEO,38.0,39.5,39.8,38.1,38.0,38.24
2022-05-20 10:00:00,CEO,39.5,41.0,41.1,39.5,39.4,38.22
2022-05-20 11:00:00,CEO,41.1,40.4,41.5,40.0,39.9,38.66
2022-05-20 13:00:00,CEO,40.3,39.9,41.0,38.9,38.8,39.04
2022-05-20 14:00:00,CEO,39.9,39.5,40.2,39.3,39.2,38.82
2022-05-23 09:00:00,CEO,40.5,39.4,41.3,39.1,39.0,39.019999999999996
2022-05-23 10:00:00,CEO,39.4,39.0,40.2,39.0,38.9,38.78
2022-05-23 11:00:00,CEO,39.0,38.6,39.3,38.5,38.4,38.58
2022-05-23 13:00:00,CEO,38.5,37.8,39.0,37.9,37.8,37.88
2022-05-23 14:00:00,CEO,37.8,36.6,38.4,35.7,35.6,36.84
2022-05-24 09:00:00,CEO,36.6,36.8,37.4,35.7,35.6,35.800000000000004
2022-05-24 10:00:00,CEO,36.8,36.8,37.4,36.7,36.6,36.22
2022-05-24 11:00:00,CEO,36.8,37.1,37.2,36.9,36.8,36.120000000000005
2022-05-24 13:00:00,CEO,37.0,36.0,37.1,35.3,35.1,35.82
2022-05-24 14:00:00,CEO,35.9,40.2,40.2,35.7,35.6,36.96
2022-05-25 09:00:00,CEO,41.0,41.0,42.1,40.6,40.5,39.26
2022-05-25 10:00:00,CEO,41.0,41.0,41.3,40.7,40.6,39.519999999999996
2022-05-25 11:00:00,CEO,41.0,42.3,42.4,41.1,41.0,39.839999999999996
2022-05-25 13:00:00,CEO,42.4,43.8,44.2,42.4,42.3,40.28
2022-05-25 14:00:00,CEO,43.9,44.2,44.2,43.9,43.8,40.86
2022-05-26 09:00:00,CEO,44.4,44.1,44.9,43.1,43.0,41.64
2022-05-26 10:00:00,CEO,44.1,44.2,44.5,43.9,43.8,42.12
2022-05-26 11:00:00,CEO,44.2,44.0,44.4,44.0,43.9,42.78
2022-05-26 13:00:00,CEO,44.0,43.8,44.1,43.1,43.0,43.36
2022-05-26 14:00:00,CEO,43.8,43.3,44.1,43.2,43.1,43.5
2022-05-27 09:00:00,CEO,43.0,43.2,43.7,42.8,42.7,43.22
2022-05-27 10:00:00,CEO,43.3,43.7,44.5,43.3,43.2,43.28
2022-05-27 11:00:00,CEO,43.7,43.8,44.1,43.8,43.7,43.54
2022-05-27 13:00:00,CEO,43.8,43.9,44.1,43.6,43.5,43.64
2022-05-27 14:00:00,CEO,43.9,43.9,45.9,43.7,43.6,43.54
2022-05-30 09:00:00,CEO,43.9,44.2,44.8,43.2,43.1,43.3
2022-05-30 10:00:00,CEO,44.2,44.4,44.7,43.9,43.8,43.519999999999996
2022-05-30 11:00:00,CEO,44.4,44.5,44.5,44.3,44.2,43.76
2022-05-30 13:00:00,CEO,44.5,45.3,45.4,44.6,44.5,43.86
2022-05-30 14:00:00,CEO,45.2,44.1,45.3,44.2,44.1,43.74
2022-05-31 09:00:00,CEO,44.2,44.5,44.9,43.3,43.2,43.519999999999996
2022-05-31 10:00:00,CEO,44.5,44.1,44.6,44.0,43.9,43.9
2022-05-31 11:00:00,CEO,44.1,44.2,44.4,44.0,43.9,43.839999999999996
