date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,CII,20.0,19.4,20.15,18.75,18.7,0.0
2022-05-13 10:00:00,CII,19.4,19.3,19.6,19.15,19.1,18.7
2022-05-13 11:00:00,CII,19.35,19.2,19.35,19.15,19.1,18.9
2022-05-13 13:00:00,CII,19.2,18.6,19.25,18.4,18.35,18.96666666666667
2022-05-13 14:00:00,CII,18.65,18.4,18.8,18.4,18.35,18.8125
2022-05-16 09:00:00,CII,19.35,19.4,19.65,19.15,19.1,18.720000000000002
2022-05-16 10:00:00,CII,19.35,19.0,19.4,18.9,18.85,18.87
2022-05-16 11:00:00,CII,19.0,19.1,19.15,19.05,19.0,18.900000000000002
2022-05-16 13:00:00,CII,19.1,18.8,19.15,18.55,18.5,18.73
2022-05-16 14:00:00,CII,18.8,18.7,19.2,18.6,18.55,18.61
2022-05-17 09:00:00,CII,18.6,18.95,19.0,18.55,18.5,18.55
2022-05-17 10:00:00,CII,18.9,19.2,19.45,18.95,18.9,19.03
2022-05-17 11:00:00,CII,19.25,19.15,19.25,19.2,19.15,18.990000000000002
2022-05-17 13:00:00,CII,19.15,20.0,20.0,19.2,19.15,19.07
2022-05-17 14:00:00,CII,20.0,20.0,20.0,20.0,20.0,19.03
2022-05-18 09:00:00,CII,20.3,20.65,20.85,20.2,20.1,19.21
2022-05-18 10:00:00,CII,20.65,20.4,20.7,20.35,20.3,19.41
2022-05-18 11:00:00,CII,20.35,20.65,20.65,20.35,20.3,19.65
2022-05-18 13:00:00,CII,20.65,20.4,20.7,20.2,20.15,19.88
2022-05-18 14:00:00,CII,20.35,20.0,20.4,20.05,20.0,20.17
2022-05-19 09:00:00,CII,19.4,19.6,19.9,19.25,19.2,19.12
2022-05-19 10:00:00,CII,19.6,19.75,19.95,19.65,19.6,19.31
2022-05-19 11:00:00,CII,19.75,19.85,20.2,19.8,19.75,19.59
2022-05-19 13:00:00,CII,19.9,19.4,20.0,19.35,19.3,19.14
2022-05-19 14:00:00,CII,19.45,19.45,19.95,19.3,19.25,19.26
2022-05-20 09:00:00,CII,19.55,20.25,20.5,19.6,19.55,19.7
2022-05-20 10:00:00,CII,20.25,20.8,20.8,20.2,20.15,20.17
2022-05-20 11:00:00,CII,20.8,20.75,20.8,20.75,20.7,20.2
2022-05-20 13:00:00,CII,20.75,20.75,20.8,20.55,20.5,20.31
2022-05-20 14:00:00,CII,20.75,20.8,20.8,20.75,20.7,20.39
2022-05-23 09:00:00,CII,21.15,21.45,21.9,21.2,21.15,20.43
2022-05-23 10:00:00,CII,21.45,21.75,22.25,21.45,21.4,20.64
2022-05-23 11:00:00,CII,21.75,21.8,22.2,21.8,21.75,20.89
2022-05-23 13:00:00,CII,21.8,21.3,21.9,21.3,21.25,21.14
2022-05-23 14:00:00,CII,21.3,20.8,21.45,20.55,20.5,20.669999999999998
2022-05-24 09:00:00,CII,21.0,21.25,21.45,20.9,20.85,20.71
2022-05-24 10:00:00,CII,21.25,21.0,21.35,21.0,20.95,20.78
2022-05-24 11:00:00,CII,21.05,21.05,21.1,21.0,20.95,20.74
2022-05-24 13:00:00,CII,21.05,20.7,21.1,20.5,20.45,20.669999999999998
