date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,CSV,42.0,41.55,43.7,41.05,41.0,0.0
2022-05-13 10:00:00,CSV,41.55,41.3,42.0,41.05,41.0,41.0
2022-05-13 11:00:00,CSV,41.25,40.35,41.25,40.4,40.35,41.0
2022-05-13 13:00:00,CSV,40.35,40.25,40.95,40.3,40.25,40.78333333333333
2022-05-13 14:00:00,CSV,40.25,40.25,40.25,40.25,40.25,40.65
2022-05-16 09:00:00,CSV,41.95,41.5,41.95,41.15,41.05,40.57
2022-05-16 10:00:00,CSV,41.3,40.5,41.3,40.35,40.3,40.58
2022-05-16 11:00:00,CSV,40.5,40.6,40.6,40.6,40.5,40.43
2022-05-16 13:00:00,CSV,40.5,38.8,40.6,38.1,38.05,40.33
2022-05-16 14:00:00,CSV,38.8,37.45,39.2,37.5,37.45,39.88
2022-05-17 09:00:00,CSV,36.5,37.05,37.5,36.05,36.0,39.3
2022-05-17 10:00:00,CSV,37.05,37.45,38.0,37.35,37.05,38.4
2022-05-17 11:00:00,CSV,37.6,37.7,37.7,37.45,37.4,37.76
2022-05-17 13:00:00,CSV,37.7,40.05,40.05,37.8,37.7,38.04
2022-05-17 14:00:00,CSV,40.05,40.05,40.05,40.05,40.05,40.33
2022-05-18 09:00:00,CSV,41.45,42.05,42.15,41.1,41.0,40.74
2022-05-18 10:00:00,CSV,42.1,41.8,42.1,41.7,41.6,40.87
2022-05-18 11:00:00,CSV,41.7,41.95,41.95,41.65,41.6,41.13
2022-05-18 13:00:00,CSV,42.0,41.7,42.5,41.65,41.6,41.25
2022-05-18 14:00:00,CSV,41.65,41.7,42.0,41.65,41.6,41.37
2022-05-19 09:00:00,CSV,40.8,41.25,41.7,40.6,40.5,40.63
2022-05-19 10:00:00,CSV,41.25,42.05,42.2,41.3,41.25,41.25
2022-05-19 11:00:00,CSV,42.2,42.2,42.8,42.0,41.9,41.53
2022-05-19 13:00:00,CSV,42.2,42.6,43.8,42.1,42.0,41.54
2022-05-19 14:00:00,CSV,42.6,43.2,43.3,42.6,42.5,41.74
2022-05-20 09:00:00,CSV,43.8,44.0,44.7,43.6,43.5,41.8
2022-05-20 10:00:00,CSV,44.4,44.2,44.4,43.85,43.8,42.3
