date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,CTG,25.0,24.8,25.15,24.65,24.6,0.0
2022-05-13 10:00:00,CTG,24.8,24.85,25.15,24.8,24.75,24.6
2022-05-13 11:00:00,CTG,24.85,24.9,25.05,24.85,24.8,24.675
2022-05-13 13:00:00,CTG,24.9,24.1,25.0,23.55,23.5,24.71666666666667
2022-05-13 14:00:00,CTG,24.15,23.9,24.15,23.75,23.7,24.4125
2022-05-16 09:00:00,CTG,25.0,25.25,25.35,24.55,24.5,24.27
2022-05-16 10:00:00,CTG,25.2,24.9,25.25,24.85,24.8,24.43
2022-05-16 11:00:00,CTG,24.95,25.05,25.1,25.0,24.95,24.69
2022-05-16 13:00:00,CTG,25.05,24.85,25.1,24.6,24.55,24.78
2022-05-16 14:00:00,CTG,24.85,24.55,25.1,24.7,24.55,24.7
2022-05-17 09:00:00,CTG,24.4,24.8,24.9,24.55,24.4,24.650000000000002
2022-05-17 10:00:00,CTG,24.8,25.1,25.3,24.8,24.75,24.72
2022-05-17 11:00:00,CTG,25.05,25.15,25.2,25.1,25.05,24.81
2022-05-17 13:00:00,CTG,25.15,26.25,26.25,25.15,25.1,24.81
2022-05-17 14:00:00,CTG,26.25,26.25,26.25,26.25,26.25,24.88
2022-05-18 09:00:00,CTG,26.55,26.95,27.1,26.35,26.3,25.14
2022-05-18 10:00:00,CTG,27.0,26.8,27.0,26.75,26.7,25.5
2022-05-18 11:00:00,CTG,26.8,26.95,26.95,26.8,26.75,25.88
2022-05-18 13:00:00,CTG,26.95,26.75,27.25,26.7,26.65,26.22
2022-05-18 14:00:00,CTG,26.7,26.6,26.9,26.65,26.6,26.53
2022-05-19 09:00:00,CTG,26.0,26.05,26.4,25.85,25.8,26.2
2022-05-19 10:00:00,CTG,26.0,26.1,26.15,25.9,25.85,26.01
2022-05-19 11:00:00,CTG,26.15,26.05,26.4,26.05,26.0,26.16
2022-05-19 13:00:00,CTG,26.1,25.9,26.2,25.95,25.9,25.8
2022-05-19 14:00:00,CTG,25.85,26.1,26.2,25.85,25.8,25.96
2022-05-20 09:00:00,CTG,26.1,26.35,26.35,26.0,25.95,25.94
2022-05-20 10:00:00,CTG,26.4,26.4,26.4,26.3,26.25,25.97
2022-05-20 11:00:00,CTG,26.4,26.35,26.45,26.4,26.35,26.21
2022-05-20 13:00:00,CTG,26.35,26.0,26.4,25.9,25.85,25.9
2022-05-20 14:00:00,CTG,26.1,25.9,26.15,25.95,25.9,25.87
2022-05-23 09:00:00,CTG,25.95,25.75,26.2,25.8,25.75,25.85
2022-05-23 10:00:00,CTG,25.75,25.6,26.05,25.65,25.6,25.84
2022-05-23 11:00:00,CTG,25.6,25.4,25.65,25.4,25.35,25.23
2022-05-23 13:00:00,CTG,25.5,25.35,25.6,25.3,25.25,25.150000000000002
2022-05-23 14:00:00,CTG,25.35,25.0,25.4,25.05,25.0,24.96
2022-05-24 09:00:00,CTG,25.0,25.4,25.55,25.05,25.0,24.91
2022-05-24 10:00:00,CTG,25.4,25.55,25.6,25.45,25.4,25.240000000000002
2022-05-24 11:00:00,CTG,25.55,25.7,25.85,25.55,25.5,25.47
2022-05-24 13:00:00,CTG,25.7,25.5,25.8,25.4,25.35,25.42
2022-05-24 14:00:00,CTG,25.5,26.0,26.0,25.5,25.45,25.470000000000002
2022-05-25 09:00:00,CTG,26.0,26.3,26.45,26.1,26.0,25.97
2022-05-25 10:00:00,CTG,26.3,26.3,26.35,26.25,26.2,26.16
2022-05-25 11:00:00,CTG,26.25,26.6,26.8,26.3,26.25,26.22
2022-05-25 13:00:00,CTG,26.6,26.75,27.0,26.6,26.55,26.6
2022-05-25 14:00:00,CTG,26.75,26.9,26.9,26.8,26.75,26.65
2022-05-26 09:00:00,CTG,27.25,26.8,27.25,26.7,26.65,26.69
2022-05-26 10:00:00,CTG,26.8,26.85,26.9,26.6,26.55,26.67
2022-05-26 11:00:00,CTG,26.85,26.95,27.05,26.8,26.7,26.68
2022-05-26 13:00:00,CTG,26.95,26.9,27.05,26.85,26.8,26.71
2022-05-26 14:00:00,CTG,26.85,26.7,26.9,26.65,26.6,26.63
2022-05-27 09:00:00,CTG,27.0,26.75,27.0,26.75,26.7,26.69
2022-05-27 10:00:00,CTG,26.8,26.85,26.95,26.75,26.7,26.67
2022-05-27 11:00:00,CTG,26.9,27.15,27.2,26.85,26.8,26.74
2022-05-27 13:00:00,CTG,27.15,27.05,27.25,27.05,27.0,26.73
2022-05-27 14:00:00,CTG,27.05,27.0,27.1,26.9,26.85,26.8
2022-05-30 09:00:00,CTG,27.05,27.05,27.3,27.05,27.0,26.830000000000002
2022-05-30 10:00:00,CTG,27.1,27.1,27.25,27.05,27.0,26.89
2022-05-30 11:00:00,CTG,27.1,27.2,27.25,27.1,27.05,26.93
2022-05-30 13:00:00,CTG,27.2,27.35,27.4,27.2,27.15,26.97
2022-05-30 14:00:00,CTG,27.35,27.3,27.4,27.35,27.3,27.04
2022-05-31 09:00:00,CTG,27.05,27.25,27.3,27.05,27.0,27.04
2022-05-31 10:00:00,CTG,27.2,27.35,27.45,27.25,27.2,27.1
2022-05-31 11:00:00,CTG,27.35,27.5,27.5,27.4,27.35,27.14
2022-05-31 13:00:00,CTG,27.5,27.45,27.55,27.45,27.4,27.21
2022-05-31 14:00:00,CTG,27.45,27.9,27.95,27.4,27.35,27.28
2022-06-01 09:00:00,CTG,27.55,27.8,28.0,27.55,27.5,27.32
2022-06-01 10:00:00,CTG,27.8,27.7,27.9,27.65,27.6,27.38
2022-06-01 11:00:00,CTG,27.65,27.6,27.7,27.55,27.5,27.44
2022-06-01 13:00:00,CTG,27.6,27.8,27.8,27.55,27.5,27.47
2022-06-01 14:00:00,CTG,27.8,27.75,27.95,27.8,27.75,27.490000000000002
2022-06-02 09:00:00,CTG,27.75,27.55,27.9,27.45,27.4,27.57
2022-06-02 10:00:00,CTG,27.6,27.65,27.65,27.35,27.3,27.43
2022-06-02 11:00:00,CTG,27.6,27.45,27.6,27.45,27.4,27.39
2022-06-02 13:00:00,CTG,27.45,27.8,28.0,27.45,27.4,27.41
2022-06-02 14:00:00,CTG,27.8,27.75,27.8,27.55,27.5,27.55
2022-06-03 09:00:00,CTG,27.4,27.5,27.6,27.4,27.3,27.35
2022-06-03 10:00:00,CTG,27.45,27.2,27.5,27.25,27.2,27.28
2022-06-03 11:00:00,CTG,27.2,27.05,27.25,27.1,27.05,27.01
2022-06-03 13:00:00,CTG,27.05,27.15,27.2,26.9,26.85,26.93
2022-06-03 14:00:00,CTG,27.15,27.4,27.4,27.15,27.05,27.14
2022-06-06 09:00:00,CTG,27.4,27.3,27.4,27.25,27.2,27.24
2022-06-06 10:00:00,CTG,27.3,27.45,27.5,27.35,27.3,27.31
2022-06-06 11:00:00,CTG,27.5,27.55,27.65,27.5,27.45,27.38
2022-06-06 13:00:00,CTG,27.55,27.6,27.75,27.6,27.55,27.43
2022-06-06 14:00:00,CTG,27.6,27.2,27.65,27.25,27.2,27.3
2022-06-07 09:00:00,CTG,27.2,26.9,27.3,26.9,26.85,26.91
2022-06-07 10:00:00,CTG,26.9,26.7,26.95,26.75,26.7,26.65
2022-06-07 11:00:00,CTG,26.7,26.7,26.7,26.55,26.5,26.6
2022-06-07 13:00:00,CTG,26.7,26.75,26.8,26.55,26.5,26.560000000000002
2022-06-07 14:00:00,CTG,26.75,27.4,27.4,26.75,26.7,26.94
2022-06-08 09:00:00,CTG,27.4,27.4,27.5,27.35,27.3,27.330000000000002
2022-06-08 10:00:00,CTG,27.4,27.45,27.5,27.45,27.4,27.330000000000002
2022-06-08 11:00:00,CTG,27.45,27.95,28.0,27.45,27.4,27.45
2022-06-08 13:00:00,CTG,27.9,27.85,28.1,27.75,27.7,27.57
2022-06-08 14:00:00,CTG,27.8,27.7,27.85,27.7,27.5,27.57
2022-06-09 09:00:00,CTG,27.9,27.75,27.9,27.75,27.7,27.61
2022-06-09 10:00:00,CTG,27.8,27.7,27.85,27.75,27.7,27.61
