date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,CTR,74.2,73.1,75.4,71.2,71.0,0.0
2022-05-13 10:00:00,CTR,72.4,72.5,73.5,72.1,72.0,71.0
2022-05-13 11:00:00,CTR,72.1,70.5,72.1,70.6,70.5,71.5
2022-05-13 13:00:00,CTR,70.5,70.4,71.8,69.3,69.2,71.16666666666667
2022-05-13 14:00:00,CTR,70.0,69.2,70.0,69.3,69.2,70.675
2022-05-16 09:00:00,CTR,71.1,71.0,72.4,70.9,70.7,70.38
2022-05-16 10:00:00,CTR,70.9,70.5,71.1,69.1,69.0,70.32000000000001
2022-05-16 11:00:00,CTR,70.0,70.0,70.0,69.5,69.2,69.72
2022-05-16 13:00:00,CTR,70.0,69.1,70.0,68.0,67.4,69.42
2022-05-16 14:00:00,CTR,69.2,69.2,69.8,69.2,69.1,68.8
2022-05-17 09:00:00,CTR,70.0,69.9,70.4,68.9,68.8,68.78
2022-05-17 10:00:00,CTR,70.0,71.0,71.4,69.6,69.5,69.38
2022-05-17 11:00:00,CTR,71.0,72.0,72.4,71.0,70.9,70.38
2022-05-17 13:00:00,CTR,71.9,74.0,74.0,72.0,71.9,71.02
2022-05-17 14:00:00,CTR,74.0,74.0,74.0,73.9,73.8,71.3
2022-05-18 09:00:00,CTR,75.6,76.8,77.5,75.1,75.0,71.92
2022-05-18 10:00:00,CTR,76.8,76.7,77.0,75.4,75.3,72.74
2022-05-18 11:00:00,CTR,76.7,76.5,76.7,76.1,76.0,73.4
2022-05-18 13:00:00,CTR,76.5,74.9,76.7,74.7,74.5,74.22
2022-05-18 14:00:00,CTR,74.8,75.9,76.0,74.4,74.0,74.92
2022-05-19 09:00:00,CTR,73.1,74.0,75.0,73.5,73.1,72.54
2022-05-19 10:00:00,CTR,74.0,75.0,75.8,74.0,73.8,74.08
2022-05-19 11:00:00,CTR,75.3,76.0,76.7,75.0,74.9,74.96
2022-05-19 13:00:00,CTR,76.2,75.8,77.5,75.7,75.6,75.14
2022-05-19 14:00:00,CTR,75.7,76.9,77.3,75.7,75.6,75.36
2022-05-20 09:00:00,CTR,77.1,78.6,79.0,77.1,77.0,75.5
2022-05-20 10:00:00,CTR,78.6,79.1,79.7,78.6,78.5,75.89999999999999
2022-05-20 11:00:00,CTR,79.1,78.7,79.3,78.4,78.3,76.48
2022-05-20 13:00:00,CTR,78.6,78.3,78.7,77.7,77.6,77.02
2022-05-20 14:00:00,CTR,78.0,78.8,78.8,77.6,77.5,77.48
2022-05-23 09:00:00,CTR,79.9,78.4,79.9,78.3,78.0,77.78
2022-05-23 10:00:00,CTR,78.4,78.8,79.5,78.5,78.4,77.98
2022-05-23 11:00:00,CTR,79.0,78.6,79.0,78.5,78.4,78.16
2022-05-23 13:00:00,CTR,78.7,77.5,79.1,77.6,77.5,78.04
2022-05-23 14:00:00,CTR,77.0,77.5,77.6,75.5,75.0,75.5
2022-05-24 09:00:00,CTR,75.5,75.8,77.0,75.5,75.4,75.42
2022-05-24 10:00:00,CTR,75.8,75.8,76.7,75.6,75.5,75.5
2022-05-24 11:00:00,CTR,75.8,76.8,77.0,75.8,75.7,75.48
2022-05-24 13:00:00,CTR,75.9,75.2,76.2,75.0,74.9,74.86
2022-05-24 14:00:00,CTR,75.2,78.0,78.0,75.1,75.0,75.32
2022-05-25 09:00:00,CTR,78.0,78.5,80.0,78.3,78.0,78.22
2022-05-25 10:00:00,CTR,78.5,78.4,79.0,78.4,78.3,78.24
2022-05-25 11:00:00,CTR,78.8,79.5,80.5,78.8,78.4,78.24
2022-05-25 13:00:00,CTR,79.5,81.3,82.2,79.8,79.5,78.26
2022-05-25 14:00:00,CTR,81.3,82.8,82.8,81.4,81.3,78.54
2022-05-26 09:00:00,CTR,82.8,82.7,83.0,82.0,81.9,79.14
2022-05-26 10:00:00,CTR,82.7,81.8,82.8,81.6,81.5,79.82000000000001
2022-05-26 11:00:00,CTR,81.8,82.0,82.0,81.7,81.6,80.52
2022-05-26 13:00:00,CTR,81.7,81.0,81.9,81.0,80.9,81.16
2022-05-26 14:00:00,CTR,81.4,81.9,81.9,81.1,81.0,81.44
2022-05-27 09:00:00,CTR,81.9,81.0,82.0,81.5,81.0,81.26
2022-05-27 10:00:00,CTR,81.6,81.3,81.6,81.1,81.0,81.2
