date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,DCM,29.2,28.6,30.15,28.25,28.2,0.0
2022-05-13 10:00:00,DCM,28.65,28.2,29.0,28.25,28.2,28.2
2022-05-13 11:00:00,DCM,28.2,28.05,28.25,28.1,28.05,28.2
2022-05-13 13:00:00,DCM,28.05,28.05,28.1,28.1,28.05,28.15
2022-05-13 14:00:00,DCM,28.05,28.05,28.05,28.05,28.05,28.125
2022-05-16 09:00:00,DCM,29.0,28.2,29.3,28.1,28.05,28.11
2022-05-16 10:00:00,DCM,28.3,27.5,28.45,26.65,26.6,28.080000000000002
2022-05-16 11:00:00,DCM,27.5,27.05,28.0,27.05,27.0,27.79
2022-05-16 13:00:00,DCM,27.1,26.2,27.35,26.15,26.1,27.55
2022-05-16 14:00:00,DCM,26.2,26.1,26.9,26.15,26.1,27.16
2022-05-17 09:00:00,DCM,25.3,24.9,26.0,24.45,24.4,26.77
2022-05-17 10:00:00,DCM,24.6,25.85,26.5,24.55,24.5,26.04
2022-05-17 11:00:00,DCM,25.85,25.8,26.0,25.6,25.5,25.62
2022-05-17 13:00:00,DCM,25.8,27.9,27.9,25.8,25.75,26.26
2022-05-17 14:00:00,DCM,27.9,27.9,27.9,27.9,27.9,27.87
2022-05-18 09:00:00,DCM,28.4,29.4,29.6,28.2,28.1,28.11
2022-05-18 10:00:00,DCM,29.35,29.15,29.6,29.05,29.0,28.12
2022-05-18 11:00:00,DCM,29.15,29.45,29.5,29.2,29.15,28.31
2022-05-18 13:00:00,DCM,29.5,29.3,29.85,29.2,29.15,28.5
2022-05-18 14:00:00,DCM,29.2,29.85,29.85,29.0,28.95,28.72
2022-05-19 09:00:00,DCM,28.8,29.6,29.95,28.7,28.6,28.87
2022-05-19 10:00:00,DCM,29.6,29.95,30.15,29.4,29.35,28.97
2022-05-19 11:00:00,DCM,29.95,30.4,30.5,29.85,29.8,29.12
2022-05-19 13:00:00,DCM,30.4,31.05,31.4,30.35,30.3,29.28
2022-05-19 14:00:00,DCM,31.15,31.4,31.9,31.0,30.95,29.51
2022-05-20 09:00:00,DCM,31.2,32.1,32.35,31.0,30.95,29.87
2022-05-20 10:00:00,DCM,32.1,32.9,32.95,32.1,32.05,30.27
2022-05-20 11:00:00,DCM,32.9,32.7,33.3,32.7,32.65,30.81
2022-05-20 13:00:00,DCM,32.7,32.8,32.95,32.25,32.2,31.38
2022-05-20 14:00:00,DCM,32.8,32.6,33.3,32.5,32.45,31.759999999999998
2022-05-23 09:00:00,DCM,32.95,33.0,33.4,32.35,32.3,32.06
2022-05-23 10:00:00,DCM,33.0,33.95,34.1,33.05,33.0,32.33
2022-05-23 11:00:00,DCM,33.95,33.95,34.05,33.7,33.65,32.52
2022-05-23 13:00:00,DCM,33.9,33.7,33.95,33.45,33.4,32.81
2022-05-23 14:00:00,DCM,33.7,33.3,33.7,32.35,32.3,32.76
2022-05-24 09:00:00,DCM,32.75,33.6,33.85,32.8,32.75,32.54
2022-05-24 10:00:00,DCM,33.55,33.95,34.5,33.35,33.3,33.019999999999996
2022-05-24 11:00:00,DCM,33.95,34.55,34.7,34.0,33.95,33.22
2022-05-24 13:00:00,DCM,34.55,33.4,34.55,33.15,33.0,33.32
2022-05-24 14:00:00,DCM,33.3,34.1,34.1,33.35,33.3,33.22
2022-05-25 09:00:00,DCM,34.7,33.7,34.75,33.4,33.3,33.46
2022-05-25 10:00:00,DCM,33.7,35.2,35.2,33.5,33.45,33.5
2022-05-25 11:00:00,DCM,35.05,35.15,35.5,34.95,34.9,33.53
2022-05-25 13:00:00,DCM,35.15,36.45,36.45,35.15,35.1,33.85
2022-05-25 14:00:00,DCM,36.45,36.45,36.45,36.45,36.4,34.14
2022-05-26 09:00:00,DCM,36.6,36.6,37.2,36.4,36.35,34.76
2022-05-26 10:00:00,DCM,36.7,36.55,36.8,36.4,36.35,35.34
2022-05-26 11:00:00,DCM,36.6,36.5,36.75,36.55,36.5,35.82
2022-05-26 13:00:00,DCM,36.5,36.45,36.6,35.9,35.85,36.14
2022-05-26 14:00:00,DCM,36.45,35.3,36.45,34.55,34.5,35.72
2022-05-27 09:00:00,DCM,35.05,35.1,35.7,34.95,34.9,34.38
2022-05-27 10:00:00,DCM,35.1,35.15,36.0,35.05,35.0,34.67
2022-05-27 11:00:00,DCM,35.2,35.2,35.35,35.05,35.0,34.88
2022-05-27 13:00:00,DCM,35.25,35.6,36.1,35.25,35.2,34.98
2022-05-27 14:00:00,DCM,35.6,35.3,35.8,35.25,35.2,35.0
2022-05-30 09:00:00,DCM,35.45,35.4,35.85,35.05,35.0,35.06
2022-05-30 10:00:00,DCM,35.4,35.3,35.75,35.25,35.2,35.08
2022-05-30 11:00:00,DCM,35.3,35.35,35.4,35.3,35.25,35.06
2022-05-30 13:00:00,DCM,35.4,35.35,35.6,35.25,35.2,35.13
2022-05-30 14:00:00,DCM,35.35,34.85,35.35,35.0,34.85,35.05
2022-05-31 09:00:00,DCM,34.5,36.4,36.4,34.5,34.4,35.04
2022-05-31 10:00:00,DCM,36.4,37.25,37.25,36.4,36.3,36.29
2022-05-31 11:00:00,DCM,37.25,37.25,37.25,37.25,37.25,36.38
2022-05-31 13:00:00,DCM,37.25,37.25,37.25,37.25,37.2,37.25
2022-05-31 14:00:00,DCM,37.25,37.25,37.25,36.85,36.8,36.69
2022-06-01 09:00:00,DCM,37.5,37.6,38.15,37.55,37.5,36.78
2022-06-01 10:00:00,DCM,37.6,38.4,38.5,37.6,37.55,37.01
2022-06-01 11:00:00,DCM,38.4,38.3,38.4,38.25,38.2,37.26
2022-06-01 13:00:00,DCM,38.4,39.85,39.85,37.85,37.8,37.54
2022-06-01 14:00:00,DCM,39.85,39.2,39.85,39.0,38.95,37.66
2022-06-02 09:00:00,DCM,40.0,39.15,40.1,38.7,38.65,38.0
2022-06-02 10:00:00,DCM,39.15,39.15,39.2,38.85,38.8,38.23
2022-06-02 11:00:00,DCM,39.15,38.85,39.2,38.85,38.8,38.48
2022-06-02 13:00:00,DCM,38.85,39.05,39.2,38.4,38.35,38.51
2022-06-02 14:00:00,DCM,39.1,38.8,39.15,38.05,38.0,38.62
2022-06-03 09:00:00,DCM,38.55,39.45,39.85,38.55,38.5,38.35
2022-06-03 10:00:00,DCM,39.45,39.1,39.65,39.0,38.95,38.71
2022-06-03 11:00:00,DCM,39.2,39.0,39.45,39.0,38.95,38.77
2022-06-03 13:00:00,DCM,38.95,40.75,40.95,38.9,38.85,38.57
2022-06-03 14:00:00,DCM,40.75,40.7,40.95,40.35,40.1,38.870000000000005
2022-06-06 09:00:00,DCM,41.5,40.95,41.5,40.1,40.05,39.1
2022-06-06 10:00:00,DCM,40.95,41.2,41.4,40.6,40.5,39.32
2022-06-06 11:00:00,DCM,41.2,42.75,42.9,41.25,41.2,39.63
2022-06-06 13:00:00,DCM,42.75,43.5,43.5,42.75,42.6,40.14
2022-06-06 14:00:00,DCM,43.5,43.25,43.5,43.25,43.2,40.89
2022-06-07 09:00:00,DCM,42.5,42.4,43.8,41.85,41.8,41.51
2022-06-07 10:00:00,DCM,42.4,41.2,42.55,41.2,41.1,40.73
2022-06-07 11:00:00,DCM,41.2,42.5,43.55,40.4,40.3,40.93
2022-06-07 13:00:00,DCM,42.45,41.35,43.35,40.55,40.5,40.89
2022-06-07 14:00:00,DCM,41.25,42.5,43.5,41.0,40.95,40.98
2022-06-08 09:00:00,DCM,42.5,42.2,42.95,41.45,41.4,41.11
2022-06-08 10:00:00,DCM,42.3,41.75,42.45,41.2,41.15,41.2
2022-06-08 11:00:00,DCM,41.75,42.55,43.5,41.7,41.65,41.13
2022-06-08 13:00:00,DCM,42.55,42.85,44.3,41.95,41.9,41.68
2022-06-08 14:00:00,DCM,42.9,42.25,43.3,42.05,42.0,41.58
2022-06-09 09:00:00,DCM,42.25,43.1,43.25,41.65,41.6,41.75
2022-06-09 10:00:00,DCM,43.1,42.55,43.1,42.3,42.25,41.88
2022-06-09 11:00:00,DCM,42.5,43.25,43.6,42.45,42.4,42.03
2022-06-09 13:00:00,DCM,43.25,42.55,43.4,42.6,42.55,42.49
2022-06-09 14:00:00,DCM,42.55,42.4,43.0,42.45,42.4,42.0
2022-06-10 09:00:00,DCM,42.0,42.4,42.9,41.95,41.9,41.81
2022-06-10 10:00:00,DCM,42.4,42.1,42.45,41.85,41.8,41.769999999999996
2022-06-10 11:00:00,DCM,42.1,41.65,42.2,41.65,41.6,41.47
2022-06-10 13:00:00,DCM,41.65,41.45,42.15,41.3,41.2,41.23
2022-06-10 14:00:00,DCM,41.45,39.45,41.5,39.6,39.45,39.65
2022-06-13 09:00:00,DCM,37.0,38.2,38.4,37.05,37.0,37.26
2022-06-13 10:00:00,DCM,38.2,37.6,39.05,37.05,37.0,37.65
2022-06-13 11:00:00,DCM,37.6,37.3,37.9,36.9,36.85,37.15
2022-06-13 13:00:00,DCM,37.35,36.7,37.5,36.75,36.7,36.89
2022-06-13 14:00:00,DCM,36.7,36.7,37.7,36.75,36.7,36.5
2022-06-14 09:00:00,DCM,36.0,36.55,37.5,35.4,35.1,35.99
2022-06-14 10:00:00,DCM,36.55,36.8,37.2,36.6,36.55,36.44
2022-06-14 11:00:00,DCM,36.8,38.2,39.0,36.85,36.8,37.18
2022-06-14 13:00:00,DCM,38.2,38.85,39.25,38.0,37.9,38.12
2022-06-14 14:00:00,DCM,38.9,38.8,39.0,37.15,37.1,37.89
2022-06-15 09:00:00,DCM,39.1,38.65,39.5,38.6,38.5,38.58
2022-06-15 10:00:00,DCM,38.65,38.25,39.0,37.05,37.0,37.51
2022-06-15 11:00:00,DCM,38.25,39.35,39.45,37.8,37.7,38.11
2022-06-15 13:00:00,DCM,39.3,39.0,39.4,37.95,37.9,38.49
2022-06-15 14:00:00,DCM,39.0,40.7,40.7,37.85,37.8,38.3
2022-06-16 09:00:00,DCM,41.2,40.95,41.4,40.75,40.7,40.69
2022-06-16 10:00:00,DCM,40.95,41.55,41.85,40.85,40.8,40.51
2022-06-16 11:00:00,DCM,41.55,42.9,43.0,41.55,41.5,41.46
2022-06-16 13:00:00,DCM,42.8,42.3,42.9,41.85,41.8,41.97
2022-06-16 14:00:00,DCM,42.3,41.95,42.5,41.95,41.9,41.699999999999996
2022-06-17 09:00:00,DCM,40.6,41.7,42.5,40.65,40.6,40.88
2022-06-17 10:00:00,DCM,41.7,41.1,41.7,40.4,40.3,40.65
2022-06-17 11:00:00,DCM,41.1,41.3,41.9,41.2,41.1,40.76
2022-06-17 13:00:00,DCM,41.3,42.45,42.45,40.95,40.9,41.01
2022-06-17 14:00:00,DCM,42.45,42.5,43.0,42.35,42.3,42.07
