date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,DGW,103.0,100.2,107.0,100.3,100.2,0.0
2022-05-13 10:00:00,DGW,100.2,100.8,102.1,100.3,100.2,100.2
2022-05-13 11:00:00,DGW,100.8,100.2,100.8,100.3,100.2,100.2
2022-05-13 13:00:00,DGW,100.2,100.2,100.6,100.5,100.2,100.2
2022-05-13 14:00:00,DGW,100.2,100.2,100.2,100.2,100.2,100.2
2022-05-16 09:00:00,DGW,103.0,101.6,103.5,101.6,101.5,100.2
2022-05-16 10:00:00,DGW,101.6,95.0,101.6,93.3,93.2,100.2
2022-05-16 11:00:00,DGW,95.0,94.7,95.2,94.1,94.0,98.8
2022-05-16 13:00:00,DGW,94.7,93.2,94.7,93.3,93.2,97.56
2022-05-16 14:00:00,DGW,93.2,93.2,96.0,93.3,93.2,96.16
2022-05-17 09:00:00,DGW,92.0,90.0,93.2,88.2,88.0,94.76
2022-05-17 10:00:00,DGW,90.0,95.2,95.2,90.1,90.0,92.32000000000001
2022-05-17 11:00:00,DGW,95.2,97.8,98.0,95.3,95.2,96.16
2022-05-17 13:00:00,DGW,97.8,99.7,99.7,97.9,97.8,99.2
2022-05-17 14:00:00,DGW,99.7,99.7,99.7,99.7,99.7,99.72
2022-05-18 09:00:00,DGW,105.4,105.2,105.5,102.6,102.5,100.46000000000001
2022-05-18 10:00:00,DGW,105.2,104.6,105.3,104.5,104.0,100.92
2022-05-18 11:00:00,DGW,104.6,105.3,105.4,104.0,103.9,101.68
2022-05-18 13:00:00,DGW,105.3,106.6,106.6,105.4,105.3,102.42
2022-05-18 14:00:00,DGW,106.6,106.6,106.6,106.6,106.6,103.44
2022-05-19 09:00:00,DGW,102.0,106.9,109.0,102.5,102.0,104.46
2022-05-19 10:00:00,DGW,106.8,106.2,109.3,105.0,104.6,104.46
2022-05-19 11:00:00,DGW,106.1,106.6,107.7,106.0,105.1,104.88
2022-05-19 13:00:00,DGW,107.0,104.4,107.3,104.4,104.0,104.3
2022-05-19 14:00:00,DGW,104.4,106.9,108.0,104.1,104.0,104.17999999999999
2022-05-20 09:00:00,DGW,106.8,110.0,110.0,105.1,105.0,105.11999999999999
