date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,DIG,52.5,49.2,52.5,49.25,49.2,0.0
2022-05-13 10:00:00,DIG,49.2,50.9,51.5,49.25,49.2,49.2
2022-05-13 11:00:00,DIG,50.9,49.8,50.9,49.8,49.7,49.2
2022-05-13 13:00:00,DIG,49.8,49.55,51.2,49.2,49.15,49.36666666666667
2022-05-13 14:00:00,DIG,49.55,49.15,49.7,49.2,49.15,49.3125
2022-05-16 09:00:00,DIG,52.0,51.0,52.2,50.9,50.8,49.28
2022-05-16 10:00:00,DIG,51.0,50.3,51.4,49.75,49.7,49.61
2022-05-16 11:00:00,DIG,50.3,50.8,51.3,50.2,50.1,49.71
2022-05-16 13:00:00,DIG,50.9,49.7,51.0,48.8,48.65,49.56
2022-05-16 14:00:00,DIG,49.7,48.5,51.4,49.3,48.5,49.27
2022-05-17 09:00:00,DIG,48.5,49.6,50.0,48.05,48.0,48.93
2022-05-17 10:00:00,DIG,49.6,50.1,50.5,49.6,49.55,49.46
2022-05-17 11:00:00,DIG,50.1,50.1,50.4,49.95,49.9,49.64
2022-05-17 13:00:00,DIG,50.1,51.8,51.8,50.1,50.0,49.94
2022-05-17 14:00:00,DIG,51.8,51.8,51.8,51.8,51.8,50.06
2022-05-18 09:00:00,DIG,53.3,55.3,55.4,52.9,52.8,50.48
2022-05-18 10:00:00,DIG,55.3,55.0,55.4,54.6,54.5,50.92
2022-05-18 11:00:00,DIG,55.1,55.2,55.3,54.9,54.8,51.98
2022-05-18 13:00:00,DIG,55.2,55.4,55.4,55.3,55.2,52.94
2022-05-18 14:00:00,DIG,55.4,55.4,55.4,55.1,55.0,53.82
2022-05-19 09:00:00,DIG,53.4,54.8,55.9,53.5,53.4,54.46
2022-05-19 10:00:00,DIG,54.9,55.3,55.6,54.8,54.7,54.58
2022-05-19 11:00:00,DIG,55.4,55.3,55.6,55.1,55.0,54.84
2022-05-19 13:00:00,DIG,55.3,54.2,55.6,54.2,54.1,54.8
2022-05-19 14:00:00,DIG,54.2,55.4,56.1,54.3,54.2,54.48
2022-05-20 09:00:00,DIG,55.9,57.5,57.9,55.5,55.4,54.82
