date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,DPG,50.7,48.6,50.7,48.1,48.0,0.0
2022-05-13 10:00:00,DPG,48.65,49.0,49.9,48.65,48.6,48.0
2022-05-13 11:00:00,DPG,49.0,48.1,49.1,48.2,48.1,48.3
2022-05-13 13:00:00,DPG,48.05,47.2,48.85,47.25,47.2,48.233333333333334
2022-05-13 14:00:00,DPG,47.3,47.2,47.3,47.3,47.2,47.975
2022-05-16 09:00:00,DPG,48.1,48.4,50.0,48.4,48.1,47.82
2022-05-16 10:00:00,DPG,48.4,48.0,48.45,47.6,47.5,47.84
2022-05-16 11:00:00,DPG,48.0,47.7,48.0,47.8,47.7,47.620000000000005
2022-05-16 13:00:00,DPG,47.7,46.0,47.85,45.1,45.0,47.54
2022-05-16 14:00:00,DPG,46.0,46.4,47.5,45.0,44.9,46.92
2022-05-17 09:00:00,DPG,46.4,46.4,46.5,45.0,44.8,46.4
2022-05-17 10:00:00,DPG,46.4,46.7,47.9,46.1,46.0,45.82
2022-05-17 11:00:00,DPG,46.85,47.0,47.0,46.8,46.75,46.12
2022-05-17 13:00:00,DPG,47.2,49.55,49.6,47.2,47.0,47.9
2022-05-17 14:00:00,DPG,49.6,49.6,49.6,49.45,49.35,48.06
2022-05-18 09:00:00,DPG,50.4,50.9,51.5,49.7,49.6,48.43
2022-05-18 10:00:00,DPG,50.9,50.1,51.4,50.1,50.0,48.730000000000004
2022-05-18 11:00:00,DPG,50.7,51.1,51.1,50.7,50.6,49.11
2022-05-18 13:00:00,DPG,51.1,50.4,51.4,50.4,50.3,49.51
2022-05-18 14:00:00,DPG,50.4,50.8,50.9,49.7,49.6,49.97
2022-05-19 09:00:00,DPG,47.35,49.35,49.9,47.9,47.35,47.86
2022-05-19 10:00:00,DPG,49.5,49.6,50.0,49.2,49.0,48.730000000000004
2022-05-19 11:00:00,DPG,49.6,50.0,50.8,49.8,49.6,49.51
2022-05-19 13:00:00,DPG,50.5,49.6,50.5,49.8,49.6,49.51
2022-05-19 14:00:00,DPG,49.6,50.3,51.2,49.5,49.4,49.480000000000004
2022-05-20 09:00:00,DPG,50.8,50.5,51.0,50.0,49.5,50.02
2022-05-20 10:00:00,DPG,50.8,52.0,52.0,50.4,50.3,49.92
2022-05-20 11:00:00,DPG,52.0,51.1,52.5,51.1,51.0,50.14
2022-05-20 13:00:00,DPG,51.2,51.0,52.0,50.6,50.5,50.44
2022-05-20 14:00:00,DPG,51.4,51.8,51.9,50.7,50.6,50.54
2022-05-23 09:00:00,DPG,52.0,51.6,52.5,51.6,51.5,50.6
2022-05-23 10:00:00,DPG,51.8,51.8,52.2,51.6,51.5,50.78
2022-05-23 11:00:00,DPG,51.5,51.3,51.8,51.4,51.3,51.02
2022-05-23 13:00:00,DPG,51.2,50.5,51.4,50.6,50.5,50.18
2022-05-23 14:00:00,DPG,50.4,50.9,50.9,48.25,48.2,49.54
2022-05-24 09:00:00,DPG,50.0,50.0,50.5,49.5,49.3,49.44
2022-05-24 10:00:00,DPG,49.8,49.6,50.1,49.5,49.4,49.37
2022-05-24 11:00:00,DPG,49.65,50.0,50.0,49.65,49.6,49.33
2022-05-24 13:00:00,DPG,50.0,49.5,50.0,48.9,48.7,49.33
2022-05-24 14:00:00,DPG,49.25,52.4,52.4,49.0,48.9,49.42
2022-05-25 09:00:00,DPG,52.7,52.0,52.7,51.7,51.5,51.18
2022-05-25 10:00:00,DPG,52.0,51.9,52.4,52.0,51.9,51.36
2022-05-25 11:00:00,DPG,51.9,52.9,53.2,52.0,51.9,51.48
2022-05-25 13:00:00,DPG,53.0,54.2,54.9,53.1,53.0,51.66
2022-05-25 14:00:00,DPG,54.2,54.5,54.7,54.3,54.2,51.96
2022-05-26 09:00:00,DPG,54.9,55.0,55.9,54.3,54.0,52.5
2022-05-26 10:00:00,DPG,55.0,55.0,55.4,54.9,54.8,52.92
2022-05-26 11:00:00,DPG,55.0,54.8,55.0,54.9,54.8,53.58
2022-05-26 13:00:00,DPG,55.0,54.4,55.1,54.1,54.0,54.16
2022-05-26 14:00:00,DPG,54.7,54.8,55.0,54.1,54.0,54.36
2022-05-27 09:00:00,DPG,55.0,55.7,55.8,54.9,54.8,54.32
