date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,DRH,13.5,13.5,14.4,13.5,13.45,0.0
2022-05-13 10:00:00,DRH,13.5,13.45,13.7,13.5,13.45,13.45
2022-05-13 11:00:00,DRH,13.45,13.5,13.5,13.45,13.4,13.45
2022-05-13 13:00:00,DRH,13.5,13.45,13.75,13.4,13.35,13.433333333333334
2022-05-13 14:00:00,DRH,13.45,13.35,13.8,13.4,13.35,13.4125
2022-05-16 09:00:00,DRH,14.2,13.7,14.2,13.65,13.1,13.4
2022-05-16 10:00:00,DRH,13.7,13.8,13.9,13.35,13.3,13.4
2022-05-16 11:00:00,DRH,13.7,13.7,13.75,13.5,13.4,13.37
2022-05-16 13:00:00,DRH,13.4,13.3,13.7,13.15,13.1,13.39
2022-05-16 14:00:00,DRH,13.35,13.35,13.5,13.15,13.1,13.33
2022-05-17 09:00:00,DRH,13.2,13.35,13.6,13.25,13.2,13.26
2022-05-17 10:00:00,DRH,13.35,13.55,13.85,13.45,13.35,13.39
2022-05-17 11:00:00,DRH,13.55,13.55,13.55,13.55,13.5,13.39
2022-05-17 13:00:00,DRH,13.55,14.2,14.2,13.6,13.55,13.32
2022-05-17 14:00:00,DRH,14.15,14.2,14.2,14.05,14.0,13.36
2022-05-18 09:00:00,DRH,14.3,14.6,14.8,14.0,13.9,13.48
2022-05-18 10:00:00,DRH,14.55,14.1,14.65,14.1,14.0,13.6
2022-05-18 11:00:00,DRH,14.2,14.4,14.4,14.2,14.1,13.71
2022-05-18 13:00:00,DRH,14.45,14.2,14.5,14.25,14.2,13.82
2022-05-18 14:00:00,DRH,14.3,14.2,14.5,14.25,14.2,14.04
2022-05-19 09:00:00,DRH,13.5,13.95,14.05,13.7,13.5,13.41
2022-05-19 10:00:00,DRH,13.95,13.9,14.05,13.9,13.85,13.51
2022-05-19 11:00:00,DRH,13.9,13.95,14.1,13.9,13.85,13.6
2022-05-19 13:00:00,DRH,13.9,13.85,14.0,13.9,13.85,13.66
2022-05-19 14:00:00,DRH,13.8,14.1,14.1,13.75,13.7,13.72
2022-05-20 09:00:00,DRH,14.2,14.2,14.45,14.1,14.0,14.1
2022-05-20 10:00:00,DRH,14.15,14.35,14.4,14.2,14.15,14.1
2022-05-20 11:00:00,DRH,14.35,14.3,14.55,14.35,14.3,14.129999999999999
2022-05-20 13:00:00,DRH,14.3,14.1,14.4,13.9,13.85,14.08
2022-05-20 14:00:00,DRH,14.1,14.3,14.3,14.1,14.05,14.09
2022-05-23 09:00:00,DRH,14.4,14.45,14.95,14.45,14.4,14.12
2022-05-23 10:00:00,DRH,14.5,14.65,14.9,14.55,14.5,14.2
2022-05-23 11:00:00,DRH,14.65,14.5,14.65,14.5,14.4,14.32
2022-05-23 13:00:00,DRH,14.5,14.3,14.55,14.35,14.3,14.22
2022-05-23 14:00:00,DRH,14.3,14.0,14.3,13.8,13.7,13.76
2022-05-24 09:00:00,DRH,13.55,14.2,14.2,13.65,13.55,13.69
