date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,EIB,31.45,30.9,31.5,31.0,30.9,0.0
2022-05-13 10:00:00,EIB,30.95,31.5,31.5,31.0,30.95,30.9
2022-05-13 11:00:00,EIB,31.15,31.6,31.6,31.45,31.15,30.924999999999997
2022-05-13 13:00:00,EIB,31.6,30.6,31.6,30.05,30.0,31.0
2022-05-13 14:00:00,EIB,30.6,31.3,31.3,30.3,30.1,30.75
2022-05-16 09:00:00,EIB,31.3,32.5,32.5,31.45,31.3,30.62
2022-05-16 10:00:00,EIB,32.45,32.0,32.45,32.45,32.0,30.86
2022-05-16 11:00:00,EIB,32.0,31.9,32.0,32.0,31.9,31.259999999999998
2022-05-16 13:00:00,EIB,31.85,31.65,31.85,31.65,31.6,31.38
2022-05-16 14:00:00,EIB,31.45,31.1,31.45,31.2,31.1,30.94
2022-05-17 09:00:00,EIB,30.6,29.3,31.95,29.3,28.95,30.61
2022-05-17 10:00:00,EIB,31.25,31.3,31.5,29.95,29.8,30.61
2022-05-17 11:00:00,EIB,31.3,31.4,31.4,31.4,31.3,31.14
2022-05-17 13:00:00,EIB,31.3,31.8,31.8,31.15,31.1,31.22
2022-05-17 14:00:00,EIB,31.8,31.5,31.8,31.3,31.1,31.25
2022-05-18 09:00:00,EIB,32.5,31.9,32.5,31.5,31.1,31.580000000000002
2022-05-18 10:00:00,EIB,31.9,31.8,31.9,31.2,31.1,31.37
2022-05-18 11:00:00,EIB,31.8,32.0,32.0,31.9,31.8,31.36
2022-05-18 13:00:00,EIB,32.0,31.8,32.0,32.0,31.8,31.68
2022-05-18 14:00:00,EIB,31.8,31.5,31.8,31.2,31.1,31.200000000000003
2022-05-19 09:00:00,EIB,31.0,31.0,31.55,30.7,30.0,30.57
2022-05-19 10:00:00,EIB,31.0,31.5,31.5,31.0,30.3,30.9
2022-05-19 11:00:00,EIB,31.5,31.45,31.5,31.5,31.45,31.150000000000002
2022-05-19 13:00:00,EIB,31.45,31.45,31.45,31.45,31.45,31.22
2022-05-19 14:00:00,EIB,31.0,30.4,31.35,31.0,30.4,30.65
2022-05-20 09:00:00,EIB,31.0,30.0,31.0,29.8,29.4,29.83
2022-05-20 10:00:00,EIB,30.0,30.8,30.8,30.15,30.0,29.94
2022-05-20 11:00:00,EIB,30.8,30.9,30.9,30.9,30.8,30.35
2022-05-20 13:00:00,EIB,30.3,30.2,30.9,30.1,30.0,30.14
2022-05-20 14:00:00,EIB,30.2,30.9,30.9,30.2,30.0,30.18
2022-05-23 09:00:00,EIB,30.9,30.8,30.9,30.75,29.75,30.44
2022-05-23 10:00:00,EIB,30.8,30.8,31.2,30.8,30.7,30.21
2022-05-23 11:00:00,EIB,31.25,30.8,31.25,31.25,30.8,30.88
2022-05-23 13:00:00,EIB,31.1,30.8,31.2,31.1,30.8,30.72
2022-05-23 14:00:00,EIB,30.9,30.85,31.25,30.85,30.8,30.41
2022-05-24 09:00:00,EIB,31.3,30.9,31.5,31.3,30.9,30.98
2022-05-24 10:00:00,EIB,30.9,31.0,31.5,31.0,30.9,30.65
2022-05-24 11:00:00,EIB,31.0,31.1,31.5,31.1,31.0,30.61
2022-05-24 13:00:00,EIB,31.0,31.4,31.7,31.0,30.95,30.63
2022-05-24 14:00:00,EIB,31.45,31.6,31.6,31.5,31.45,31.29
2022-05-25 09:00:00,EIB,31.95,32.25,32.3,31.55,31.35,31.54
2022-05-25 10:00:00,EIB,32.25,32.2,32.25,32.05,32.0,31.77
2022-05-25 11:00:00,EIB,32.2,32.0,32.25,32.1,32.0,31.9
2022-05-25 13:00:00,EIB,32.0,32.1,32.3,32.1,32.0,31.9
2022-05-25 14:00:00,EIB,32.2,32.5,32.5,32.25,32.2,31.87
2022-05-26 09:00:00,EIB,32.5,32.1,32.5,32.2,32.1,32.04
2022-05-26 10:00:00,EIB,32.2,32.35,32.5,32.25,32.2,32.06
2022-05-26 11:00:00,EIB,32.3,32.45,32.45,32.35,32.3,32.1
2022-05-26 13:00:00,EIB,32.5,32.6,32.6,32.45,32.4,32.160000000000004
2022-05-26 14:00:00,EIB,32.6,32.5,32.7,32.5,32.45,32.24
2022-05-27 09:00:00,EIB,32.5,32.75,32.8,32.5,32.45,32.31
2022-05-27 10:00:00,EIB,32.7,32.8,32.95,32.75,32.7,32.36
2022-05-27 11:00:00,EIB,32.8,33.4,33.6,32.9,32.8,32.46
2022-05-27 13:00:00,EIB,33.4,34.45,34.55,33.45,33.4,32.56
2022-05-27 14:00:00,EIB,34.45,34.1,34.5,34.1,34.0,32.76
2022-05-30 09:00:00,EIB,35.0,33.75,35.0,33.7,33.6,33.07
2022-05-30 10:00:00,EIB,33.95,34.35,34.55,33.95,33.8,33.3
2022-05-30 11:00:00,EIB,33.7,33.7,33.7,33.7,33.7,33.339999999999996
2022-05-30 13:00:00,EIB,33.7,34.1,34.2,33.75,33.7,33.54
2022-05-30 14:00:00,EIB,34.1,34.0,34.1,34.0,33.75,33.72
2022-05-31 09:00:00,EIB,32.8,33.3,33.75,33.3,32.8,33.07
2022-05-31 10:00:00,EIB,33.1,33.0,33.45,33.1,33.0,32.89
2022-05-31 11:00:00,EIB,33.45,33.4,33.45,33.4,33.05,33.2
2022-05-31 13:00:00,EIB,33.2,33.2,33.5,33.0,32.9,32.87
2022-05-31 14:00:00,EIB,32.8,33.2,33.2,33.1,32.8,32.839999999999996
