date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,FPT,96.1,96.3,97.2,95.6,95.5,0.0
2022-05-13 10:00:00,FPT,96.4,98.5,99.0,96.4,96.3,95.5
2022-05-13 11:00:00,FPT,98.5,97.3,98.5,97.3,97.2,95.9
2022-05-13 13:00:00,FPT,97.3,96.0,97.7,93.2,93.1,96.33333333333333
2022-05-13 14:00:00,FPT,96.0,93.6,96.0,93.2,93.1,95.525
2022-05-16 09:00:00,FPT,97.5,96.8,97.5,96.5,96.0,95.03999999999999
2022-05-16 10:00:00,FPT,97.0,96.0,97.0,95.6,95.5,95.62
2022-05-16 11:00:00,FPT,95.9,96.4,96.5,95.9,95.6,95.28
2022-05-16 13:00:00,FPT,96.3,95.5,96.4,93.8,93.7,94.56
2022-05-16 14:00:00,FPT,95.5,93.2,96.0,93.6,93.2,94.17999999999999
2022-05-17 09:00:00,FPT,93.0,93.8,94.4,92.6,92.5,94.22
2022-05-17 10:00:00,FPT,93.7,94.8,95.1,93.7,93.5,93.62
2022-05-17 11:00:00,FPT,94.8,95.0,95.0,94.8,94.7,93.82
2022-05-17 13:00:00,FPT,95.0,98.6,98.8,95.1,95.0,95.78
2022-05-17 14:00:00,FPT,98.4,99.7,99.7,97.1,97.0,96.0
2022-05-18 09:00:00,FPT,99.7,99.0,100.1,98.0,97.9,96.4
2022-05-18 10:00:00,FPT,99.0,99.2,99.5,98.3,98.2,96.88
2022-05-18 11:00:00,FPT,99.5,99.1,99.7,98.5,98.4,97.32000000000001
2022-05-18 13:00:00,FPT,99.0,97.7,99.6,97.8,97.7,97.74000000000001
2022-05-18 14:00:00,FPT,97.7,97.7,98.5,97.6,97.5,97.08
2022-05-19 09:00:00,FPT,95.1,95.9,96.5,95.2,95.1,95.0
2022-05-19 10:00:00,FPT,96.0,97.0,97.4,95.7,95.6,95.53999999999999
2022-05-19 11:00:00,FPT,97.0,97.3,97.7,96.1,96.0,95.64
2022-05-19 13:00:00,FPT,97.3,96.7,97.7,96.4,96.3,95.72
2022-05-19 14:00:00,FPT,96.8,97.0,97.3,96.4,96.3,95.88
2022-05-20 09:00:00,FPT,97.7,97.6,98.5,97.4,97.3,96.6
2022-05-20 10:00:00,FPT,97.8,98.5,98.6,97.7,97.6,97.58
2022-05-20 11:00:00,FPT,98.5,98.4,98.9,98.0,97.9,97.66
2022-05-20 13:00:00,FPT,98.4,97.4,98.5,97.1,97.0,97.5
2022-05-20 14:00:00,FPT,97.6,97.5,97.8,97.2,97.1,97.0
2022-05-23 09:00:00,FPT,98.2,98.0,98.2,97.6,97.5,97.32
2022-05-23 10:00:00,FPT,98.0,97.9,98.2,97.7,97.6,97.39999999999999
2022-05-23 11:00:00,FPT,97.9,97.6,97.9,97.5,97.4,97.39999999999999
2022-05-23 13:00:00,FPT,97.6,97.5,98.0,97.5,97.4,97.38
2022-05-23 14:00:00,FPT,97.7,96.5,97.7,96.2,96.1,96.02
2022-05-24 09:00:00,FPT,96.5,96.8,97.5,96.6,96.5,96.03999999999999
2022-05-24 10:00:00,FPT,96.9,97.7,98.2,96.7,96.6,96.82
2022-05-24 11:00:00,FPT,97.7,97.6,98.2,97.5,97.4,97.44
2022-05-24 13:00:00,FPT,97.6,96.9,97.8,96.3,96.0,96.14
2022-05-24 14:00:00,FPT,97.5,98.2,98.2,96.7,96.6,97.16
2022-05-25 09:00:00,FPT,99.5,100.0,101.5,98.8,98.7,97.84
2022-05-25 10:00:00,FPT,100.0,101.4,101.4,100.1,100.0,98.04
2022-05-25 11:00:00,FPT,101.4,102.3,103.0,101.5,101.4,98.64
2022-05-25 13:00:00,FPT,102.3,105.0,105.0,102.5,102.3,99.28
2022-05-25 14:00:00,FPT,105.0,105.0,105.0,105.0,105.0,100.16
2022-05-26 09:00:00,FPT,105.2,106.0,107.1,105.3,105.2,101.48
2022-05-26 10:00:00,FPT,106.0,105.6,106.5,105.1,105.0,102.78
2022-05-26 11:00:00,FPT,105.5,105.7,105.8,105.5,105.4,103.78
2022-05-26 13:00:00,FPT,106.0,105.7,106.5,105.2,105.1,104.58
2022-05-26 14:00:00,FPT,105.5,105.6,105.8,104.7,104.6,105.14
2022-05-27 09:00:00,FPT,105.6,106.0,106.7,105.6,105.5,105.06
2022-05-27 10:00:00,FPT,106.0,108.9,109.3,106.1,106.0,105.24
2022-05-27 11:00:00,FPT,109.0,110.9,112.0,108.9,108.8,105.36
2022-05-27 13:00:00,FPT,110.9,111.5,111.9,110.9,110.8,106.12
2022-05-27 14:00:00,FPT,111.5,111.8,111.8,110.0,109.9,107.26
2022-05-30 09:00:00,FPT,111.1,111.1,112.4,111.1,111.0,108.2
2022-05-30 10:00:00,FPT,111.2,110.2,111.3,109.3,109.2,109.3
2022-05-30 11:00:00,FPT,110.2,110.0,110.2,109.7,109.6,109.94
2022-05-30 13:00:00,FPT,110.0,111.2,111.6,110.0,109.9,109.94
2022-05-30 14:00:00,FPT,111.2,111.3,111.3,110.6,110.5,110.16
2022-05-31 09:00:00,FPT,111.3,110.2,111.3,109.2,109.1,109.82000000000001
2022-05-31 10:00:00,FPT,110.2,111.1,111.3,110.1,110.0,110.06
