date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,FTS,35.5,35.2,37.65,35.25,35.2,0.0
2022-05-13 10:00:00,FTS,35.2,35.25,36.0,35.25,35.2,35.2
2022-05-13 11:00:00,FTS,35.25,35.2,35.25,35.25,35.2,35.2
2022-05-13 13:00:00,FTS,35.2,35.2,35.25,35.25,35.2,35.2
2022-05-13 14:00:00,FTS,35.2,35.2,35.2,35.2,35.2,35.2
2022-05-16 09:00:00,FTS,37.4,37.0,37.4,35.55,35.25,35.2
2022-05-16 10:00:00,FTS,36.9,35.3,36.9,35.25,35.2,35.21
2022-05-16 11:00:00,FTS,35.3,35.5,35.6,35.35,35.3,35.2
2022-05-16 13:00:00,FTS,35.5,34.0,35.5,33.6,33.5,35.22
2022-05-16 14:00:00,FTS,34.4,32.8,34.7,32.85,32.8,34.86
2022-05-17 09:00:00,FTS,31.7,32.8,33.0,31.75,31.7,34.38
2022-05-17 10:00:00,FTS,32.85,34.1,34.6,33.0,32.85,33.68
2022-05-17 11:00:00,FTS,34.1,34.2,34.5,34.15,34.1,33.910000000000004
2022-05-17 13:00:00,FTS,34.1,35.05,35.05,34.2,34.1,34.980000000000004
2022-05-17 14:00:00,FTS,35.05,35.05,35.05,35.05,35.05,35.22
2022-05-18 09:00:00,FTS,36.5,37.0,37.35,36.05,36.0,35.230000000000004
2022-05-18 10:00:00,FTS,37.2,37.3,37.4,37.0,36.9,35.39
2022-05-18 11:00:00,FTS,37.3,37.5,37.5,37.4,37.3,35.71
2022-05-18 13:00:00,FTS,37.5,37.5,37.5,37.45,37.4,36.13
2022-05-18 14:00:00,FTS,37.5,36.95,37.5,36.95,36.9,36.57
2022-05-19 09:00:00,FTS,36.0,36.2,36.85,35.7,35.05,35.38
2022-05-19 10:00:00,FTS,36.1,36.85,36.9,36.1,36.0,36.019999999999996
2022-05-19 11:00:00,FTS,36.8,36.9,37.4,36.85,36.8,36.9
2022-05-19 13:00:00,FTS,36.95,37.8,37.85,36.95,36.9,37.059999999999995
2022-05-19 14:00:00,FTS,37.5,37.25,37.9,37.3,37.25,37.08
2022-05-20 09:00:00,FTS,37.6,37.9,38.5,37.45,37.4,37.15
2022-05-20 10:00:00,FTS,37.8,37.7,38.3,37.6,37.4,37.25
2022-05-20 11:00:00,FTS,37.7,37.0,37.8,36.55,36.5,37.05
2022-05-20 13:00:00,FTS,37.0,36.8,37.15,36.6,36.55,36.62
2022-05-20 14:00:00,FTS,36.8,37.0,37.3,36.8,36.7,36.629999999999995
2022-05-23 09:00:00,FTS,38.0,36.8,38.0,36.75,36.5,36.99
2022-05-23 10:00:00,FTS,36.8,36.6,37.0,36.6,36.5,36.41
2022-05-23 11:00:00,FTS,36.5,35.9,36.6,35.95,35.9,35.75
2022-05-23 13:00:00,FTS,35.9,35.4,36.0,35.4,35.3,35.22
2022-05-23 14:00:00,FTS,35.4,34.5,35.5,34.5,34.45,34.83
2022-05-24 09:00:00,FTS,34.5,35.0,35.1,34.6,34.5,34.95
2022-05-24 10:00:00,FTS,35.0,34.6,35.1,34.6,34.55,34.88
2022-05-24 11:00:00,FTS,34.85,34.6,34.9,34.85,34.6,34.9
2022-05-24 13:00:00,FTS,34.6,33.0,34.6,32.5,32.3,33.56
2022-05-24 14:00:00,FTS,33.0,35.1,35.1,33.0,32.95,34.02
2022-05-25 09:00:00,FTS,35.65,36.3,36.4,35.3,35.2,35.51
2022-05-25 10:00:00,FTS,35.8,35.75,36.0,35.55,35.5,35.21
2022-05-25 11:00:00,FTS,35.75,35.9,36.0,35.8,35.75,35.269999999999996
2022-05-25 13:00:00,FTS,35.95,36.5,36.95,36.0,35.95,35.63
2022-05-25 14:00:00,FTS,36.4,36.95,36.95,36.45,36.4,36.35
2022-05-26 09:00:00,FTS,37.85,37.7,38.0,37.3,37.1,37.35
2022-05-26 10:00:00,FTS,37.7,37.9,38.5,37.55,37.5,37.31
2022-05-26 11:00:00,FTS,37.95,38.2,38.2,37.95,37.9,37.36
2022-05-26 13:00:00,FTS,38.2,37.7,38.2,37.25,37.2,37.33
2022-05-26 14:00:00,FTS,37.75,37.75,37.9,37.35,37.3,37.27
2022-05-27 09:00:00,FTS,37.4,37.6,38.1,37.5,37.4,37.29
2022-05-27 10:00:00,FTS,37.8,37.45,37.8,37.5,37.45,37.29
2022-05-27 11:00:00,FTS,37.45,37.45,37.5,37.45,37.4,37.26
2022-05-27 13:00:00,FTS,37.45,37.95,38.1,37.4,37.35,37.339999999999996
2022-05-27 14:00:00,FTS,37.95,37.95,38.0,37.75,37.7,37.44
2022-05-30 09:00:00,FTS,38.0,37.5,38.1,37.15,37.1,37.29
2022-05-30 10:00:00,FTS,37.5,38.1,38.5,37.55,37.5,37.41
2022-05-30 11:00:00,FTS,37.95,38.15,38.15,37.95,37.9,37.6
2022-05-30 13:00:00,FTS,38.1,38.2,38.25,38.15,38.1,37.68
