date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,GMD,56.0,55.4,56.5,54.1,54.0,0.0
2022-05-13 10:00:00,GMD,55.4,55.4,56.0,55.3,55.2,54.0
2022-05-13 11:00:00,GMD,55.4,54.6,55.9,54.3,54.2,54.6
2022-05-13 13:00:00,GMD,54.6,54.3,55.5,52.9,52.8,54.46666666666667
2022-05-13 14:00:00,GMD,54.3,52.0,54.4,52.1,52.0,54.05
2022-05-16 09:00:00,GMD,54.0,53.5,54.5,53.4,53.0,53.64
2022-05-16 10:00:00,GMD,53.4,51.9,53.4,51.2,51.1,53.2
2022-05-16 11:00:00,GMD,52.0,51.9,52.0,51.6,51.5,52.62
2022-05-16 13:00:00,GMD,51.9,48.7,51.9,48.45,48.4,52.08
2022-05-16 14:00:00,GMD,48.7,48.4,51.2,48.7,48.4,51.2
2022-05-17 09:00:00,GMD,47.0,46.2,47.5,45.1,45.05,50.28
2022-05-17 10:00:00,GMD,46.15,48.3,48.9,45.9,45.85,48.89
2022-05-17 11:00:00,GMD,48.3,48.4,48.5,47.5,47.4,47.839999999999996
2022-05-17 13:00:00,GMD,48.5,51.6,51.7,48.5,48.4,48.31
2022-05-17 14:00:00,GMD,51.6,51.7,51.7,51.5,51.4,50.28
2022-05-18 09:00:00,GMD,52.3,52.9,53.0,51.2,51.1,51.8
2022-05-18 10:00:00,GMD,52.9,52.0,52.9,51.8,51.7,51.42
2022-05-18 11:00:00,GMD,52.0,53.2,53.2,52.1,52.0,51.36
2022-05-18 13:00:00,GMD,53.0,51.7,53.5,51.6,51.5,51.480000000000004
2022-05-18 14:00:00,GMD,51.7,51.2,52.1,51.3,51.2,51.44
2022-05-19 09:00:00,GMD,49.7,50.9,51.3,49.8,49.7,50.18
2022-05-19 10:00:00,GMD,50.9,51.3,51.5,51.0,50.9,50.980000000000004
2022-05-19 11:00:00,GMD,51.5,51.3,52.0,51.2,51.1,51.34
2022-05-19 13:00:00,GMD,51.4,50.6,51.7,50.1,50.0,50.86
2022-05-19 14:00:00,GMD,51.0,51.0,51.5,50.8,50.6,50.92
2022-05-20 09:00:00,GMD,51.0,51.7,51.9,50.5,50.3,51.04
2022-05-20 10:00:00,GMD,51.7,51.0,51.8,51.1,51.0,51.04
2022-05-20 11:00:00,GMD,51.1,50.8,51.7,50.6,50.5,50.72
2022-05-20 13:00:00,GMD,50.8,50.4,51.0,49.9,49.8,50.34
