date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,GVR,22.9,22.1,23.0,22.0,21.9,0.0
2022-05-13 10:00:00,GVR,22.2,22.4,22.85,22.2,22.1,21.9
2022-05-13 11:00:00,GVR,22.4,22.15,22.45,22.15,22.1,22.0
2022-05-13 13:00:00,GVR,22.05,21.35,22.25,21.35,21.3,22.033333333333335
2022-05-13 14:00:00,GVR,21.35,21.3,21.4,21.35,21.3,21.85
2022-05-16 09:00:00,GVR,22.75,22.75,22.75,22.1,22.0,21.740000000000002
2022-05-16 10:00:00,GVR,22.75,22.6,22.75,22.3,22.25,21.88
2022-05-16 11:00:00,GVR,22.6,22.75,22.75,22.65,22.6,22.07
2022-05-16 13:00:00,GVR,22.75,22.25,22.75,21.85,21.8,22.07
2022-05-16 14:00:00,GVR,22.25,21.85,22.5,21.9,21.85,21.84
2022-05-17 09:00:00,GVR,21.4,21.4,21.85,21.1,21.0,21.73
2022-05-17 10:00:00,GVR,21.5,22.0,22.3,21.55,21.5,21.51
2022-05-17 11:00:00,GVR,21.9,21.75,22.0,21.8,21.75,21.55
2022-05-17 13:00:00,GVR,21.85,23.2,23.2,21.85,21.8,22.150000000000002
2022-05-17 14:00:00,GVR,23.15,23.35,23.35,22.9,22.85,22.17
2022-05-18 09:00:00,GVR,23.6,23.7,23.8,23.05,23.0,22.32
2022-05-18 10:00:00,GVR,23.7,23.35,23.8,23.4,23.35,22.54
2022-05-18 11:00:00,GVR,23.4,23.75,23.8,23.35,23.3,22.810000000000002
2022-05-18 13:00:00,GVR,23.75,23.4,23.95,23.4,23.35,23.02
2022-05-18 14:00:00,GVR,23.4,23.35,23.7,23.3,23.25,23.17
2022-05-19 09:00:00,GVR,22.4,22.6,22.8,22.4,22.3,22.21
2022-05-19 10:00:00,GVR,22.55,22.75,22.9,22.55,22.5,22.25
2022-05-19 11:00:00,GVR,22.75,23.1,23.15,22.75,22.7,22.5
2022-05-19 13:00:00,GVR,23.1,22.7,23.15,22.7,22.65,22.580000000000002
2022-05-19 14:00:00,GVR,22.8,22.95,23.1,22.65,22.6,22.54
2022-05-20 09:00:00,GVR,23.35,23.6,23.7,23.0,22.95,23.150000000000002
2022-05-20 10:00:00,GVR,23.55,23.7,23.7,23.35,23.3,23.17
2022-05-20 11:00:00,GVR,23.7,23.95,24.2,23.75,23.7,23.26
2022-05-20 13:00:00,GVR,24.0,23.6,24.05,23.45,23.4,23.34
2022-05-20 14:00:00,GVR,23.65,23.7,23.9,23.6,23.55,23.400000000000002
2022-05-23 09:00:00,GVR,24.1,24.0,24.35,23.95,23.9,23.46
2022-05-23 10:00:00,GVR,23.95,24.0,24.15,24.0,23.95,23.58
2022-05-23 11:00:00,GVR,24.0,23.8,24.0,23.85,23.8,23.7
2022-05-23 13:00:00,GVR,23.8,23.75,23.95,23.7,23.65,23.68
2022-05-23 14:00:00,GVR,23.75,23.7,23.75,23.0,22.95,23.18
2022-05-24 09:00:00,GVR,23.65,23.5,23.7,23.15,23.1,23.17
2022-05-24 10:00:00,GVR,23.55,23.6,23.8,23.45,23.4,23.37
2022-05-24 11:00:00,GVR,23.6,23.6,23.7,23.65,23.6,23.45
2022-05-24 13:00:00,GVR,23.6,23.35,23.6,23.2,23.15,23.28
2022-05-24 14:00:00,GVR,23.3,24.15,24.15,23.25,23.2,23.37
2022-05-25 09:00:00,GVR,24.2,24.2,24.4,24.0,23.9,23.8
2022-05-25 10:00:00,GVR,24.2,24.55,24.65,24.25,24.2,23.849999999999998
2022-05-25 11:00:00,GVR,24.55,24.6,24.85,24.6,24.55,23.95
2022-05-25 13:00:00,GVR,24.6,25.1,25.45,24.7,24.6,24.099999999999998
2022-05-25 14:00:00,GVR,25.1,25.35,25.4,25.05,25.0,24.23
2022-05-26 09:00:00,GVR,25.4,25.45,25.8,25.35,25.3,24.45
2022-05-26 10:00:00,GVR,25.45,25.5,25.6,25.35,25.3,24.73
2022-05-26 11:00:00,GVR,25.5,25.3,25.55,25.3,25.25,24.95
2022-05-26 13:00:00,GVR,25.3,25.1,25.4,25.05,25.0,25.09
2022-05-26 14:00:00,GVR,25.15,25.35,25.5,25.1,25.05,25.17
2022-05-27 09:00:00,GVR,25.45,25.75,26.1,25.4,25.35,25.18
2022-05-27 10:00:00,GVR,25.75,25.7,26.0,25.75,25.7,25.25
2022-05-27 11:00:00,GVR,25.6,25.75,25.85,25.65,25.6,25.38
2022-05-27 13:00:00,GVR,25.75,25.8,25.95,25.55,25.5,25.45
2022-05-27 14:00:00,GVR,25.8,25.5,25.85,25.55,25.5,25.48
2022-05-30 09:00:00,GVR,25.5,25.7,25.8,25.45,25.4,25.41
2022-05-30 10:00:00,GVR,25.7,25.65,25.75,25.6,25.55,25.54
2022-05-30 11:00:00,GVR,25.7,25.65,25.7,25.65,25.6,25.51
2022-05-30 13:00:00,GVR,25.65,25.7,25.75,25.45,25.4,25.53
2022-05-30 14:00:00,GVR,25.7,25.45,25.7,25.5,25.45,25.47
2022-05-31 09:00:00,GVR,25.45,25.35,25.45,24.95,24.9,25.12
2022-05-31 10:00:00,GVR,25.35,25.25,25.4,25.05,25.0,25.04
2022-05-31 11:00:00,GVR,25.2,25.25,25.45,25.15,25.1,24.99
2022-05-31 13:00:00,GVR,25.35,25.0,25.35,24.95,24.9,25.0
2022-05-31 14:00:00,GVR,24.95,25.2,25.4,25.0,24.95,25.03
2022-06-01 09:00:00,GVR,25.0,25.3,25.4,24.85,24.8,25.02
2022-06-01 10:00:00,GVR,25.35,25.1,25.35,25.0,24.95,24.98
2022-06-01 11:00:00,GVR,25.05,25.0,25.05,24.95,24.9,24.919999999999998
2022-06-01 13:00:00,GVR,25.1,25.0,25.2,24.95,24.9,24.939999999999998
2022-06-01 14:00:00,GVR,25.1,25.15,25.3,25.05,25.0,24.99
2022-06-02 09:00:00,GVR,25.0,25.15,25.3,25.0,24.95,24.93
2022-06-02 10:00:00,GVR,25.1,25.25,25.25,25.05,25.0,25.0
2022-06-02 11:00:00,GVR,25.25,25.85,26.15,25.3,25.25,25.43
2022-06-02 13:00:00,GVR,25.8,25.9,26.1,25.6,25.55,25.54
2022-06-02 14:00:00,GVR,25.9,25.8,25.9,25.5,25.45,25.5
2022-06-03 09:00:00,GVR,25.8,25.5,25.85,25.45,25.4,25.5
2022-06-03 10:00:00,GVR,25.5,25.4,25.8,25.45,25.4,25.34
2022-06-03 11:00:00,GVR,25.4,25.25,25.5,25.25,25.2,25.13
2022-06-03 13:00:00,GVR,25.2,25.35,25.35,25.05,25.0,25.03
2022-06-03 14:00:00,GVR,25.4,25.0,25.75,25.1,25.0,25.06
2022-06-06 09:00:00,GVR,25.0,25.25,25.4,25.1,25.0,24.98
2022-06-06 10:00:00,GVR,25.2,25.5,25.65,25.25,25.2,25.19
2022-06-06 11:00:00,GVR,25.5,25.6,25.7,25.55,25.5,25.47
2022-06-06 13:00:00,GVR,25.6,25.5,25.8,25.5,25.45,25.48
2022-06-06 14:00:00,GVR,25.5,25.15,25.55,25.15,25.1,25.09
2022-06-07 09:00:00,GVR,25.0,25.2,25.2,24.95,24.9,24.96
