date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HAH,78.5,75.7,79.9,74.2,74.0,0.0
2022-05-13 10:00:00,HAH,75.7,75.6,77.0,75.1,75.0,74.0
2022-05-13 11:00:00,HAH,75.6,73.7,75.6,73.8,73.7,74.5
2022-05-13 13:00:00,HAH,74.0,73.6,75.4,73.2,73.1,74.23333333333333
2022-05-13 14:00:00,HAH,73.6,73.1,73.9,73.2,73.1,73.95
2022-05-16 09:00:00,HAH,74.1,74.0,76.5,73.7,73.6,73.78
2022-05-16 10:00:00,HAH,74.1,70.1,74.3,68.6,68.5,73.7
2022-05-16 11:00:00,HAH,70.1,69.6,70.2,69.6,69.5,72.39999999999999
2022-05-16 13:00:00,HAH,69.9,68.0,69.9,68.1,68.0,71.56
2022-05-16 14:00:00,HAH,68.0,68.0,68.5,68.1,68.0,70.44
2022-05-17 09:00:00,HAH,63.6,63.3,65.0,63.4,63.3,69.42
2022-05-17 10:00:00,HAH,63.3,65.0,66.9,63.4,63.3,67.46
2022-05-17 11:00:00,HAH,65.0,65.4,66.0,63.8,63.7,66.42
2022-05-17 13:00:00,HAH,65.4,72.6,72.7,65.3,65.0,67.54
2022-05-17 14:00:00,HAH,72.6,72.6,72.7,72.1,72.0,72.39999999999999
2022-05-18 09:00:00,HAH,74.0,74.8,74.9,72.6,72.5,73.1
2022-05-18 10:00:00,HAH,74.8,74.7,75.0,73.8,73.7,73.2
2022-05-18 11:00:00,HAH,74.8,76.8,76.9,74.9,74.8,73.7
2022-05-18 13:00:00,HAH,76.8,75.7,77.4,74.6,74.5,74.24
2022-05-18 14:00:00,HAH,75.6,76.8,76.8,74.6,74.5,74.32
2022-05-19 09:00:00,HAH,72.0,75.0,75.6,72.2,72.0,73.2
2022-05-19 10:00:00,HAH,74.9,75.0,76.3,74.2,74.0,74.16
2022-05-19 11:00:00,HAH,75.0,74.9,76.0,74.9,74.8,74.0
2022-05-19 13:00:00,HAH,74.9,76.5,78.5,74.7,74.6,74.56
2022-05-19 14:00:00,HAH,76.5,76.1,77.6,75.7,75.6,74.67999999999999
2022-05-20 09:00:00,HAH,75.5,76.0,77.0,74.7,74.6,74.56
2022-05-20 10:00:00,HAH,75.9,75.2,76.5,75.3,75.2,74.58
2022-05-20 11:00:00,HAH,75.3,74.6,76.2,74.4,74.3,74.28
2022-05-20 13:00:00,HAH,74.6,73.9,74.8,72.8,72.6,73.22
2022-05-20 14:00:00,HAH,73.8,73.0,74.8,72.9,72.8,72.97999999999999
2022-05-23 09:00:00,HAH,73.0,72.4,73.7,71.9,71.8,72.72
2022-05-23 10:00:00,HAH,72.5,74.2,75.5,72.6,72.5,72.8
2022-05-23 11:00:00,HAH,74.5,74.1,75.0,74.1,74.0,73.48
2022-05-23 13:00:00,HAH,74.1,72.8,74.2,72.9,72.8,72.67999999999999
2022-05-23 14:00:00,HAH,72.8,72.5,73.2,72.1,72.0,72.5
2022-05-24 09:00:00,HAH,72.3,73.6,74.3,72.2,72.1,72.44
2022-05-24 10:00:00,HAH,73.5,73.1,74.1,72.8,72.7,72.52
2022-05-24 11:00:00,HAH,73.1,73.9,74.1,73.1,73.0,72.7
2022-05-24 13:00:00,HAH,73.9,72.5,74.0,72.1,72.0,72.64
2022-05-24 14:00:00,HAH,72.5,74.5,74.5,72.3,72.2,72.42
2022-05-25 09:00:00,HAH,75.1,76.7,78.7,75.2,75.1,74.82
2022-05-25 10:00:00,HAH,76.7,79.0,79.0,76.8,76.7,74.92
2022-05-25 11:00:00,HAH,78.9,79.7,79.7,79.0,78.9,75.17999999999999
2022-05-25 13:00:00,HAH,79.7,79.7,79.7,79.7,79.7,76.06
2022-05-25 14:00:00,HAH,79.7,79.7,79.7,79.7,79.7,79.7
2022-05-26 09:00:00,HAH,81.8,82.0,83.2,80.4,80.3,77.8
2022-05-26 10:00:00,HAH,82.0,81.9,82.4,81.0,80.9,79.06
2022-05-26 11:00:00,HAH,81.9,81.1,81.9,81.1,81.0,79.9
2022-05-26 13:00:00,HAH,81.0,81.0,81.8,80.4,80.3,80.32000000000001
2022-05-26 14:00:00,HAH,81.0,80.0,81.1,79.8,79.7,79.92
2022-05-27 09:00:00,HAH,80.1,80.6,81.3,80.1,80.0,80.08
2022-05-27 10:00:00,HAH,80.6,82.0,82.4,80.7,80.6,80.5
2022-05-27 11:00:00,HAH,82.0,82.2,82.3,82.0,81.9,80.62
2022-05-27 13:00:00,HAH,82.3,82.9,84.5,82.3,82.2,80.94
2022-05-27 14:00:00,HAH,82.9,82.0,82.9,80.9,80.8,80.94
2022-05-30 09:00:00,HAH,81.8,80.5,81.9,79.9,79.8,80.38
2022-05-30 10:00:00,HAH,80.5,80.7,81.6,79.5,79.4,80.08
2022-05-30 11:00:00,HAH,80.7,82.3,83.8,80.2,80.0,80.58
2022-05-30 13:00:00,HAH,82.3,84.8,86.5,82.5,82.3,81.04
2022-05-30 14:00:00,HAH,84.8,83.2,84.8,83.7,83.2,81.62
2022-05-31 09:00:00,HAH,83.2,84.5,85.5,82.1,82.0,81.76
2022-05-31 10:00:00,HAH,84.5,85.0,85.5,83.7,83.6,82.1
2022-05-31 11:00:00,HAH,84.8,84.7,85.4,84.4,84.3,82.66
2022-05-31 13:00:00,HAH,84.5,83.1,85.0,83.2,83.1,83.06
2022-05-31 14:00:00,HAH,83.1,83.0,83.9,82.1,82.0,82.0
2022-06-01 09:00:00,HAH,83.2,82.0,83.8,81.8,81.7,81.56
2022-06-01 10:00:00,HAH,82.0,84.0,85.6,80.9,80.8,81.7
2022-06-01 11:00:00,HAH,84.1,83.1,84.3,82.7,82.6,82.44
2022-06-01 13:00:00,HAH,83.1,84.0,84.9,82.6,82.5,82.38
2022-06-01 14:00:00,HAH,84.0,88.8,88.8,83.6,83.5,82.94
2022-06-02 09:00:00,HAH,89.9,89.1,90.1,88.8,88.7,83.53999999999999
2022-06-02 10:00:00,HAH,89.0,88.7,89.2,87.9,87.8,84.66
2022-06-02 11:00:00,HAH,88.7,88.7,89.6,88.6,88.5,85.58
2022-06-02 13:00:00,HAH,88.7,88.8,89.5,88.1,88.0,86.56
2022-06-02 14:00:00,HAH,89.0,87.0,89.3,87.2,87.0,87.3
2022-06-03 09:00:00,HAH,86.5,86.2,87.9,85.7,85.6,85.24
2022-06-03 10:00:00,HAH,86.2,85.9,87.2,85.1,85.0,84.74
2022-06-03 11:00:00,HAH,85.9,84.9,86.0,84.8,84.7,84.34
2022-06-03 13:00:00,HAH,84.9,89.5,89.5,84.2,84.1,85.98
2022-06-03 14:00:00,HAH,89.5,90.0,90.5,88.0,87.9,88.0
2022-06-06 09:00:00,HAH,88.6,91.9,92.9,88.4,88.3,88.18
2022-06-06 10:00:00,HAH,91.9,91.0,92.3,90.7,90.6,88.28
2022-06-06 11:00:00,HAH,91.0,91.0,91.1,90.8,90.7,88.8
2022-06-06 13:00:00,HAH,91.0,90.0,91.9,89.7,89.6,89.24
2022-06-06 14:00:00,HAH,90.0,85.0,90.3,86.0,85.0,87.38
2022-06-07 09:00:00,HAH,85.0,86.0,87.2,84.1,84.0,84.64
2022-06-07 10:00:00,HAH,86.0,85.0,86.6,84.8,84.7,84.72
2022-06-07 11:00:00,HAH,85.0,86.3,86.4,84.6,84.5,84.4
2022-06-07 13:00:00,HAH,86.4,87.3,88.5,85.6,85.5,84.76
2022-06-07 14:00:00,HAH,87.3,89.9,89.9,87.4,87.3,88.18
2022-06-08 09:00:00,HAH,89.9,90.5,91.0,89.1,89.0,89.08
2022-06-08 10:00:00,HAH,90.2,89.8,90.6,88.4,88.3,88.74
2022-06-08 11:00:00,HAH,89.2,89.7,90.5,89.5,89.2,88.48
2022-06-08 13:00:00,HAH,89.6,89.8,90.9,89.6,89.5,88.62
2022-06-08 14:00:00,HAH,89.7,87.9,89.8,87.8,87.7,88.0
2022-06-09 09:00:00,HAH,87.5,86.7,87.9,85.8,85.7,85.56
2022-06-09 10:00:00,HAH,86.8,86.6,87.2,86.4,86.3,85.3
2022-06-09 11:00:00,HAH,86.6,86.9,87.5,86.7,86.6,85.62
2022-06-09 13:00:00,HAH,86.9,86.6,87.5,86.4,86.3,85.94
2022-06-09 14:00:00,HAH,86.5,87.7,87.7,86.6,86.5,86.08
2022-06-10 09:00:00,HAH,86.2,86.7,87.3,85.8,85.6,85.96
2022-06-10 10:00:00,HAH,86.7,86.0,86.8,85.8,85.7,85.75999999999999
2022-06-10 11:00:00,HAH,86.0,84.8,86.4,84.6,84.5,84.64
2022-06-10 13:00:00,HAH,84.7,85.2,86.0,84.1,84.0,84.22
2022-06-10 14:00:00,HAH,85.1,81.6,85.5,81.7,81.6,82.52
2022-06-13 09:00:00,HAH,76.0,77.3,78.8,76.1,76.0,75.3
2022-06-13 10:00:00,HAH,77.3,76.7,78.5,76.1,76.0,75.58
2022-06-13 11:00:00,HAH,76.7,76.1,76.9,76.0,75.9,74.98
2022-06-13 13:00:00,HAH,76.0,75.9,76.1,76.0,75.9,75.26
2022-06-13 14:00:00,HAH,75.9,75.9,75.9,75.9,75.9,75.32000000000001
2022-06-14 09:00:00,HAH,72.5,75.0,76.4,73.0,72.5,72.56
2022-06-14 10:00:00,HAH,75.0,76.7,78.4,75.2,75.0,75.02
