date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HBC,19.65,19.1,19.7,18.75,18.7,0.0
2022-05-13 10:00:00,HBC,19.15,19.0,19.35,18.95,18.9,18.7
2022-05-13 11:00:00,HBC,19.0,18.55,19.0,18.55,18.5,18.799999999999997
2022-05-13 13:00:00,HBC,18.55,18.6,19.25,18.4,18.35,18.7
2022-05-13 14:00:00,HBC,18.6,18.35,18.65,18.4,18.35,18.6125
2022-05-16 09:00:00,HBC,19.0,19.0,19.4,19.05,19.0,18.56
2022-05-16 10:00:00,HBC,19.0,18.95,19.25,18.8,18.7,18.69
2022-05-16 11:00:00,HBC,18.9,18.7,18.9,18.75,18.7,18.56
2022-05-16 13:00:00,HBC,18.7,18.4,18.8,18.05,18.0,18.52
2022-05-16 14:00:00,HBC,18.4,18.0,18.75,18.15,18.0,18.38
2022-05-17 09:00:00,HBC,18.05,19.05,19.1,18.1,18.05,18.28
2022-05-17 10:00:00,HBC,19.05,19.25,19.25,19.0,18.95,18.8
2022-05-17 11:00:00,HBC,19.25,19.25,19.25,19.25,19.25,18.849999999999998
2022-05-17 13:00:00,HBC,19.25,19.25,19.25,19.25,19.25,19.25
2022-05-17 14:00:00,HBC,19.25,19.25,19.25,19.25,19.25,19.25
2022-05-18 09:00:00,HBC,20.1,20.5,20.55,19.9,19.8,19.08
2022-05-18 10:00:00,HBC,20.5,20.4,20.55,20.45,20.4,19.25
2022-05-18 11:00:00,HBC,20.4,20.5,20.55,20.4,20.35,19.59
2022-05-18 13:00:00,HBC,20.5,20.35,20.55,20.3,20.25,19.7
2022-05-18 14:00:00,HBC,20.35,20.1,20.4,20.15,20.1,19.9
2022-05-19 09:00:00,HBC,20.0,20.7,20.9,19.65,19.6,20.18
2022-05-19 10:00:00,HBC,20.7,20.65,20.8,20.55,20.5,20.18
2022-05-19 11:00:00,HBC,20.7,20.65,20.75,20.6,20.55,20.32
2022-05-19 13:00:00,HBC,20.7,20.55,20.8,20.55,20.5,20.41
2022-05-19 14:00:00,HBC,20.55,20.85,20.9,20.5,20.45,20.46
2022-05-20 09:00:00,HBC,21.0,20.95,21.25,20.65,20.6,20.48
2022-05-20 10:00:00,HBC,20.95,21.4,21.5,20.95,20.9,20.52
2022-05-20 11:00:00,HBC,21.4,20.9,21.45,20.9,20.85,20.61
2022-05-20 13:00:00,HBC,20.9,20.95,21.15,20.6,20.55,20.52
2022-05-20 14:00:00,HBC,20.95,20.7,20.95,20.7,20.65,20.54
2022-05-23 09:00:00,HBC,20.95,20.8,21.15,20.8,20.75,20.57
2022-05-23 10:00:00,HBC,20.8,20.8,21.0,20.75,20.7,20.6
2022-05-23 11:00:00,HBC,20.8,20.7,20.8,20.65,20.6,20.58
2022-05-23 13:00:00,HBC,20.7,20.4,20.8,20.45,20.4,20.44
2022-05-23 14:00:00,HBC,20.4,19.8,20.6,19.6,19.55,20.03
2022-05-24 09:00:00,HBC,19.9,19.8,20.15,19.6,19.55,19.86
2022-05-24 10:00:00,HBC,19.8,19.75,20.1,19.75,19.7,19.85
2022-05-24 11:00:00,HBC,19.75,20.15,20.5,19.8,19.75,19.75
2022-05-24 13:00:00,HBC,20.15,19.7,20.2,19.35,19.3,19.73
2022-05-24 14:00:00,HBC,19.6,21.15,21.15,19.55,19.5,19.990000000000002
2022-05-25 09:00:00,HBC,21.8,21.95,22.4,21.6,21.5,20.73
2022-05-25 10:00:00,HBC,22.0,21.95,22.15,21.85,21.8,20.92
2022-05-25 11:00:00,HBC,22.0,21.95,22.1,22.0,21.95,21.13
2022-05-25 13:00:00,HBC,21.95,22.0,22.2,21.95,21.9,21.4
2022-05-25 14:00:00,HBC,21.95,21.75,22.1,21.9,21.75,21.61
2022-05-26 09:00:00,HBC,21.65,21.75,22.1,21.65,21.6,21.78
2022-05-26 10:00:00,HBC,21.8,22.0,22.4,21.85,21.8,21.78
2022-05-26 11:00:00,HBC,22.0,21.8,22.0,21.85,21.8,21.8
2022-05-26 13:00:00,HBC,21.85,21.8,21.95,21.6,21.55,21.78
2022-05-26 14:00:00,HBC,21.8,21.6,21.8,21.6,21.55,21.7
2022-05-27 09:00:00,HBC,21.5,21.5,21.8,21.4,21.35,21.650000000000002
2022-05-27 10:00:00,HBC,21.55,21.55,22.0,21.55,21.5,21.560000000000002
2022-05-27 11:00:00,HBC,21.55,21.65,21.85,21.6,21.55,21.51
2022-05-27 13:00:00,HBC,21.7,22.15,22.25,21.6,21.55,21.72
2022-05-27 14:00:00,HBC,22.15,21.8,22.15,21.6,21.55,21.76
2022-05-30 09:00:00,HBC,21.9,22.35,22.6,21.65,21.55,21.71
2022-05-30 10:00:00,HBC,22.35,22.35,22.6,22.3,22.25,21.8
2022-05-30 11:00:00,HBC,22.35,22.35,22.4,22.3,22.25,21.94
2022-05-30 13:00:00,HBC,22.35,22.1,22.4,22.15,22.1,22.03
2022-05-30 14:00:00,HBC,22.15,21.85,22.15,21.9,21.85,21.84
2022-05-31 09:00:00,HBC,21.7,22.3,22.3,21.6,21.55,21.66
2022-05-31 10:00:00,HBC,22.35,22.55,22.85,22.3,22.25,22.01
2022-05-31 11:00:00,HBC,22.55,22.6,22.8,22.6,22.55,22.080000000000002
2022-05-31 13:00:00,HBC,22.55,22.2,22.65,22.25,22.2,22.28
2022-05-31 14:00:00,HBC,22.2,22.15,22.45,22.05,22.0,22.09
2022-06-01 09:00:00,HBC,22.3,22.25,22.45,22.1,22.05,22.16
2022-06-01 10:00:00,HBC,22.2,21.9,22.2,21.85,21.8,21.81
2022-06-01 11:00:00,HBC,21.9,21.8,21.9,21.7,21.65,21.650000000000002
2022-06-01 13:00:00,HBC,21.8,21.95,22.25,21.65,21.6,21.650000000000002
2022-06-01 14:00:00,HBC,22.0,21.95,22.2,21.95,21.9,21.86
2022-06-02 09:00:00,HBC,22.2,22.1,22.3,21.95,21.9,21.97
2022-06-02 10:00:00,HBC,22.15,22.0,22.2,21.95,21.9,21.85
2022-06-02 11:00:00,HBC,22.0,21.95,22.0,21.95,21.9,21.87
2022-06-02 13:00:00,HBC,21.9,22.5,22.5,21.95,21.9,21.79
2022-06-02 14:00:00,HBC,22.5,22.8,22.9,22.45,22.4,22.3
2022-06-03 09:00:00,HBC,22.7,23.15,23.35,22.55,22.5,22.33
2022-06-03 10:00:00,HBC,23.15,23.3,23.8,23.15,23.1,22.38
2022-06-03 11:00:00,HBC,23.3,23.2,23.5,23.1,23.05,22.56
2022-06-03 13:00:00,HBC,23.2,23.2,23.4,23.05,23.0,22.72
2022-06-03 14:00:00,HBC,23.25,23.25,23.35,23.15,23.1,22.81
2022-06-06 09:00:00,HBC,23.25,23.45,23.65,23.05,23.0,22.95
2022-06-06 10:00:00,HBC,23.45,23.45,23.6,23.4,23.35,23.05
2022-06-06 11:00:00,HBC,23.45,23.35,23.45,23.25,23.2,23.1
2022-06-06 13:00:00,HBC,23.35,22.95,23.5,22.7,22.65,23.05
2022-06-06 14:00:00,HBC,22.95,21.65,22.95,21.7,21.65,22.03
2022-06-07 09:00:00,HBC,21.2,21.15,21.65,21.05,21.0,20.89
2022-06-07 10:00:00,HBC,21.15,20.55,21.25,20.55,20.5,20.65
2022-06-07 11:00:00,HBC,20.55,20.95,20.95,20.25,20.2,20.51
2022-06-07 13:00:00,HBC,20.95,20.75,20.95,20.5,20.45,20.6
2022-06-07 14:00:00,HBC,20.75,20.9,20.95,20.4,20.35,20.43
