date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HDC,53.8,53.0,54.5,51.7,51.6,0.0
2022-05-13 10:00:00,HDC,53.2,54.2,54.9,53.0,52.9,51.6
2022-05-13 11:00:00,HDC,54.2,52.9,54.2,52.7,52.5,52.25
2022-05-13 13:00:00,HDC,52.9,52.0,54.3,50.2,50.1,52.333333333333336
2022-05-13 14:00:00,HDC,52.0,50.1,52.4,50.2,50.1,51.775
2022-05-16 09:00:00,HDC,52.0,52.7,53.6,52.0,51.9,51.44
2022-05-16 10:00:00,HDC,52.6,50.7,52.7,50.2,50.1,51.24
2022-05-16 11:00:00,HDC,50.8,51.6,52.2,50.4,50.3,50.76
2022-05-16 13:00:00,HDC,51.6,51.0,52.0,50.0,49.8,50.5
2022-05-16 14:00:00,HDC,51.1,50.2,52.3,50.2,50.1,50.08
2022-05-17 09:00:00,HDC,50.1,51.7,51.8,50.1,50.0,50.08
2022-05-17 10:00:00,HDC,51.7,52.5,52.9,51.8,51.7,50.44
2022-05-17 11:00:00,HDC,52.5,52.6,52.6,52.2,52.0,51.6
2022-05-17 13:00:00,HDC,52.7,53.7,53.7,52.8,52.7,52.18
2022-05-17 14:00:00,HDC,53.7,53.7,53.7,53.7,53.7,52.34
2022-05-18 09:00:00,HDC,55.0,56.9,57.2,55.1,55.0,52.68
2022-05-18 10:00:00,HDC,56.9,56.3,57.1,56.1,56.0,53.14
2022-05-18 11:00:00,HDC,56.4,56.8,56.8,56.2,56.0,54.02
2022-05-18 13:00:00,HDC,56.8,56.2,57.4,56.1,56.0,54.72
2022-05-18 14:00:00,HDC,56.2,55.6,56.3,55.8,55.6,55.18
2022-05-19 09:00:00,HDC,54.4,55.0,56.1,53.6,53.4,53.94
2022-05-19 10:00:00,HDC,55.0,55.3,56.0,54.8,54.5,55.2
2022-05-19 11:00:00,HDC,55.4,55.7,55.8,55.4,55.3,55.42
2022-05-19 13:00:00,HDC,55.7,55.6,56.7,55.5,55.4,55.48
2022-05-19 14:00:00,HDC,55.6,56.1,56.3,55.4,55.3,55.16
2022-05-20 09:00:00,HDC,56.5,58.5,58.5,56.2,56.1,55.66
2022-05-20 10:00:00,HDC,58.4,59.0,59.0,58.1,58.0,55.82
2022-05-20 11:00:00,HDC,59.0,58.6,59.5,58.7,58.6,56.42
2022-05-20 13:00:00,HDC,58.7,58.7,59.1,57.4,57.3,56.94
2022-05-20 14:00:00,HDC,58.6,58.8,59.1,58.5,58.1,57.2
2022-05-23 09:00:00,HDC,60.0,58.9,60.0,58.8,58.6,57.62
2022-05-23 10:00:00,HDC,58.6,59.0,59.8,58.9,58.6,58.12
2022-05-23 11:00:00,HDC,59.0,58.8,59.2,58.8,58.7,58.38
2022-05-23 13:00:00,HDC,58.8,57.6,59.0,57.9,57.6,58.14
2022-05-23 14:00:00,HDC,57.0,54.7,57.8,54.8,54.7,55.66
2022-05-24 09:00:00,HDC,55.0,55.1,55.8,54.5,54.4,54.78
2022-05-24 10:00:00,HDC,55.1,55.4,55.6,54.7,54.5,54.58
2022-05-24 11:00:00,HDC,55.4,55.6,55.9,55.6,55.4,55.22
2022-05-24 13:00:00,HDC,55.7,53.8,55.7,53.1,53.0,53.86
2022-05-24 14:00:00,HDC,53.8,58.0,58.0,53.5,53.4,54.72
2022-05-25 09:00:00,HDC,58.2,58.7,59.9,58.3,58.2,58.4
2022-05-25 10:00:00,HDC,58.7,58.1,59.1,57.9,57.8,57.92
2022-05-25 11:00:00,HDC,58.1,58.9,59.2,58.1,58.0,57.88
2022-05-25 13:00:00,HDC,59.0,60.1,61.5,59.1,59.0,58.54
2022-05-25 14:00:00,HDC,60.2,60.9,61.3,60.2,60.1,58.7
2022-05-26 09:00:00,HDC,61.0,61.7,62.5,60.7,60.6,58.980000000000004
2022-05-26 10:00:00,HDC,61.7,62.4,63.0,61.9,61.7,59.38
2022-05-26 11:00:00,HDC,62.5,63.1,63.5,62.4,62.3,60.0
2022-05-26 13:00:00,HDC,63.1,62.5,63.4,61.8,61.7,60.74
2022-05-26 14:00:00,HDC,62.5,62.3,62.9,62.0,61.9,61.28
2022-05-27 09:00:00,HDC,62.8,62.6,63.0,62.2,62.1,61.64
2022-05-27 10:00:00,HDC,62.5,62.5,63.5,62.5,62.4,61.94
2022-05-27 11:00:00,HDC,62.5,62.8,62.9,62.6,62.5,62.08
2022-05-27 13:00:00,HDC,62.9,62.3,62.9,62.2,62.0,62.12
2022-05-27 14:00:00,HDC,62.4,62.5,63.2,62.4,62.3,62.18
2022-05-30 09:00:00,HDC,63.0,62.5,63.0,61.9,61.8,62.0
2022-05-30 10:00:00,HDC,62.6,62.5,63.5,62.4,62.3,62.32
2022-05-30 11:00:00,HDC,62.5,62.6,62.6,62.4,62.3,62.16
2022-05-30 13:00:00,HDC,62.6,62.9,63.2,62.5,62.4,62.32
2022-05-30 14:00:00,HDC,62.8,62.5,63.0,62.6,62.5,62.26
2022-05-31 09:00:00,HDC,62.0,62.6,62.6,61.6,61.5,62.06
2022-05-31 10:00:00,HDC,62.5,62.2,62.6,61.9,61.8,61.9
2022-05-31 11:00:00,HDC,62.2,62.3,62.5,62.2,62.1,61.839999999999996
2022-05-31 13:00:00,HDC,62.2,61.4,62.3,61.3,61.2,61.58
2022-05-31 14:00:00,HDC,61.4,61.0,61.5,60.6,60.5,61.04
2022-06-01 09:00:00,HDC,61.0,61.5,62.0,61.1,61.0,60.78
2022-06-01 10:00:00,HDC,61.5,60.5,61.5,60.1,60.0,60.68
2022-06-01 11:00:00,HDC,60.4,60.6,60.6,59.4,59.3,59.64
2022-06-01 13:00:00,HDC,60.6,60.3,61.0,60.0,59.9,59.78
2022-06-01 14:00:00,HDC,60.6,61.0,61.3,60.4,60.3,60.3
2022-06-02 09:00:00,HDC,61.0,61.5,61.5,60.9,60.8,60.5
2022-06-02 10:00:00,HDC,61.6,61.2,62.4,61.1,61.0,60.82
2022-06-02 11:00:00,HDC,61.5,61.4,61.7,61.3,61.2,60.9
2022-06-02 13:00:00,HDC,61.4,61.2,61.5,60.8,60.7,60.76
2022-06-02 14:00:00,HDC,61.3,59.5,61.3,60.0,59.5,60.0
2022-06-03 09:00:00,HDC,59.5,59.8,60.1,59.5,59.4,59.08
2022-06-03 10:00:00,HDC,59.8,59.3,60.0,59.3,59.2,58.78
2022-06-03 11:00:00,HDC,59.4,59.0,59.5,59.1,59.0,58.74
2022-06-03 13:00:00,HDC,59.0,59.5,59.7,58.2,58.1,58.4
2022-06-03 14:00:00,HDC,59.5,60.2,60.2,59.4,59.0,59.18
2022-06-06 09:00:00,HDC,60.8,59.5,60.9,59.2,59.1,59.3
2022-06-06 10:00:00,HDC,59.5,59.9,60.3,59.6,59.5,59.18
2022-06-06 11:00:00,HDC,60.0,60.2,60.2,60.0,59.9,59.42
2022-06-06 13:00:00,HDC,60.1,59.9,60.7,59.8,59.6,59.6
2022-06-06 14:00:00,HDC,59.9,57.0,59.9,58.7,57.0,58.26
2022-06-07 09:00:00,HDC,56.0,56.9,58.5,56.1,56.0,55.82
2022-06-07 10:00:00,HDC,56.5,54.8,56.5,54.1,54.0,54.4
2022-06-07 11:00:00,HDC,54.5,55.1,55.4,53.9,53.5,53.94
2022-06-07 13:00:00,HDC,55.1,55.0,55.3,54.6,54.5,54.44
2022-06-07 14:00:00,HDC,55.0,56.2,56.8,55.0,54.9,55.1
2022-06-08 09:00:00,HDC,57.2,57.5,58.0,56.7,56.6,56.02
2022-06-08 10:00:00,HDC,57.7,58.1,58.4,57.6,57.5,57.46
2022-06-08 11:00:00,HDC,58.1,58.5,58.5,58.0,57.8,57.88
2022-06-08 13:00:00,HDC,58.5,60.1,60.1,58.7,58.5,58.92
2022-06-08 14:00:00,HDC,60.1,60.1,60.1,59.5,59.4,59.48
2022-06-09 09:00:00,HDC,60.5,61.8,62.5,60.6,60.5,60.74
2022-06-09 10:00:00,HDC,61.8,61.2,61.9,61.1,61.0,60.92
2022-06-09 11:00:00,HDC,61.3,61.2,61.5,61.2,61.1,60.84
2022-06-09 13:00:00,HDC,61.2,60.5,61.3,60.3,60.2,60.28
