date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HDG,43.55,42.0,43.75,41.05,41.0,0.0
2022-05-13 10:00:00,HDG,42.0,42.0,42.75,41.65,41.6,41.0
2022-05-13 11:00:00,HDG,41.9,40.9,41.9,40.95,40.9,41.3
2022-05-13 13:00:00,HDG,40.9,40.7,41.6,40.75,40.7,41.166666666666664
2022-05-13 14:00:00,HDG,40.7,40.7,40.7,40.7,40.7,41.05
2022-05-16 09:00:00,HDG,41.0,41.5,42.8,41.15,41.0,40.980000000000004
2022-05-16 10:00:00,HDG,41.5,40.5,41.5,40.1,40.0,40.980000000000004
2022-05-16 11:00:00,HDG,40.5,40.1,40.7,40.15,40.1,40.660000000000004
2022-05-16 13:00:00,HDG,40.1,39.2,40.4,38.5,38.45,40.480000000000004
2022-05-16 14:00:00,HDG,39.1,37.9,39.85,38.2,37.9,39.99
2022-05-17 09:00:00,HDG,36.3,38.45,38.5,37.0,36.3,39.43
2022-05-17 10:00:00,HDG,38.45,39.0,39.5,38.45,38.4,38.69
2022-05-17 11:00:00,HDG,39.1,39.5,39.5,39.0,38.9,39.11
2022-05-17 13:00:00,HDG,39.5,40.55,40.55,39.5,39.35,39.77
2022-05-17 14:00:00,HDG,40.55,40.55,40.55,40.55,40.55,40.17
2022-05-18 09:00:00,HDG,41.9,42.9,43.0,41.5,41.1,41.04
2022-05-18 10:00:00,HDG,42.9,43.1,43.35,42.6,42.55,41.12
2022-05-18 11:00:00,HDG,43.1,43.35,43.35,43.15,43.1,41.45
2022-05-18 13:00:00,HDG,43.35,43.35,43.35,43.35,43.35,41.87
2022-05-18 14:00:00,HDG,43.35,43.35,43.35,43.35,43.35,43.35
2022-05-19 09:00:00,HDG,42.55,45.6,46.25,42.1,42.0,42.69
2022-05-19 10:00:00,HDG,45.8,46.15,46.15,45.65,45.55,42.87
2022-05-19 11:00:00,HDG,46.15,45.8,46.15,45.8,45.75,43.47
2022-05-19 13:00:00,HDG,45.8,45.5,46.2,45.3,45.2,44.0
2022-05-19 14:00:00,HDG,45.5,45.95,46.0,45.0,44.5,44.37
2022-05-20 09:00:00,HDG,45.9,46.4,46.8,45.15,45.1,44.6
2022-05-20 10:00:00,HDG,46.4,46.8,47.1,46.15,46.1,45.22
2022-05-20 11:00:00,HDG,47.1,47.05,47.7,47.05,47.0,45.54
2022-05-20 13:00:00,HDG,47.15,46.4,47.3,46.25,46.1,45.9
2022-05-20 14:00:00,HDG,46.4,46.6,46.95,46.15,46.1,45.72
2022-05-23 09:00:00,HDG,46.6,46.35,47.4,46.25,46.2,46.08
2022-05-23 10:00:00,HDG,46.6,46.4,46.9,46.4,46.35,46.050000000000004
2022-05-23 11:00:00,HDG,46.4,46.25,46.7,46.1,46.05,46.1
2022-05-23 13:00:00,HDG,46.25,46.2,46.6,45.15,45.1,45.53
2022-05-23 14:00:00,HDG,46.5,46.0,46.5,45.0,44.95,45.34
2022-05-24 09:00:00,HDG,45.1,44.8,45.8,44.45,44.4,45.19
2022-05-24 10:00:00,HDG,44.75,45.0,45.25,44.35,44.3,45.08
2022-05-24 11:00:00,HDG,45.0,45.0,45.2,45.1,45.0,44.79
2022-05-24 13:00:00,HDG,45.1,44.0,45.1,43.8,43.7,44.68
2022-05-24 14:00:00,HDG,44.0,46.2,46.2,43.7,43.6,44.04
2022-05-25 09:00:00,HDG,46.4,46.0,47.5,46.05,46.0,46.160000000000004
2022-05-25 10:00:00,HDG,46.3,47.0,47.2,46.6,46.3,46.160000000000004
2022-05-25 11:00:00,HDG,47.0,47.6,47.9,47.05,47.0,46.34
2022-05-25 13:00:00,HDG,47.6,48.35,49.0,47.65,47.6,46.52
2022-05-25 14:00:00,HDG,48.35,48.45,48.85,48.4,48.35,46.8
2022-05-26 09:00:00,HDG,48.6,49.1,49.4,48.7,48.6,47.25
2022-05-26 10:00:00,HDG,49.1,49.1,49.1,48.65,48.6,47.71
2022-05-26 11:00:00,HDG,49.1,48.7,49.1,48.75,48.7,48.03
2022-05-26 13:00:00,HDG,48.7,49.5,50.2,48.5,48.45,48.370000000000005
2022-05-26 14:00:00,HDG,49.8,50.5,50.5,49.35,49.3,48.54
2022-05-27 09:00:00,HDG,50.0,50.6,51.2,50.1,50.0,48.730000000000004
2022-05-27 10:00:00,HDG,50.6,50.4,51.0,50.4,50.3,48.99
2022-05-27 11:00:00,HDG,50.5,50.5,50.5,50.4,50.3,49.33
