date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HNG,6.25,6.2,6.41,6.11,6.1,0.0
2022-05-13 10:00:00,HNG,6.2,6.18,6.21,6.14,6.12,6.1
2022-05-13 11:00:00,HNG,6.18,6.05,6.18,6.06,6.05,6.109999999999999
2022-05-13 13:00:00,HNG,6.1,5.98,6.13,5.86,5.85,6.09
2022-05-13 14:00:00,HNG,5.98,5.82,6.02,5.83,5.82,6.029999999999999
2022-05-16 09:00:00,HNG,6.07,6.07,6.12,6.01,6.0,5.9879999999999995
2022-05-16 10:00:00,HNG,6.05,6.05,6.08,6.0,5.99,5.968
2022-05-16 11:00:00,HNG,6.04,6.02,6.05,6.02,6.01,5.942
2022-05-16 13:00:00,HNG,6.02,5.95,6.04,5.95,5.94,5.934
2022-05-16 14:00:00,HNG,5.98,5.85,6.01,5.9,5.85,5.922
2022-05-17 09:00:00,HNG,5.91,6.0,6.0,5.86,5.85,5.922
2022-05-17 10:00:00,HNG,6.01,6.09,6.11,6.01,6.0,5.998
2022-05-17 11:00:00,HNG,6.09,6.05,6.09,6.05,6.04,6.01
2022-05-17 13:00:00,HNG,6.05,6.21,6.22,6.06,6.05,6.042
2022-05-17 14:00:00,HNG,6.21,6.25,6.25,6.2,6.19,6.072
2022-05-18 09:00:00,HNG,6.35,6.45,6.47,6.27,6.26,6.102
2022-05-18 10:00:00,HNG,6.45,6.39,6.45,6.39,6.38,6.144
2022-05-18 11:00:00,HNG,6.39,6.4,6.42,6.37,6.35,6.21
2022-05-18 13:00:00,HNG,6.41,6.37,6.46,6.36,6.35,6.256
2022-05-18 14:00:00,HNG,6.37,6.3,6.4,6.31,6.3,6.306
2022-05-19 09:00:00,HNG,6.05,6.18,6.21,6.07,6.05,6.042
2022-05-19 10:00:00,HNG,6.17,6.21,6.23,6.16,6.15,6.092
2022-05-19 11:00:00,HNG,6.2,6.2,6.24,6.2,6.19,6.122
2022-05-19 13:00:00,HNG,6.2,6.18,6.23,6.18,6.17,6.140000000000001
2022-05-19 14:00:00,HNG,6.17,6.23,6.28,6.17,6.16,6.164000000000001
2022-05-20 09:00:00,HNG,6.12,6.19,6.22,6.11,6.1,6.106
2022-05-20 10:00:00,HNG,6.19,6.23,6.28,6.19,6.18,6.172000000000001
2022-05-20 11:00:00,HNG,6.23,6.18,6.25,6.19,6.18,6.17
2022-05-20 13:00:00,HNG,6.18,6.16,6.22,6.14,6.13,6.146
2022-05-20 14:00:00,HNG,6.17,6.16,6.18,6.15,6.14,6.134
2022-05-23 09:00:00,HNG,6.25,6.22,6.27,6.21,6.2,6.182
2022-05-23 10:00:00,HNG,6.22,6.24,6.28,6.22,6.21,6.184
2022-05-23 11:00:00,HNG,6.24,6.19,6.24,6.2,6.19,6.186
2022-05-23 13:00:00,HNG,6.19,6.17,6.19,6.15,6.14,6.142
2022-05-23 14:00:00,HNG,6.17,6.1,6.17,6.01,6.0,6.064
2022-05-24 09:00:00,HNG,6.2,6.11,6.2,6.09,6.06,6.116
2022-05-24 10:00:00,HNG,6.11,6.05,6.12,6.06,6.05,6.016
2022-05-24 11:00:00,HNG,6.07,6.04,6.1,6.03,6.02,6.018
2022-05-24 13:00:00,HNG,6.04,5.97,6.04,5.91,5.9,5.928
2022-05-24 14:00:00,HNG,5.97,6.1,6.1,5.93,5.92,6.004
2022-05-25 09:00:00,HNG,6.1,6.1,6.17,6.11,6.1,6.08
2022-05-25 10:00:00,HNG,6.12,6.09,6.14,6.06,6.05,6.038
2022-05-25 11:00:00,HNG,6.09,6.13,6.14,6.1,6.09,6.069999999999999
2022-05-25 13:00:00,HNG,6.14,6.25,6.31,6.14,6.13,6.156
2022-05-25 14:00:00,HNG,6.26,6.28,6.29,6.26,6.25,6.194
2022-05-26 09:00:00,HNG,6.32,6.39,6.45,6.23,6.22,6.302
2022-05-26 10:00:00,HNG,6.39,6.37,6.45,6.32,6.31,6.327999999999999
2022-05-26 11:00:00,HNG,6.38,6.39,6.4,6.39,6.38,6.338
2022-05-26 13:00:00,HNG,6.36,6.3,6.4,6.25,6.24,6.286
2022-05-26 14:00:00,HNG,6.3,6.32,6.33,6.28,6.27,6.24
2022-05-27 09:00:00,HNG,6.41,6.41,6.48,6.38,6.37,6.354
2022-05-27 10:00:00,HNG,6.41,6.58,6.68,6.42,6.41,6.342
2022-05-27 11:00:00,HNG,6.58,6.62,6.65,6.58,6.57,6.372
2022-05-27 13:00:00,HNG,6.62,6.63,6.64,6.59,6.58,6.416
2022-05-27 14:00:00,HNG,6.63,6.6,6.63,6.56,6.55,6.462
2022-05-30 09:00:00,HNG,6.68,6.6,6.68,6.56,6.55,6.498
2022-05-30 10:00:00,HNG,6.6,6.59,6.62,6.57,6.56,6.532
2022-05-30 11:00:00,HNG,6.6,6.59,6.6,6.6,6.59,6.562
2022-05-30 13:00:00,HNG,6.59,6.65,6.68,6.6,6.59,6.57
2022-05-30 14:00:00,HNG,6.64,6.6,6.65,6.61,6.6,6.57
2022-05-31 09:00:00,HNG,6.6,6.58,6.61,6.52,6.51,6.57
2022-05-31 10:00:00,HNG,6.57,6.54,6.59,6.51,6.5,6.556
2022-05-31 11:00:00,HNG,6.55,6.56,6.59,6.55,6.54,6.546
2022-05-31 13:00:00,HNG,6.56,6.49,6.61,6.5,6.49,6.532
2022-05-31 14:00:00,HNG,6.49,6.47,6.5,6.41,6.4,6.388
2022-06-01 09:00:00,HNG,6.45,6.4,6.47,6.39,6.38,6.37
2022-06-01 10:00:00,HNG,6.4,6.37,6.4,6.36,6.35,6.354
2022-06-01 11:00:00,HNG,6.36,6.33,6.37,6.32,6.31,6.294
2022-06-01 13:00:00,HNG,6.33,6.34,6.38,6.29,6.28,6.286
2022-06-01 14:00:00,HNG,6.35,6.37,6.4,6.32,6.31,6.319999999999999
2022-06-02 09:00:00,HNG,6.3,6.38,6.41,6.31,6.3,6.286
2022-06-02 10:00:00,HNG,6.37,6.35,6.37,6.33,6.32,6.31
2022-06-02 11:00:00,HNG,6.33,6.3,6.37,6.32,6.3,6.296
2022-06-02 13:00:00,HNG,6.33,6.28,6.33,6.27,6.26,6.268
2022-06-02 14:00:00,HNG,6.28,6.23,6.28,6.21,6.2,6.208
2022-06-03 09:00:00,HNG,6.21,6.17,6.23,6.17,6.16,6.158
2022-06-03 10:00:00,HNG,6.17,6.1,6.19,6.06,6.05,6.052
2022-06-03 11:00:00,HNG,6.1,6.09,6.13,6.06,6.05,6.046
2022-06-03 13:00:00,HNG,6.09,6.08,6.11,6.01,6.0,6.02
2022-06-03 14:00:00,HNG,6.08,6.06,6.18,6.06,6.05,6.05
2022-06-06 09:00:00,HNG,6.07,6.05,6.1,6.05,6.04,6.022
2022-06-06 10:00:00,HNG,6.06,6.09,6.19,6.06,6.05,6.068
2022-06-06 11:00:00,HNG,6.09,6.15,6.17,6.08,6.07,6.068
2022-06-06 13:00:00,HNG,6.15,6.21,6.3,6.16,6.15,6.162
2022-06-06 14:00:00,HNG,6.22,6.1,6.22,6.1,6.09,6.082
2022-06-07 09:00:00,HNG,6.12,6.17,6.17,6.09,6.08,6.1
2022-06-07 10:00:00,HNG,6.18,6.2,6.3,6.14,6.13,6.154
2022-06-07 11:00:00,HNG,6.19,6.15,6.22,6.11,6.1,6.108
2022-06-07 13:00:00,HNG,6.15,6.17,6.2,6.13,6.12,6.122
2022-06-07 14:00:00,HNG,6.18,6.23,6.25,6.12,6.11,6.142
2022-06-08 09:00:00,HNG,6.24,6.37,6.39,6.24,6.23,6.276
2022-06-08 10:00:00,HNG,6.37,6.41,6.47,6.36,6.35,6.351999999999999
2022-06-08 11:00:00,HNG,6.41,6.41,6.46,6.41,6.4,6.366
2022-06-08 13:00:00,HNG,6.41,6.51,6.51,6.42,6.41,6.38
2022-06-08 14:00:00,HNG,6.51,6.51,6.59,6.45,6.4,6.468
2022-06-09 09:00:00,HNG,6.51,6.5,6.53,6.45,6.41,6.44
2022-06-09 10:00:00,HNG,6.51,6.52,6.52,6.47,6.46,6.44
2022-06-09 11:00:00,HNG,6.52,6.55,6.57,6.51,6.5,6.478
2022-06-09 13:00:00,HNG,6.55,6.51,6.57,6.5,6.49,6.47
2022-06-09 14:00:00,HNG,6.51,6.53,6.54,6.51,6.5,6.472
2022-06-10 09:00:00,HNG,6.4,6.5,6.52,6.39,6.38,6.386
2022-06-10 10:00:00,HNG,6.5,6.49,6.51,6.49,6.48,6.452
2022-06-10 11:00:00,HNG,6.49,6.5,6.51,6.5,6.49,6.47
2022-06-10 13:00:00,HNG,6.5,6.45,6.51,6.43,6.42,6.448
2022-06-10 14:00:00,HNG,6.45,6.38,6.45,6.39,6.38,6.376
2022-06-13 09:00:00,HNG,6.1,6.1,6.2,6.07,6.06,6.064
2022-06-13 10:00:00,HNG,6.1,6.05,6.14,6.02,6.0,6.024
2022-06-13 11:00:00,HNG,6.02,6.0,6.05,5.98,5.97,5.972
2022-06-13 13:00:00,HNG,5.99,5.94,6.0,5.95,5.94,5.934
2022-06-13 14:00:00,HNG,5.94,5.94,5.99,5.95,5.94,5.91
2022-06-14 09:00:00,HNG,5.78,5.82,5.95,5.71,5.7,5.88
2022-06-14 10:00:00,HNG,5.81,5.88,5.94,5.82,5.81,5.832
2022-06-14 11:00:00,HNG,5.88,5.86,5.98,5.86,5.85,5.854
2022-06-14 13:00:00,HNG,5.9,5.87,6.02,5.86,5.85,5.854
2022-06-14 14:00:00,HNG,5.87,5.71,5.9,5.75,5.71,5.806
2022-06-15 09:00:00,HNG,5.72,5.71,5.78,5.71,5.7,5.784
2022-06-15 10:00:00,HNG,5.71,5.58,5.71,5.48,5.45,5.754
2022-06-15 11:00:00,HNG,5.57,5.58,5.59,5.47,5.46,5.674
2022-06-15 13:00:00,HNG,5.58,5.39,5.59,5.39,5.38,5.604
2022-06-15 14:00:00,HNG,5.39,5.32,5.5,5.33,5.32,5.54
2022-06-16 09:00:00,HNG,5.48,5.45,5.53,5.44,5.43,5.462
2022-06-16 10:00:00,HNG,5.45,5.4,5.5,5.39,5.3,5.408
2022-06-16 11:00:00,HNG,5.4,5.42,5.48,5.42,5.4,5.378
2022-06-16 13:00:00,HNG,5.44,5.35,5.5,5.38,5.35,5.366
2022-06-16 14:00:00,HNG,5.35,5.38,5.42,5.36,5.35,5.36
2022-06-17 09:00:00,HNG,5.11,5.03,5.2,5.02,5.01,5.344
2022-06-17 10:00:00,HNG,5.08,5.03,5.11,5.02,5.01,5.286
2022-06-17 11:00:00,HNG,5.03,5.1,5.1,5.04,5.03,5.208
2022-06-17 13:00:00,HNG,5.1,5.07,5.1,5.02,5.01,5.144
2022-06-17 14:00:00,HNG,5.07,5.01,5.09,5.02,5.01,5.082
2022-06-20 09:00:00,HNG,5.01,5.04,5.1,5.02,5.01,5.014
2022-06-20 10:00:00,HNG,5.04,4.9,5.06,4.9,4.89,5.01
2022-06-20 11:00:00,HNG,4.92,4.78,4.93,4.79,4.78,4.986
2022-06-20 13:00:00,HNG,4.78,4.7,4.8,4.67,4.66,4.9399999999999995
2022-06-20 14:00:00,HNG,4.7,4.66,4.86,4.67,4.66,4.87
2022-06-21 09:00:00,HNG,4.7,4.98,4.98,4.7,4.66,4.8
2022-06-21 10:00:00,HNG,4.98,4.98,4.98,4.98,4.98,4.99
2022-06-21 11:00:00,HNG,4.98,4.98,4.98,4.98,4.98,4.98
2022-06-21 13:00:00,HNG,4.98,4.98,4.98,4.98,4.98,4.98
2022-06-21 14:00:00,HNG,4.98,4.98,4.98,4.98,4.98,4.98
2022-06-22 09:00:00,HNG,5.26,5.2,5.27,5.18,5.15,5.144
2022-06-22 10:00:00,HNG,5.2,5.22,5.23,5.14,5.12,5.042
2022-06-22 11:00:00,HNG,5.22,5.2,5.22,5.19,5.18,5.064
2022-06-22 13:00:00,HNG,5.2,5.18,5.21,5.16,5.15,5.094
2022-06-22 14:00:00,HNG,5.18,5.13,5.19,5.13,5.12,5.122
2022-06-23 09:00:00,HNG,5.05,5.14,5.18,5.07,5.05,5.014
2022-06-23 10:00:00,HNG,5.14,5.11,5.15,5.11,5.1,5.068
2022-06-23 11:00:00,HNG,5.11,5.09,5.11,5.07,5.06,5.032
2022-06-23 13:00:00,HNG,5.07,5.12,5.14,5.07,5.06,5.05
2022-06-23 14:00:00,HNG,5.12,5.09,5.18,5.1,5.09,5.077999999999999
2022-06-24 09:00:00,HNG,5.1,5.22,5.24,5.11,5.1,5.106
2022-06-24 10:00:00,HNG,5.22,5.15,5.23,5.1,5.09,5.144
2022-06-24 11:00:00,HNG,5.15,5.17,5.19,5.15,5.14,5.134
2022-06-24 13:00:00,HNG,5.17,5.11,5.18,5.1,5.09,5.108
2022-06-24 14:00:00,HNG,5.11,5.09,5.15,5.1,5.09,5.08
2022-06-27 09:00:00,HNG,5.1,5.11,5.19,5.11,5.1,5.077999999999999
2022-06-27 10:00:00,HNG,5.11,5.21,5.29,5.11,5.1,5.12
2022-06-27 11:00:00,HNG,5.2,5.22,5.28,5.2,5.19,5.148
2022-06-27 13:00:00,HNG,5.22,5.33,5.39,5.23,5.22,5.198
2022-06-27 14:00:00,HNG,5.33,5.39,5.39,5.33,5.32,5.328
2022-06-28 09:00:00,HNG,5.4,5.44,5.49,5.33,5.31,5.344
2022-06-28 10:00:00,HNG,5.42,5.46,5.47,5.43,5.42,5.358
2022-06-28 11:00:00,HNG,5.46,5.47,5.48,5.47,5.46,5.38
2022-06-28 13:00:00,HNG,5.48,5.51,5.57,5.48,5.47,5.414
2022-06-28 14:00:00,HNG,5.51,5.42,5.51,5.41,5.4,5.3919999999999995
2022-06-29 09:00:00,HNG,5.37,5.4,5.41,5.32,5.31,5.34
2022-06-29 10:00:00,HNG,5.4,5.39,5.42,5.37,5.36,5.338
2022-06-29 11:00:00,HNG,5.39,5.31,5.39,5.31,5.3,5.332
2022-06-29 13:00:00,HNG,5.31,5.3,5.33,5.27,5.26,5.26
2022-06-29 14:00:00,HNG,5.3,5.3,5.36,5.3,5.29,5.29
2022-06-30 09:00:00,HNG,5.3,5.3,5.34,5.27,5.26,5.278
2022-06-30 10:00:00,HNG,5.3,5.27,5.3,5.26,5.25,5.23
2022-06-30 11:00:00,HNG,5.27,5.26,5.28,5.26,5.25,5.222
2022-06-30 13:00:00,HNG,5.26,5.23,5.32,5.23,5.22,5.22
2022-06-30 14:00:00,HNG,5.23,5.0,5.25,5.16,5.0,5.098
2022-07-01 09:00:00,HNG,5.0,5.05,5.11,4.98,4.93,5.014
2022-07-01 10:00:00,HNG,5.02,5.03,5.14,5.02,5.01,4.998
2022-07-01 11:00:00,HNG,5.03,4.99,5.07,4.98,4.97,4.994
2022-07-01 13:00:00,HNG,4.99,5.15,5.3,4.99,4.98,5.064
2022-07-01 14:00:00,HNG,5.15,5.2,5.3,5.17,5.15,5.132
