date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HPG,38.15,38.3,38.55,38.2,38.15,0.0
2022-05-13 10:00:00,HPG,38.3,38.25,38.4,38.2,38.15,38.15
2022-05-13 11:00:00,HPG,38.25,37.95,38.3,37.9,37.85,38.15
2022-05-13 13:00:00,HPG,37.9,37.25,38.0,36.1,36.05,38.05
2022-05-13 14:00:00,HPG,37.25,35.9,37.25,35.8,35.75,37.55
2022-05-16 09:00:00,HPG,37.05,37.35,37.5,37.05,37.0,37.19
2022-05-16 10:00:00,HPG,37.35,37.35,37.35,37.25,37.2,37.44
2022-05-16 11:00:00,HPG,37.35,37.3,37.35,37.3,37.25,37.25
2022-05-16 13:00:00,HPG,37.3,36.75,37.35,36.6,36.55,36.65
2022-05-16 14:00:00,HPG,36.75,36.3,37.15,36.65,36.3,36.75
2022-05-17 09:00:00,HPG,36.2,36.45,36.55,36.05,36.0,36.56
2022-05-17 10:00:00,HPG,36.45,36.45,36.7,36.35,36.3,36.32
2022-05-17 11:00:00,HPG,36.45,36.45,36.5,36.35,36.3,36.18
2022-05-17 13:00:00,HPG,36.45,38.0,38.0,36.45,36.4,36.81
2022-05-17 14:00:00,HPG,37.95,38.2,38.2,37.9,37.85,37.72
2022-05-18 09:00:00,HPG,38.4,38.25,38.4,37.9,37.85,37.84
2022-05-18 10:00:00,HPG,38.25,38.2,38.3,38.05,38.0,37.97
2022-05-18 11:00:00,HPG,38.2,38.35,38.35,38.15,38.1,38.0
2022-05-18 13:00:00,HPG,38.35,38.15,38.7,38.15,38.1,38.05
2022-05-18 14:00:00,HPG,38.15,38.2,38.3,38.0,37.95,37.99
2022-05-19 09:00:00,HPG,37.3,37.0,37.45,36.9,36.85,36.86
2022-05-19 10:00:00,HPG,37.0,37.35,37.4,37.0,36.95,36.97
2022-05-19 11:00:00,HPG,37.3,37.6,37.8,37.35,37.3,37.050000000000004
2022-05-19 13:00:00,HPG,37.6,37.4,37.6,37.4,37.35,37.12
2022-05-19 14:00:00,HPG,37.4,37.9,38.1,37.4,37.35,37.34
2022-05-20 09:00:00,HPG,37.8,37.5,37.8,37.3,37.25,37.29
2022-05-20 10:00:00,HPG,37.5,37.7,37.8,37.55,37.5,37.29
2022-05-20 11:00:00,HPG,37.65,37.7,37.75,37.65,37.6,37.35
2022-05-20 13:00:00,HPG,37.6,37.7,37.7,37.6,37.55,37.4
2022-05-20 14:00:00,HPG,37.65,37.65,37.7,37.65,37.6,37.45
2022-05-23 09:00:00,HPG,37.95,37.65,38.2,37.65,37.6,37.63
2022-05-23 10:00:00,HPG,37.65,37.6,37.85,37.65,37.6,37.5
2022-05-23 11:00:00,HPG,37.6,37.55,37.65,37.55,37.5,37.52
2022-05-23 13:00:00,HPG,37.55,37.15,37.55,37.15,37.1,37.18
2022-05-23 14:00:00,HPG,37.15,36.75,37.2,36.4,36.3,36.589999999999996
2022-05-24 09:00:00,HPG,36.75,36.55,37.0,36.25,36.2,36.239999999999995
2022-05-24 10:00:00,HPG,36.55,36.0,36.55,35.95,35.9,36.22
2022-05-24 11:00:00,HPG,36.0,35.9,36.15,35.9,35.85,36.14
2022-05-24 13:00:00,HPG,35.95,34.3,35.95,34.25,34.2,35.96
2022-05-24 14:00:00,HPG,34.25,34.9,34.9,34.25,34.2,35.65
2022-05-25 09:00:00,HPG,34.5,33.9,34.9,33.75,33.7,35.230000000000004
2022-05-25 10:00:00,HPG,33.85,33.4,33.95,33.1,33.05,34.77
2022-05-25 11:00:00,HPG,33.4,33.95,34.2,33.35,33.3,34.2
2022-05-25 13:00:00,HPG,34.0,34.6,34.95,34.0,33.95,33.69
2022-05-25 14:00:00,HPG,34.6,34.45,34.75,34.4,34.35,33.870000000000005
2022-05-26 09:00:00,HPG,35.0,35.25,35.6,35.0,34.95,34.510000000000005
2022-05-26 10:00:00,HPG,35.25,35.1,35.3,34.95,34.9,34.71
2022-05-26 11:00:00,HPG,35.05,35.2,35.25,35.1,35.05,34.47
2022-05-26 13:00:00,HPG,35.2,34.95,35.2,34.75,34.7,34.69
2022-05-26 14:00:00,HPG,34.95,35.0,35.1,34.6,34.55,34.79
2022-05-27 09:00:00,HPG,34.95,35.1,35.3,34.85,34.8,34.83
2022-05-27 10:00:00,HPG,35.1,34.95,35.15,35.0,34.95,34.8
2022-05-27 11:00:00,HPG,35.0,35.0,35.1,34.95,34.9,34.88
2022-05-27 13:00:00,HPG,35.05,35.6,35.8,35.05,35.0,34.93
2022-05-27 14:00:00,HPG,35.6,35.45,35.9,35.5,35.45,35.15
2022-05-30 09:00:00,HPG,35.5,35.45,35.85,35.35,35.3,35.07
2022-05-30 10:00:00,HPG,35.45,35.5,35.6,35.45,35.4,35.15
2022-05-30 11:00:00,HPG,35.45,35.55,35.55,35.5,35.45,35.24
2022-05-30 13:00:00,HPG,35.55,35.6,35.7,35.5,35.45,35.32
2022-05-30 14:00:00,HPG,35.55,35.45,35.65,35.5,35.45,35.410000000000004
2022-05-31 09:00:00,HPG,35.35,35.05,35.35,34.95,34.9,34.88
2022-05-31 10:00:00,HPG,35.1,34.85,35.1,34.65,34.6,34.78
