date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HQC,5.4,5.22,5.45,5.18,5.17,0.0
2022-05-13 10:00:00,HQC,5.22,5.21,5.31,5.2,5.19,5.17
2022-05-13 11:00:00,HQC,5.21,5.06,5.21,5.07,5.06,5.18
2022-05-13 13:00:00,HQC,5.08,5.1,5.24,5.05,5.04,5.14
2022-05-13 14:00:00,HQC,5.1,5.04,5.1,5.05,5.04,5.115
2022-05-16 09:00:00,HQC,5.3,5.31,5.39,5.22,5.2,5.1
2022-05-16 10:00:00,HQC,5.31,5.22,5.36,5.2,5.19,5.132
2022-05-16 11:00:00,HQC,5.22,5.25,5.29,5.23,5.22,5.162
2022-05-16 13:00:00,HQC,5.25,5.17,5.25,5.06,5.05,5.14
2022-05-16 14:00:00,HQC,5.17,5.1,5.29,5.15,5.1,5.112
2022-05-17 09:00:00,HQC,5.16,5.16,5.2,5.07,5.05,5.058
2022-05-17 10:00:00,HQC,5.16,5.25,5.29,5.16,5.15,5.122
2022-05-17 11:00:00,HQC,5.24,5.24,5.25,5.22,5.21,5.19
2022-05-17 13:00:00,HQC,5.23,5.44,5.45,5.24,5.23,5.19
2022-05-17 14:00:00,HQC,5.44,5.45,5.45,5.44,5.43,5.202
2022-05-18 09:00:00,HQC,5.6,5.55,5.6,5.46,5.45,5.244
2022-05-18 10:00:00,HQC,5.55,5.43,5.56,5.38,5.37,5.296
2022-05-18 11:00:00,HQC,5.42,5.46,5.48,5.4,5.39,5.336
2022-05-18 13:00:00,HQC,5.46,5.35,5.53,5.33,5.32,5.312
2022-05-18 14:00:00,HQC,5.35,5.29,5.38,5.27,5.26,5.194
2022-05-19 09:00:00,HQC,5.1,5.2,5.29,5.09,5.08,5.078
2022-05-19 10:00:00,HQC,5.2,5.27,5.29,5.2,5.19,5.192
2022-05-19 11:00:00,HQC,5.27,5.28,5.29,5.26,5.25,5.202
