date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HSG,22.5,22.05,23.2,21.85,21.8,0.0
2022-05-13 10:00:00,HSG,22.05,21.6,22.2,21.65,21.6,21.8
2022-05-13 11:00:00,HSG,21.65,21.25,21.65,21.3,21.25,21.700000000000003
2022-05-13 13:00:00,HSG,21.25,21.25,21.35,21.3,21.25,21.55
2022-05-13 14:00:00,HSG,21.25,21.25,21.25,21.25,21.25,21.475
2022-05-16 09:00:00,HSG,21.0,21.85,22.15,21.2,21.0,21.43
2022-05-16 10:00:00,HSG,21.85,21.65,21.95,21.55,21.5,21.27
2022-05-16 11:00:00,HSG,21.65,21.7,21.75,21.5,21.45,21.37
2022-05-16 13:00:00,HSG,21.7,21.0,21.7,20.7,20.65,21.34
2022-05-16 14:00:00,HSG,21.0,19.8,21.2,20.1,19.8,21.169999999999998
2022-05-17 09:00:00,HSG,19.0,19.5,19.9,18.75,18.65,20.84
2022-05-17 10:00:00,HSG,19.55,19.75,19.95,19.45,19.4,20.32
2022-05-17 11:00:00,HSG,19.75,20.25,20.3,19.65,19.6,20.07
2022-05-17 13:00:00,HSG,20.25,21.1,21.15,20.3,20.25,20.51
2022-05-17 14:00:00,HSG,21.15,21.15,21.15,21.15,21.1,21.169999999999998
2022-05-18 09:00:00,HSG,21.5,22.1,22.1,21.4,21.35,21.36
2022-05-18 10:00:00,HSG,22.1,21.6,22.1,21.55,21.5,21.43
2022-05-18 11:00:00,HSG,21.6,21.85,21.85,21.65,21.6,21.48
2022-05-18 13:00:00,HSG,21.85,21.4,21.9,21.4,21.35,21.46
2022-05-18 14:00:00,HSG,21.4,21.4,21.6,21.4,21.35,21.31
2022-05-19 09:00:00,HSG,20.9,21.0,21.15,20.7,20.65,20.9
2022-05-19 10:00:00,HSG,21.05,21.15,21.35,21.05,21.0,21.12
2022-05-19 11:00:00,HSG,21.15,21.2,21.4,21.2,21.15,21.19
2022-05-19 13:00:00,HSG,21.2,21.1,21.4,21.0,20.95,21.15
2022-05-19 14:00:00,HSG,21.05,20.95,21.35,20.95,20.9,20.97
2022-05-20 09:00:00,HSG,20.95,21.35,21.5,20.55,20.5,20.93
