date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,HUT,19.5,21.1,22.2,20.5,19.5,0.0
2022-05-13 10:00:00,HUT,21.1,21.6,21.9,21.2,21.1,19.5
2022-05-13 11:00:00,HUT,21.4,21.4,21.8,21.4,21.3,20.3
2022-05-13 13:00:00,HUT,21.4,20.9,21.7,19.9,19.8,20.633333333333333
2022-05-13 14:00:00,HUT,20.9,21.3,21.3,19.6,19.5,20.425
2022-05-16 09:00:00,HUT,19.2,21.9,22.9,21.3,19.2,20.240000000000002
2022-05-16 10:00:00,HUT,21.9,21.7,22.0,21.7,21.6,20.240000000000002
2022-05-16 11:00:00,HUT,21.7,21.6,21.7,21.7,21.6,20.66
2022-05-16 13:00:00,HUT,21.6,21.4,21.7,21.2,21.1,21.080000000000002
2022-05-16 14:00:00,HUT,21.4,21.3,21.8,21.3,21.2,21.34
2022-05-17 09:00:00,HUT,21.3,22.4,22.4,20.9,20.8,21.26
2022-05-17 10:00:00,HUT,22.3,21.9,22.3,21.4,21.3,21.36
2022-05-17 11:00:00,HUT,21.9,22.2,22.3,21.9,21.8,21.32
2022-05-17 13:00:00,HUT,22.3,23.4,23.4,22.3,22.2,21.42
2022-05-17 14:00:00,HUT,23.4,23.4,23.4,23.4,23.4,21.7
2022-05-18 09:00:00,HUT,24.3,24.1,24.5,23.2,23.1,22.06
2022-05-18 10:00:00,HUT,24.1,23.5,24.1,23.5,23.4,22.36
2022-05-18 11:00:00,HUT,23.5,24.0,24.0,23.6,23.5,22.78
2022-05-18 13:00:00,HUT,24.0,23.4,24.2,23.5,23.4,23.12
2022-05-18 14:00:00,HUT,23.4,23.8,23.9,23.4,23.3,23.36
2022-05-19 09:00:00,HUT,23.3,23.3,23.5,22.0,21.8,23.14
2022-05-19 10:00:00,HUT,23.3,23.7,23.9,23.3,23.2,23.4
2022-05-19 11:00:00,HUT,23.7,23.5,23.9,23.4,23.3,23.36
2022-05-19 13:00:00,HUT,23.5,23.2,23.7,23.3,23.2,23.32
2022-05-19 14:00:00,HUT,23.2,23.6,23.6,23.2,23.1,23.28
2022-05-20 09:00:00,HUT,23.6,23.5,23.8,23.3,23.2,23.22
2022-05-20 10:00:00,HUT,23.5,25.9,25.9,23.5,23.4,23.3
2022-05-20 11:00:00,HUT,25.9,25.9,25.9,25.9,25.9,23.36
2022-05-20 13:00:00,HUT,25.9,25.9,25.9,25.9,25.9,25.9
2022-05-20 14:00:00,HUT,25.9,25.9,25.9,25.9,25.9,25.9
2022-05-23 09:00:00,HUT,27.0,27.8,28.4,27.2,27.0,24.84
2022-05-23 10:00:00,HUT,27.8,28.0,28.2,27.9,27.8,25.619999999999997
2022-05-23 11:00:00,HUT,27.9,28.0,28.0,27.7,27.6,26.5
2022-05-23 13:00:00,HUT,28.0,27.5,28.0,27.6,27.5,26.84
2022-05-23 14:00:00,HUT,27.5,27.1,27.6,26.1,26.0,27.16
2022-05-24 09:00:00,HUT,27.1,26.7,27.6,26.2,26.0,26.8
2022-05-24 10:00:00,HUT,26.6,26.8,27.2,26.5,26.4,26.16
2022-05-24 11:00:00,HUT,26.8,27.2,27.5,26.9,26.8,26.58
2022-05-24 13:00:00,HUT,27.2,26.2,27.2,26.2,26.1,26.22
2022-05-24 14:00:00,HUT,26.2,27.5,27.5,25.7,25.5,26.26
2022-05-25 09:00:00,HUT,28.0,28.2,28.8,27.7,27.6,27.34
2022-05-25 10:00:00,HUT,28.3,28.1,28.5,28.0,27.9,27.5
2022-05-25 11:00:00,HUT,28.1,28.7,28.9,28.2,28.1,27.68
2022-05-25 13:00:00,HUT,28.8,29.1,29.8,28.8,28.7,27.8
2022-05-25 14:00:00,HUT,29.1,29.2,29.3,29.1,29.0,28.02
2022-05-26 09:00:00,HUT,29.4,28.9,29.4,28.7,28.6,28.26
2022-05-26 10:00:00,HUT,28.9,28.9,29.2,28.7,28.6,28.46
2022-05-26 11:00:00,HUT,28.9,28.9,29.0,28.9,28.8,28.6
2022-05-26 13:00:00,HUT,28.9,28.9,29.0,28.1,28.0,28.560000000000002
2022-05-26 14:00:00,HUT,28.5,28.2,28.8,28.3,28.2,28.04
2022-05-27 09:00:00,HUT,28.2,28.8,29.3,28.1,28.0,28.1
2022-05-27 10:00:00,HUT,28.8,28.3,28.8,28.4,28.3,28.3
2022-05-27 11:00:00,HUT,28.3,28.3,28.4,28.1,28.0,27.92
2022-05-27 13:00:00,HUT,28.2,28.7,28.9,28.3,28.2,28.12
2022-05-27 14:00:00,HUT,28.6,28.5,28.8,28.3,28.2,28.16
2022-05-30 09:00:00,HUT,28.5,29.3,29.5,28.3,28.2,28.3
2022-05-30 10:00:00,HUT,29.3,29.2,29.4,28.7,28.6,28.740000000000002
