date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,IDC,49.5,48.2,49.5,47.7,47.6,0.0
2022-05-13 10:00:00,IDC,48.3,48.1,48.7,48.1,48.0,47.6
2022-05-13 11:00:00,IDC,48.1,47.8,48.1,47.7,47.6,47.8
2022-05-13 13:00:00,IDC,47.7,45.0,47.9,44.5,44.4,47.733333333333334
2022-05-13 14:00:00,IDC,45.0,44.4,45.0,44.5,44.4,46.9
2022-05-16 09:00:00,IDC,43.5,46.0,47.2,44.0,43.5,46.4
2022-05-16 10:00:00,IDC,46.0,45.6,46.0,45.1,45.0,45.58
2022-05-16 11:00:00,IDC,45.5,45.0,45.5,45.1,45.0,44.98
2022-05-16 13:00:00,IDC,45.0,43.4,45.0,42.2,42.1,44.46
2022-05-16 14:00:00,IDC,43.5,44.4,45.0,42.5,42.2,44.0
2022-05-17 09:00:00,IDC,44.4,45.5,45.5,43.8,43.6,44.02
2022-05-17 10:00:00,IDC,45.5,44.9,46.3,44.7,44.6,44.3
2022-05-17 11:00:00,IDC,44.9,44.7,44.9,44.6,44.5,44.52
2022-05-17 13:00:00,IDC,44.6,47.5,47.6,44.7,44.6,44.34
2022-05-17 14:00:00,IDC,47.5,48.3,48.3,47.5,47.4,46.44
2022-05-18 09:00:00,IDC,49.0,49.5,49.8,48.4,48.3,47.0
2022-05-18 10:00:00,IDC,49.4,48.8,49.5,48.9,48.8,47.78
2022-05-18 11:00:00,IDC,48.8,49.8,49.9,48.7,48.6,48.019999999999996
2022-05-18 13:00:00,IDC,49.8,49.8,50.3,49.5,49.4,48.26
2022-05-18 14:00:00,IDC,49.8,49.4,50.0,49.1,49.0,48.54
2022-05-19 09:00:00,IDC,48.0,48.8,49.0,47.0,46.8,47.78
2022-05-19 10:00:00,IDC,48.8,49.4,49.6,48.8,48.7,48.82
2022-05-19 11:00:00,IDC,49.4,49.5,49.9,49.1,49.0,48.8
2022-05-19 13:00:00,IDC,49.5,49.5,49.9,49.2,49.0,48.98
2022-05-19 14:00:00,IDC,49.5,50.0,50.6,49.5,49.4,49.0
2022-05-20 09:00:00,IDC,50.0,52.8,53.0,50.0,49.9,49.16
2022-05-20 10:00:00,IDC,52.8,53.1,53.7,52.1,52.0,49.339999999999996
2022-05-20 11:00:00,IDC,53.1,52.5,53.4,52.4,52.3,49.94
2022-05-20 13:00:00,IDC,52.5,51.8,52.8,51.5,51.3,50.6
2022-05-20 14:00:00,IDC,51.9,51.3,52.2,51.1,51.0,50.98
2022-05-23 09:00:00,IDC,51.3,51.0,52.4,51.0,50.9,51.3
2022-05-23 10:00:00,IDC,51.0,50.8,51.9,50.8,50.7,50.4
2022-05-23 11:00:00,IDC,50.8,50.4,51.0,50.3,50.2,50.28
2022-05-23 13:00:00,IDC,50.4,49.7,50.7,49.7,49.6,49.4
2022-05-23 14:00:00,IDC,49.7,49.0,50.0,48.8,48.7,48.82
2022-05-24 09:00:00,IDC,49.0,49.3,50.0,48.1,48.0,48.660000000000004
2022-05-24 10:00:00,IDC,49.3,49.5,49.9,49.1,49.0,48.86
2022-05-24 11:00:00,IDC,49.5,50.0,50.4,49.6,49.5,49.16
2022-05-24 13:00:00,IDC,50.0,49.0,50.0,48.5,48.4,48.9
2022-05-24 14:00:00,IDC,49.0,51.5,51.5,48.3,48.2,49.04
2022-05-25 09:00:00,IDC,51.6,51.7,52.4,51.7,51.6,51.24
2022-05-25 10:00:00,IDC,51.7,51.4,51.9,51.1,51.0,51.1
2022-05-25 11:00:00,IDC,51.5,52.4,52.5,51.3,51.2,51.16
2022-05-25 13:00:00,IDC,52.4,52.9,54.0,52.5,52.4,51.68
2022-05-25 14:00:00,IDC,53.0,53.0,53.6,53.0,52.9,51.839999999999996
2022-05-26 09:00:00,IDC,53.0,53.2,53.7,53.1,53.0,52.18
2022-05-26 10:00:00,IDC,53.2,53.1,53.4,52.7,52.6,52.519999999999996
2022-05-26 11:00:00,IDC,53.1,53.0,53.1,53.0,52.9,52.56
2022-05-26 13:00:00,IDC,53.0,52.6,53.0,52.0,51.9,52.22
2022-05-26 14:00:00,IDC,52.4,52.1,52.9,51.6,51.5,51.66
2022-05-27 09:00:00,IDC,52.4,52.3,53.0,52.1,52.0,51.8
2022-05-27 10:00:00,IDC,52.3,52.1,52.7,52.2,52.1,51.66
2022-05-27 11:00:00,IDC,52.1,52.2,52.3,52.1,52.0,51.7
2022-05-27 13:00:00,IDC,52.2,52.2,52.6,52.1,52.0,51.78
2022-05-27 14:00:00,IDC,52.4,51.8,52.5,51.8,51.5,51.78
2022-05-30 09:00:00,IDC,51.8,52.2,52.2,51.6,51.5,51.660000000000004
2022-05-30 10:00:00,IDC,52.3,53.0,53.7,52.4,52.3,52.44
2022-05-30 11:00:00,IDC,53.0,53.0,53.1,53.0,52.9,52.74
2022-05-30 13:00:00,IDC,52.8,53.1,53.1,52.9,52.8,52.86
2022-05-30 14:00:00,IDC,53.0,53.0,53.2,53.0,52.9,52.82
2022-05-31 09:00:00,IDC,53.0,54.3,54.3,52.8,52.7,52.58
2022-05-31 10:00:00,IDC,54.3,53.7,54.3,53.6,53.5,52.82
2022-05-31 11:00:00,IDC,53.7,53.9,54.0,53.8,53.7,52.94
2022-05-31 13:00:00,IDC,53.9,53.6,54.3,53.6,53.5,53.160000000000004
2022-05-31 14:00:00,IDC,53.6,54.4,54.4,53.2,53.1,53.28
2022-06-01 09:00:00,IDC,54.4,54.6,55.1,54.0,53.8,53.300000000000004
2022-06-01 10:00:00,IDC,54.7,54.2,55.0,54.2,54.1,53.52
2022-06-01 11:00:00,IDC,54.2,54.0,54.2,53.9,53.8,53.58
2022-06-01 13:00:00,IDC,53.9,54.1,54.4,53.6,53.5,53.52
2022-06-01 14:00:00,IDC,54.2,54.2,54.4,54.1,54.0,53.72
2022-06-02 09:00:00,IDC,54.2,54.0,54.3,53.3,53.2,53.48
2022-06-02 10:00:00,IDC,54.0,54.2,54.4,53.9,53.8,53.7
2022-06-02 11:00:00,IDC,54.2,54.7,55.6,54.2,54.1,53.839999999999996
2022-06-02 13:00:00,IDC,54.7,54.7,55.0,54.2,54.1,53.96
2022-06-02 14:00:00,IDC,54.6,53.5,54.6,53.9,53.5,53.78
2022-06-03 09:00:00,IDC,53.5,53.6,53.8,52.8,52.7,52.82
2022-06-03 10:00:00,IDC,53.5,53.1,53.6,53.2,53.1,52.82
2022-06-03 11:00:00,IDC,53.1,52.7,53.2,52.7,52.6,52.72
2022-06-03 13:00:00,IDC,52.7,53.0,53.2,52.6,52.5,52.76
2022-06-03 14:00:00,IDC,53.0,52.7,53.6,52.8,52.7,52.66
2022-06-06 09:00:00,IDC,52.5,53.6,53.8,52.6,52.5,52.44
2022-06-06 10:00:00,IDC,53.6,53.4,53.8,53.3,53.2,53.2
2022-06-06 11:00:00,IDC,53.3,53.3,53.4,53.1,53.0,52.9
2022-06-06 13:00:00,IDC,53.3,52.8,53.5,52.8,52.7,52.74
2022-06-06 14:00:00,IDC,52.8,50.1,53.0,51.5,50.1,51.24
2022-06-07 09:00:00,IDC,49.9,50.3,50.6,49.7,49.5,49.62
2022-06-07 10:00:00,IDC,50.2,49.9,50.3,49.8,49.7,49.48
2022-06-07 11:00:00,IDC,49.9,50.0,50.0,49.2,49.1,49.18
2022-06-07 13:00:00,IDC,50.0,50.4,50.4,49.6,49.5,49.5
2022-06-07 14:00:00,IDC,50.4,51.0,51.5,49.9,49.8,49.9
2022-06-08 09:00:00,IDC,51.3,52.7,52.9,51.2,51.1,51.56
2022-06-08 10:00:00,IDC,52.7,52.0,52.7,51.8,51.7,51.68
2022-06-08 11:00:00,IDC,52.5,53.8,54.5,52.5,52.1,52.38
2022-06-08 13:00:00,IDC,53.8,53.4,54.0,53.1,53.0,53.1
2022-06-08 14:00:00,IDC,53.5,53.1,53.9,53.0,52.9,53.0
2022-06-09 09:00:00,IDC,53.2,53.9,54.0,53.1,53.0,52.940000000000005
2022-06-09 10:00:00,IDC,53.9,55.4,55.5,53.9,53.8,53.98
2022-06-09 11:00:00,IDC,55.4,55.1,55.4,55.1,55.0,53.98
2022-06-09 13:00:00,IDC,55.1,56.0,56.0,54.6,54.5,54.16
2022-06-09 14:00:00,IDC,56.0,56.4,56.8,56.0,55.9,54.3
2022-06-10 09:00:00,IDC,56.0,57.4,57.8,55.2,55.1,54.66
2022-06-10 10:00:00,IDC,57.0,56.4,57.4,56.3,56.2,54.92
2022-06-10 11:00:00,IDC,56.4,56.0,56.6,55.9,55.8,55.34
2022-06-10 13:00:00,IDC,55.8,56.0,56.5,55.8,55.6,55.48
2022-06-10 14:00:00,IDC,56.0,54.5,56.2,55.0,54.5,55.0
2022-06-13 09:00:00,IDC,52.8,52.1,52.8,51.5,51.0,51.58
2022-06-13 10:00:00,IDC,52.1,52.7,54.2,52.2,52.1,52.38
2022-06-13 11:00:00,IDC,52.7,51.8,52.7,51.6,51.5,51.4
2022-06-13 13:00:00,IDC,51.8,51.1,52.6,50.3,50.2,51.04
2022-06-13 14:00:00,IDC,51.0,50.9,52.0,51.0,50.9,50.76
2022-06-14 09:00:00,IDC,50.0,50.7,51.6,49.7,49.5,49.68
2022-06-14 10:00:00,IDC,50.9,51.5,51.8,50.9,50.8,50.9
2022-06-14 11:00:00,IDC,51.1,51.6,52.1,51.5,51.1,51.04
2022-06-14 13:00:00,IDC,52.0,51.4,52.1,51.3,51.2,51.32
2022-06-14 14:00:00,IDC,51.4,52.0,52.0,50.7,50.6,51.02
2022-06-15 09:00:00,IDC,52.0,51.8,52.7,51.7,51.6,51.58
2022-06-15 10:00:00,IDC,51.8,50.8,51.9,50.2,50.0,50.76
2022-06-15 11:00:00,IDC,50.8,51.0,51.2,50.1,50.0,50.2
2022-06-15 13:00:00,IDC,51.0,50.1,51.1,50.0,49.9,49.86
2022-06-15 14:00:00,IDC,50.1,50.0,51.0,49.7,49.6,49.54
2022-06-16 09:00:00,IDC,51.0,51.7,52.1,51.2,51.0,50.88
2022-06-16 10:00:00,IDC,51.7,51.8,52.0,51.7,51.6,51.28
2022-06-16 11:00:00,IDC,51.8,51.9,51.9,51.7,51.6,51.58
2022-06-16 13:00:00,IDC,52.0,52.0,52.2,51.7,51.6,51.660000000000004
2022-06-16 14:00:00,IDC,51.9,51.9,52.1,51.6,51.5,51.58
2022-06-17 09:00:00,IDC,51.4,50.7,51.4,50.1,50.0,50.160000000000004
2022-06-17 10:00:00,IDC,50.6,50.0,50.6,49.3,49.2,49.58
2022-06-17 11:00:00,IDC,50.0,50.2,50.5,50.1,50.0,49.56
2022-06-17 13:00:00,IDC,50.2,50.4,50.9,49.9,49.8,49.76
2022-06-17 14:00:00,IDC,50.3,50.0,51.4,50.2,50.0,49.82
2022-06-20 09:00:00,IDC,50.0,50.1,50.9,49.6,49.5,49.56
2022-06-20 10:00:00,IDC,50.1,49.6,50.3,49.8,49.6,49.64
2022-06-20 11:00:00,IDC,49.7,49.5,50.0,49.5,49.4,49.08
2022-06-20 13:00:00,IDC,49.5,47.8,49.7,47.0,46.9,47.76
2022-06-20 14:00:00,IDC,47.8,46.5,48.5,47.0,46.5,47.339999999999996
2022-06-21 09:00:00,IDC,45.5,47.0,47.5,45.2,45.1,44.54
2022-06-21 10:00:00,IDC,46.5,46.5,47.2,46.5,46.4,46.32
2022-06-21 11:00:00,IDC,46.5,46.9,46.9,46.6,46.5,46.08
2022-06-21 13:00:00,IDC,46.9,46.4,47.3,45.8,45.7,45.9
2022-06-21 14:00:00,IDC,46.3,46.7,46.7,45.1,45.0,45.74
2022-06-22 09:00:00,IDC,46.9,46.9,47.5,46.9,46.8,46.54
2022-06-22 10:00:00,IDC,46.9,48.0,48.3,46.7,46.6,47.019999999999996
2022-06-22 11:00:00,IDC,48.0,47.4,48.1,47.5,47.4,47.26
2022-06-22 13:00:00,IDC,47.4,48.0,48.1,47.3,47.2,47.4
2022-06-22 14:00:00,IDC,48.0,48.0,48.2,47.5,47.4,47.52
2022-06-23 09:00:00,IDC,48.0,48.6,48.7,47.7,47.6,47.44
2022-06-23 10:00:00,IDC,48.6,48.5,49.0,48.6,48.5,48.28
2022-06-23 11:00:00,IDC,48.5,48.5,48.7,48.5,48.4,48.1
2022-06-23 13:00:00,IDC,48.5,49.7,49.7,48.5,48.4,48.52
2022-06-23 14:00:00,IDC,49.8,51.7,52.0,49.9,49.8,50.0
2022-06-24 09:00:00,IDC,51.7,51.8,52.3,51.6,51.5,51.56
2022-06-24 10:00:00,IDC,51.8,51.8,52.0,51.6,51.5,51.56
2022-06-24 11:00:00,IDC,51.8,51.9,52.0,51.7,51.6,51.56
2022-06-24 13:00:00,IDC,51.9,52.5,53.3,52.0,51.9,51.98
2022-06-24 14:00:00,IDC,52.5,51.0,53.0,51.7,51.0,51.2
2022-06-24 15:00:00,IDC,51.0,51.0,51.0,51.0,51.0,50.52
2022-06-27 09:00:00,IDC,49.0,48.1,49.3,48.1,48.0,48.26
2022-06-27 10:00:00,IDC,48.0,48.8,49.3,48.1,48.0,47.86
2022-06-27 11:00:00,IDC,48.8,49.0,49.0,48.9,48.8,48.54
2022-06-27 13:00:00,IDC,49.0,48.9,49.6,49.0,48.9,48.86
2022-06-27 14:00:00,IDC,48.9,48.9,49.3,48.9,48.8,48.74
2022-06-28 09:00:00,IDC,49.0,49.0,49.3,48.8,48.7,48.8
2022-06-28 10:00:00,IDC,49.0,49.2,49.2,48.9,48.8,48.78
2022-06-28 11:00:00,IDC,49.2,49.5,49.6,49.3,49.2,48.9
2022-06-28 13:00:00,IDC,49.5,50.6,51.5,49.6,49.5,49.64
