date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,IJC,16.5,16.7,17.3,16.55,16.5,0.0
2022-05-13 10:00:00,IJC,16.7,16.95,17.1,16.75,16.7,16.5
2022-05-13 11:00:00,IJC,16.9,16.35,16.95,16.45,16.35,16.6
2022-05-13 13:00:00,IJC,16.35,16.15,16.55,16.2,16.15,16.516666666666666
2022-05-13 14:00:00,IJC,16.15,16.15,16.2,16.2,16.15,16.425
2022-05-16 09:00:00,IJC,16.25,16.5,16.85,16.3,16.25,16.37
2022-05-16 10:00:00,IJC,16.5,16.25,16.55,16.3,16.25,16.28
2022-05-16 11:00:00,IJC,16.25,16.25,16.35,16.25,16.2,16.23
2022-05-16 13:00:00,IJC,16.25,16.1,16.35,15.9,15.85,16.2
2022-05-16 14:00:00,IJC,16.1,16.0,16.2,16.05,16.0,16.119999999999997
2022-05-17 09:00:00,IJC,16.15,16.05,16.2,15.65,15.6,16.07
2022-05-17 10:00:00,IJC,16.05,16.15,16.3,16.1,16.05,16.07
2022-05-17 11:00:00,IJC,16.15,16.25,16.25,16.05,16.0,16.05
2022-05-17 13:00:00,IJC,16.25,17.1,17.1,16.3,16.25,16.41
2022-05-17 14:00:00,IJC,17.1,17.1,17.1,17.1,17.05,16.41
2022-05-18 09:00:00,IJC,17.3,17.8,17.8,17.3,17.25,16.57
2022-05-18 10:00:00,IJC,17.8,17.55,17.8,17.55,17.5,16.77
2022-05-18 11:00:00,IJC,17.6,17.65,17.75,17.6,17.55,17.0
2022-05-18 13:00:00,IJC,17.75,17.55,17.8,17.45,17.4,17.21
2022-05-18 14:00:00,IJC,17.5,17.5,17.6,17.4,17.35,17.35
2022-05-19 09:00:00,IJC,16.95,17.1,17.2,16.85,16.8,16.57
2022-05-19 10:00:00,IJC,17.05,17.2,17.2,17.0,16.95,16.88
2022-05-19 11:00:00,IJC,17.2,17.3,17.5,17.25,17.2,17.080000000000002
2022-05-19 13:00:00,IJC,17.3,17.15,17.35,17.2,17.15,17.07
2022-05-19 14:00:00,IJC,17.15,17.35,17.5,17.15,17.1,17.14
