date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,ITA,10.85,10.65,10.95,10.5,10.45,0.0
2022-05-13 10:00:00,ITA,10.65,10.7,10.85,10.6,10.55,10.45
2022-05-13 11:00:00,ITA,10.7,10.45,10.7,10.5,10.45,10.5
2022-05-13 13:00:00,ITA,10.45,10.2,10.6,10.2,10.15,10.483333333333333
2022-05-13 14:00:00,ITA,10.2,10.15,10.3,10.2,10.15,10.4
2022-05-16 09:00:00,ITA,10.6,10.75,10.85,10.6,10.55,10.35
2022-05-16 10:00:00,ITA,10.75,10.55,10.75,10.4,10.35,10.43
2022-05-16 11:00:00,ITA,10.55,10.45,10.55,10.5,10.45,10.41
2022-05-16 13:00:00,ITA,10.45,10.45,10.6,10.2,10.15,10.31
2022-05-16 14:00:00,ITA,10.45,10.35,10.5,10.4,10.35,10.27
2022-05-17 09:00:00,ITA,10.35,10.65,10.7,10.4,10.35,10.41
2022-05-17 10:00:00,ITA,10.65,10.8,10.85,10.7,10.65,10.47
2022-05-17 11:00:00,ITA,10.75,10.8,10.85,10.75,10.7,10.51
2022-05-17 13:00:00,ITA,10.8,11.05,11.05,10.85,10.8,10.58
2022-05-17 14:00:00,ITA,11.05,11.05,11.05,11.05,11.05,10.63
2022-05-18 09:00:00,ITA,11.3,11.55,11.6,11.25,11.2,10.73
2022-05-18 10:00:00,ITA,11.55,11.4,11.55,11.35,11.3,10.88
2022-05-18 11:00:00,ITA,11.4,11.4,11.45,11.4,11.35,11.01
2022-05-18 13:00:00,ITA,11.45,11.25,11.5,11.3,11.25,11.14
2022-05-18 14:00:00,ITA,11.25,11.1,11.3,11.2,11.1,11.23
2022-05-19 09:00:00,ITA,10.7,11.05,11.2,10.75,10.7,10.75
2022-05-19 10:00:00,ITA,11.1,11.2,11.3,11.1,11.05,11.11
2022-05-19 11:00:00,ITA,11.25,11.3,11.5,11.25,11.2,11.19
