date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,KBC,38.1,38.0,39.0,37.5,37.2,0.0
2022-05-13 10:00:00,KBC,38.0,37.6,38.2,37.65,37.6,37.2
2022-05-13 11:00:00,KBC,37.6,37.0,37.6,36.75,36.7,37.400000000000006
2022-05-13 13:00:00,KBC,37.1,36.3,37.4,36.35,36.3,37.16666666666667
2022-05-13 14:00:00,KBC,36.35,36.3,36.9,36.35,36.3,36.95
2022-05-16 09:00:00,KBC,37.0,37.15,37.5,36.7,36.6,36.82
2022-05-16 10:00:00,KBC,37.1,36.95,37.2,37.0,36.95,36.7
2022-05-16 11:00:00,KBC,36.9,36.75,36.9,36.75,36.7,36.57
2022-05-16 13:00:00,KBC,36.8,36.2,36.9,35.95,35.7,36.57
2022-05-16 14:00:00,KBC,36.3,36.25,36.45,36.05,36.0,36.39
2022-05-17 09:00:00,KBC,35.2,36.4,36.6,35.25,35.2,36.2
2022-05-17 10:00:00,KBC,36.4,36.6,36.85,36.5,36.4,36.2
2022-05-17 11:00:00,KBC,36.6,36.6,36.7,36.6,36.55,36.22
2022-05-17 13:00:00,KBC,36.6,38.1,38.2,36.55,36.5,36.910000000000004
2022-05-17 14:00:00,KBC,38.1,38.5,38.5,37.95,37.9,36.92
2022-05-18 09:00:00,KBC,39.0,39.3,39.5,38.5,38.4,37.18
2022-05-18 10:00:00,KBC,39.3,40.1,40.4,39.1,39.05,37.52
2022-05-18 11:00:00,KBC,40.1,40.15,40.5,40.05,40.0,38.03
2022-05-18 13:00:00,KBC,40.2,40.1,40.35,39.7,39.65,38.51
2022-05-18 14:00:00,KBC,40.1,40.0,40.15,39.85,39.8,39.0
2022-05-19 09:00:00,KBC,38.4,40.5,40.9,38.5,38.4,39.379999999999995
2022-05-19 10:00:00,KBC,40.4,40.35,40.6,40.35,40.3,39.379999999999995
2022-05-19 11:00:00,KBC,40.35,41.2,41.25,40.4,40.35,39.76
2022-05-19 13:00:00,KBC,41.2,40.6,41.2,40.55,40.5,40.019999999999996
2022-05-19 14:00:00,KBC,40.6,41.0,41.5,40.65,40.6,40.16
2022-05-20 09:00:00,KBC,41.0,41.65,42.3,41.25,41.0,40.35
2022-05-20 10:00:00,KBC,41.65,41.8,42.0,41.55,41.5,40.55
2022-05-20 11:00:00,KBC,41.8,41.1,41.85,41.1,41.0,40.79
2022-05-20 13:00:00,KBC,41.1,41.05,41.5,40.95,40.9,40.69
2022-05-20 14:00:00,KBC,41.1,41.0,41.2,40.85,40.8,40.67
2022-05-23 09:00:00,KBC,42.1,41.15,42.1,41.15,41.1,41.04
2022-05-23 10:00:00,KBC,41.15,41.0,41.5,41.05,41.0,40.76
2022-05-23 11:00:00,KBC,41.0,41.0,41.2,40.95,40.9,40.76
2022-05-23 13:00:00,KBC,40.9,40.8,41.1,40.75,40.7,40.74
2022-05-23 14:00:00,KBC,40.8,41.0,41.0,39.9,39.6,40.49
2022-05-24 09:00:00,KBC,40.5,40.7,41.1,40.2,40.1,40.31
2022-05-24 10:00:00,KBC,40.7,40.55,41.0,40.55,40.5,40.44
2022-05-24 11:00:00,KBC,40.55,40.55,40.75,40.55,40.5,40.42
2022-05-24 13:00:00,KBC,40.55,40.8,40.9,40.1,40.05,40.2
2022-05-24 14:00:00,KBC,40.9,41.8,41.8,40.5,40.4,40.77
2022-05-25 09:00:00,KBC,41.9,41.75,42.0,41.6,41.5,41.12
2022-05-25 10:00:00,KBC,41.75,41.9,42.2,41.8,41.75,41.22
2022-05-25 11:00:00,KBC,41.95,42.1,42.3,41.9,41.85,41.37
2022-05-25 13:00:00,KBC,42.15,42.8,43.05,42.15,42.1,41.52
2022-05-25 14:00:00,KBC,42.8,43.8,43.8,42.8,42.75,41.74
2022-05-26 09:00:00,KBC,43.6,43.9,44.1,43.6,43.5,41.99
2022-05-26 10:00:00,KBC,43.9,44.0,44.2,43.85,43.8,42.39
2022-05-26 11:00:00,KBC,43.9,44.0,44.0,43.95,43.9,42.8
2022-05-26 13:00:00,KBC,44.0,43.5,44.0,43.05,43.0,43.21
2022-05-26 14:00:00,KBC,43.55,43.95,43.95,43.05,43.0,43.39
2022-05-27 09:00:00,KBC,44.75,44.75,45.1,44.5,44.3,43.44
2022-05-27 10:00:00,KBC,44.75,44.5,44.85,44.55,44.5,43.699999999999996
2022-05-27 11:00:00,KBC,44.5,44.6,44.65,44.4,44.35,44.0
2022-05-27 13:00:00,KBC,44.55,44.65,44.8,44.45,44.4,44.17
2022-05-27 14:00:00,KBC,44.55,44.3,44.75,44.35,44.3,44.269999999999996
2022-05-30 09:00:00,KBC,44.9,44.1,44.9,44.1,44.0,44.37
2022-05-30 10:00:00,KBC,44.1,44.2,44.4,44.05,44.0,43.97
2022-05-30 11:00:00,KBC,44.2,44.3,44.3,44.15,44.1,44.07
2022-05-30 13:00:00,KBC,44.3,44.2,44.35,44.2,44.15,44.11
2022-05-30 14:00:00,KBC,44.2,44.2,44.25,44.1,44.05,43.99
2022-05-31 09:00:00,KBC,44.2,44.4,44.4,44.05,44.0,44.13
2022-05-31 10:00:00,KBC,44.35,44.45,44.6,44.25,44.2,44.18
2022-05-31 11:00:00,KBC,44.5,44.85,44.95,44.5,44.45,44.35
2022-05-31 13:00:00,KBC,44.8,44.5,44.85,44.55,44.5,44.37
2022-05-31 14:00:00,KBC,44.5,44.5,44.55,44.3,44.25,44.28
2022-06-01 09:00:00,KBC,44.95,44.5,44.95,44.05,44.0,44.32
2022-06-01 10:00:00,KBC,44.5,44.1,44.55,43.85,43.8,44.06
2022-06-01 11:00:00,KBC,44.1,43.95,44.1,43.95,43.9,43.97
2022-06-01 13:00:00,KBC,43.9,44.3,44.55,43.75,43.7,43.99
2022-06-01 14:00:00,KBC,44.35,44.5,44.7,44.35,44.3,44.3
2022-06-02 09:00:00,KBC,45.0,44.7,45.2,44.6,44.5,44.43
2022-06-02 10:00:00,KBC,44.7,45.25,45.3,44.55,44.5,44.43
2022-06-02 11:00:00,KBC,45.25,45.05,45.45,45.0,44.95,44.45
2022-06-02 13:00:00,KBC,45.1,44.7,45.2,44.25,44.2,44.36
2022-06-02 14:00:00,KBC,44.7,44.4,44.7,44.15,44.1,44.22
2022-06-03 09:00:00,KBC,44.55,44.5,44.8,44.15,44.1,44.23
2022-06-03 10:00:00,KBC,44.5,44.35,44.6,44.35,44.3,44.28
2022-06-03 11:00:00,KBC,44.3,44.0,44.4,44.05,44.0,44.019999999999996
2022-06-03 13:00:00,KBC,44.0,44.3,44.3,43.85,43.8,43.91
2022-06-03 14:00:00,KBC,44.2,44.6,44.65,43.9,43.85,44.06
2022-06-06 09:00:00,KBC,44.6,44.5,45.1,44.1,44.0,44.18
2022-06-06 10:00:00,KBC,44.45,44.6,44.9,44.5,44.45,44.4
2022-06-06 11:00:00,KBC,44.65,44.45,44.65,44.45,44.4,44.339999999999996
2022-06-06 13:00:00,KBC,44.45,44.55,44.8,44.45,44.4,44.38
2022-06-06 14:00:00,KBC,44.55,43.75,44.55,43.75,43.7,43.97
2022-06-07 09:00:00,KBC,43.75,43.75,44.1,43.55,43.5,43.62
2022-06-07 10:00:00,KBC,43.7,42.8,43.8,42.9,42.8,43.15
2022-06-07 11:00:00,KBC,42.8,42.45,43.0,41.85,41.8,42.0
2022-06-07 13:00:00,KBC,42.45,41.85,42.5,41.85,41.8,41.68
2022-06-07 14:00:00,KBC,41.85,43.0,43.0,41.6,41.5,41.86
2022-06-08 09:00:00,KBC,43.05,43.8,43.9,43.05,43.0,43.15
2022-06-08 10:00:00,KBC,43.8,43.95,44.4,43.75,43.7,43.66
2022-06-08 11:00:00,KBC,43.9,44.4,44.5,43.95,43.9,43.87
2022-06-08 13:00:00,KBC,44.4,44.85,44.9,44.4,44.35,44.410000000000004
2022-06-08 14:00:00,KBC,44.8,44.8,44.9,44.25,44.2,44.25
2022-06-09 09:00:00,KBC,44.8,45.5,45.8,44.7,44.6,44.54
2022-06-09 10:00:00,KBC,45.55,45.0,45.55,45.0,44.95,44.550000000000004
2022-06-09 11:00:00,KBC,45.0,45.15,45.3,45.0,44.95,44.7
2022-06-09 13:00:00,KBC,45.15,44.75,45.3,44.5,44.45,44.43
2022-06-09 14:00:00,KBC,44.75,44.8,45.2,44.75,44.7,44.44
2022-06-10 09:00:00,KBC,45.0,45.55,45.9,44.9,44.8,44.79
2022-06-10 10:00:00,KBC,45.55,46.1,46.5,45.6,45.55,44.85
2022-06-10 11:00:00,KBC,46.1,46.0,46.2,46.0,45.95,45.04
2022-06-10 13:00:00,KBC,46.0,45.9,46.05,45.95,45.9,45.24
2022-06-10 14:00:00,KBC,45.9,45.5,46.0,45.55,45.5,45.46
2022-06-13 09:00:00,KBC,43.5,44.2,44.5,43.8,43.5,43.72
2022-06-13 10:00:00,KBC,44.2,43.5,44.8,43.6,43.5,43.74
2022-06-13 11:00:00,KBC,43.6,43.25,43.7,43.05,43.0,43.06
2022-06-13 13:00:00,KBC,43.25,42.35,43.5,42.4,42.35,42.3
2022-06-13 14:00:00,KBC,42.4,42.35,43.0,42.4,42.35,41.98
2022-06-14 09:00:00,KBC,42.0,41.4,42.3,40.85,40.8,41.22
2022-06-14 10:00:00,KBC,41.4,42.0,42.35,41.15,41.1,41.31
2022-06-14 11:00:00,KBC,42.0,43.0,43.0,42.0,41.85,41.92
2022-06-14 13:00:00,KBC,42.85,42.6,43.5,42.4,42.35,42.28
2022-06-14 14:00:00,KBC,42.6,43.0,43.0,41.7,41.65,41.92
2022-06-15 09:00:00,KBC,43.0,42.55,43.4,42.55,42.5,42.33
2022-06-15 10:00:00,KBC,42.55,41.55,42.65,40.45,40.4,41.16
2022-06-15 11:00:00,KBC,41.3,41.1,41.4,40.75,40.7,40.82
2022-06-15 13:00:00,KBC,41.1,41.05,41.4,40.7,40.55,40.86
2022-06-15 14:00:00,KBC,41.0,42.9,42.9,40.55,40.5,41.17
2022-06-16 09:00:00,KBC,43.5,42.8,43.5,42.65,42.6,42.6
2022-06-16 10:00:00,KBC,42.85,42.9,42.95,42.75,42.7,42.38
