date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,KDH,42.25,41.6,42.25,41.6,41.5,0.0
2022-05-13 10:00:00,KDH,41.6,40.8,41.8,40.9,40.8,41.5
2022-05-13 11:00:00,KDH,40.9,40.8,40.9,40.2,40.1,41.15
2022-05-13 13:00:00,KDH,40.8,40.45,40.85,39.6,39.5,40.8
2022-05-13 14:00:00,KDH,40.1,39.3,40.5,39.4,39.3,40.475
2022-05-16 09:00:00,KDH,39.7,39.85,40.1,39.1,39.0,40.24
2022-05-16 10:00:00,KDH,39.85,39.45,39.9,39.45,39.4,39.74
2022-05-16 11:00:00,KDH,39.45,39.5,39.8,39.45,39.4,39.46
2022-05-16 13:00:00,KDH,39.5,39.3,39.7,38.8,38.7,39.32
2022-05-16 14:00:00,KDH,39.1,39.3,39.35,38.5,38.4,39.16
2022-05-17 09:00:00,KDH,39.3,38.7,39.3,38.75,38.7,38.98
2022-05-17 10:00:00,KDH,38.75,39.3,39.35,38.75,38.7,38.84
2022-05-17 11:00:00,KDH,39.3,39.35,39.5,39.3,39.25,38.92
2022-05-17 13:00:00,KDH,39.4,41.8,41.9,39.4,39.35,39.74
2022-05-17 14:00:00,KDH,41.8,41.7,41.85,41.55,41.5,40.25
2022-05-18 09:00:00,KDH,41.7,41.5,41.7,41.1,41.05,40.68
2022-05-18 10:00:00,KDH,41.5,41.5,41.7,41.5,41.45,40.99
2022-05-18 11:00:00,KDH,41.5,41.75,41.75,41.55,41.5,41.26
2022-05-18 13:00:00,KDH,41.75,41.4,41.8,41.4,41.35,41.4
2022-05-18 14:00:00,KDH,41.4,41.5,41.7,41.4,41.35,41.37
2022-05-19 09:00:00,KDH,41.0,40.95,41.25,40.75,40.7,40.95
2022-05-19 10:00:00,KDH,40.9,41.5,41.5,40.9,40.8,41.21
2022-05-19 11:00:00,KDH,41.5,41.55,41.7,41.5,41.45,41.43
2022-05-19 13:00:00,KDH,41.5,41.4,41.5,41.35,41.3,41.33
2022-05-19 14:00:00,KDH,41.35,41.5,41.6,41.4,41.35,41.410000000000004
