date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,KSB,31.6,31.1,32.5,30.75,30.7,0.0
2022-05-13 10:00:00,KSB,31.2,31.05,31.7,31.05,31.0,30.7
2022-05-13 11:00:00,KSB,31.1,30.85,31.1,30.85,30.8,30.85
2022-05-13 13:00:00,KSB,30.85,30.75,31.2,30.75,30.7,30.833333333333332
2022-05-13 14:00:00,KSB,30.75,30.7,30.75,30.75,30.7,30.8
2022-05-16 09:00:00,KSB,30.9,31.05,32.5,31.0,30.9,30.78
2022-05-16 10:00:00,KSB,31.1,30.85,31.2,30.7,30.65,30.82
2022-05-16 11:00:00,KSB,30.85,30.7,30.85,30.65,30.6,30.77
2022-05-16 13:00:00,KSB,30.8,29.3,31.15,28.9,28.8,30.69
2022-05-16 14:00:00,KSB,29.35,30.4,30.4,28.65,28.6,30.29
2022-05-17 09:00:00,KSB,29.0,29.0,29.9,28.45,28.4,29.88
2022-05-17 10:00:00,KSB,29.0,29.5,29.9,29.1,29.0,29.42
2022-05-17 11:00:00,KSB,29.5,29.5,29.6,29.45,29.4,29.1
2022-05-17 13:00:00,KSB,29.5,31.85,32.4,29.6,29.5,30.79
2022-05-17 14:00:00,KSB,31.85,32.05,32.05,31.7,31.65,30.81
2022-05-18 09:00:00,KSB,32.5,32.5,32.8,31.7,31.65,30.98
2022-05-18 10:00:00,KSB,32.6,32.1,32.6,32.15,32.1,31.18
2022-05-18 11:00:00,KSB,32.1,32.35,32.4,32.1,32.05,31.419999999999998
2022-05-18 13:00:00,KSB,32.4,32.85,33.55,32.45,32.4,31.63
2022-05-18 14:00:00,KSB,32.8,32.3,32.8,32.4,32.3,31.97
2022-05-19 09:00:00,KSB,31.0,31.95,32.2,31.05,31.0,30.98
2022-05-19 10:00:00,KSB,31.95,32.05,32.35,31.8,31.7,31.95
2022-05-19 11:00:00,KSB,32.05,32.0,32.5,32.05,32.0,31.83
2022-05-19 13:00:00,KSB,32.0,32.2,32.45,32.05,32.0,31.9
2022-05-19 14:00:00,KSB,32.15,32.0,32.45,32.05,32.0,31.97
2022-05-20 09:00:00,KSB,32.1,33.0,33.3,32.15,32.1,32.08
2022-05-20 10:00:00,KSB,32.9,33.25,33.25,32.9,32.85,32.11
2022-05-20 11:00:00,KSB,33.25,33.1,33.3,33.05,33.0,32.35
2022-05-20 13:00:00,KSB,33.1,32.95,33.2,32.65,32.6,32.53
2022-05-20 14:00:00,KSB,32.95,32.7,33.0,32.2,32.15,32.21
2022-05-23 09:00:00,KSB,33.1,33.0,33.3,33.0,32.9,32.6
2022-05-23 10:00:00,KSB,33.0,33.15,33.8,33.0,32.95,32.75
2022-05-23 11:00:00,KSB,33.1,33.15,33.5,32.9,32.85,32.86
2022-05-23 13:00:00,KSB,33.15,32.65,33.3,32.65,32.6,32.7
2022-05-23 14:00:00,KSB,32.65,32.6,32.65,31.0,30.8,31.93
2022-05-24 09:00:00,KSB,32.4,32.1,32.6,31.8,31.7,31.95
2022-05-24 10:00:00,KSB,32.1,32.05,32.5,31.85,31.8,31.88
2022-05-24 11:00:00,KSB,32.0,32.2,32.2,32.1,32.0,31.95
2022-05-24 13:00:00,KSB,32.2,32.0,32.2,31.55,31.5,31.77
2022-05-24 14:00:00,KSB,31.8,32.65,32.7,31.55,31.5,31.84
2022-05-25 09:00:00,KSB,33.0,32.85,33.1,32.8,32.7,32.79
2022-05-25 10:00:00,KSB,32.85,32.6,33.05,32.2,32.1,32.26
2022-05-25 11:00:00,KSB,32.6,32.9,33.0,32.55,32.4,32.39
2022-05-25 13:00:00,KSB,32.9,33.35,33.95,32.95,32.9,32.910000000000004
2022-05-25 14:00:00,KSB,33.4,34.0,34.0,33.4,33.35,32.910000000000004
2022-05-26 09:00:00,KSB,34.9,34.55,35.0,34.25,34.2,33.01
2022-05-26 10:00:00,KSB,34.55,34.5,34.65,34.25,34.2,33.28
2022-05-26 11:00:00,KSB,34.5,34.4,34.5,34.5,34.4,33.52
2022-05-26 13:00:00,KSB,34.4,34.2,34.45,34.0,33.95,33.81
2022-05-26 14:00:00,KSB,34.3,34.0,34.5,34.0,33.95,34.02
2022-05-27 09:00:00,KSB,34.0,34.2,34.45,34.05,34.0,33.97
2022-05-27 10:00:00,KSB,34.1,34.2,34.45,34.15,34.1,34.1
2022-05-27 11:00:00,KSB,34.1,34.1,34.2,34.05,34.0,34.08
2022-05-27 13:00:00,KSB,34.1,34.2,34.25,33.95,33.9,34.0
2022-05-27 14:00:00,KSB,34.25,34.5,34.5,33.95,33.9,34.03
2022-05-30 09:00:00,KSB,34.45,34.55,34.55,34.05,34.0,34.11
2022-05-30 10:00:00,KSB,34.55,34.6,35.25,34.55,34.5,34.14
2022-05-30 11:00:00,KSB,34.6,34.6,34.7,34.55,34.5,34.26
2022-05-30 13:00:00,KSB,34.6,34.6,34.75,34.5,34.45,34.36
2022-05-30 14:00:00,KSB,34.6,34.5,34.6,34.45,34.4,34.31
2022-05-31 09:00:00,KSB,34.1,34.25,34.45,33.95,33.9,33.97
2022-05-31 10:00:00,KSB,34.4,34.65,34.95,34.3,34.25,34.410000000000004
2022-05-31 11:00:00,KSB,34.65,34.4,34.8,34.4,34.35,34.39
2022-05-31 13:00:00,KSB,34.4,34.1,34.45,34.15,34.1,33.980000000000004
2022-05-31 14:00:00,KSB,34.05,33.8,34.2,33.9,33.8,33.95
2022-06-01 09:00:00,KSB,33.75,33.8,34.0,33.8,33.75,33.81
2022-06-01 10:00:00,KSB,33.8,33.45,33.9,33.4,33.3,33.37
2022-06-01 11:00:00,KSB,33.45,33.25,33.45,33.15,33.1,32.910000000000004
2022-06-01 13:00:00,KSB,33.2,33.25,33.6,33.1,33.05,32.96
2022-06-01 14:00:00,KSB,33.2,33.7,33.7,33.2,33.15,33.07
2022-06-02 09:00:00,KSB,33.6,34.0,34.3,33.7,33.6,33.76
2022-06-02 10:00:00,KSB,34.0,34.0,34.15,33.8,33.75,33.87
2022-06-02 11:00:00,KSB,34.0,34.0,34.2,34.0,33.95,33.89
2022-06-02 13:00:00,KSB,34.0,34.05,34.15,33.85,33.8,33.88
2022-06-02 14:00:00,KSB,34.05,34.0,34.15,33.5,33.3,33.81
2022-06-03 09:00:00,KSB,33.9,34.95,35.15,33.95,33.9,34.17
2022-06-03 10:00:00,KSB,34.95,35.4,35.9,35.0,34.95,34.38
2022-06-03 11:00:00,KSB,35.4,35.2,35.5,35.2,35.15,34.52
2022-06-03 13:00:00,KSB,35.25,35.35,35.5,35.05,35.0,34.65
2022-06-03 14:00:00,KSB,35.35,35.45,35.7,35.35,35.3,34.76
2022-06-06 09:00:00,KSB,35.6,35.45,35.65,34.95,34.9,34.98
2022-06-06 10:00:00,KSB,35.5,35.65,35.9,35.55,35.5,35.06
2022-06-06 11:00:00,KSB,35.65,35.65,35.7,35.65,35.6,35.17
2022-06-06 13:00:00,KSB,35.65,35.4,35.8,35.4,35.35,35.29
2022-06-06 14:00:00,KSB,35.4,34.7,35.5,34.6,34.5,34.75
2022-06-07 09:00:00,KSB,34.5,34.1,34.6,34.05,34.0,34.06
2022-06-07 10:00:00,KSB,34.1,33.45,34.3,33.5,33.45,33.58
2022-06-07 11:00:00,KSB,33.45,33.6,33.85,32.8,32.75,33.03
2022-06-07 13:00:00,KSB,33.5,33.6,33.7,33.15,33.1,33.07
2022-06-07 14:00:00,KSB,33.6,33.8,34.5,33.5,33.45,33.49
2022-06-08 09:00:00,KSB,34.0,34.3,34.4,33.85,33.8,33.96
2022-06-08 10:00:00,KSB,34.3,34.05,34.5,33.95,33.8,33.980000000000004
2022-06-08 11:00:00,KSB,34.05,35.15,35.15,34.05,34.0,34.11
2022-06-08 13:00:00,KSB,35.2,34.85,35.4,34.85,34.8,34.81
2022-06-08 14:00:00,KSB,34.85,34.9,35.0,34.7,34.65,34.49
2022-06-09 09:00:00,KSB,35.1,35.15,35.3,35.1,35.0,34.98
2022-06-09 10:00:00,KSB,35.15,34.95,35.2,34.85,34.8,34.79
2022-06-09 11:00:00,KSB,34.95,34.95,35.0,34.9,34.85,34.75
2022-06-09 13:00:00,KSB,34.95,34.8,35.0,34.65,34.6,34.59
2022-06-09 14:00:00,KSB,34.85,34.85,35.0,34.85,34.8,34.74
2022-06-10 09:00:00,KSB,34.6,35.5,35.8,34.45,34.4,34.75
2022-06-10 10:00:00,KSB,35.5,35.3,35.6,35.25,35.2,35.14
2022-06-10 11:00:00,KSB,35.25,35.0,35.3,35.05,35.0,34.949999999999996
2022-06-10 13:00:00,KSB,35.0,35.1,35.3,35.0,34.95,34.89
2022-06-10 14:00:00,KSB,35.1,34.0,35.15,34.5,34.0,34.43
2022-06-13 09:00:00,KSB,32.2,32.05,33.1,32.1,32.05,31.92
2022-06-13 10:00:00,KSB,32.1,31.65,32.8,31.7,31.65,31.84
2022-06-13 11:00:00,KSB,31.7,31.65,31.7,31.7,31.65,31.73
2022-06-13 13:00:00,KSB,31.65,31.65,31.65,31.65,31.65,31.5
2022-06-13 14:00:00,KSB,31.65,31.65,31.65,31.65,31.65,31.65
2022-06-14 09:00:00,KSB,29.7,30.0,31.0,29.7,29.65,29.28
2022-06-14 10:00:00,KSB,30.0,30.25,30.65,29.85,29.8,29.79
2022-06-14 11:00:00,KSB,30.25,30.35,30.9,30.15,30.1,30.29
2022-06-14 13:00:00,KSB,30.3,30.0,31.0,29.95,29.9,30.17
2022-06-14 14:00:00,KSB,30.0,30.0,30.2,29.5,29.45,29.77
2022-06-15 09:00:00,KSB,31.0,28.5,31.0,28.7,28.5,29.52
2022-06-15 10:00:00,KSB,28.8,27.9,29.4,27.95,27.9,28.78
2022-06-15 11:00:00,KSB,27.9,28.35,28.4,27.95,27.9,28.66
2022-06-15 13:00:00,KSB,28.4,27.9,28.5,27.95,27.9,28.52
2022-06-15 14:00:00,KSB,27.9,27.9,27.9,27.9,27.9,28.22
2022-06-16 09:00:00,KSB,28.5,27.7,28.5,27.5,27.4,28.0
2022-06-16 10:00:00,KSB,27.7,27.95,28.4,27.35,27.3,27.799999999999997
2022-06-16 11:00:00,KSB,28.0,27.8,28.25,27.65,27.4,27.68
2022-06-16 13:00:00,KSB,27.8,27.85,28.4,27.5,27.45,27.58
2022-06-16 14:00:00,KSB,27.8,27.75,27.95,27.5,27.45,27.59
2022-06-17 09:00:00,KSB,25.95,25.85,26.15,25.9,25.85,27.5
2022-06-17 10:00:00,KSB,25.85,25.85,25.85,25.85,25.85,27.19
2022-06-17 11:00:00,KSB,25.85,25.85,25.85,25.85,25.85,25.85
2022-06-17 13:00:00,KSB,25.85,25.85,25.85,25.85,25.85,25.85
2022-06-17 14:00:00,KSB,25.85,25.85,25.85,25.85,25.85,25.85
2022-06-20 09:00:00,KSB,24.6,24.5,25.4,24.4,24.35,25.85
2022-06-20 10:00:00,KSB,24.5,24.25,24.5,24.1,24.05,25.55
2022-06-20 11:00:00,KSB,24.25,24.05,24.3,24.1,24.05,25.19
2022-06-20 13:00:00,KSB,24.05,24.05,24.05,24.05,24.05,24.830000000000002
2022-06-20 14:00:00,KSB,24.05,24.05,24.05,24.05,24.05,24.05
2022-06-21 09:00:00,KSB,22.4,22.8,24.1,22.45,22.4,24.11
2022-06-21 10:00:00,KSB,22.8,22.7,23.8,22.5,22.45,23.72
2022-06-21 11:00:00,KSB,22.7,22.7,22.9,22.6,22.5,23.4
2022-06-21 13:00:00,KSB,22.8,22.45,23.5,22.45,22.4,23.09
2022-06-21 14:00:00,KSB,22.5,23.95,23.95,22.45,22.4,22.759999999999998
2022-06-22 09:00:00,KSB,24.0,24.2,24.9,24.05,24.0,24.11
2022-06-22 10:00:00,KSB,24.3,24.5,24.85,23.55,23.5,24.1
2022-06-22 11:00:00,KSB,24.5,24.2,24.5,24.2,24.1,24.04
2022-06-22 13:00:00,KSB,24.2,24.45,24.5,24.0,23.95,23.94
2022-06-22 14:00:00,KSB,24.5,24.85,24.85,24.15,24.1,23.990000000000002
2022-06-23 09:00:00,KSB,24.9,24.9,24.95,24.35,24.3,24.11
2022-06-23 10:00:00,KSB,24.9,24.5,24.9,24.5,24.35,24.18
2022-06-23 11:00:00,KSB,24.6,24.5,24.7,24.35,24.3,24.18
2022-06-23 13:00:00,KSB,24.3,25.0,25.0,24.4,24.3,24.28
2022-06-23 14:00:00,KSB,24.95,26.0,26.0,24.95,24.9,25.85
2022-06-24 09:00:00,KSB,25.8,25.7,26.15,25.35,25.3,25.85
2022-06-24 10:00:00,KSB,25.7,25.75,25.8,25.45,25.4,25.740000000000002
2022-06-24 11:00:00,KSB,25.75,25.8,25.8,25.65,25.6,25.76
2022-06-24 13:00:00,KSB,25.8,25.8,26.0,25.4,25.35,25.6
2022-06-24 14:00:00,KSB,25.5,25.95,26.0,25.4,25.35,25.5
2022-06-27 09:00:00,KSB,25.8,25.45,25.8,25.45,25.4,25.5
2022-06-27 10:00:00,KSB,25.45,25.5,25.6,25.4,25.35,25.42
2022-06-27 11:00:00,KSB,25.55,25.7,25.75,25.6,25.55,25.42
2022-06-27 13:00:00,KSB,25.7,25.75,26.3,25.75,25.7,25.64
2022-06-27 14:00:00,KSB,25.75,26.0,26.15,25.8,25.75,25.82
2022-06-28 09:00:00,KSB,26.2,26.3,26.7,26.05,26.0,25.8
2022-06-28 10:00:00,KSB,26.3,26.45,26.45,26.0,25.9,25.830000000000002
2022-06-28 11:00:00,KSB,26.45,26.45,26.9,26.45,26.4,25.84
2022-06-28 13:00:00,KSB,26.45,26.7,26.85,26.3,26.2,25.98
2022-06-28 14:00:00,KSB,26.55,26.2,26.7,26.05,26.0,26.07
2022-06-29 09:00:00,KSB,25.95,26.45,26.65,25.65,25.6,25.9
2022-06-29 10:00:00,KSB,26.45,26.25,26.5,26.2,26.15,26.099999999999998
2022-06-29 11:00:00,KSB,26.2,26.3,26.35,26.1,26.05,25.98
2022-06-29 13:00:00,KSB,26.3,26.25,26.3,25.85,25.8,26.02
2022-06-29 14:00:00,KSB,26.25,25.8,26.3,25.9,25.8,25.830000000000002
2022-06-30 09:00:00,KSB,25.8,25.9,26.2,25.85,25.8,25.8
2022-06-30 10:00:00,KSB,25.9,25.9,26.0,25.9,25.85,25.85
2022-06-30 11:00:00,KSB,25.9,25.8,25.95,25.75,25.7,25.85
2022-06-30 13:00:00,KSB,25.75,25.3,25.8,25.2,25.1,25.36
2022-06-30 14:00:00,KSB,25.3,24.6,25.3,24.55,24.5,24.28
2022-07-01 09:00:00,KSB,23.8,23.8,24.2,23.85,23.8,24.02
2022-07-01 10:00:00,KSB,23.8,23.55,23.9,23.45,23.4,23.98
2022-07-01 11:00:00,KSB,23.5,23.4,23.65,23.2,23.1,23.55
2022-07-01 13:00:00,KSB,23.2,23.8,24.3,23.05,23.0,23.35
2022-07-01 14:00:00,KSB,23.85,24.6,24.75,23.9,23.85,23.92
2022-07-04 09:00:00,KSB,25.4,24.95,25.4,24.75,24.7,24.720000000000002
2022-07-04 10:00:00,KSB,24.9,25.0,25.2,24.9,24.85,24.44
2022-07-04 11:00:00,KSB,25.05,24.9,25.2,24.95,24.9,24.54
2022-07-04 13:00:00,KSB,24.9,24.95,25.2,24.9,24.85,24.65
2022-07-04 14:00:00,KSB,25.0,24.7,25.0,24.75,24.7,24.650000000000002
2022-07-05 09:00:00,KSB,24.7,24.75,24.8,24.55,24.5,24.35
2022-07-05 10:00:00,KSB,24.75,24.35,24.75,24.4,24.35,24.26
2022-07-05 11:00:00,KSB,24.35,24.55,24.6,24.35,24.3,24.1
2022-07-05 13:00:00,KSB,24.55,24.3,24.6,24.25,24.2,24.220000000000002
2022-07-05 14:00:00,KSB,24.2,24.45,24.45,23.55,23.5,23.88
