date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,MIG,26.3,25.55,26.85,25.15,25.1,0.0
2022-05-13 10:00:00,MIG,25.55,25.4,26.0,25.35,25.3,25.1
2022-05-13 11:00:00,MIG,25.45,25.15,25.5,25.2,25.15,25.200000000000003
2022-05-13 13:00:00,MIG,25.15,25.05,25.6,25.1,25.05,25.183333333333334
2022-05-13 14:00:00,MIG,25.05,25.05,25.15,25.1,25.05,25.15
2022-05-16 09:00:00,MIG,25.6,25.5,26.0,25.25,25.2,25.13
2022-05-16 10:00:00,MIG,25.5,25.0,25.6,24.1,24.0,25.15
2022-05-16 11:00:00,MIG,25.0,24.9,25.05,24.75,24.7,24.91
2022-05-16 13:00:00,MIG,24.8,23.35,24.9,23.35,23.3,24.79
2022-05-16 14:00:00,MIG,23.45,23.3,24.1,23.35,23.3,24.42
2022-05-17 09:00:00,MIG,23.2,22.0,23.2,21.75,21.7,24.07
2022-05-17 10:00:00,MIG,22.0,22.6,23.0,21.85,21.8,23.4
2022-05-17 11:00:00,MIG,22.6,22.5,22.7,22.5,22.45,22.96
2022-05-17 13:00:00,MIG,22.5,24.8,24.9,22.5,22.4,23.11
2022-05-17 14:00:00,MIG,24.85,24.9,24.9,24.5,24.4,24.79
2022-05-18 09:00:00,MIG,25.0,25.4,25.45,24.55,24.5,24.64
2022-05-18 10:00:00,MIG,25.3,25.3,25.4,25.0,24.9,24.89
2022-05-18 11:00:00,MIG,25.3,25.7,25.7,25.35,25.3,25.12
2022-05-18 13:00:00,MIG,25.8,25.35,26.0,25.25,25.2,25.169999999999998
2022-05-18 14:00:00,MIG,25.35,25.15,25.35,25.15,25.1,24.97
2022-05-19 09:00:00,MIG,24.2,24.65,25.3,24.25,24.2,24.74
2022-05-19 10:00:00,MIG,24.65,24.8,25.05,24.65,24.6,24.57
2022-05-19 11:00:00,MIG,24.8,24.65,25.05,24.65,24.6,24.59
2022-05-19 13:00:00,MIG,24.7,24.7,24.9,24.65,24.6,24.67
2022-05-19 14:00:00,MIG,24.7,24.95,25.1,24.55,24.5,24.580000000000002
2022-05-20 09:00:00,MIG,24.5,25.1,25.5,24.55,24.5,24.48
2022-05-20 10:00:00,MIG,25.15,25.35,26.0,25.1,25.05,25.2
2022-05-20 11:00:00,MIG,25.35,25.25,25.65,25.15,25.1,25.05
2022-05-20 13:00:00,MIG,25.3,25.0,25.45,24.7,24.65,24.85
2022-05-20 14:00:00,MIG,25.0,24.6,25.15,24.55,24.5,24.580000000000002
2022-05-23 09:00:00,MIG,24.8,24.7,25.0,24.65,24.6,24.54
2022-05-23 10:00:00,MIG,24.7,25.6,25.6,24.7,24.65,24.8
2022-05-23 11:00:00,MIG,25.6,25.4,25.7,25.25,25.2,25.19
2022-05-23 13:00:00,MIG,25.35,25.15,25.7,25.1,25.0,25.06
2022-05-23 14:00:00,MIG,25.15,25.4,25.4,24.8,24.7,24.85
2022-05-24 09:00:00,MIG,25.4,26.15,26.55,25.4,25.35,25.21
2022-05-24 10:00:00,MIG,26.15,26.2,26.45,26.1,26.05,25.23
2022-05-24 11:00:00,MIG,26.15,26.25,26.35,26.15,26.1,25.400000000000002
2022-05-24 13:00:00,MIG,26.25,25.9,26.3,25.85,25.8,25.53
2022-05-24 14:00:00,MIG,25.85,26.1,26.1,25.8,25.75,25.7
2022-05-25 09:00:00,MIG,26.3,26.6,26.9,26.3,26.25,25.810000000000002
2022-05-25 10:00:00,MIG,26.6,27.5,27.5,26.7,26.6,25.990000000000002
2022-05-25 11:00:00,MIG,27.5,27.9,27.9,27.5,27.45,26.16
2022-05-25 13:00:00,MIG,27.85,27.9,27.9,27.85,27.8,26.490000000000002
2022-05-25 14:00:00,MIG,27.9,27.9,27.9,27.9,27.9,26.84
2022-05-26 09:00:00,MIG,28.3,27.65,28.3,27.4,27.3,27.2
2022-05-26 10:00:00,MIG,27.75,27.75,27.95,27.55,27.5,27.41
2022-05-26 11:00:00,MIG,27.75,27.8,27.9,27.75,27.7,27.59
2022-05-26 13:00:00,MIG,27.8,27.7,27.95,27.5,27.45,27.669999999999998
2022-05-26 14:00:00,MIG,27.75,28.0,28.8,27.8,27.75,27.64
2022-05-27 09:00:00,MIG,28.0,27.6,28.15,27.55,27.5,27.55
2022-05-27 10:00:00,MIG,27.7,28.0,28.3,27.65,27.6,27.58
2022-05-27 11:00:00,MIG,28.0,28.05,28.1,27.95,27.9,27.7
2022-05-27 13:00:00,MIG,28.05,28.4,28.8,28.1,28.05,27.79
2022-05-27 14:00:00,MIG,28.5,28.1,28.5,28.1,28.05,27.78
2022-05-30 09:00:00,MIG,28.05,28.75,29.0,28.1,28.05,27.87
2022-05-30 10:00:00,MIG,28.75,28.95,28.95,28.65,28.6,27.96
2022-05-30 11:00:00,MIG,28.9,29.45,29.5,28.95,28.9,28.1
2022-05-30 13:00:00,MIG,29.45,29.15,29.5,29.1,29.05,28.330000000000002
2022-05-30 14:00:00,MIG,29.15,28.8,29.15,28.75,28.7,28.53
2022-05-31 09:00:00,MIG,28.45,28.75,28.85,28.4,28.3,28.29
2022-05-31 10:00:00,MIG,28.75,28.75,28.85,28.45,28.4,28.34
2022-05-31 11:00:00,MIG,28.75,28.7,29.0,28.7,28.6,28.41
2022-05-31 13:00:00,MIG,28.7,28.9,28.9,28.5,28.45,28.52
2022-05-31 14:00:00,MIG,28.9,28.85,28.9,28.45,28.4,28.47
2022-06-01 09:00:00,MIG,28.5,28.8,29.0,28.55,28.5,28.47
2022-06-01 10:00:00,MIG,28.8,28.75,28.8,28.6,28.55,28.49
2022-06-01 11:00:00,MIG,28.75,28.55,28.75,28.55,28.5,28.48
2022-06-01 13:00:00,MIG,28.55,28.6,28.9,28.5,28.45,28.46
2022-06-01 14:00:00,MIG,28.7,29.5,29.5,28.7,28.65,28.63
2022-06-02 09:00:00,MIG,30.0,30.5,30.9,29.55,29.5,28.78
2022-06-02 10:00:00,MIG,30.5,31.55,31.55,30.35,30.3,28.96
2022-06-02 11:00:00,MIG,31.55,31.5,31.55,31.45,31.4,29.28
2022-06-02 13:00:00,MIG,31.5,31.55,31.55,31.1,31.0,29.83
2022-06-02 14:00:00,MIG,31.55,31.55,31.55,30.95,30.9,30.25
2022-06-03 09:00:00,MIG,31.55,31.2,31.55,31.05,31.0,30.62
2022-06-03 10:00:00,MIG,31.2,31.25,31.55,31.25,31.2,30.919999999999998
2022-06-03 11:00:00,MIG,31.25,31.2,31.4,31.15,31.1,31.099999999999998
2022-06-03 13:00:00,MIG,31.1,31.5,31.55,30.85,30.8,31.04
2022-06-03 14:00:00,MIG,31.55,32.4,32.65,31.6,31.55,31.06
2022-06-06 09:00:00,MIG,32.4,32.3,33.45,32.25,32.2,31.169999999999998
2022-06-06 10:00:00,MIG,32.3,32.4,32.7,32.35,32.3,31.41
2022-06-06 11:00:00,MIG,32.4,32.4,32.45,32.4,32.35,31.69
2022-06-06 13:00:00,MIG,32.4,32.2,32.55,31.85,31.8,31.96
2022-06-06 14:00:00,MIG,32.2,30.15,32.2,30.8,30.15,31.04
2022-06-07 09:00:00,MIG,29.65,29.3,30.0,28.8,28.75,28.78
2022-06-07 10:00:00,MIG,29.2,29.05,29.7,28.95,28.9,28.81
2022-06-07 11:00:00,MIG,29.1,29.65,29.65,29.1,29.05,28.849999999999998
2022-06-07 13:00:00,MIG,29.65,32.2,32.25,29.35,29.3,30.5
2022-06-07 14:00:00,MIG,32.2,32.25,32.25,32.25,32.2,32.04
2022-06-08 09:00:00,MIG,32.8,33.8,34.0,32.55,32.5,32.17
2022-06-08 10:00:00,MIG,33.8,33.1,33.9,33.05,33.0,32.230000000000004
2022-06-08 11:00:00,MIG,33.1,33.35,33.4,33.1,33.0,32.47
2022-06-08 13:00:00,MIG,33.4,32.65,33.5,32.65,32.6,32.6
2022-06-08 14:00:00,MIG,32.75,32.9,32.9,32.35,32.3,32.25
2022-06-09 09:00:00,MIG,32.9,32.5,33.0,32.35,32.3,32.35
2022-06-09 10:00:00,MIG,32.5,32.4,32.55,32.25,32.2,32.19
2022-06-09 11:00:00,MIG,32.4,32.7,32.7,32.45,32.4,32.29
2022-06-09 13:00:00,MIG,32.7,32.6,32.85,32.3,32.25,32.3
2022-06-09 14:00:00,MIG,32.5,32.5,32.6,32.45,32.4,32.3
2022-06-10 09:00:00,MIG,31.95,32.95,33.45,31.75,31.7,32.14
2022-06-10 10:00:00,MIG,32.95,32.6,33.0,32.4,32.35,32.33
2022-06-10 11:00:00,MIG,32.6,32.5,32.9,32.2,32.1,32.29
2022-06-10 13:00:00,MIG,32.25,32.65,32.9,32.2,32.15,32.29
2022-06-10 14:00:00,MIG,32.6,30.25,32.6,30.3,30.25,30.83
2022-06-13 09:00:00,MIG,28.6,29.7,30.0,28.7,28.6,28.849999999999998
2022-06-13 10:00:00,MIG,29.7,30.0,30.85,29.35,29.2,28.96
2022-06-13 11:00:00,MIG,30.0,29.6,30.2,29.25,29.2,28.99
2022-06-13 13:00:00,MIG,29.6,29.45,30.0,28.75,28.7,28.99
2022-06-13 14:00:00,MIG,29.45,28.5,29.85,28.6,28.5,28.82
2022-06-14 09:00:00,MIG,28.2,29.2,29.95,28.4,28.2,28.54
2022-06-14 10:00:00,MIG,29.2,29.4,29.6,29.25,29.2,28.919999999999998
2022-06-14 11:00:00,MIG,29.45,29.5,29.75,29.35,29.3,28.99
2022-06-14 13:00:00,MIG,29.45,29.6,30.0,29.4,29.3,29.09
2022-06-14 14:00:00,MIG,29.8,30.0,30.0,29.0,28.95,29.05
2022-06-15 09:00:00,MIG,30.0,30.45,30.95,30.05,30.0,29.43
2022-06-15 10:00:00,MIG,30.45,30.45,30.6,29.85,29.8,29.37
2022-06-15 11:00:00,MIG,30.45,30.7,30.7,30.15,30.1,29.76
2022-06-15 13:00:00,MIG,30.7,30.35,30.85,30.15,30.1,29.72
2022-06-15 14:00:00,MIG,30.2,31.8,31.8,30.0,29.9,30.1
2022-06-16 09:00:00,MIG,32.7,32.4,32.7,31.8,31.75,32.13
2022-06-16 10:00:00,MIG,32.4,32.0,32.4,31.85,31.8,32.06
