date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,NBB,17.2,16.8,17.4,16.45,16.4,0.0
2022-05-13 10:00:00,NBB,16.85,16.8,17.1,16.85,16.8,16.4
2022-05-13 11:00:00,NBB,16.8,16.7,16.8,16.55,16.5,16.6
2022-05-13 13:00:00,NBB,16.95,16.3,17.0,16.05,16.0,16.566666666666666
2022-05-13 14:00:00,NBB,16.3,16.0,16.3,16.05,16.0,16.425
2022-05-16 09:00:00,NBB,16.8,16.85,17.05,16.6,16.55,16.34
2022-05-16 10:00:00,NBB,16.85,16.6,16.85,16.35,16.3,16.45
2022-05-16 11:00:00,NBB,16.55,16.4,16.75,16.5,16.4,16.43
2022-05-16 13:00:00,NBB,16.4,16.1,16.55,16.05,16.0,16.24
2022-05-16 14:00:00,NBB,16.2,16.0,16.4,16.15,16.0,16.14
2022-05-17 09:00:00,NBB,16.0,16.4,16.4,15.95,15.7,16.14
2022-05-17 10:00:00,NBB,16.45,16.5,16.7,16.4,16.2,16.35
2022-05-17 11:00:00,NBB,16.45,16.45,16.5,16.35,16.3,16.18
2022-05-17 13:00:00,NBB,16.5,17.1,17.1,16.55,16.5,16.47
2022-05-17 14:00:00,NBB,17.1,17.1,17.1,17.1,17.1,16.55
2022-05-18 09:00:00,NBB,17.7,17.85,17.9,17.55,17.5,16.67
2022-05-18 10:00:00,NBB,17.85,17.7,17.85,17.65,17.6,16.87
2022-05-18 11:00:00,NBB,17.7,17.8,17.8,17.7,17.65,17.080000000000002
2022-05-18 13:00:00,NBB,17.8,17.6,17.9,17.55,17.5,17.25
2022-05-18 14:00:00,NBB,17.55,17.5,17.7,17.45,17.4,17.47
2022-05-19 09:00:00,NBB,16.6,17.15,17.25,16.65,16.6,16.69
2022-05-19 10:00:00,NBB,17.1,17.1,17.2,17.05,17.0,16.69
2022-05-19 11:00:00,NBB,17.15,17.35,17.5,17.2,17.15,16.98
2022-05-19 13:00:00,NBB,17.3,17.1,17.35,17.05,17.0,16.89
2022-05-19 14:00:00,NBB,17.0,17.0,17.35,16.95,16.9,17.01
2022-05-20 09:00:00,NBB,17.25,17.65,17.7,17.25,17.0,17.439999999999998
2022-05-20 10:00:00,NBB,17.6,18.15,18.15,17.6,17.55,17.53
2022-05-20 11:00:00,NBB,18.15,18.15,18.15,18.15,18.1,17.56
2022-05-20 13:00:00,NBB,18.15,18.15,18.15,18.05,18.0,17.68
2022-05-20 14:00:00,NBB,18.15,18.15,18.15,18.15,18.15,18.1
