date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,NLG,46.0,46.1,47.0,46.0,45.95,0.0
2022-05-13 10:00:00,NLG,46.2,46.15,46.6,45.9,45.85,45.95
2022-05-13 11:00:00,NLG,46.15,45.0,46.15,45.05,45.0,45.900000000000006
2022-05-13 13:00:00,NLG,45.0,45.0,45.4,43.65,43.6,45.6
2022-05-13 14:00:00,NLG,45.0,43.8,45.0,43.3,43.25,45.1
2022-05-16 09:00:00,NLG,46.4,45.05,46.4,44.9,44.5,44.730000000000004
2022-05-16 10:00:00,NLG,45.0,45.2,45.3,44.4,44.3,44.44
2022-05-16 11:00:00,NLG,45.2,45.25,45.25,45.0,44.8,44.65
2022-05-16 13:00:00,NLG,45.25,44.8,45.25,44.05,44.0,44.19
2022-05-16 14:00:00,NLG,44.8,44.7,45.4,44.55,44.5,43.99
2022-05-17 09:00:00,NLG,44.0,44.3,44.85,44.0,43.9,43.93
2022-05-17 10:00:00,NLG,44.35,44.85,46.0,44.35,44.3,44.24
2022-05-17 11:00:00,NLG,44.8,44.7,44.85,44.6,44.55,44.3
2022-05-17 13:00:00,NLG,44.7,47.0,47.4,44.8,44.7,45.12
2022-05-17 14:00:00,NLG,47.0,47.0,47.2,46.75,46.7,45.2
2022-05-18 09:00:00,NLG,47.4,47.5,47.85,46.7,46.6,45.54
2022-05-18 10:00:00,NLG,47.5,47.05,47.55,47.1,47.05,45.92
2022-05-18 11:00:00,NLG,47.15,47.2,47.2,46.85,46.8,46.43
2022-05-18 13:00:00,NLG,47.2,47.0,47.95,46.9,46.85,46.62
2022-05-18 14:00:00,NLG,47.0,46.5,47.0,46.65,46.5,46.65
2022-05-19 09:00:00,NLG,45.5,46.0,46.3,45.65,45.5,45.22
2022-05-19 10:00:00,NLG,46.0,46.0,46.8,46.0,45.95,45.76
2022-05-19 11:00:00,NLG,46.15,46.2,46.6,46.2,46.15,45.95
2022-05-19 13:00:00,NLG,46.3,46.1,46.8,46.1,46.05,46.08
2022-05-19 14:00:00,NLG,46.1,46.8,46.85,46.15,46.1,45.99
2022-05-20 09:00:00,NLG,46.75,47.3,47.7,46.7,46.65,46.8
2022-05-20 10:00:00,NLG,47.3,47.7,47.7,47.1,47.05,46.79
2022-05-20 11:00:00,NLG,47.7,47.2,47.9,47.15,47.1,46.87
2022-05-20 13:00:00,NLG,47.15,46.75,47.2,46.65,46.6,46.78
2022-05-20 14:00:00,NLG,46.75,46.9,47.0,46.5,46.45,46.54
