date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,NTL,26.85,25.8,26.9,25.95,25.8,0.0
2022-05-13 10:00:00,NTL,25.8,26.0,26.2,25.95,25.8,25.8
2022-05-13 11:00:00,NTL,26.2,25.7,26.2,25.75,25.7,25.8
2022-05-13 13:00:00,NTL,25.65,25.2,25.8,25.05,25.0,25.766666666666666
2022-05-13 14:00:00,NTL,25.15,25.0,25.15,25.05,25.0,25.575
2022-05-16 09:00:00,NTL,25.2,26.05,26.7,25.5,25.2,25.46
2022-05-16 10:00:00,NTL,26.0,25.7,26.0,25.65,25.6,25.5
2022-05-16 11:00:00,NTL,25.5,25.55,25.7,25.55,25.5,25.42
2022-05-16 13:00:00,NTL,25.6,25.0,25.6,24.55,24.5,25.36
2022-05-16 14:00:00,NTL,24.7,24.9,25.3,24.9,24.7,25.12
2022-05-17 09:00:00,NTL,24.55,24.6,24.95,24.6,24.55,24.94
2022-05-17 10:00:00,NTL,24.7,25.2,25.45,24.75,24.7,24.75
2022-05-17 11:00:00,NTL,25.2,25.4,25.4,25.2,25.15,24.98
2022-05-17 13:00:00,NTL,25.4,26.5,26.5,25.4,25.3,25.56
2022-05-17 14:00:00,NTL,26.5,26.3,26.5,26.15,26.0,25.64
2022-05-18 09:00:00,NTL,26.35,26.45,26.5,26.1,26.05,25.78
2022-05-18 10:00:00,NTL,26.4,26.1,26.45,26.25,26.1,25.87
2022-05-18 11:00:00,NTL,26.1,26.45,26.45,26.05,26.0,25.93
2022-05-18 13:00:00,NTL,26.45,26.3,26.7,26.3,26.25,25.990000000000002
2022-05-18 14:00:00,NTL,26.3,26.3,26.4,26.25,26.2,26.080000000000002
2022-05-19 09:00:00,NTL,25.6,26.0,26.3,25.1,25.0,25.48
2022-05-19 10:00:00,NTL,26.0,26.0,26.25,26.0,25.95,25.96
2022-05-19 11:00:00,NTL,26.15,26.25,26.25,26.15,26.1,26.06
2022-05-19 13:00:00,NTL,26.0,26.15,26.3,26.1,26.0,26.01
2022-05-19 14:00:00,NTL,26.1,26.0,26.4,26.1,26.0,26.07
2022-05-20 09:00:00,NTL,26.0,26.3,26.9,26.15,26.0,26.1
2022-05-20 10:00:00,NTL,26.4,26.6,26.6,26.4,26.3,26.1
2022-05-20 11:00:00,NTL,26.6,26.5,26.6,26.6,26.5,26.16
2022-05-20 13:00:00,NTL,26.5,26.05,26.5,26.1,26.05,26.11
2022-05-20 14:00:00,NTL,26.1,26.4,26.4,26.1,26.05,26.07
2022-05-23 09:00:00,NTL,26.65,26.25,26.65,26.3,26.25,26.18
2022-05-23 10:00:00,NTL,26.25,26.35,26.4,26.3,26.25,26.1
2022-05-23 11:00:00,NTL,26.3,26.2,26.5,26.25,26.2,26.16
2022-05-23 13:00:00,NTL,26.2,26.25,26.45,26.25,26.2,26.16
2022-05-23 14:00:00,NTL,26.25,26.25,26.3,25.8,25.6,26.02
2022-05-24 09:00:00,NTL,26.2,26.0,26.4,26.2,26.0,26.1
2022-05-24 10:00:00,NTL,26.0,26.4,26.4,25.95,25.9,25.95
2022-05-24 11:00:00,NTL,26.05,26.05,26.1,26.1,26.05,25.97
2022-05-24 13:00:00,NTL,26.05,25.8,26.05,25.7,25.6,25.82
2022-05-24 14:00:00,NTL,25.8,26.2,26.2,25.7,25.6,25.85
2022-05-25 09:00:00,NTL,26.4,26.5,26.8,26.25,26.2,26.17
2022-05-25 10:00:00,NTL,26.5,26.4,26.5,26.25,26.2,26.15
2022-05-25 11:00:00,NTL,26.4,26.6,26.6,26.4,26.3,26.3
2022-05-25 13:00:00,NTL,26.7,26.9,27.2,26.65,26.6,26.31
2022-05-25 14:00:00,NTL,26.9,27.05,27.1,26.95,26.9,26.38
2022-05-26 09:00:00,NTL,27.7,27.6,27.7,27.15,27.1,26.52
2022-05-26 10:00:00,NTL,27.6,27.5,27.6,27.45,27.4,26.68
2022-05-26 11:00:00,NTL,27.45,27.45,27.5,27.5,27.45,26.9
2022-05-26 13:00:00,NTL,27.5,27.25,27.6,27.35,27.25,27.09
2022-05-26 14:00:00,NTL,27.3,27.2,27.55,27.25,27.2,27.22
2022-05-27 09:00:00,NTL,27.2,27.35,27.4,27.05,27.0,27.24
2022-05-27 10:00:00,NTL,27.4,27.55,27.7,27.45,27.4,27.28
2022-05-27 11:00:00,NTL,27.5,27.25,27.5,27.3,27.25,27.34
2022-05-27 13:00:00,NTL,27.3,27.4,27.5,27.3,27.25,27.23
2022-05-27 14:00:00,NTL,27.45,27.4,27.5,27.3,27.2,27.32
2022-05-30 09:00:00,NTL,27.6,27.45,27.6,27.4,27.35,27.34
2022-05-30 10:00:00,NTL,27.45,28.1,28.2,27.5,27.45,27.34
2022-05-30 11:00:00,NTL,28.1,27.7,28.1,27.8,27.7,27.34
2022-05-30 13:00:00,NTL,27.7,28.35,28.4,27.8,27.7,27.41
2022-05-30 14:00:00,NTL,28.3,28.3,28.3,28.25,28.2,27.529999999999998
2022-05-31 09:00:00,NTL,28.3,28.4,28.45,27.9,27.8,27.63
2022-05-31 10:00:00,NTL,28.4,28.2,28.4,28.2,28.15,27.77
2022-05-31 11:00:00,NTL,28.2,28.15,28.25,28.2,28.15,27.91
2022-05-31 13:00:00,NTL,28.2,28.0,28.35,28.1,28.0,28.0
2022-05-31 14:00:00,NTL,28.0,28.0,28.1,27.95,27.9,27.95
2022-06-01 09:00:00,NTL,28.0,28.0,28.05,28.0,27.9,27.99
2022-06-01 10:00:00,NTL,28.0,27.65,28.0,27.7,27.65,27.779999999999998
2022-06-01 11:00:00,NTL,27.6,27.7,27.7,27.65,27.6,27.45
2022-06-01 13:00:00,NTL,27.6,27.7,27.7,27.65,27.6,27.6
2022-06-01 14:00:00,NTL,27.8,27.8,27.9,27.65,27.6,27.69
2022-06-02 09:00:00,NTL,27.9,27.65,27.9,27.65,27.6,27.63
2022-06-02 10:00:00,NTL,27.65,27.6,27.7,27.5,27.45,27.47
2022-06-02 11:00:00,NTL,27.6,27.55,27.65,27.6,27.55,27.48
2022-06-02 13:00:00,NTL,27.6,28.0,28.0,27.55,27.5,27.57
2022-06-02 14:00:00,NTL,28.0,28.2,28.6,28.0,27.95,27.96
2022-06-03 09:00:00,NTL,28.0,28.0,28.3,28.1,28.0,27.98
2022-06-03 10:00:00,NTL,27.9,28.0,28.0,28.0,27.9,27.82
2022-06-03 11:00:00,NTL,28.0,27.85,28.0,27.85,27.8,27.81
2022-06-03 13:00:00,NTL,27.7,27.6,27.8,27.6,27.55,27.560000000000002
2022-06-03 14:00:00,NTL,27.6,27.7,27.9,27.7,27.6,27.560000000000002
2022-06-06 09:00:00,NTL,27.5,27.4,27.5,27.35,27.3,27.3
2022-06-06 10:00:00,NTL,27.4,27.4,27.5,27.4,27.35,27.29
2022-06-06 11:00:00,NTL,27.4,27.5,27.5,27.4,27.35,27.31
2022-06-06 13:00:00,NTL,27.5,27.7,28.0,27.55,27.5,27.57
2022-06-06 14:00:00,NTL,27.65,27.3,27.7,27.35,27.3,27.31
2022-06-07 09:00:00,NTL,27.3,27.1,27.4,27.1,27.05,27.18
2022-06-07 10:00:00,NTL,27.3,27.0,27.3,26.6,26.55,26.95
2022-06-07 11:00:00,NTL,26.85,26.7,26.85,26.4,26.3,26.38
2022-06-07 13:00:00,NTL,26.5,26.4,26.65,26.15,26.1,26.14
2022-06-07 14:00:00,NTL,26.45,27.2,27.3,26.35,26.3,26.51
2022-06-08 09:00:00,NTL,27.4,27.45,27.5,27.4,27.35,27.330000000000002
2022-06-08 10:00:00,NTL,27.5,27.3,27.8,27.2,26.6,27.27
2022-06-08 11:00:00,NTL,27.35,27.6,27.6,27.4,27.35,27.38
2022-06-08 13:00:00,NTL,27.6,27.5,27.65,27.45,27.4,27.43
2022-06-08 14:00:00,NTL,27.5,27.45,27.5,27.45,27.4,27.36
2022-06-09 09:00:00,NTL,27.9,27.75,27.9,27.5,27.45,27.57
2022-06-09 10:00:00,NTL,27.75,27.4,27.75,27.45,27.4,27.38
2022-06-09 11:00:00,NTL,27.4,27.5,27.5,27.5,27.4,27.38
2022-06-09 13:00:00,NTL,27.5,27.45,27.5,27.45,27.4,27.4
2022-06-09 14:00:00,NTL,27.4,27.6,27.7,27.5,27.4,27.419999999999998
2022-06-10 09:00:00,NTL,27.4,27.25,27.4,27.1,27.0,27.14
2022-06-10 10:00:00,NTL,27.25,27.35,27.6,27.35,27.25,27.27
2022-06-10 11:00:00,NTL,27.35,27.5,27.5,27.25,27.2,27.3
2022-06-10 13:00:00,NTL,27.2,27.4,27.4,27.15,27.05,27.13
2022-06-10 14:00:00,NTL,27.4,27.0,27.4,27.05,27.0,27.1
2022-06-13 09:00:00,NTL,26.05,26.4,26.5,26.05,26.0,26.04
2022-06-13 10:00:00,NTL,26.4,25.95,26.5,25.9,25.8,25.95
2022-06-13 11:00:00,NTL,25.9,25.8,25.9,25.6,25.55,25.64
2022-06-13 13:00:00,NTL,25.8,25.15,25.8,25.2,25.15,25.15
2022-06-13 14:00:00,NTL,25.15,25.15,25.25,25.2,25.15,24.91
2022-06-14 09:00:00,NTL,24.6,24.3,24.8,23.9,23.8,24.69
2022-06-14 10:00:00,NTL,24.4,24.9,25.1,24.55,24.4,24.55
2022-06-14 11:00:00,NTL,24.9,25.1,25.15,24.95,24.9,24.939999999999998
2022-06-14 13:00:00,NTL,25.1,24.55,25.15,24.6,24.55,24.71
2022-06-14 14:00:00,NTL,24.55,24.55,24.65,24.15,24.1,24.4
2022-06-15 09:00:00,NTL,24.5,24.5,25.25,24.55,24.5,24.46
2022-06-15 10:00:00,NTL,24.45,24.3,24.5,23.95,23.5,24.27
2022-06-15 11:00:00,NTL,24.3,24.35,24.35,24.0,23.9,24.09
2022-06-15 13:00:00,NTL,24.3,24.2,24.55,24.25,24.2,23.97
2022-06-15 14:00:00,NTL,24.2,24.5,24.55,24.15,24.05,23.9
2022-06-16 09:00:00,NTL,24.5,24.9,25.5,24.6,24.5,24.57
2022-06-16 10:00:00,NTL,25.0,25.2,25.2,25.0,24.9,24.98
2022-06-16 11:00:00,NTL,25.2,25.1,25.2,25.2,25.1,25.02
2022-06-16 13:00:00,NTL,25.0,24.95,25.1,25.0,24.95,25.009999999999998
2022-06-16 14:00:00,NTL,25.0,24.9,25.05,24.8,24.7,24.89
2022-06-17 09:00:00,NTL,24.5,24.2,24.55,23.85,23.8,23.9
2022-06-17 10:00:00,NTL,24.2,24.0,24.2,23.7,23.65,23.89
2022-06-17 11:00:00,NTL,24.0,24.15,24.2,24.0,23.8,23.86
2022-06-17 13:00:00,NTL,24.0,23.75,24.15,23.65,23.6,23.73
2022-06-17 14:00:00,NTL,23.8,24.0,24.0,23.75,23.7,23.69
2022-06-20 09:00:00,NTL,24.0,24.1,24.95,24.1,24.0,23.87
2022-06-20 10:00:00,NTL,24.15,23.7,24.15,23.6,23.5,23.71
2022-06-20 11:00:00,NTL,23.7,23.65,24.0,23.65,23.6,23.65
2022-06-20 13:00:00,NTL,23.65,23.3,23.7,23.1,23.0,23.61
2022-06-20 14:00:00,NTL,23.3,24.0,24.0,23.1,23.0,23.48
2022-06-21 09:00:00,NTL,23.05,22.3,23.2,22.05,22.0,23.34
2022-06-21 10:00:00,NTL,22.35,22.75,23.0,22.35,22.25,23.06
2022-06-21 11:00:00,NTL,22.65,22.3,22.65,22.4,22.3,22.77
2022-06-21 13:00:00,NTL,22.15,22.2,22.85,22.2,22.15,22.51
2022-06-21 14:00:00,NTL,22.25,22.85,23.0,22.25,22.2,22.34
2022-06-22 09:00:00,NTL,22.95,22.8,23.3,22.8,22.5,22.35
2022-06-22 10:00:00,NTL,22.7,23.2,23.2,22.8,22.7,22.45
2022-06-22 11:00:00,NTL,23.15,23.1,23.15,23.15,23.1,22.69
2022-06-22 13:00:00,NTL,23.0,22.8,23.0,22.65,22.6,22.57
2022-06-22 14:00:00,NTL,22.9,22.8,22.9,22.7,22.6,22.63
2022-06-23 09:00:00,NTL,22.8,22.55,22.8,22.55,22.5,22.45
2022-06-23 10:00:00,NTL,22.6,22.85,22.95,22.55,22.5,22.43
2022-06-23 11:00:00,NTL,22.75,22.7,22.75,22.7,22.6,22.5
2022-06-23 13:00:00,NTL,22.6,23.1,23.1,22.7,22.6,22.580000000000002
2022-06-23 14:00:00,NTL,23.1,23.15,23.15,23.05,23.0,22.7
2022-06-24 09:00:00,NTL,23.35,23.0,23.35,23.05,23.0,22.84
2022-06-24 10:00:00,NTL,23.1,23.2,23.4,23.15,23.1,22.86
2022-06-24 11:00:00,NTL,23.2,23.2,23.25,23.25,23.2,22.94
2022-06-24 13:00:00,NTL,23.25,23.15,23.3,23.15,23.1,23.080000000000002
2022-06-24 14:00:00,NTL,23.15,23.1,23.15,23.15,23.1,23.1
2022-06-27 09:00:00,NTL,23.5,23.15,23.5,23.2,23.15,23.080000000000002
2022-06-27 10:00:00,NTL,23.15,23.0,23.15,23.0,22.75,23.060000000000002
2022-06-27 11:00:00,NTL,23.1,23.2,23.2,23.15,23.1,23.1
2022-06-27 13:00:00,NTL,23.2,23.3,23.65,23.1,23.05,23.11
2022-06-27 14:00:00,NTL,23.3,23.45,23.6,23.4,23.3,23.1
2022-06-28 09:00:00,NTL,23.7,23.95,24.0,23.5,23.45,23.48
2022-06-28 10:00:00,NTL,24.0,24.3,24.5,23.95,23.85,23.89
2022-06-28 11:00:00,NTL,24.35,24.3,24.4,24.35,24.3,23.95
2022-06-28 13:00:00,NTL,24.4,24.3,24.4,24.35,24.3,23.99
2022-06-28 14:00:00,NTL,24.25,24.0,24.25,24.0,23.9,23.81
2022-06-29 09:00:00,NTL,24.0,25.5,25.5,24.1,24.0,24.56
2022-06-29 10:00:00,NTL,25.2,25.05,25.5,25.05,25.0,25.06
2022-06-29 11:00:00,NTL,25.1,25.15,25.5,25.15,25.1,25.06
2022-06-29 13:00:00,NTL,25.15,25.0,25.3,24.65,24.6,24.89
2022-06-29 14:00:00,NTL,25.0,25.2,25.2,24.9,24.85,24.98
2022-06-30 09:00:00,NTL,25.15,25.5,25.5,24.8,24.75,25.0
2022-06-30 10:00:00,NTL,25.4,25.35,25.5,25.05,25.0,25.0
2022-06-30 11:00:00,NTL,25.2,25.3,25.3,25.1,25.05,25.08
2022-06-30 13:00:00,NTL,25.05,25.4,25.45,25.1,25.05,24.99
2022-06-30 14:00:00,NTL,25.35,25.15,25.5,25.15,25.1,25.06
2022-07-01 09:00:00,NTL,24.6,24.5,24.95,24.1,24.05,24.09
2022-07-01 10:00:00,NTL,24.5,24.25,24.7,24.25,24.2,24.080000000000002
2022-07-01 11:00:00,NTL,24.3,24.2,24.3,24.1,24.05,24.12
2022-07-01 13:00:00,NTL,24.15,24.8,24.95,24.05,24.0,24.09
2022-07-01 14:00:00,NTL,24.8,25.45,25.8,24.65,24.6,24.82
2022-07-04 09:00:00,NTL,25.5,25.1,25.5,25.1,25.0,25.04
2022-07-04 10:00:00,NTL,25.2,24.95,25.2,24.85,24.8,24.82
2022-07-04 11:00:00,NTL,25.0,25.25,25.4,25.05,25.0,24.990000000000002
2022-07-04 13:00:00,NTL,25.25,24.9,25.45,24.75,24.7,24.78
2022-07-04 14:00:00,NTL,24.9,25.0,25.0,24.8,24.7,24.86
2022-07-05 09:00:00,NTL,25.0,24.75,25.0,24.6,24.5,24.67
2022-07-05 10:00:00,NTL,24.8,24.6,24.8,24.55,24.5,24.48
2022-07-05 11:00:00,NTL,24.6,24.6,24.6,24.6,24.55,24.35
2022-07-05 13:00:00,NTL,24.6,24.5,24.9,24.6,24.5,24.52
2022-07-05 14:00:00,NTL,24.5,24.6,24.6,24.2,24.1,24.14
2022-07-06 09:00:00,NTL,24.05,24.1,24.5,24.1,24.05,23.96
2022-07-06 10:00:00,NTL,24.35,24.5,24.5,24.1,24.0,23.93
2022-07-06 11:00:00,NTL,24.4,24.5,24.5,24.5,24.4,24.25
2022-07-06 13:00:00,NTL,24.4,24.2,24.4,24.15,24.0,24.15
2022-07-06 14:00:00,NTL,24.2,24.0,24.55,24.05,24.0,24.04
2022-07-07 09:00:00,NTL,23.6,24.05,24.05,24.0,23.6,23.63
2022-07-07 10:00:00,NTL,24.0,23.75,24.0,23.75,23.7,23.61
2022-07-07 11:00:00,NTL,23.8,23.8,23.9,23.9,23.8,23.64
2022-07-07 13:00:00,NTL,23.8,23.6,24.0,23.65,23.6,23.63
2022-07-07 14:00:00,NTL,23.7,24.0,24.0,23.65,23.6,23.63
2022-07-08 09:00:00,NTL,24.1,24.95,25.0,24.15,24.1,24.12
2022-07-08 10:00:00,NTL,25.0,25.0,25.1,24.95,24.8,24.849999999999998
2022-07-08 11:00:00,NTL,25.0,25.0,25.1,25.0,24.95,24.91
2022-07-08 13:00:00,NTL,25.0,24.8,25.0,24.85,24.8,24.73
2022-07-08 14:00:00,NTL,24.8,25.0,25.0,24.7,24.65,24.72
2022-07-11 09:00:00,NTL,25.0,24.85,25.0,24.55,24.5,24.669999999999998
2022-07-11 10:00:00,NTL,24.8,25.0,25.0,24.7,24.65,24.65
2022-07-11 11:00:00,NTL,24.75,24.75,24.75,24.75,24.75,24.55
2022-07-11 13:00:00,NTL,24.75,24.6,24.8,24.6,24.55,24.57
