date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PC1,34.5,33.75,35.6,32.9,32.8,0.0
2022-05-13 10:00:00,PC1,33.75,33.8,34.4,33.7,33.65,32.8
2022-05-13 11:00:00,PC1,33.7,33.1,33.7,33.05,33.0,33.224999999999994
2022-05-13 13:00:00,PC1,33.1,32.6,33.5,32.6,32.55,33.15
2022-05-13 14:00:00,PC1,32.6,32.55,32.6,32.6,32.55,33.0
2022-05-16 09:00:00,PC1,33.0,33.6,34.0,33.2,33.0,32.91
2022-05-16 10:00:00,PC1,33.55,32.6,33.6,32.25,32.2,32.949999999999996
2022-05-16 11:00:00,PC1,32.6,32.55,32.75,32.6,32.55,32.66
2022-05-16 13:00:00,PC1,32.55,30.7,32.75,30.5,30.45,32.57
2022-05-16 14:00:00,PC1,30.8,30.3,31.2,30.35,30.3,32.06
2022-05-17 09:00:00,PC1,29.5,29.3,30.3,28.6,28.5,31.68
2022-05-17 10:00:00,PC1,29.35,30.0,30.55,29.35,29.3,30.869999999999997
2022-05-17 11:00:00,PC1,30.0,29.9,30.1,29.8,29.6,30.22
2022-05-17 13:00:00,PC1,29.85,32.3,32.3,30.0,29.85,30.44
2022-05-17 14:00:00,PC1,32.3,32.4,32.4,32.35,32.3,32.57
2022-05-18 09:00:00,PC1,33.5,33.2,33.5,32.55,32.5,32.66
2022-05-18 10:00:00,PC1,33.3,33.1,33.3,32.75,32.7,32.65
2022-05-18 11:00:00,PC1,33.1,33.3,33.3,33.1,33.05,32.75
2022-05-18 13:00:00,PC1,33.3,32.8,33.9,32.8,32.75,32.59
2022-05-18 14:00:00,PC1,32.8,32.0,33.0,32.2,32.0,32.43
2022-05-19 09:00:00,PC1,31.0,31.6,31.95,31.1,31.0,30.98
2022-05-19 10:00:00,PC1,31.65,32.0,32.5,31.7,31.65,32.08
2022-05-19 11:00:00,PC1,32.0,32.0,32.55,32.0,31.95,32.21
2022-05-19 13:00:00,PC1,32.0,32.05,32.7,31.9,31.85,32.089999999999996
2022-05-19 14:00:00,PC1,32.05,33.0,33.45,32.05,32.0,32.36
2022-05-20 09:00:00,PC1,33.0,33.4,33.65,32.8,32.7,32.8
2022-05-20 10:00:00,PC1,33.45,33.8,33.9,33.45,33.4,33.08
2022-05-20 11:00:00,PC1,33.8,33.35,33.9,33.4,33.35,33.16
2022-05-20 13:00:00,PC1,33.4,33.35,33.5,33.0,32.95,32.79
2022-05-20 14:00:00,PC1,33.4,33.4,33.45,33.1,33.05,32.88
2022-05-23 09:00:00,PC1,33.85,33.4,33.85,33.45,33.4,33.15
