date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PDR,56.6,56.0,56.7,55.5,55.4,0.0
2022-05-13 10:00:00,PDR,55.9,55.9,57.0,55.6,55.5,55.4
2022-05-13 11:00:00,PDR,56.0,55.6,56.2,55.6,55.5,55.45
2022-05-13 13:00:00,PDR,55.6,55.6,57.7,54.0,53.9,55.46666666666667
2022-05-13 14:00:00,PDR,55.3,53.6,56.5,54.6,53.6,55.075
2022-05-16 09:00:00,PDR,53.2,54.5,55.3,53.1,53.0,54.78
2022-05-16 10:00:00,PDR,54.5,53.6,54.5,53.1,53.0,54.3
2022-05-16 11:00:00,PDR,53.6,54.6,55.0,53.8,53.6,53.8
2022-05-16 13:00:00,PDR,54.5,53.6,54.5,53.2,53.1,53.74
2022-05-16 14:00:00,PDR,53.6,54.6,55.9,53.7,53.6,53.26
2022-05-17 09:00:00,PDR,54.4,53.5,55.0,53.3,53.2,53.26
2022-05-17 10:00:00,PDR,53.5,53.5,54.6,53.1,53.0,53.18
2022-05-17 11:00:00,PDR,53.5,54.2,54.2,53.2,53.0,53.14
2022-05-17 13:00:00,PDR,54.2,56.8,56.8,53.9,53.8,54.42
2022-05-17 14:00:00,PDR,56.8,57.0,57.0,56.0,55.9,54.82
2022-05-18 09:00:00,PDR,57.5,56.0,57.5,55.5,55.4,55.24
2022-05-18 10:00:00,PDR,56.0,55.8,56.5,55.4,55.3,55.54
2022-05-18 11:00:00,PDR,55.9,56.0,56.6,55.8,55.6,55.519999999999996
2022-05-18 13:00:00,PDR,55.9,56.1,56.3,55.2,55.1,55.46
2022-05-18 14:00:00,PDR,56.0,55.8,56.5,55.9,55.8,55.46
2022-05-19 09:00:00,PDR,55.1,53.9,55.1,53.9,53.8,53.300000000000004
2022-05-19 10:00:00,PDR,53.9,54.1,54.9,53.8,53.7,53.18
2022-05-19 11:00:00,PDR,54.1,53.8,54.8,53.6,53.5,53.2
2022-05-19 13:00:00,PDR,53.8,53.9,54.4,53.5,53.4,53.26
2022-05-19 14:00:00,PDR,53.9,54.0,54.5,53.5,53.4,53.32
2022-05-20 09:00:00,PDR,53.9,53.9,54.6,53.0,52.9,53.26
2022-05-20 10:00:00,PDR,54.0,54.4,54.9,53.4,53.3,53.42
2022-05-20 11:00:00,PDR,54.3,54.2,54.8,54.2,54.1,53.5
2022-05-20 13:00:00,PDR,54.1,53.4,55.0,53.2,53.1,53.14
2022-05-20 14:00:00,PDR,53.5,53.8,54.1,53.1,53.0,53.14
2022-05-23 09:00:00,PDR,53.5,52.5,53.7,52.5,52.4,53.0
2022-05-23 10:00:00,PDR,52.5,52.7,53.2,52.3,52.2,52.86
2022-05-23 11:00:00,PDR,52.7,52.5,52.9,52.3,52.2,52.72
2022-05-23 13:00:00,PDR,52.5,52.4,53.0,52.2,52.1,52.56
2022-05-23 14:00:00,PDR,52.3,53.0,53.0,52.1,52.0,52.38
2022-05-24 09:00:00,PDR,52.6,51.8,53.1,51.4,51.3,52.18
2022-05-24 10:00:00,PDR,51.9,51.6,52.2,51.2,51.1,51.96
2022-05-24 11:00:00,PDR,51.6,51.6,52.4,51.4,51.3,51.74
2022-05-24 13:00:00,PDR,51.6,51.5,52.0,50.9,50.8,51.6
2022-05-24 14:00:00,PDR,51.5,53.2,53.2,51.3,51.2,51.96
2022-05-25 09:00:00,PDR,53.1,52.8,53.6,51.8,51.7,52.18
2022-05-25 10:00:00,PDR,52.9,52.0,53.0,51.5,51.4,51.9
2022-05-25 11:00:00,PDR,51.9,52.8,53.0,51.6,51.5,51.940000000000005
2022-05-25 13:00:00,PDR,52.8,52.6,53.5,52.0,51.9,52.04
2022-05-25 14:00:00,PDR,52.6,52.8,52.8,52.3,52.2,52.08
2022-05-26 09:00:00,PDR,52.9,53.6,54.5,52.7,52.6,53.06
2022-05-26 10:00:00,PDR,53.7,53.1,54.0,53.1,53.0,52.94
2022-05-26 11:00:00,PDR,53.2,53.7,54.1,53.3,53.2,53.0
2022-05-26 13:00:00,PDR,53.8,53.5,54.4,53.6,53.5,53.26
2022-05-26 14:00:00,PDR,53.5,53.6,54.1,53.1,53.0,53.04
2022-05-27 09:00:00,PDR,53.8,53.4,54.8,53.2,53.1,53.2
2022-05-27 10:00:00,PDR,53.4,54.0,54.5,53.1,53.0,53.02
2022-05-27 11:00:00,PDR,54.0,53.8,54.1,53.7,53.6,53.36
2022-05-27 13:00:00,PDR,53.8,54.2,54.3,53.3,53.2,53.14
2022-05-27 14:00:00,PDR,54.3,54.3,54.5,54.1,54.0,53.660000000000004
2022-05-30 09:00:00,PDR,54.3,53.7,54.5,53.0,52.9,53.06
2022-05-30 10:00:00,PDR,53.7,53.3,54.3,53.4,53.3,53.12
2022-05-30 11:00:00,PDR,53.3,54.0,54.3,53.3,53.2,53.04
2022-05-30 13:00:00,PDR,53.7,55.1,55.5,53.1,53.0,53.44
2022-05-30 14:00:00,PDR,55.0,55.3,55.4,55.0,54.9,54.8
2022-05-31 09:00:00,PDR,54.9,54.4,55.4,54.2,54.1,54.1
2022-05-31 10:00:00,PDR,54.4,54.2,55.7,54.0,53.9,53.86
2022-05-31 11:00:00,PDR,54.3,55.0,55.2,54.4,54.3,54.12
2022-05-31 13:00:00,PDR,55.0,54.0,55.3,54.1,54.0,53.98
2022-05-31 14:00:00,PDR,53.9,54.8,55.0,53.9,53.8,53.8
2022-06-01 09:00:00,PDR,54.5,53.9,55.0,54.0,53.9,53.82
2022-06-01 10:00:00,PDR,53.9,54.4,55.0,53.7,53.6,53.56
2022-06-01 11:00:00,PDR,54.4,54.0,54.4,53.7,53.6,53.58
2022-06-01 13:00:00,PDR,53.9,53.9,54.6,53.4,53.3,53.28
2022-06-01 14:00:00,PDR,54.0,54.5,54.7,53.6,53.5,53.6
2022-06-02 09:00:00,PDR,54.5,54.1,54.6,53.5,53.4,53.38
2022-06-02 10:00:00,PDR,54.1,54.2,54.4,53.5,53.4,53.38
2022-06-02 11:00:00,PDR,54.2,53.9,54.7,53.7,53.6,53.52
2022-06-02 13:00:00,PDR,54.0,53.5,54.0,53.4,53.3,53.28
2022-06-02 14:00:00,PDR,53.5,54.2,54.2,53.3,53.2,53.08
2022-06-03 09:00:00,PDR,54.2,53.7,54.7,53.2,53.1,53.1
2022-06-03 10:00:00,PDR,53.7,53.8,54.5,53.4,53.3,53.3
