date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PET,34.7,33.55,35.6,33.1,33.05,0.0
2022-05-13 10:00:00,PET,33.1,33.15,33.8,33.1,33.05,33.05
2022-05-13 11:00:00,PET,33.05,33.05,33.15,33.1,33.05,33.05
2022-05-13 13:00:00,PET,33.05,33.05,33.05,33.05,33.05,33.05
2022-05-13 14:00:00,PET,33.05,33.05,33.05,33.05,33.05,33.05
2022-05-16 09:00:00,PET,34.3,33.9,34.8,33.5,33.05,33.05
2022-05-16 10:00:00,PET,33.85,32.0,33.85,31.3,31.0,33.05
2022-05-16 11:00:00,PET,32.0,31.6,32.7,31.6,31.5,32.64
2022-05-16 13:00:00,PET,32.5,30.75,32.5,30.8,30.75,32.33
2022-05-16 14:00:00,PET,30.75,30.75,31.0,30.8,30.75,31.869999999999997
2022-05-17 09:00:00,PET,30.65,31.0,31.4,28.8,28.75,31.41
2022-05-17 10:00:00,PET,31.0,30.8,31.3,30.6,30.5,30.55
2022-05-17 11:00:00,PET,30.8,30.75,30.9,30.6,30.55,30.45
2022-05-17 13:00:00,PET,30.9,32.9,32.9,31.0,30.9,30.81
2022-05-17 14:00:00,PET,32.9,32.9,32.9,32.9,32.9,32.739999999999995
2022-05-18 09:00:00,PET,33.5,34.5,34.9,33.05,33.0,33.05
2022-05-18 10:00:00,PET,34.5,33.5,34.5,33.3,33.15,33.04
2022-05-18 11:00:00,PET,33.7,34.35,34.4,33.7,33.65,33.059999999999995
2022-05-18 13:00:00,PET,34.4,33.8,34.45,33.7,33.65,33.18
2022-05-18 14:00:00,PET,33.7,33.1,33.8,33.2,33.1,33.07
2022-05-19 09:00:00,PET,32.0,32.2,32.5,31.3,31.2,31.31
2022-05-19 10:00:00,PET,32.1,32.6,32.8,32.0,31.95,32.339999999999996
2022-05-19 11:00:00,PET,32.5,32.5,33.15,32.6,32.5,32.8
2022-05-19 13:00:00,PET,32.75,32.6,33.4,32.6,32.55,32.91
2022-05-19 14:00:00,PET,32.5,33.1,33.2,32.25,32.2,32.589999999999996
2022-05-20 09:00:00,PET,33.9,35.4,35.4,33.6,33.5,33.28
2022-05-20 10:00:00,PET,35.4,35.4,35.4,35.4,35.4,33.379999999999995
2022-05-20 11:00:00,PET,35.4,35.4,35.4,35.4,35.4,35.4
2022-05-20 13:00:00,PET,35.4,35.4,35.4,35.4,35.4,35.4
2022-05-20 14:00:00,PET,35.4,35.4,35.4,35.4,35.4,35.4
2022-05-23 09:00:00,PET,37.8,37.1,37.8,36.8,36.6,35.019999999999996
2022-05-23 10:00:00,PET,37.1,36.3,37.25,36.45,36.3,35.64
2022-05-23 11:00:00,PET,36.3,36.3,36.8,36.3,36.25,35.82
2022-05-23 13:00:00,PET,36.3,36.05,36.8,36.1,36.05,35.75
2022-05-23 14:00:00,PET,36.05,35.4,36.05,34.1,34.0,35.53
2022-05-24 09:00:00,PET,35.8,35.2,35.9,34.65,34.6,35.12
2022-05-24 10:00:00,PET,35.2,35.45,35.9,35.1,35.0,35.24
2022-05-24 11:00:00,PET,35.45,36.1,36.5,35.45,35.4,35.62
2022-05-24 13:00:00,PET,36.3,35.4,36.3,35.1,35.0,35.01
2022-05-24 14:00:00,PET,35.4,37.0,37.0,35.2,35.1,35.54
2022-05-25 09:00:00,PET,37.5,37.2,38.0,37.25,37.2,36.06
2022-05-25 10:00:00,PET,37.25,37.25,37.5,37.05,37.0,36.48
2022-05-25 11:00:00,PET,37.25,38.0,38.8,37.2,37.15,36.67
2022-05-25 13:00:00,PET,38.0,39.55,39.55,38.2,38.0,36.85
2022-05-25 14:00:00,PET,39.55,39.55,39.55,39.5,39.45,37.19
2022-05-26 09:00:00,PET,39.8,39.95,40.7,39.85,39.8,37.68
2022-05-26 10:00:00,PET,39.95,40.0,40.35,39.7,39.65,38.32
2022-05-26 11:00:00,PET,40.0,39.65,40.0,39.65,39.6,38.81
2022-05-26 13:00:00,PET,39.65,39.55,40.0,39.05,39.0,39.3
2022-05-26 14:00:00,PET,39.55,39.55,39.75,39.25,39.2,39.5
2022-05-27 09:00:00,PET,39.6,39.95,40.5,39.55,39.5,39.45
2022-05-27 10:00:00,PET,39.95,40.1,40.45,39.9,39.7,39.51
2022-05-27 11:00:00,PET,40.2,41.1,41.95,40.05,40.0,39.65
2022-05-27 13:00:00,PET,41.3,41.7,42.0,40.6,40.5,39.73
2022-05-27 14:00:00,PET,41.7,41.2,41.7,40.7,40.65,39.93
2022-05-30 09:00:00,PET,41.0,41.75,42.0,41.1,41.0,40.13
2022-05-30 10:00:00,PET,41.75,41.7,42.35,41.3,41.2,40.37
2022-05-30 11:00:00,PET,41.6,41.9,41.95,41.7,41.6,40.67
2022-05-30 13:00:00,PET,41.9,41.75,41.9,41.55,41.5,40.99
2022-05-30 14:00:00,PET,41.6,41.2,41.6,41.25,41.2,41.19
2022-05-31 09:00:00,PET,41.4,41.35,41.4,40.9,40.8,40.97
2022-05-31 10:00:00,PET,41.35,41.55,42.0,41.25,41.2,41.300000000000004
2022-05-31 11:00:00,PET,41.55,41.35,41.7,41.35,41.3,41.07
2022-05-31 13:00:00,PET,41.5,41.25,41.9,41.25,41.2,41.03
2022-05-31 14:00:00,PET,41.25,41.0,41.45,40.95,40.9,41.03
2022-06-01 09:00:00,PET,40.9,40.65,41.3,40.5,40.35,40.71
2022-06-01 10:00:00,PET,40.65,39.7,40.65,39.1,39.05,39.65
2022-06-01 11:00:00,PET,39.7,39.3,39.75,39.25,39.2,39.35
2022-06-01 13:00:00,PET,39.3,39.9,40.3,39.05,39.0,39.31
2022-06-01 14:00:00,PET,39.95,40.7,41.2,40.0,39.95,39.9
2022-06-02 09:00:00,PET,40.7,43.1,43.5,40.7,40.6,41.1
2022-06-02 10:00:00,PET,43.1,43.5,43.5,43.2,43.1,41.22
2022-06-02 11:00:00,PET,43.5,43.5,43.5,43.5,43.5,41.72
2022-06-02 13:00:00,PET,43.5,43.5,43.5,43.1,43.05,42.18
2022-06-02 14:00:00,PET,43.5,43.5,43.5,43.25,43.2,42.55
2022-06-03 09:00:00,PET,43.95,45.6,45.7,43.55,43.5,42.69
2022-06-03 10:00:00,PET,45.7,45.0,46.4,44.75,44.7,43.27
2022-06-03 11:00:00,PET,45.1,44.9,45.45,44.55,44.5,43.59
2022-06-03 13:00:00,PET,44.9,45.3,45.45,44.2,44.15,43.88
2022-06-03 14:00:00,PET,45.3,44.5,45.7,44.55,44.5,44.07
2022-06-06 09:00:00,PET,44.0,45.1,45.3,44.1,44.0,44.27
2022-06-06 10:00:00,PET,45.15,46.2,46.5,45.15,45.1,44.27
2022-06-06 11:00:00,PET,46.2,46.1,46.4,46.0,45.95,44.59
