date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PLX,38.6,38.2,38.6,37.75,37.6,0.0
2022-05-13 10:00:00,PLX,38.45,38.75,39.0,38.4,38.3,37.6
2022-05-13 11:00:00,PLX,38.8,38.15,38.8,38.05,38.0,37.95
2022-05-13 13:00:00,PLX,38.15,38.15,38.5,37.25,37.2,37.96666666666667
2022-05-13 14:00:00,PLX,38.1,37.35,38.15,37.1,37.05,37.775
2022-05-16 09:00:00,PLX,38.3,39.95,39.95,38.4,38.3,37.63
2022-05-16 10:00:00,PLX,39.95,39.1,39.95,38.8,38.75,37.88
2022-05-16 11:00:00,PLX,39.05,39.2,39.4,39.05,39.0,38.19
2022-05-16 13:00:00,PLX,39.2,38.9,39.3,38.55,38.5,38.33
2022-05-16 14:00:00,PLX,38.95,39.1,39.35,38.6,38.55,38.51
2022-05-17 09:00:00,PLX,39.1,40.3,40.4,39.15,39.1,38.62
2022-05-17 10:00:00,PLX,40.3,40.4,40.5,40.15,40.1,38.78
2022-05-17 11:00:00,PLX,40.2,39.9,40.4,39.95,39.9,39.1
2022-05-17 13:00:00,PLX,39.95,41.0,41.2,39.95,39.9,39.23
2022-05-17 14:00:00,PLX,41.0,41.8,41.8,40.75,40.7,39.55
2022-05-18 09:00:00,PLX,42.1,41.7,42.1,41.25,41.2,39.94
2022-05-18 10:00:00,PLX,41.6,41.3,41.8,41.2,41.15,40.36
2022-05-18 11:00:00,PLX,41.4,41.5,41.6,41.45,41.4,40.61
2022-05-18 13:00:00,PLX,41.6,41.3,41.85,41.2,41.15,40.87
2022-05-18 14:00:00,PLX,41.3,41.4,41.6,41.25,41.2,41.12
2022-05-19 09:00:00,PLX,40.2,40.3,40.6,40.25,40.2,39.55
2022-05-19 10:00:00,PLX,40.3,40.5,41.2,40.35,40.3,40.160000000000004
2022-05-19 11:00:00,PLX,40.5,40.6,41.0,40.5,40.45,40.08
2022-05-19 13:00:00,PLX,40.6,40.4,40.7,40.45,40.4,40.19
2022-05-19 14:00:00,PLX,40.4,40.5,41.0,40.35,40.3,40.29
2022-05-20 09:00:00,PLX,40.6,41.2,41.3,40.6,40.5,40.33
2022-05-20 10:00:00,PLX,41.25,41.3,41.7,41.2,41.15,41.12
2022-05-20 11:00:00,PLX,41.3,40.9,41.3,40.85,40.8,41.03
2022-05-20 13:00:00,PLX,41.05,40.6,41.1,40.5,40.45,40.449999999999996
2022-05-20 14:00:00,PLX,40.6,40.5,40.7,40.55,40.5,40.29
2022-05-23 09:00:00,PLX,41.0,40.55,41.0,40.55,40.5,40.52
2022-05-23 10:00:00,PLX,40.55,40.45,40.65,40.45,40.4,40.35
2022-05-23 11:00:00,PLX,40.45,40.2,40.5,40.3,40.2,40.32
2022-05-23 13:00:00,PLX,40.2,40.4,40.8,40.2,40.15,40.22
2022-05-23 14:00:00,PLX,40.4,40.25,40.4,40.1,40.05,40.11
2022-05-24 09:00:00,PLX,40.5,40.05,40.5,40.1,40.05,40.09
2022-05-24 10:00:00,PLX,40.05,40.0,40.3,39.55,39.5,40.06
2022-05-24 11:00:00,PLX,39.8,40.05,40.25,39.8,39.7,39.95
2022-05-24 13:00:00,PLX,40.05,39.5,40.2,39.15,39.1,39.58
2022-05-24 14:00:00,PLX,39.5,40.0,40.0,39.35,39.25,39.46
2022-05-25 09:00:00,PLX,40.6,40.3,40.8,40.1,40.0,40.24
2022-05-25 10:00:00,PLX,40.3,40.3,40.4,40.05,40.0,40.12
