date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,POW,12.35,12.1,12.55,12.05,12.0,0.0
2022-05-13 10:00:00,POW,12.15,12.35,12.4,12.15,12.1,12.0
2022-05-13 11:00:00,POW,12.3,12.15,12.35,12.05,12.0,12.05
2022-05-13 13:00:00,POW,12.1,11.8,12.25,11.5,11.45,12.033333333333333
2022-05-13 14:00:00,POW,11.8,11.45,11.9,11.5,11.45,11.8875
2022-05-16 09:00:00,POW,12.0,12.1,12.25,11.95,11.9,11.799999999999999
2022-05-16 10:00:00,POW,12.1,12.0,12.15,11.9,11.85,11.89
2022-05-16 11:00:00,POW,11.95,11.9,12.1,11.95,11.9,11.86
2022-05-16 13:00:00,POW,12.0,11.95,12.05,11.6,11.55,11.709999999999999
2022-05-16 14:00:00,POW,11.95,11.6,12.0,11.6,11.55,11.64
2022-05-17 09:00:00,POW,11.65,12.0,12.2,11.65,11.6,11.73
2022-05-17 10:00:00,POW,12.0,12.15,12.25,12.05,12.0,11.95
2022-05-17 11:00:00,POW,12.15,12.1,12.2,12.1,12.05,11.97
2022-05-17 13:00:00,POW,12.15,12.4,12.4,12.15,12.1,12.03
2022-05-17 14:00:00,POW,12.4,12.4,12.4,12.4,12.4,12.05
2022-05-18 09:00:00,POW,12.6,12.9,12.9,12.55,12.5,12.12
2022-05-18 10:00:00,POW,12.85,12.8,12.9,12.7,12.65,12.22
2022-05-18 11:00:00,POW,12.8,12.8,12.85,12.8,12.75,12.35
2022-05-18 13:00:00,POW,12.8,12.65,12.9,12.65,12.6,12.48
2022-05-18 14:00:00,POW,12.6,12.65,12.7,12.65,12.6,12.58
2022-05-19 09:00:00,POW,12.4,12.4,12.55,12.35,12.3,12.12
2022-05-19 10:00:00,POW,12.4,12.55,12.7,12.4,12.35,12.38
2022-05-19 11:00:00,POW,12.55,12.55,12.7,12.55,12.5,12.45
2022-05-19 13:00:00,POW,12.55,12.65,12.9,12.55,12.5,12.51
2022-05-19 14:00:00,POW,12.7,12.8,13.0,12.65,12.6,12.6
2022-05-20 09:00:00,POW,12.95,13.1,13.2,12.85,12.8,12.62
2022-05-20 10:00:00,POW,13.1,13.05,13.15,13.0,12.95,12.68
2022-05-20 11:00:00,POW,13.05,13.05,13.1,13.0,12.95,12.75
2022-05-20 13:00:00,POW,13.05,13.0,13.05,12.85,12.8,12.82
2022-05-20 14:00:00,POW,12.95,12.8,13.0,12.8,12.75,12.68
2022-05-23 09:00:00,POW,13.0,12.9,13.1,12.95,12.9,12.85
2022-05-23 10:00:00,POW,12.95,13.0,13.15,12.95,12.9,12.88
2022-05-23 11:00:00,POW,13.0,12.95,13.0,12.95,12.9,12.9
2022-05-23 13:00:00,POW,12.95,12.85,13.05,12.85,12.8,12.85
2022-05-23 14:00:00,POW,12.85,12.75,12.9,12.6,12.55,12.67
2022-05-24 09:00:00,POW,12.75,12.7,12.85,12.7,12.65,12.63
2022-05-24 10:00:00,POW,12.7,12.7,12.8,12.55,12.5,12.58
2022-05-24 11:00:00,POW,12.7,12.7,12.75,12.65,12.6,12.58
2022-05-24 13:00:00,POW,12.7,12.45,12.7,12.35,12.3,12.45
2022-05-24 14:00:00,POW,12.5,12.85,12.85,12.35,12.3,12.47
2022-05-25 09:00:00,POW,12.9,12.95,13.25,12.9,12.85,12.870000000000001
2022-05-25 10:00:00,POW,12.95,13.0,13.15,13.0,12.95,12.91
2022-05-25 11:00:00,POW,13.0,13.2,13.35,13.05,13.0,12.91
2022-05-25 13:00:00,POW,13.25,13.35,13.45,13.25,13.2,12.93
2022-05-25 14:00:00,POW,13.35,13.4,13.4,13.35,13.3,13.01
2022-05-26 09:00:00,POW,13.5,13.35,13.5,13.3,13.25,13.08
2022-05-26 10:00:00,POW,13.35,13.35,13.4,13.3,13.25,13.14
2022-05-26 11:00:00,POW,13.3,13.3,13.35,13.3,13.25,13.2
2022-05-26 13:00:00,POW,13.3,13.2,13.35,13.15,13.1,13.2
2022-05-26 14:00:00,POW,13.2,13.15,13.3,13.15,13.1,13.1
2022-05-27 09:00:00,POW,13.2,13.5,13.5,13.2,13.15,13.25
2022-05-27 10:00:00,POW,13.45,13.45,13.6,13.45,13.4,13.25
2022-05-27 11:00:00,POW,13.5,13.45,13.5,13.45,13.4,13.290000000000001
2022-05-27 13:00:00,POW,13.45,13.45,13.5,13.4,13.35,13.32
2022-05-27 14:00:00,POW,13.45,13.35,13.55,13.4,13.35,13.34
2022-05-30 09:00:00,POW,13.45,13.55,13.6,13.4,13.35,13.35
2022-05-30 10:00:00,POW,13.55,13.45,13.6,13.45,13.4,13.37
2022-05-30 11:00:00,POW,13.45,13.6,13.6,13.5,13.45,13.38
2022-05-30 13:00:00,POW,13.6,13.4,13.6,13.45,13.4,13.38
2022-05-30 14:00:00,POW,13.4,13.45,13.5,13.4,13.35,13.36
