date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PTB,99.6,96.9,100.2,97.0,96.9,0.0
2022-05-13 10:00:00,PTB,98.3,98.9,99.0,98.9,98.3,96.9
2022-05-13 11:00:00,PTB,98.7,98.4,98.7,98.5,98.4,97.6
2022-05-13 13:00:00,PTB,98.5,97.0,98.6,96.2,96.1,97.86666666666667
2022-05-13 14:00:00,PTB,97.2,95.5,98.0,96.2,95.5,97.425
2022-05-16 09:00:00,PTB,98.0,97.6,100.0,97.0,96.0,97.04
2022-05-16 10:00:00,PTB,97.7,96.1,99.0,96.1,96.0,96.58
2022-05-16 11:00:00,PTB,96.1,96.8,97.0,96.8,96.1,96.4
2022-05-16 13:00:00,PTB,96.9,95.8,97.0,95.8,95.0,95.94
2022-05-16 14:00:00,PTB,95.8,96.0,96.6,96.0,95.8,95.74
2022-05-17 09:00:00,PTB,90.0,92.1,93.0,92.0,90.0,95.67999999999999
2022-05-17 10:00:00,PTB,92.4,92.2,92.8,92.0,91.6,94.48
2022-05-17 11:00:00,PTB,92.5,92.3,92.5,92.1,92.0,93.7
2022-05-17 13:00:00,PTB,92.3,99.0,99.0,93.0,92.3,95.67999999999999
2022-05-17 14:00:00,PTB,98.9,98.0,99.0,98.5,98.0,97.14
2022-05-18 09:00:00,PTB,99.9,98.0,99.9,97.0,96.8,97.08
2022-05-18 10:00:00,PTB,97.5,97.4,97.5,96.6,96.5,95.74
2022-05-18 11:00:00,PTB,97.2,97.2,97.2,97.0,96.9,95.84
2022-05-18 13:00:00,PTB,97.1,97.8,98.1,96.9,96.8,96.32
2022-05-18 14:00:00,PTB,97.7,97.0,97.7,97.0,96.9,96.48
2022-05-19 09:00:00,PTB,96.7,97.0,98.7,95.5,95.0,96.17999999999999
2022-05-19 10:00:00,PTB,97.0,97.5,99.0,97.5,97.0,96.62
2022-05-19 11:00:00,PTB,98.3,98.4,98.5,98.4,98.3,97.7
2022-05-19 13:00:00,PTB,98.5,97.8,98.9,97.9,97.8,97.8
2022-05-19 14:00:00,PTB,97.8,98.0,98.1,98.0,97.8,97.66
2022-05-20 09:00:00,PTB,98.1,100.1,102.0,99.0,98.1,97.8
2022-05-20 10:00:00,PTB,101.2,100.7,102.0,100.7,100.4,97.92
2022-05-20 11:00:00,PTB,100.7,101.5,101.8,100.8,100.7,98.64
2022-05-20 13:00:00,PTB,100.5,101.5,101.8,100.6,100.5,99.18
2022-05-20 14:00:00,PTB,100.9,102.5,102.5,101.0,100.9,99.6
2022-05-23 09:00:00,PTB,105.0,102.9,105.5,102.9,102.6,100.12
2022-05-23 10:00:00,PTB,102.9,103.0,104.0,102.9,102.6,101.02
2022-05-23 11:00:00,PTB,102.6,105.0,105.0,105.0,102.6,101.46
2022-05-23 13:00:00,PTB,104.8,102.5,104.8,102.1,102.0,101.82
2022-05-23 14:00:00,PTB,102.5,103.7,103.7,101.3,101.1,101.76
2022-05-24 09:00:00,PTB,103.7,102.0,103.7,103.0,102.0,101.84
2022-05-24 10:00:00,PTB,102.0,102.5,103.5,101.8,101.7,101.46
2022-05-24 11:00:00,PTB,102.5,102.5,102.6,102.6,102.5,101.66
2022-05-24 13:00:00,PTB,103.5,101.5,103.5,101.6,101.5,102.16
2022-05-24 14:00:00,PTB,103.0,102.3,103.0,99.6,99.5,101.12
2022-05-25 09:00:00,PTB,102.6,103.3,103.4,102.8,102.6,101.98
2022-05-25 10:00:00,PTB,103.0,101.0,103.0,101.0,100.6,101.12
2022-05-25 11:00:00,PTB,101.0,101.5,102.3,101.5,101.0,100.84
2022-05-25 13:00:00,PTB,102.4,104.4,104.5,101.9,101.8,102.1
2022-05-25 14:00:00,PTB,104.4,104.1,104.5,104.1,104.0,102.47999999999999
2022-05-26 09:00:00,PTB,78.0,76.9,78.0,75.5,75.3,92.34
2022-05-26 10:00:00,PTB,76.8,76.3,76.9,76.4,76.3,88.24
2022-05-26 11:00:00,PTB,76.3,76.3,76.5,76.1,76.0,85.03999999999999
2022-05-26 13:00:00,PTB,76.3,75.8,76.8,75.9,75.8,81.84
2022-05-26 14:00:00,PTB,76.2,77.2,77.2,75.8,75.6,78.67999999999999
2022-05-27 09:00:00,PTB,77.7,77.1,77.8,77.1,77.0,75.8
2022-05-27 10:00:00,PTB,77.0,77.0,77.5,77.1,77.0,76.03999999999999
2022-05-27 11:00:00,PTB,77.2,77.2,77.2,77.2,77.1,76.38
2022-05-27 13:00:00,PTB,77.2,77.5,77.5,77.0,76.8,76.6
2022-05-27 14:00:00,PTB,77.5,78.7,79.1,77.5,77.4,76.64
2022-05-30 09:00:00,PTB,79.0,78.6,79.8,77.1,77.0,76.7
2022-05-30 10:00:00,PTB,78.5,79.5,79.7,78.6,78.5,77.06
2022-05-30 11:00:00,PTB,79.5,79.9,80.0,79.0,78.9,77.34
2022-05-30 13:00:00,PTB,80.0,81.7,82.0,80.1,80.0,77.76
2022-05-30 14:00:00,PTB,81.7,81.9,81.9,81.4,51.8,78.36
2022-05-31 09:00:00,PTB,81.8,81.0,82.9,80.8,80.5,73.24
2022-05-31 10:00:00,PTB,81.2,81.2,81.5,80.9,80.8,73.94
