date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PVD,18.1,17.45,18.1,16.95,16.9,0.0
2022-05-13 10:00:00,PVD,17.45,17.6,18.0,17.45,17.4,16.9
2022-05-13 11:00:00,PVD,17.55,17.2,17.6,17.25,17.2,17.15
2022-05-13 13:00:00,PVD,17.2,16.95,17.5,16.55,16.5,17.166666666666664
2022-05-13 14:00:00,PVD,16.95,16.5,17.0,16.55,16.5,17.0
2022-05-16 09:00:00,PVD,17.65,17.6,17.65,17.6,17.55,16.9
2022-05-16 10:00:00,PVD,17.6,17.4,17.6,17.25,17.2,17.11
2022-05-16 11:00:00,PVD,17.4,17.4,17.6,17.4,17.35,17.25
2022-05-16 13:00:00,PVD,17.4,17.3,17.5,17.2,17.15,17.34
2022-05-16 14:00:00,PVD,17.3,17.3,17.4,17.3,17.25,17.29
2022-05-17 09:00:00,PVD,17.35,18.5,18.5,17.4,17.35,17.28
2022-05-17 10:00:00,PVD,18.5,18.5,18.5,18.5,18.5,17.28
2022-05-17 11:00:00,PVD,18.5,18.5,18.5,18.5,18.5,18.5
2022-05-17 13:00:00,PVD,18.5,18.5,18.5,18.5,18.5,18.5
2022-05-17 14:00:00,PVD,18.5,18.5,18.5,18.5,18.5,18.5
2022-05-18 09:00:00,PVD,19.0,19.65,19.7,18.9,18.85,18.27
2022-05-18 10:00:00,PVD,19.7,19.15,19.7,19.2,19.15,18.57
2022-05-18 11:00:00,PVD,19.15,19.25,19.3,19.2,19.15,18.7
2022-05-18 13:00:00,PVD,19.3,19.15,19.35,19.15,19.1,18.83
2022-05-18 14:00:00,PVD,19.15,18.85,19.15,18.9,18.85,18.95
2022-05-19 09:00:00,PVD,18.3,18.95,19.3,18.3,18.25,18.57
2022-05-19 10:00:00,PVD,18.95,19.45,19.65,19.0,18.95,19.02
2022-05-19 11:00:00,PVD,19.4,19.65,19.9,19.45,19.4,19.04
2022-05-19 13:00:00,PVD,19.65,19.55,19.8,19.4,19.35,19.15
2022-05-19 14:00:00,PVD,19.55,20.15,20.15,19.5,19.45,19.14
2022-05-20 09:00:00,PVD,20.5,20.8,21.1,20.55,20.5,19.24
2022-05-20 10:00:00,PVD,20.85,20.65,20.9,20.4,20.35,19.57
2022-05-20 11:00:00,PVD,20.7,20.25,20.8,20.15,20.1,19.81
