date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,PVS,22.5,23.7,23.8,22.6,22.5,0.0
2022-05-13 10:00:00,PVS,23.7,23.8,24.3,23.6,23.5,22.5
2022-05-13 11:00:00,PVS,23.8,23.3,23.8,23.3,23.2,23.0
2022-05-13 13:00:00,PVS,23.4,23.4,23.9,22.6,22.5,23.066666666666666
2022-05-13 14:00:00,PVS,23.4,23.1,23.7,22.6,22.5,22.925
2022-05-16 09:00:00,PVS,23.1,25.4,25.4,23.5,23.1,22.84
2022-05-16 10:00:00,PVS,25.4,25.3,25.4,25.1,25.0,22.96
2022-05-16 11:00:00,PVS,25.4,25.4,25.4,25.3,25.2,23.46
2022-05-16 13:00:00,PVS,25.4,25.4,25.4,25.3,25.2,25.2
2022-05-16 14:00:00,PVS,25.4,25.4,25.4,25.4,25.4,24.4
2022-05-17 09:00:00,PVS,25.5,27.1,27.5,25.6,25.5,24.78
2022-05-17 10:00:00,PVS,27.1,26.9,27.4,27.0,26.9,25.259999999999998
2022-05-17 11:00:00,PVS,26.9,26.7,27.0,26.8,26.7,25.64
2022-05-17 13:00:00,PVS,26.8,27.4,27.6,26.8,26.7,25.939999999999998
2022-05-17 14:00:00,PVS,27.3,27.6,27.6,27.2,27.1,26.24
2022-05-18 09:00:00,PVS,27.7,27.6,28.0,27.0,26.9,26.58
2022-05-18 10:00:00,PVS,27.6,27.2,27.7,27.3,27.2,26.86
2022-05-18 11:00:00,PVS,27.2,27.3,27.6,27.3,27.2,26.96
2022-05-18 13:00:00,PVS,27.3,27.0,27.6,27.0,26.9,27.02
2022-05-18 14:00:00,PVS,27.0,26.9,27.1,26.8,26.7,26.88
2022-05-19 09:00:00,PVS,25.3,27.3,27.6,25.5,25.3,26.5
2022-05-19 10:00:00,PVS,27.3,28.1,28.8,27.4,27.3,27.02
2022-05-19 11:00:00,PVS,28.1,28.2,28.4,28.1,28.0,27.14
2022-05-19 13:00:00,PVS,28.1,27.8,28.2,27.4,27.3,27.3
2022-05-19 14:00:00,PVS,27.8,28.3,28.5,27.6,27.5,27.32
2022-05-20 09:00:00,PVS,28.4,28.3,28.8,28.1,28.0,27.4
2022-05-20 10:00:00,PVS,28.3,28.3,28.5,28.1,28.0,27.62
2022-05-20 11:00:00,PVS,28.4,28.0,28.5,27.8,27.7,27.76
2022-05-20 13:00:00,PVS,28.0,27.8,28.2,27.4,27.3,27.48
