date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,REE,86.1,85.6,88.9,82.2,82.1,0.0
2022-05-13 10:00:00,REE,85.6,85.1,87.4,84.4,84.3,82.1
2022-05-13 11:00:00,REE,85.1,83.0,86.6,83.5,83.0,83.19999999999999
2022-05-13 13:00:00,REE,83.0,83.0,84.9,81.3,81.2,83.13333333333333
2022-05-13 14:00:00,REE,83.0,81.0,83.5,81.3,81.0,82.65
2022-05-16 09:00:00,REE,75.5,82.2,83.9,76.0,75.5,82.32
2022-05-16 10:00:00,REE,82.2,79.6,82.9,77.5,77.3,80.56
2022-05-16 11:00:00,REE,79.0,78.6,79.6,78.7,78.6,79.6
2022-05-16 13:00:00,REE,79.0,77.0,79.0,75.5,75.4,78.72
2022-05-16 14:00:00,REE,77.0,75.4,77.9,75.5,75.4,77.56
2022-05-17 09:00:00,REE,65.0,65.1,65.5,62.5,62.0,76.44
2022-05-17 10:00:00,REE,65.1,66.0,68.0,65.5,65.1,73.38
2022-05-17 11:00:00,REE,66.2,65.7,66.5,65.5,65.4,71.3
2022-05-17 13:00:00,REE,65.7,70.1,70.1,65.9,65.7,68.66
2022-05-17 14:00:00,REE,70.1,70.1,70.1,70.1,70.1,66.72
2022-05-18 09:00:00,REE,71.9,74.0,74.4,71.5,71.0,73.04
2022-05-18 10:00:00,REE,74.2,73.0,74.3,72.9,72.8,74.1
2022-05-18 11:00:00,REE,73.0,73.8,73.8,73.1,73.0,72.94
2022-05-18 13:00:00,REE,73.8,72.8,73.8,72.7,72.6,72.46
2022-05-18 14:00:00,REE,72.5,73.0,73.4,72.0,71.9,71.89999999999999
2022-05-19 09:00:00,REE,70.3,73.0,73.3,70.5,70.3,71.72
2022-05-19 10:00:00,REE,73.0,75.3,76.0,73.1,73.0,72.26
2022-05-19 11:00:00,REE,75.3,75.6,76.2,75.1,75.0,73.36
2022-05-19 13:00:00,REE,75.6,75.2,77.0,75.1,75.0,74.32000000000001
2022-05-19 14:00:00,REE,74.5,76.5,76.8,74.6,74.5,74.28
2022-05-20 09:00:00,REE,77.0,76.9,78.2,75.1,75.0,75.06
2022-05-20 10:00:00,REE,76.8,77.5,77.7,76.3,76.2,75.16
