date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,ROS,4.84,4.81,5.03,4.68,4.61,0.0
2022-05-13 10:00:00,ROS,4.81,4.82,4.93,4.79,4.78,4.61
2022-05-13 11:00:00,ROS,4.82,4.76,4.83,4.76,4.75,4.695
2022-05-13 13:00:00,ROS,4.76,4.67,4.8,4.53,4.52,4.713333333333334
2022-05-13 14:00:00,ROS,4.67,4.51,4.69,4.52,4.51,4.665
2022-05-16 09:00:00,ROS,4.81,4.82,4.82,4.8,4.79,4.634
2022-05-16 10:00:00,ROS,4.81,4.78,4.82,4.65,4.61,4.69
2022-05-16 11:00:00,ROS,4.78,4.81,4.81,4.77,4.76,4.708
2022-05-16 13:00:00,ROS,4.8,4.75,4.81,4.71,4.7,4.738
2022-05-16 14:00:00,ROS,4.79,4.8,4.82,4.78,4.77,4.756
2022-05-17 09:00:00,ROS,4.82,4.86,4.9,4.78,4.77,4.77
2022-05-17 10:00:00,ROS,4.86,4.95,5.0,4.85,4.84,4.744
2022-05-17 11:00:00,ROS,4.95,4.94,4.95,4.87,4.86,4.79
2022-05-17 13:00:00,ROS,4.94,5.08,5.1,4.95,4.94,4.772
2022-05-17 14:00:00,ROS,5.08,5.05,5.09,5.01,5.0,4.838
2022-05-18 09:00:00,ROS,5.1,5.1,5.2,4.95,4.94,4.8500000000000005
2022-05-18 10:00:00,ROS,5.1,5.05,5.11,5.01,5.0,4.916
2022-05-18 11:00:00,ROS,5.04,5.06,5.06,5.04,5.03,4.948
2022-05-18 13:00:00,ROS,5.05,4.98,5.07,4.95,4.94,4.966
2022-05-18 14:00:00,ROS,4.97,4.95,4.98,4.93,4.92,4.922000000000001
2022-05-19 09:00:00,ROS,4.7,4.81,4.9,4.72,4.7,4.756
2022-05-19 10:00:00,ROS,4.81,4.83,4.84,4.79,4.78,4.768
2022-05-19 11:00:00,ROS,4.83,4.84,4.95,4.83,4.81,4.792
2022-05-19 13:00:00,ROS,4.84,4.77,4.88,4.77,4.76,4.774
2022-05-19 14:00:00,ROS,4.78,4.81,4.88,4.79,4.78,4.778
2022-05-20 09:00:00,ROS,4.8,4.87,4.94,4.78,4.77,4.784
2022-05-20 10:00:00,ROS,4.87,4.85,4.89,4.81,4.8,4.782
2022-05-20 11:00:00,ROS,4.84,4.83,4.85,4.81,4.8,4.782
2022-05-20 13:00:00,ROS,4.83,4.8,4.86,4.75,4.74,4.768
2022-05-20 14:00:00,ROS,4.8,4.8,4.82,4.79,4.78,4.77
2022-05-23 09:00:00,ROS,4.97,4.8,4.97,4.8,4.79,4.802
2022-05-23 10:00:00,ROS,4.8,4.8,4.87,4.81,4.8,4.7860000000000005
2022-05-23 11:00:00,ROS,4.8,4.8,4.82,4.8,4.79,4.776
2022-05-23 13:00:00,ROS,4.79,4.79,4.84,4.77,4.74,4.77
2022-05-23 14:00:00,ROS,4.79,4.7,4.79,4.63,4.62,4.664
2022-05-24 09:00:00,ROS,4.7,4.68,4.74,4.68,4.67,4.64
2022-05-24 10:00:00,ROS,4.68,4.59,4.69,4.59,4.58,4.604
2022-05-24 11:00:00,ROS,4.59,4.58,4.6,4.56,4.55,4.58
2022-05-24 13:00:00,ROS,4.59,4.5,4.6,4.42,4.41,4.566
2022-05-24 14:00:00,ROS,4.5,4.56,4.6,4.47,4.46,4.544
2022-05-25 09:00:00,ROS,4.55,4.4,4.6,4.41,4.4,4.502
2022-05-25 10:00:00,ROS,4.4,4.31,4.45,4.26,4.25,4.466
2022-05-25 11:00:00,ROS,4.32,4.35,4.45,4.32,4.31,4.414
2022-05-25 13:00:00,ROS,4.35,4.4,4.6,4.36,4.35,4.366
2022-05-25 14:00:00,ROS,4.39,4.4,4.45,4.4,4.39,4.354
2022-05-26 09:00:00,ROS,4.1,4.1,4.1,4.1,4.1,4.34
2022-05-26 10:00:00,ROS,4.1,4.1,4.1,4.1,4.1,4.1
2022-05-26 11:00:00,ROS,4.1,4.1,4.1,4.1,4.1,4.1
2022-05-26 13:00:00,ROS,4.1,4.1,4.1,4.1,4.1,4.1
2022-05-26 14:00:00,ROS,4.1,4.1,4.1,4.1,4.1,4.1
2022-05-27 09:00:00,ROS,3.82,4.0,4.1,3.83,3.82,4.1
2022-05-27 10:00:00,ROS,3.99,3.97,4.08,3.94,3.93,4.044
2022-05-27 11:00:00,ROS,3.93,3.89,3.97,3.9,3.89,4.01
2022-05-27 13:00:00,ROS,3.89,3.95,3.98,3.89,3.88,3.968
2022-05-27 14:00:00,ROS,3.95,3.9,3.96,3.91,3.9,3.924
2022-05-30 09:00:00,ROS,3.89,3.81,3.89,3.74,3.73,3.884
2022-05-30 10:00:00,ROS,3.8,3.8,3.81,3.79,3.78,3.844
2022-05-30 11:00:00,ROS,3.8,3.79,3.8,3.79,3.78,3.836
2022-05-30 13:00:00,ROS,3.79,4.17,4.17,3.79,3.78,3.884
2022-05-30 14:00:00,ROS,4.17,4.17,4.17,4.16,4.15,4.1
2022-05-31 09:00:00,ROS,4.28,4.3,4.32,4.18,4.17,4.29
2022-05-31 10:00:00,ROS,4.3,4.3,4.38,4.28,4.27,4.294
2022-05-31 11:00:00,ROS,4.3,4.32,4.33,4.3,4.29,4.278
2022-05-31 13:00:00,ROS,4.32,4.22,4.37,4.2,4.19,4.258
2022-05-31 14:00:00,ROS,4.22,4.11,4.22,4.1,4.09,4.109999999999999
2022-06-01 13:00:00,ROS,4.08,3.91,4.08,3.84,3.83,3.884
