date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,SAM,11.3,11.2,11.65,11.2,11.15,0.0
2022-05-13 10:00:00,SAM,11.2,11.15,11.4,11.15,11.1,11.15
2022-05-13 11:00:00,SAM,11.2,11.0,11.2,11.05,11.0,11.125
2022-05-13 13:00:00,SAM,11.05,11.0,11.2,10.9,10.85,11.083333333333334
2022-05-13 14:00:00,SAM,10.9,10.85,11.0,10.9,10.85,11.025
2022-05-16 09:00:00,SAM,11.15,11.4,11.5,11.15,11.1,10.99
2022-05-16 10:00:00,SAM,11.35,11.3,11.35,11.15,11.1,11.04
2022-05-16 11:00:00,SAM,11.3,11.2,11.3,11.25,11.2,11.09
2022-05-16 13:00:00,SAM,11.2,11.0,11.3,10.95,10.9,11.049999999999999
2022-05-16 14:00:00,SAM,11.0,10.9,11.15,10.95,10.9,10.94
2022-05-17 09:00:00,SAM,10.9,11.05,11.1,10.9,10.8,10.9
2022-05-17 10:00:00,SAM,11.05,11.2,11.4,11.1,11.05,11.06
2022-05-17 11:00:00,SAM,11.3,11.2,11.3,11.25,11.2,11.2
2022-05-17 13:00:00,SAM,11.2,11.65,11.65,11.25,11.2,11.1
2022-05-17 14:00:00,SAM,11.65,11.65,11.65,11.65,11.65,11.15
2022-05-18 09:00:00,SAM,12.1,11.95,12.15,11.85,11.8,11.24
2022-05-18 10:00:00,SAM,12.0,11.85,12.0,11.85,11.8,11.38
2022-05-18 11:00:00,SAM,11.8,11.95,11.95,11.85,11.8,11.52
2022-05-18 13:00:00,SAM,11.95,11.85,12.1,11.85,11.8,11.65
2022-05-18 14:00:00,SAM,11.85,11.75,11.85,11.75,11.7,11.770000000000001
2022-05-19 09:00:00,SAM,11.35,11.3,11.45,11.35,11.3,11.15
2022-05-19 10:00:00,SAM,11.4,11.45,11.5,11.4,11.35,11.18
2022-05-19 11:00:00,SAM,11.45,11.6,11.75,11.5,11.45,11.44
2022-05-19 13:00:00,SAM,11.6,11.35,11.7,11.4,11.35,11.38
2022-05-19 14:00:00,SAM,11.35,11.65,11.65,11.4,11.35,11.4
2022-05-20 09:00:00,SAM,11.65,11.75,11.8,11.6,11.5,11.59
2022-05-20 10:00:00,SAM,11.75,12.1,12.15,11.8,11.75,11.780000000000001
2022-05-20 11:00:00,SAM,12.15,11.95,12.15,12.0,11.95,11.790000000000001
2022-05-20 13:00:00,SAM,11.95,12.0,12.0,11.7,11.65,11.790000000000001
2022-05-20 14:00:00,SAM,11.95,11.8,11.95,11.85,11.8,11.75
2022-05-23 09:00:00,SAM,11.85,11.75,12.0,11.8,11.75,11.780000000000001
2022-05-23 10:00:00,SAM,11.75,11.75,11.95,11.8,11.75,11.71
2022-05-23 11:00:00,SAM,11.75,11.75,11.9,11.8,11.75,11.76
2022-05-23 13:00:00,SAM,11.75,11.55,11.75,11.55,11.5,11.53
2022-05-23 14:00:00,SAM,11.55,11.2,11.6,11.1,11.05,11.2
2022-05-24 09:00:00,SAM,11.4,11.4,11.55,11.25,11.2,11.2
2022-05-24 10:00:00,SAM,11.4,11.3,11.4,11.3,11.25,11.2
2022-05-24 11:00:00,SAM,11.3,11.4,11.4,11.3,11.25,11.24
2022-05-24 13:00:00,SAM,11.35,11.1,11.35,11.0,10.95,11.06
2022-05-24 14:00:00,SAM,11.1,11.3,11.3,11.0,10.95,11.05
2022-05-25 09:00:00,SAM,11.4,11.45,11.55,11.35,11.3,11.27
2022-05-25 10:00:00,SAM,11.4,11.35,11.45,11.35,11.3,11.290000000000001
2022-05-25 11:00:00,SAM,11.4,11.4,11.45,11.45,11.4,11.3
2022-05-25 13:00:00,SAM,11.5,11.8,11.95,11.5,11.45,11.54
2022-05-25 14:00:00,SAM,11.8,12.05,12.05,11.85,11.8,11.76
2022-05-26 09:00:00,SAM,12.3,12.5,12.65,12.35,12.3,11.82
2022-05-26 10:00:00,SAM,12.5,12.4,12.6,12.4,12.35,11.92
2022-05-26 11:00:00,SAM,12.45,12.4,12.5,12.45,12.4,12.040000000000001
2022-05-26 13:00:00,SAM,12.4,12.45,12.6,12.35,12.3,12.16
2022-05-26 14:00:00,SAM,12.45,12.55,12.55,12.45,12.4,12.26
2022-05-27 09:00:00,SAM,12.7,12.45,12.7,12.45,12.4,12.35
2022-05-27 10:00:00,SAM,12.5,12.55,12.7,12.5,12.45,12.35
2022-05-27 11:00:00,SAM,12.5,12.5,12.6,12.5,12.45,12.38
2022-05-27 13:00:00,SAM,12.5,12.55,12.6,12.5,12.45,12.41
2022-05-27 14:00:00,SAM,12.55,12.4,12.55,12.45,12.4,12.41
2022-05-30 09:00:00,SAM,12.45,12.35,12.45,12.35,12.3,12.370000000000001
