date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,SCR,12.9,12.55,13.25,12.4,12.35,0.0
2022-05-13 10:00:00,SCR,12.6,12.5,12.65,12.4,12.35,12.35
2022-05-13 11:00:00,SCR,12.45,12.35,12.45,12.4,12.35,12.35
2022-05-13 13:00:00,SCR,12.4,12.35,12.5,12.4,12.35,12.35
2022-05-13 14:00:00,SCR,12.35,12.35,12.35,12.35,12.35,12.35
2022-05-16 09:00:00,SCR,12.6,12.4,12.9,12.4,12.35,12.35
2022-05-16 10:00:00,SCR,12.4,11.95,12.5,11.85,11.8,12.35
2022-05-16 11:00:00,SCR,12.0,12.0,12.2,12.0,11.95,12.24
2022-05-16 13:00:00,SCR,12.0,11.7,12.1,11.55,11.5,12.16
2022-05-16 14:00:00,SCR,11.7,11.5,11.8,11.55,11.5,11.99
2022-05-17 09:00:00,SCR,11.05,11.45,11.75,11.05,11.0,11.82
2022-05-17 10:00:00,SCR,11.4,11.65,11.8,11.45,11.4,11.55
2022-05-17 11:00:00,SCR,11.7,11.65,11.7,11.65,11.6,11.47
2022-05-17 13:00:00,SCR,11.65,12.3,12.3,11.7,11.65,11.65
2022-05-17 14:00:00,SCR,12.3,12.3,12.3,12.3,12.3,12.27
2022-05-18 09:00:00,SCR,12.65,12.85,12.9,12.45,12.4,12.35
2022-05-18 10:00:00,SCR,12.85,12.75,12.85,12.7,12.65,12.36
2022-05-18 11:00:00,SCR,12.75,12.8,12.85,12.75,12.7,12.42
2022-05-18 13:00:00,SCR,12.8,12.7,12.95,12.6,12.55,12.49
2022-05-18 14:00:00,SCR,12.7,12.6,12.7,12.55,12.5,12.52
2022-05-19 09:00:00,SCR,12.0,12.35,12.6,12.0,11.95,12.12
2022-05-19 10:00:00,SCR,12.35,12.6,12.7,12.4,12.35,12.379999999999999
2022-05-19 11:00:00,SCR,12.55,12.55,12.65,12.55,12.5,12.379999999999999
2022-05-19 13:00:00,SCR,12.55,12.4,12.6,12.45,12.4,12.41
2022-05-19 14:00:00,SCR,12.4,12.5,12.6,12.4,12.35,12.36
2022-05-20 09:00:00,SCR,12.3,12.65,12.8,12.35,12.3,12.379999999999999
2022-05-20 10:00:00,SCR,12.7,12.95,13.1,12.7,12.65,12.56
2022-05-20 11:00:00,SCR,12.95,12.9,13.1,12.85,12.8,12.59
2022-05-20 13:00:00,SCR,12.9,12.85,13.0,12.8,12.75,12.67
2022-05-20 14:00:00,SCR,12.8,12.8,12.95,12.8,12.75,12.69
2022-05-23 09:00:00,SCR,13.0,12.8,13.1,12.85,12.8,12.73
2022-05-23 10:00:00,SCR,12.8,12.75,13.0,12.8,12.75,12.68
2022-05-23 11:00:00,SCR,12.8,12.7,12.8,12.7,12.65,12.63
2022-05-23 13:00:00,SCR,12.65,12.45,12.7,12.5,12.45,12.42
2022-05-23 14:00:00,SCR,12.45,12.1,12.45,12.0,11.95,12.23
2022-05-24 09:00:00,SCR,12.2,12.05,12.3,12.0,11.95,11.99
2022-05-24 10:00:00,SCR,12.1,12.15,12.35,12.1,12.05,12.02
2022-05-24 11:00:00,SCR,12.2,12.2,12.3,12.25,12.2,12.2
2022-05-24 13:00:00,SCR,12.2,11.9,12.25,11.75,11.7,11.83
2022-05-24 14:00:00,SCR,11.9,12.4,12.4,11.85,11.8,11.91
2022-05-25 09:00:00,SCR,12.5,12.55,12.7,12.5,12.45,12.4
2022-05-25 10:00:00,SCR,12.6,12.6,12.75,12.6,12.55,12.45
2022-05-25 11:00:00,SCR,12.6,12.7,12.85,12.65,12.6,12.59
2022-05-25 13:00:00,SCR,12.75,13.15,13.25,12.8,12.75,12.75
2022-05-25 14:00:00,SCR,13.15,13.25,13.25,13.2,13.15,12.75
2022-05-26 09:00:00,SCR,13.4,13.5,13.6,13.4,13.35,12.85
2022-05-26 10:00:00,SCR,13.5,13.5,13.6,13.4,13.35,12.97
2022-05-26 11:00:00,SCR,13.5,13.4,13.5,13.45,13.4,13.08
2022-05-26 13:00:00,SCR,13.45,13.35,13.5,13.2,13.15,13.21
2022-05-26 14:00:00,SCR,13.35,13.25,13.4,13.2,13.15,13.28
2022-05-27 09:00:00,SCR,13.2,13.3,13.4,13.25,13.2,13.24
2022-05-27 10:00:00,SCR,13.3,13.3,13.5,13.3,13.25,13.25
2022-05-27 11:00:00,SCR,13.3,13.35,13.4,13.35,13.3,13.23
2022-05-27 13:00:00,SCR,13.35,13.45,13.45,13.3,13.25,13.290000000000001
2022-05-27 14:00:00,SCR,13.4,13.3,13.55,13.3,13.25,13.22
2022-05-30 09:00:00,SCR,13.3,13.55,13.65,13.35,13.3,13.29
2022-05-30 10:00:00,SCR,13.6,13.55,13.6,13.4,13.35,13.33
2022-05-30 11:00:00,SCR,13.5,13.55,13.6,13.5,13.45,13.35
2022-05-30 13:00:00,SCR,13.55,13.8,13.95,13.55,13.5,13.36
2022-05-30 14:00:00,SCR,13.8,13.7,13.8,13.7,13.65,13.4
2022-05-31 09:00:00,SCR,13.7,13.7,13.75,13.45,13.4,13.459999999999999
2022-05-31 10:00:00,SCR,13.7,13.65,13.7,13.6,13.55,13.47
2022-05-31 11:00:00,SCR,13.7,13.7,13.7,13.7,13.65,13.51
2022-05-31 13:00:00,SCR,13.7,13.5,13.8,13.5,13.45,13.48
2022-05-31 14:00:00,SCR,13.5,13.55,13.55,13.4,13.35,13.379999999999999
2022-06-01 09:00:00,SCR,13.4,13.45,13.6,13.45,13.4,13.379999999999999
2022-06-01 10:00:00,SCR,13.45,13.25,13.5,13.25,13.2,13.22
2022-06-01 11:00:00,SCR,13.25,13.2,13.25,13.1,13.05,13.21
2022-06-01 13:00:00,SCR,13.2,13.2,13.25,13.1,13.05,13.17
2022-06-01 14:00:00,SCR,13.2,13.3,13.45,13.1,13.05,13.14
2022-06-02 09:00:00,SCR,13.25,13.2,13.5,13.2,13.15,13.17
2022-06-02 10:00:00,SCR,13.2,13.1,13.25,13.1,13.05,13.09
2022-06-02 11:00:00,SCR,13.15,12.85,13.15,12.9,12.85,12.83
2022-06-02 13:00:00,SCR,12.85,12.9,13.0,12.75,12.7,12.74
2022-06-02 14:00:00,SCR,12.9,12.65,12.95,12.65,12.6,12.67
2022-06-03 09:00:00,SCR,12.5,12.65,12.7,12.55,12.5,12.52
2022-06-03 10:00:00,SCR,12.65,12.55,12.8,12.6,12.55,12.52
2022-06-03 11:00:00,SCR,12.6,12.55,12.65,12.6,12.55,12.5
2022-06-03 13:00:00,SCR,12.55,12.45,12.6,12.4,12.35,12.4
2022-06-03 14:00:00,SCR,12.5,12.45,12.7,12.45,12.4,12.379999999999999
2022-06-06 09:00:00,SCR,12.45,12.2,12.5,12.2,12.15,12.26
2022-06-06 10:00:00,SCR,12.2,12.25,12.45,12.2,12.15,12.21
2022-06-06 11:00:00,SCR,12.3,12.25,12.3,12.25,12.2,12.23
2022-06-06 13:00:00,SCR,12.25,12.3,12.5,12.3,12.25,12.27
2022-06-06 14:00:00,SCR,12.3,11.9,12.35,11.85,11.8,11.87
2022-06-07 09:00:00,SCR,11.65,11.75,11.85,11.65,11.6,11.59
2022-06-07 10:00:00,SCR,11.75,11.35,11.75,11.4,11.35,11.52
2022-06-07 11:00:00,SCR,11.35,11.45,11.45,11.2,11.15,11.37
