date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,SSI,26.0,25.95,26.6,25.3,25.15,0.0
2022-05-13 10:00:00,SSI,26.0,26.2,26.45,25.95,25.9,25.15
2022-05-13 11:00:00,SSI,26.15,25.9,26.2,25.85,25.8,25.525
2022-05-13 13:00:00,SSI,25.9,26.25,26.25,25.1,25.05,25.616666666666667
2022-05-13 14:00:00,SSI,26.2,25.8,26.35,25.6,25.55,25.475
2022-05-16 09:00:00,SSI,27.45,27.6,27.6,27.35,27.3,25.49
2022-05-16 10:00:00,SSI,27.6,27.55,27.6,27.4,27.35,25.94
2022-05-16 11:00:00,SSI,27.6,27.55,27.6,27.55,27.5,26.38
2022-05-16 13:00:00,SSI,27.55,27.45,27.6,27.25,27.2,26.77
2022-05-16 14:00:00,SSI,27.4,27.3,27.6,27.4,27.3,27.05
2022-05-17 09:00:00,SSI,27.0,27.65,28.2,26.95,26.9,27.330000000000002
2022-05-17 10:00:00,SSI,27.65,28.3,28.65,27.7,27.65,27.25
2022-05-17 11:00:00,SSI,28.3,28.3,28.35,28.15,28.1,27.4
2022-05-17 13:00:00,SSI,28.3,29.0,29.15,28.35,28.3,27.580000000000002
2022-05-17 14:00:00,SSI,29.0,29.15,29.15,28.85,28.8,27.78
2022-05-18 09:00:00,SSI,29.2,29.65,29.95,28.85,28.8,28.07
2022-05-18 10:00:00,SSI,29.65,29.1,29.7,29.15,29.1,28.330000000000002
2022-05-18 11:00:00,SSI,29.15,29.2,29.3,29.15,29.1,28.62
2022-05-18 13:00:00,SSI,29.25,28.85,29.5,28.85,28.8,28.82
2022-05-18 14:00:00,SSI,28.85,28.65,29.05,28.65,28.6,28.62
2022-05-19 09:00:00,SSI,27.6,28.05,28.3,27.65,27.6,27.580000000000002
2022-05-19 10:00:00,SSI,28.05,28.3,28.55,28.05,28.0,28.05
2022-05-19 11:00:00,SSI,28.3,28.6,29.0,28.35,28.3,28.13
2022-05-19 13:00:00,SSI,28.6,28.4,28.95,28.25,28.2,28.26
2022-05-19 14:00:00,SSI,28.4,28.5,29.0,28.35,28.3,28.28
