date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,STB,21.6,21.15,21.95,20.85,20.8,0.0
2022-05-13 10:00:00,STB,21.15,20.85,21.4,20.8,20.75,20.8
2022-05-13 11:00:00,STB,20.85,20.45,20.85,20.5,20.45,20.775
2022-05-13 13:00:00,STB,20.45,20.45,20.6,20.5,20.45,20.666666666666668
2022-05-13 14:00:00,STB,20.45,20.45,20.45,20.45,20.45,20.6125
2022-05-16 09:00:00,STB,21.1,20.8,21.3,20.75,20.7,20.58
2022-05-16 10:00:00,STB,20.8,20.25,20.85,20.15,20.1,20.56
2022-05-16 11:00:00,STB,20.25,19.7,20.3,19.7,19.65,20.43
2022-05-16 13:00:00,STB,19.75,19.4,19.75,19.1,19.05,20.22
2022-05-16 14:00:00,STB,19.4,19.05,19.8,19.1,19.05,19.94
2022-05-17 09:00:00,STB,18.7,18.9,19.35,18.65,18.6,19.73
2022-05-17 10:00:00,STB,18.9,19.9,20.0,18.9,18.85,19.36
2022-05-17 11:00:00,STB,19.9,19.45,19.95,19.4,19.35,19.41
2022-05-17 13:00:00,STB,19.5,20.35,20.35,19.45,19.3,19.47
2022-05-17 14:00:00,STB,20.35,20.35,20.35,20.35,20.35,20.22
2022-05-18 09:00:00,STB,20.95,21.75,21.75,20.75,20.7,20.63
2022-05-18 10:00:00,STB,21.75,21.75,21.75,21.65,21.6,20.68
2022-05-18 11:00:00,STB,21.75,21.75,21.75,21.75,21.75,20.91
2022-05-18 13:00:00,STB,21.75,21.75,21.75,21.75,21.75,21.75
2022-05-18 14:00:00,STB,21.75,21.75,21.75,21.75,21.7,21.75
2022-05-19 09:00:00,STB,21.3,22.1,22.4,21.3,21.25,21.5
2022-05-19 10:00:00,STB,22.05,22.1,22.3,21.95,21.9,21.61
2022-05-19 11:00:00,STB,22.15,22.25,22.4,22.15,22.1,21.74
2022-05-19 13:00:00,STB,22.3,21.8,22.35,21.7,21.65,21.82
2022-05-19 14:00:00,STB,21.8,21.75,22.25,21.75,21.7,21.74
2022-05-20 09:00:00,STB,21.75,21.8,21.95,21.6,21.55,21.7
2022-05-20 10:00:00,STB,21.8,21.8,22.05,21.75,21.7,21.69
2022-05-20 11:00:00,STB,21.85,21.75,21.95,21.7,21.65,21.67
2022-05-20 13:00:00,STB,21.7,21.7,21.8,21.6,21.55,21.67
2022-05-20 14:00:00,STB,21.7,21.6,21.85,21.55,21.5,21.64
2022-05-23 09:00:00,STB,21.75,21.2,21.75,21.05,21.0,21.240000000000002
2022-05-23 10:00:00,STB,21.15,20.8,21.45,20.55,20.5,20.74
2022-05-23 11:00:00,STB,20.8,20.85,21.05,20.6,20.55,20.57
2022-05-23 13:00:00,STB,20.9,20.75,21.2,20.45,20.4,20.59
2022-05-23 14:00:00,STB,20.7,20.35,20.75,20.2,20.15,20.36
2022-05-24 09:00:00,STB,20.35,20.7,20.8,20.15,20.1,20.3
2022-05-24 10:00:00,STB,20.7,21.0,21.3,20.55,20.5,20.58
2022-05-24 11:00:00,STB,21.0,21.05,21.25,21.05,21.0,20.6
2022-05-24 13:00:00,STB,21.05,20.85,21.2,20.6,20.55,20.58
2022-05-24 14:00:00,STB,20.8,21.75,21.75,20.7,20.65,20.75
2022-05-25 09:00:00,STB,22.0,22.5,22.75,22.05,22.0,21.81
2022-05-25 10:00:00,STB,22.5,22.45,22.6,22.35,22.3,21.87
2022-05-25 11:00:00,STB,22.5,22.7,22.8,22.5,22.45,21.99
2022-05-25 13:00:00,STB,22.7,22.6,22.85,22.55,22.5,22.15
