date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,SZC,47.6,45.55,47.75,45.05,45.0,0.0
2022-05-13 10:00:00,SZC,45.55,45.7,46.5,45.5,45.4,45.0
2022-05-13 11:00:00,SZC,45.7,44.5,45.7,44.7,44.5,45.2
2022-05-13 13:00:00,SZC,44.6,44.9,45.0,44.25,44.2,44.96666666666667
2022-05-13 14:00:00,SZC,44.9,44.2,44.9,44.25,44.2,44.775
2022-05-16 09:00:00,SZC,44.6,45.9,46.3,45.3,44.6,44.660000000000004
2022-05-16 10:00:00,SZC,45.8,45.25,46.0,44.55,44.5,44.58
2022-05-16 11:00:00,SZC,45.2,45.3,45.5,45.2,45.1,44.64
2022-05-16 13:00:00,SZC,45.5,44.95,45.5,44.4,44.3,44.5
2022-05-16 14:00:00,SZC,44.95,44.0,45.0,44.3,44.0,44.46
2022-05-17 09:00:00,SZC,45.8,44.7,45.8,44.1,44.0,44.3
2022-05-17 10:00:00,SZC,44.7,45.7,45.8,44.75,44.7,44.54
2022-05-17 11:00:00,SZC,45.7,45.7,45.9,45.55,45.5,44.86
2022-05-17 13:00:00,SZC,45.5,47.05,47.05,45.6,45.5,44.94
2022-05-17 14:00:00,SZC,47.05,47.05,47.05,47.05,47.05,45.2
2022-05-18 09:00:00,SZC,47.9,49.1,49.15,47.55,47.5,45.69
2022-05-18 10:00:00,SZC,49.1,48.6,49.1,48.2,48.15,46.089999999999996
2022-05-18 11:00:00,SZC,48.35,49.1,49.1,48.35,48.3,46.64
2022-05-18 13:00:00,SZC,49.1,48.7,49.3,48.4,48.35,47.199999999999996
2022-05-18 14:00:00,SZC,48.6,48.45,48.7,48.35,48.3,47.87
2022-05-19 09:00:00,SZC,46.0,48.0,48.05,46.1,46.0,46.089999999999996
2022-05-19 10:00:00,SZC,47.45,48.05,48.05,47.8,47.45,47.86
2022-05-19 11:00:00,SZC,48.05,48.15,48.45,48.05,48.0,47.94
2022-05-19 13:00:00,SZC,48.1,48.2,48.8,48.1,48.0,48.04
2022-05-19 14:00:00,SZC,48.2,48.1,48.6,47.9,47.85,47.98
2022-05-20 09:00:00,SZC,48.6,49.45,49.5,48.6,48.55,48.12
2022-05-20 10:00:00,SZC,49.4,49.8,49.8,48.95,48.9,48.33
2022-05-20 11:00:00,SZC,49.8,49.4,50.0,49.45,49.4,48.449999999999996
2022-05-20 13:00:00,SZC,49.4,48.8,49.6,48.65,48.6,48.67
2022-05-20 14:00:00,SZC,48.85,49.0,49.4,48.8,48.7,48.39
2022-05-23 09:00:00,SZC,49.7,49.0,49.8,49.0,48.9,48.79
2022-05-23 10:00:00,SZC,49.0,49.0,49.5,49.05,49.0,48.62
2022-05-23 11:00:00,SZC,49.0,48.5,49.0,48.6,48.5,48.42
2022-05-23 13:00:00,SZC,48.5,48.45,48.8,47.95,47.9,48.06
2022-05-23 14:00:00,SZC,48.45,47.7,48.6,47.75,47.7,48.01
2022-05-24 09:00:00,SZC,47.7,47.6,48.5,47.1,47.0,47.800000000000004
2022-05-24 10:00:00,SZC,47.7,47.7,48.0,47.35,47.3,47.6
2022-05-24 11:00:00,SZC,47.65,47.65,47.8,47.5,47.45,47.52
2022-05-24 13:00:00,SZC,47.6,46.85,47.6,46.4,46.3,46.76
2022-05-24 14:00:00,SZC,46.8,48.0,48.0,46.25,46.2,46.81
2022-05-25 09:00:00,SZC,48.6,48.8,49.35,48.6,48.5,48.57
2022-05-25 10:00:00,SZC,48.8,48.55,48.8,48.55,48.5,48.36
2022-05-25 11:00:00,SZC,48.6,49.1,49.5,48.7,48.6,48.61
2022-05-25 13:00:00,SZC,49.4,50.7,51.3,49.5,49.4,48.949999999999996
2022-05-25 14:00:00,SZC,50.8,51.3,51.3,50.9,50.8,49.12
2022-05-26 09:00:00,SZC,52.0,52.4,52.7,51.6,51.5,49.48
2022-05-26 10:00:00,SZC,52.3,52.4,52.7,52.4,52.3,50.0
2022-05-26 11:00:00,SZC,52.3,52.0,52.6,52.1,52.0,50.68
2022-05-26 13:00:00,SZC,52.0,51.6,52.0,51.3,51.2,51.199999999999996
2022-05-26 14:00:00,SZC,51.6,51.9,51.9,51.4,51.3,51.56
2022-05-27 09:00:00,SZC,51.9,52.6,52.8,52.0,51.9,51.66
2022-05-27 10:00:00,SZC,52.7,52.6,53.5,52.7,52.6,51.78
2022-05-27 11:00:00,SZC,52.7,52.7,52.9,52.6,52.5,52.06
2022-05-27 13:00:00,SZC,52.9,52.9,53.4,52.7,52.6,52.26
2022-05-27 14:00:00,SZC,52.9,52.6,52.9,52.6,52.5,52.4
2022-05-30 09:00:00,SZC,52.8,52.6,52.8,52.2,52.1,52.38
2022-05-30 10:00:00,SZC,52.6,52.8,53.2,52.5,52.4,52.46
2022-05-30 11:00:00,SZC,52.8,52.7,52.8,52.7,52.6,52.42
2022-05-30 13:00:00,SZC,52.7,52.5,53.0,52.6,52.5,52.42
2022-05-30 14:00:00,SZC,52.6,52.3,52.6,52.2,52.1,52.28
2022-05-31 09:00:00,SZC,51.7,52.1,52.3,51.6,51.5,51.58
2022-05-31 10:00:00,SZC,52.1,52.2,52.6,52.0,51.9,51.96
