date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,TCB,36.3,36.2,36.8,35.85,35.8,0.0
2022-05-13 10:00:00,TCB,36.05,36.2,36.45,36.0,35.95,35.8
2022-05-13 11:00:00,TCB,36.2,35.45,36.2,35.4,35.3,35.875
2022-05-13 13:00:00,TCB,35.3,34.35,36.0,33.85,33.8,35.68333333333333
2022-05-13 14:00:00,TCB,34.35,33.8,34.65,33.85,33.8,35.2125
2022-05-16 09:00:00,TCB,35.1,34.85,35.8,34.7,34.5,34.93
2022-05-16 10:00:00,TCB,34.85,34.25,34.85,34.05,34.0,34.67
2022-05-16 11:00:00,TCB,34.25,34.3,34.4,34.15,34.1,34.28
2022-05-16 13:00:00,TCB,34.35,34.15,34.65,34.05,34.0,34.04
2022-05-16 14:00:00,TCB,34.15,32.6,34.6,33.85,32.6,33.94
2022-05-17 09:00:00,TCB,32.6,33.15,33.35,32.6,32.55,33.7
2022-05-17 10:00:00,TCB,33.15,33.65,33.95,33.0,32.95,33.41
2022-05-17 11:00:00,TCB,33.7,33.45,33.7,33.45,33.4,33.2
2022-05-17 13:00:00,TCB,33.45,34.85,34.85,33.5,33.45,33.77
2022-05-17 14:00:00,TCB,34.85,34.85,34.85,34.85,34.8,34.08
2022-05-18 09:00:00,TCB,35.7,36.5,36.75,35.4,35.35,35.269999999999996
2022-05-18 10:00:00,TCB,36.55,36.4,36.65,36.2,36.15,35.38
2022-05-18 11:00:00,TCB,36.2,36.6,36.65,36.25,36.2,35.71
2022-05-18 13:00:00,TCB,36.6,36.35,36.9,36.4,36.35,35.89
2022-05-18 14:00:00,TCB,36.35,36.05,36.35,36.1,36.05,36.09
2022-05-19 09:00:00,TCB,35.4,35.65,36.0,35.25,35.2,35.43
2022-05-19 10:00:00,TCB,35.65,36.1,36.1,35.4,35.3,35.57
2022-05-19 11:00:00,TCB,36.1,36.1,36.4,36.1,36.05,36.03
2022-05-19 13:00:00,TCB,36.1,36.0,36.25,36.05,36.0,36.0
2022-05-19 14:00:00,TCB,36.0,35.8,36.2,35.85,35.8,35.87
2022-05-20 09:00:00,TCB,35.8,36.2,36.45,35.8,35.75,35.82
2022-05-20 10:00:00,TCB,36.2,36.25,36.35,36.05,36.0,35.96
2022-05-20 11:00:00,TCB,36.3,36.15,36.3,36.1,36.05,36.01
2022-05-20 13:00:00,TCB,36.15,35.8,36.2,35.65,35.6,35.839999999999996
2022-05-20 14:00:00,TCB,35.8,35.7,35.9,35.4,35.35,35.44
2022-05-23 09:00:00,TCB,35.8,35.65,36.2,35.65,35.6,35.47
2022-05-23 10:00:00,TCB,35.65,35.6,35.8,35.5,35.45,35.45
2022-05-23 11:00:00,TCB,35.65,35.35,35.65,35.35,35.3,35.38
2022-05-23 13:00:00,TCB,35.3,35.3,35.65,35.3,35.25,35.160000000000004
2022-05-23 14:00:00,TCB,35.35,34.85,35.35,34.9,34.85,35.01
2022-05-24 09:00:00,TCB,34.8,34.85,35.25,34.75,34.7,34.68
