date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,TNG,25.2,27.8,28.6,27.0,25.2,0.0
2022-05-13 10:00:00,TNG,27.9,27.8,28.1,27.6,27.5,25.2
2022-05-13 11:00:00,TNG,27.8,27.2,27.9,27.2,27.1,26.35
2022-05-13 13:00:00,TNG,27.1,25.9,27.8,25.3,25.2,26.6
2022-05-13 14:00:00,TNG,25.9,25.2,26.0,25.3,25.2,26.25
2022-05-16 09:00:00,TNG,22.7,26.5,27.1,24.8,22.7,26.04
2022-05-16 10:00:00,TNG,26.6,25.9,26.7,25.9,25.8,26.04
2022-05-16 11:00:00,TNG,26.0,26.2,26.5,26.0,25.9,25.7
2022-05-16 13:00:00,TNG,26.2,25.6,26.3,25.1,25.0,25.84
2022-05-16 14:00:00,TNG,25.6,24.7,25.9,25.1,24.7,25.419999999999998
2022-05-17 09:00:00,TNG,24.5,24.9,25.4,24.4,24.3,24.7
2022-05-17 10:00:00,TNG,24.9,25.4,25.6,25.0,24.9,25.02
2022-05-17 11:00:00,TNG,25.4,25.5,25.5,25.4,25.3,24.82
2022-05-17 13:00:00,TNG,25.5,27.1,27.1,25.6,25.5,25.419999999999998
2022-05-17 14:00:00,TNG,27.1,27.1,27.1,27.1,27.1,26.36
2022-05-18 09:00:00,TNG,27.5,28.3,28.5,27.6,27.5,26.48
2022-05-18 10:00:00,TNG,28.3,28.1,28.4,28.1,28.0,26.88
2022-05-18 11:00:00,TNG,28.0,28.3,28.4,28.1,28.0,27.44
2022-05-18 13:00:00,TNG,28.3,27.8,28.6,27.9,27.8,27.62
2022-05-18 14:00:00,TNG,27.8,27.5,28.0,27.6,27.5,27.580000000000002
2022-05-19 09:00:00,TNG,27.0,26.9,27.3,26.1,26.0,26.22
2022-05-19 10:00:00,TNG,26.9,27.2,27.4,26.7,26.6,27.04
2022-05-19 11:00:00,TNG,27.2,27.2,27.5,27.1,27.0,26.86
2022-05-19 13:00:00,TNG,27.2,26.9,27.5,26.9,26.8,26.76
2022-05-19 14:00:00,TNG,26.9,27.0,27.4,26.9,26.8,26.7
2022-05-20 09:00:00,TNG,27.3,27.9,28.0,27.1,27.0,27.32
2022-05-20 10:00:00,TNG,27.9,28.0,28.3,27.9,27.8,27.76
2022-05-20 11:00:00,TNG,28.0,27.8,28.1,27.7,27.6,27.72
2022-05-20 13:00:00,TNG,27.8,27.6,28.0,27.4,27.3,27.34
2022-05-20 14:00:00,TNG,27.7,27.3,27.8,27.3,27.2,27.28
2022-05-23 09:00:00,TNG,27.5,27.6,27.9,27.6,27.5,27.42
2022-05-23 10:00:00,TNG,27.7,28.1,28.8,27.7,27.6,27.72
2022-05-23 11:00:00,TNG,28.1,28.0,28.2,28.1,28.0,27.84
2022-05-23 13:00:00,TNG,28.0,27.6,28.1,27.7,27.6,27.54
2022-05-23 14:00:00,TNG,27.6,27.6,27.8,27.1,27.0,27.22
2022-05-24 09:00:00,TNG,27.7,27.8,28.1,27.2,27.1,27.26
2022-05-24 10:00:00,TNG,27.8,27.7,28.1,27.6,27.5,27.5
2022-05-24 11:00:00,TNG,27.8,28.2,28.2,27.9,27.8,27.78
2022-05-24 13:00:00,TNG,28.2,27.5,28.3,27.3,27.2,27.5
2022-05-24 14:00:00,TNG,27.5,28.5,28.5,27.6,27.5,27.740000000000002
2022-05-25 09:00:00,TNG,29.0,28.9,29.4,28.6,28.5,27.88
2022-05-25 10:00:00,TNG,29.0,29.1,29.1,29.0,28.9,28.06
2022-05-25 11:00:00,TNG,29.1,29.7,29.9,29.0,28.9,28.24
2022-05-25 13:00:00,TNG,29.7,30.5,31.2,29.8,29.7,28.46
