date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VCG,25.8,25.4,26.2,25.15,25.1,0.0
2022-05-13 10:00:00,VCG,25.4,25.3,25.95,25.2,25.15,25.1
2022-05-13 11:00:00,VCG,25.3,25.15,25.45,25.15,25.1,25.125
2022-05-13 13:00:00,VCG,25.2,24.45,25.45,24.15,24.1,25.116666666666667
2022-05-13 14:00:00,VCG,24.5,24.1,24.6,24.15,24.1,24.8625
2022-05-16 09:00:00,VCG,25.0,25.0,25.45,24.75,24.7,24.71
2022-05-16 10:00:00,VCG,24.95,24.9,25.1,24.75,24.7,24.63
2022-05-16 11:00:00,VCG,24.95,24.95,25.2,25.0,24.95,24.75
2022-05-16 13:00:00,VCG,24.95,24.6,25.0,24.1,24.0,24.51
2022-05-16 14:00:00,VCG,24.6,24.05,24.8,24.1,24.05,24.37
2022-05-17 09:00:00,VCG,24.5,24.8,25.1,24.3,24.25,24.48
2022-05-17 10:00:00,VCG,24.8,25.2,25.45,24.75,24.7,24.74
2022-05-17 11:00:00,VCG,25.2,25.0,25.2,25.05,25.0,24.83
2022-05-17 13:00:00,VCG,25.05,25.7,25.7,25.05,25.0,24.93
2022-05-17 14:00:00,VCG,25.7,25.7,25.7,25.7,25.7,25.07
2022-05-18 09:00:00,VCG,26.3,26.9,27.25,26.15,26.1,25.21
2022-05-18 10:00:00,VCG,26.95,26.45,26.95,26.5,26.45,25.41
2022-05-18 11:00:00,VCG,26.5,26.8,26.8,26.25,26.2,25.7
2022-05-18 13:00:00,VCG,26.8,26.35,26.95,26.25,26.2,25.91
2022-05-18 14:00:00,VCG,26.35,26.3,26.5,26.35,26.3,26.13
2022-05-19 09:00:00,VCG,25.5,26.15,26.35,25.5,25.45,25.45
2022-05-19 10:00:00,VCG,26.15,26.35,26.75,26.1,26.05,26.25
2022-05-19 11:00:00,VCG,26.35,26.4,26.8,26.35,26.3,26.24
2022-05-19 13:00:00,VCG,26.4,27.0,27.5,26.45,26.4,26.25
2022-05-19 14:00:00,VCG,26.9,27.1,27.5,26.7,26.65,26.27
