date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VCI,32.3,31.6,32.4,31.2,31.15,0.0
2022-05-13 10:00:00,VCI,31.6,31.9,32.25,31.55,31.5,31.15
2022-05-13 11:00:00,VCI,31.9,30.7,31.9,30.4,30.3,31.325
2022-05-13 13:00:00,VCI,30.7,30.7,31.4,30.1,30.05,30.983333333333334
2022-05-13 14:00:00,VCI,30.5,30.05,30.95,30.1,30.05,30.75
2022-05-16 09:00:00,VCI,32.05,32.05,32.15,31.6,31.5,30.61
2022-05-16 10:00:00,VCI,32.05,31.8,32.15,31.75,31.7,30.9
2022-05-16 11:00:00,VCI,31.85,32.1,32.1,31.9,31.85,31.23
2022-05-16 13:00:00,VCI,31.95,31.8,32.15,31.6,31.55,31.54
2022-05-16 14:00:00,VCI,31.95,31.05,32.15,31.45,31.05,31.48
2022-05-17 09:00:00,VCI,31.3,32.4,32.5,31.2,31.1,31.62
2022-05-17 10:00:00,VCI,32.4,33.2,33.2,32.45,32.4,31.54
2022-05-17 11:00:00,VCI,33.2,33.2,33.2,33.2,33.2,31.8
2022-05-17 13:00:00,VCI,33.2,33.2,33.2,33.2,33.2,33.2
2022-05-17 14:00:00,VCI,33.2,33.2,33.2,33.2,33.2,33.2
2022-05-18 09:00:00,VCI,34.5,35.5,35.5,34.4,34.3,32.77
2022-05-18 10:00:00,VCI,35.5,35.5,35.5,35.5,35.5,33.26
2022-05-18 11:00:00,VCI,35.5,35.5,35.5,35.5,35.5,35.5
2022-05-18 13:00:00,VCI,35.5,35.5,35.5,35.5,35.45,35.5
2022-05-18 14:00:00,VCI,35.5,35.5,35.5,35.35,35.3,34.79
2022-05-19 09:00:00,VCI,34.5,36.25,36.9,34.3,34.2,35.21
2022-05-19 10:00:00,VCI,36.2,36.7,36.9,36.1,36.0,35.19
2022-05-19 11:00:00,VCI,36.65,36.35,36.9,36.3,36.25,35.55
2022-05-19 13:00:00,VCI,36.4,36.85,37.5,36.4,36.3,35.74
2022-05-19 14:00:00,VCI,36.8,37.3,37.4,36.8,36.75,35.91
2022-05-20 09:00:00,VCI,37.8,37.7,38.3,37.05,37.0,36.16
2022-05-20 10:00:00,VCI,37.7,37.6,38.1,37.55,37.5,36.46
2022-05-20 11:00:00,VCI,37.6,36.8,37.6,36.8,36.75,36.76
2022-05-20 13:00:00,VCI,36.8,37.1,37.25,36.45,36.35,36.41
2022-05-20 14:00:00,VCI,37.1,37.1,37.3,36.65,36.6,36.48
2022-05-23 09:00:00,VCI,37.1,36.5,37.1,36.05,36.0,36.3
2022-05-23 10:00:00,VCI,36.55,36.25,36.8,36.25,36.2,36.18
2022-05-23 11:00:00,VCI,36.25,35.6,36.25,35.65,35.6,35.59
2022-05-23 13:00:00,VCI,35.5,35.0,35.9,35.0,34.9,35.47
2022-05-23 14:00:00,VCI,35.0,35.3,35.3,34.6,34.55,35.1
2022-05-24 09:00:00,VCI,34.8,34.55,35.4,33.85,33.8,34.91
2022-05-24 10:00:00,VCI,34.5,34.65,35.2,34.3,34.2,34.57
2022-05-24 11:00:00,VCI,34.65,34.6,35.05,34.65,34.6,34.35
2022-05-24 13:00:00,VCI,34.7,33.6,34.7,33.55,33.5,34.07
2022-05-24 14:00:00,VCI,33.6,36.75,36.75,33.15,33.1,34.21
2022-05-25 09:00:00,VCI,36.75,38.1,39.0,36.6,36.5,36.83
2022-05-25 10:00:00,VCI,38.1,37.75,38.25,37.6,37.55,36.92
2022-05-25 11:00:00,VCI,37.75,38.15,38.15,37.75,37.7,37.06
2022-05-25 13:00:00,VCI,38.15,38.25,38.6,38.05,38.0,37.25
2022-05-25 14:00:00,VCI,38.35,39.0,39.0,38.4,38.35,37.55
2022-05-26 09:00:00,VCI,38.6,39.05,39.35,38.35,38.3,37.82
2022-05-26 10:00:00,VCI,39.0,39.7,40.0,39.05,39.0,37.98
2022-05-26 11:00:00,VCI,39.65,39.3,39.9,39.25,39.2,38.27
