date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VGI,29.0,28.0,29.1,27.6,27.5,0.0
2022-05-13 10:00:00,VGI,28.2,28.3,28.7,27.9,27.8,27.5
2022-05-13 11:00:00,VGI,28.0,27.7,28.0,27.6,27.5,27.65
2022-05-13 13:00:00,VGI,27.7,27.1,27.9,26.7,26.6,27.6
2022-05-13 14:00:00,VGI,27.0,26.3,27.2,25.9,25.8,27.35
2022-05-16 09:00:00,VGI,27.3,28.4,29.5,26.7,26.6,27.04
2022-05-16 10:00:00,VGI,28.4,28.3,28.5,28.1,28.0,27.2
2022-05-16 11:00:00,VGI,28.3,28.2,28.4,28.3,28.2,27.48
2022-05-16 13:00:00,VGI,28.2,27.6,28.3,27.6,27.5,27.8
2022-05-16 14:00:00,VGI,27.7,27.8,28.0,27.7,27.6,27.8
2022-05-16 15:00:00,VGI,27.9,27.9,27.9,27.9,27.9,27.76
2022-05-17 09:00:00,VGI,27.9,29.2,29.4,27.4,27.3,27.62
2022-05-17 10:00:00,VGI,29.0,28.5,29.2,28.6,28.5,27.76
2022-05-17 11:00:00,VGI,28.5,28.7,28.9,28.4,28.1,28.0
2022-05-17 13:00:00,VGI,28.9,29.9,30.0,29.0,28.9,27.94
2022-05-17 14:00:00,VGI,29.9,30.2,30.4,29.8,29.7,28.06
2022-05-17 15:00:00,VGI,30.2,30.2,30.2,30.2,30.2,28.64
2022-05-18 09:00:00,VGI,32.5,30.6,32.5,30.0,29.9,29.08
2022-05-18 10:00:00,VGI,30.6,30.1,30.6,30.1,30.0,29.439999999999998
2022-05-18 11:00:00,VGI,30.2,30.1,30.2,30.1,30.0,29.46
2022-05-18 13:00:00,VGI,30.3,30.0,30.5,29.8,29.7,29.759999999999998
2022-05-18 14:00:00,VGI,30.0,30.0,30.1,29.8,29.7,29.919999999999998
2022-05-19 09:00:00,VGI,29.8,29.2,30.0,28.5,28.0,29.3
2022-05-19 10:00:00,VGI,29.3,29.7,29.9,29.4,29.3,29.259999999999998
2022-05-19 11:00:00,VGI,29.7,29.6,30.0,29.7,29.6,29.68
2022-05-19 13:00:00,VGI,29.8,29.5,30.0,29.5,29.4,29.6
2022-05-19 14:00:00,VGI,29.5,29.7,30.0,29.6,29.5,29.54
2022-05-20 09:00:00,VGI,29.5,30.3,30.3,29.6,29.5,29.56
2022-05-20 10:00:00,VGI,30.4,30.0,30.4,29.7,29.6,29.82
2022-05-20 11:00:00,VGI,30.0,29.8,30.1,29.8,29.6,29.68
2022-05-20 13:00:00,VGI,29.8,29.5,29.9,29.3,29.2,29.48
2022-05-20 14:00:00,VGI,29.5,29.6,29.6,29.4,29.3,29.4
2022-05-23 09:00:00,VGI,31.5,29.7,31.5,29.8,29.7,29.84
2022-05-23 10:00:00,VGI,29.7,29.8,30.2,29.6,29.5,29.56
2022-05-23 11:00:00,VGI,29.8,29.5,29.8,29.6,29.5,29.4
2022-05-23 13:00:00,VGI,29.5,29.3,29.8,29.3,29.2,29.34
2022-05-23 14:00:00,VGI,29.4,28.6,29.6,28.6,28.5,28.6
2022-05-24 09:00:00,VGI,30.3,29.0,30.3,28.7,28.6,28.86
2022-05-24 10:00:00,VGI,29.0,28.9,29.2,28.9,28.8,28.72
2022-05-24 11:00:00,VGI,28.9,29.1,29.1,29.0,28.9,28.62
2022-05-24 13:00:00,VGI,29.1,28.7,29.1,28.7,28.6,28.56
2022-05-24 14:00:00,VGI,28.7,29.8,29.9,28.7,28.6,29.12
2022-05-24 15:00:00,VGI,29.9,29.9,29.9,29.9,29.9,29.68
2022-05-25 09:00:00,VGI,29.5,29.5,30.1,29.6,29.5,29.46
2022-05-25 10:00:00,VGI,29.5,29.1,29.7,29.2,29.1,29.32
2022-05-25 11:00:00,VGI,29.1,29.8,29.9,29.1,29.0,29.12
2022-05-25 13:00:00,VGI,29.8,30.3,30.6,29.9,29.8,29.72
2022-05-25 14:00:00,VGI,30.3,30.7,30.8,30.3,30.2,29.94
2022-05-26 09:00:00,VGI,30.0,31.3,33.9,31.0,30.0,29.919999999999998
2022-05-26 10:00:00,VGI,31.3,31.3,31.5,31.1,31.0,30.0
2022-05-26 11:00:00,VGI,31.3,31.2,31.3,31.2,31.1,30.22
2022-05-26 13:00:00,VGI,31.2,31.1,31.3,30.9,30.8,30.4
2022-05-26 14:00:00,VGI,31.0,31.4,31.4,31.0,30.9,30.62
2022-05-27 09:00:00,VGI,32.5,31.2,32.5,31.1,31.0,30.74
2022-05-27 10:00:00,VGI,31.2,31.8,32.2,31.2,31.1,30.96
2022-05-27 11:00:00,VGI,31.8,31.7,31.8,31.7,31.6,31.02
2022-05-27 13:00:00,VGI,31.7,31.7,31.8,31.6,31.5,31.14
2022-05-27 14:00:00,VGI,31.7,31.4,31.7,31.4,31.3,31.26
2022-05-30 09:00:00,VGI,32.0,31.2,32.2,31.1,31.0,31.28
2022-05-30 10:00:00,VGI,31.2,31.2,31.4,31.1,31.0,31.02
2022-05-30 11:00:00,VGI,31.2,31.2,31.2,31.2,31.1,30.96
2022-05-30 13:00:00,VGI,31.2,31.3,31.3,31.1,31.0,31.02
2022-05-30 14:00:00,VGI,31.3,31.1,31.3,31.1,31.0,31.0
2022-05-31 09:00:00,VGI,32.0,31.0,32.0,30.8,30.7,31.06
2022-05-31 10:00:00,VGI,31.0,31.1,31.1,30.6,30.5,30.94
2022-05-31 11:00:00,VGI,30.9,30.8,31.1,30.9,30.8,30.88
2022-05-31 13:00:00,VGI,30.8,30.4,31.0,30.5,30.4,30.46
2022-05-31 14:00:00,VGI,30.4,30.3,30.6,30.3,30.2,30.02
2022-06-01 09:00:00,VGI,31.0,30.5,31.0,30.3,30.2,30.38
2022-06-01 10:00:00,VGI,30.5,30.2,30.5,30.0,29.9,29.9
2022-06-01 11:00:00,VGI,30.1,29.9,30.1,29.9,29.8,29.88
2022-06-01 13:00:00,VGI,29.9,29.9,30.1,29.9,29.8,29.7
2022-06-01 14:00:00,VGI,29.9,30.3,30.4,29.9,29.8,29.88
2022-06-02 09:00:00,VGI,30.7,30.3,30.7,29.9,29.8,29.88
2022-06-02 10:00:00,VGI,30.3,31.0,31.3,30.3,30.1,30.419999999999998
2022-06-02 11:00:00,VGI,31.1,30.8,31.1,30.8,30.7,30.84
2022-06-02 13:00:00,VGI,30.8,30.7,30.9,30.8,30.7,30.52
2022-06-02 14:00:00,VGI,30.7,30.7,30.8,30.5,30.4,30.46
2022-06-03 09:00:00,VGI,30.8,30.6,30.8,30.5,30.4,30.5
2022-06-03 10:00:00,VGI,30.6,30.1,30.7,30.2,30.1,29.919999999999998
2022-06-03 11:00:00,VGI,30.1,30.0,30.2,30.0,29.9,29.9
2022-06-03 13:00:00,VGI,30.0,30.0,30.1,29.9,29.8,29.76
2022-06-03 14:00:00,VGI,30.0,30.4,30.4,30.0,29.9,29.9
2022-06-06 09:00:00,VGI,30.2,30.0,30.6,29.9,29.8,29.759999999999998
2022-06-06 10:00:00,VGI,30.0,30.1,30.2,30.0,29.9,29.84
2022-06-06 11:00:00,VGI,30.1,30.6,30.9,30.1,30.0,30.04
2022-06-06 13:00:00,VGI,30.5,30.2,30.7,30.2,30.1,30.0
2022-06-06 14:00:00,VGI,30.3,30.1,30.4,29.9,29.8,29.8
2022-06-07 09:00:00,VGI,30.2,29.7,30.2,29.8,29.7,29.76
2022-06-07 10:00:00,VGI,29.7,29.4,29.8,29.5,29.4,29.38
2022-06-07 11:00:00,VGI,29.4,29.1,29.4,29.1,29.0,29.06
2022-06-07 13:00:00,VGI,29.1,29.4,29.5,29.1,29.0,29.1
2022-06-07 14:00:00,VGI,29.4,29.6,29.7,29.3,29.2,29.34
2022-06-08 09:00:00,VGI,29.6,29.7,29.8,29.5,29.4,29.46
2022-06-08 10:00:00,VGI,29.7,29.8,30.3,29.7,29.6,29.6
2022-06-08 11:00:00,VGI,29.8,29.7,29.9,29.8,29.7,29.68
2022-06-08 13:00:00,VGI,29.9,30.2,30.6,30.0,29.9,29.8
2022-06-08 14:00:00,VGI,30.2,30.0,30.2,30.0,29.9,29.88
2022-06-09 09:00:00,VGI,30.0,30.1,30.5,30.0,29.9,29.82
2022-06-09 10:00:00,VGI,30.1,29.9,30.1,30.0,29.9,29.84
2022-06-09 11:00:00,VGI,29.9,29.9,30.0,30.0,29.9,29.84
2022-06-09 13:00:00,VGI,29.9,30.0,30.0,29.9,29.8,29.82
2022-06-09 14:00:00,VGI,30.0,30.2,30.4,30.0,29.9,29.84
2022-06-10 09:00:00,VGI,30.0,29.9,30.0,29.7,29.5,29.76
2022-06-10 10:00:00,VGI,29.9,29.8,30.0,29.7,29.6,29.7
2022-06-10 11:00:00,VGI,29.8,29.7,29.9,29.8,29.7,29.7
2022-06-10 13:00:00,VGI,29.7,29.7,29.8,29.7,29.6,29.58
