date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VHC,92.0,88.5,92.5,87.6,87.5,0.0
2022-05-13 10:00:00,VHC,88.5,87.5,89.0,87.6,87.5,87.5
2022-05-13 11:00:00,VHC,87.5,87.5,87.5,87.5,87.5,87.5
2022-05-13 13:00:00,VHC,87.5,87.5,87.5,87.5,87.5,87.5
2022-05-13 14:00:00,VHC,87.5,87.5,87.5,87.5,87.5,87.5
2022-05-16 09:00:00,VHC,88.0,86.1,90.0,85.6,85.5,87.5
2022-05-16 10:00:00,VHC,86.1,83.0,86.7,82.3,82.1,87.1
2022-05-16 11:00:00,VHC,82.8,84.1,85.0,82.7,82.6,86.02
2022-05-16 13:00:00,VHC,84.1,81.4,84.1,81.5,81.4,85.03999999999999
2022-05-16 14:00:00,VHC,81.4,81.4,81.4,81.4,81.4,84.22
2022-05-17 09:00:00,VHC,76.8,77.2,79.0,75.9,75.8,82.6
2022-05-17 10:00:00,VHC,77.0,78.1,80.8,76.7,76.6,80.66
2022-05-17 11:00:00,VHC,78.1,77.8,78.8,77.6,77.5,79.56
2022-05-17 13:00:00,VHC,78.2,87.0,87.0,78.2,78.0,80.82
2022-05-17 14:00:00,VHC,87.0,87.0,87.0,87.0,87.0,87.1
2022-05-18 09:00:00,VHC,88.0,90.3,90.4,87.5,87.4,87.1
2022-05-18 10:00:00,VHC,90.3,92.3,92.9,89.9,89.8,87.48
2022-05-18 11:00:00,VHC,92.3,92.8,92.8,92.3,92.2,87.94
2022-05-18 13:00:00,VHC,92.8,92.0,93.0,91.8,91.7,88.88
2022-05-18 14:00:00,VHC,92.0,91.0,92.0,91.1,91.0,89.72
2022-05-19 09:00:00,VHC,88.5,89.0,90.0,87.9,87.5,87.48
2022-05-19 10:00:00,VHC,89.1,90.2,91.0,89.1,89.0,88.64
2022-05-19 11:00:00,VHC,90.0,91.2,91.8,90.1,90.0,89.78
2022-05-19 13:00:00,VHC,91.2,90.6,92.5,90.6,90.5,90.94
2022-05-19 14:00:00,VHC,90.7,91.0,92.0,90.2,90.1,90.06
2022-05-20 09:00:00,VHC,90.5,90.7,92.0,89.6,89.5,89.88
2022-05-20 10:00:00,VHC,90.7,90.8,91.8,90.5,90.4,90.22
2022-05-20 11:00:00,VHC,90.9,90.3,91.3,90.3,90.2,90.1
2022-05-20 13:00:00,VHC,90.5,90.1,90.8,89.1,89.0,89.82000000000001
2022-05-20 14:00:00,VHC,90.0,89.1,90.6,89.1,89.0,89.04
2022-05-23 09:00:00,VHC,89.6,90.3,90.8,88.1,88.0,88.38
2022-05-23 10:00:00,VHC,90.2,93.1,94.6,90.3,90.2,90.52
2022-05-23 11:00:00,VHC,93.1,92.4,93.3,92.5,92.4,91.16
2022-05-23 13:00:00,VHC,92.5,91.8,93.2,91.3,91.1,91.56
2022-05-23 14:00:00,VHC,91.8,90.5,92.0,89.6,89.5,90.14
2022-05-24 09:00:00,VHC,91.6,92.6,93.8,90.1,90.0,90.66
2022-05-24 10:00:00,VHC,92.5,92.5,92.8,91.8,91.5,91.68
2022-05-24 11:00:00,VHC,92.5,92.7,92.9,92.6,92.5,91.78
2022-05-24 13:00:00,VHC,92.7,91.5,92.9,90.6,90.5,91.16
2022-05-24 14:00:00,VHC,91.7,94.0,94.0,91.1,91.0,91.28
2022-05-25 09:00:00,VHC,95.5,97.8,98.4,95.1,95.0,91.92
2022-05-25 10:00:00,VHC,97.8,99.4,99.9,97.9,97.8,92.62
2022-05-25 11:00:00,VHC,99.5,99.8,99.9,99.4,99.3,93.74
2022-05-25 13:00:00,VHC,99.8,100.5,100.5,99.9,99.8,95.4
2022-05-25 14:00:00,VHC,100.5,100.5,100.5,100.5,100.5,96.86
2022-05-26 09:00:00,VHC,101.1,101.0,102.5,100.2,100.1,98.48
2022-05-26 10:00:00,VHC,101.0,100.4,101.5,99.1,99.0,99.5
2022-05-26 11:00:00,VHC,100.3,99.2,100.3,99.2,99.1,99.28
2022-05-26 13:00:00,VHC,99.2,100.0,100.5,98.4,98.3,99.0
2022-05-26 14:00:00,VHC,100.0,102.0,102.0,99.4,99.3,99.53999999999999
2022-05-27 09:00:00,VHC,102.0,102.0,103.7,101.7,101.6,99.74
2022-05-27 10:00:00,VHC,102.0,107.0,108.0,102.3,102.0,100.1
2022-05-27 11:00:00,VHC,106.9,107.0,107.2,106.8,106.7,100.7
2022-05-27 13:00:00,VHC,107.0,106.0,107.1,105.2,105.1,101.94
2022-05-27 14:00:00,VHC,106.0,102.5,106.0,101.5,101.0,103.1
2022-05-30 09:00:00,VHC,101.1,100.9,102.6,100.5,100.4,100.1
2022-05-30 10:00:00,VHC,101.0,101.1,101.6,99.6,99.5,99.86
2022-05-30 11:00:00,VHC,101.1,101.1,101.5,100.4,100.3,99.9
2022-05-30 13:00:00,VHC,101.1,104.2,106.8,100.7,100.6,101.02
2022-05-30 14:00:00,VHC,104.2,103.0,104.6,103.1,103.0,100.74
2022-05-31 09:00:00,VHC,102.0,103.5,104.3,101.1,101.0,101.14
