date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VHM,68.9,67.2,68.9,67.1,67.0,0.0
2022-05-13 10:00:00,VHM,67.3,65.8,67.7,65.8,65.7,67.0
2022-05-13 11:00:00,VHM,65.8,66.0,66.3,65.2,65.1,66.35
2022-05-13 13:00:00,VHM,65.4,66.0,66.8,65.1,65.0,65.93333333333334
2022-05-13 14:00:00,VHM,66.0,68.0,68.0,64.7,64.5,65.7
2022-05-16 09:00:00,VHM,68.0,67.0,68.1,66.7,66.6,65.46
2022-05-16 10:00:00,VHM,67.0,66.3,67.1,66.4,66.3,65.38
2022-05-16 11:00:00,VHM,66.3,66.3,66.5,66.3,66.2,65.74
2022-05-16 13:00:00,VHM,66.3,65.7,66.3,65.0,64.9,65.66
2022-05-16 14:00:00,VHM,65.9,65.8,66.4,64.6,64.5,65.38
2022-05-17 09:00:00,VHM,65.2,63.8,65.2,63.4,63.3,65.14
2022-05-17 10:00:00,VHM,63.8,64.1,64.4,63.8,63.7,64.56
2022-05-17 11:00:00,VHM,64.0,64.3,64.3,63.9,63.8,64.3
2022-05-17 13:00:00,VHM,64.3,66.1,66.6,64.3,64.2,65.14
2022-05-17 14:00:00,VHM,66.0,66.9,66.9,66.0,65.9,65.5
2022-05-18 09:00:00,VHM,66.9,65.7,66.9,65.4,65.3,65.64
2022-05-18 10:00:00,VHM,65.7,65.6,66.9,65.4,65.3,64.96
2022-05-18 11:00:00,VHM,65.6,66.0,66.0,65.6,65.5,64.96
2022-05-18 13:00:00,VHM,66.0,65.8,66.7,65.6,65.5,65.16
2022-05-18 14:00:00,VHM,65.7,66.9,66.9,65.7,65.6,65.54
2022-05-19 09:00:00,VHM,65.0,65.3,65.5,65.1,65.0,65.0
2022-05-19 10:00:00,VHM,65.3,65.6,66.0,65.2,65.1,65.02
2022-05-19 11:00:00,VHM,66.0,66.4,66.6,65.7,65.6,65.66
2022-05-19 13:00:00,VHM,66.4,66.8,67.7,65.7,65.6,65.82
2022-05-19 14:00:00,VHM,66.9,67.0,67.4,66.4,66.3,66.12
2022-05-20 09:00:00,VHM,67.1,66.4,67.1,66.3,66.2,66.02
2022-05-20 10:00:00,VHM,66.4,67.4,67.4,66.4,66.2,65.92
2022-05-20 11:00:00,VHM,67.1,67.0,67.4,66.4,66.3,66.12
2022-05-20 13:00:00,VHM,67.0,66.3,67.1,66.2,66.1,66.26
2022-05-20 14:00:00,VHM,66.3,66.8,66.8,66.1,66.0,65.9
2022-05-23 09:00:00,VHM,66.7,66.5,67.4,66.4,66.3,66.24
2022-05-23 10:00:00,VHM,66.4,66.1,66.9,66.2,66.1,66.17999999999999
2022-05-23 11:00:00,VHM,66.1,66.0,66.4,66.0,65.9,65.78
2022-05-23 13:00:00,VHM,66.0,66.0,66.3,65.8,65.7,65.52
2022-05-23 14:00:00,VHM,66.2,66.7,66.7,65.4,65.3,65.76
2022-05-24 09:00:00,VHM,65.8,65.9,66.2,65.8,65.7,65.54
2022-05-24 10:00:00,VHM,65.9,65.8,66.3,65.8,65.7,65.66
2022-05-24 11:00:00,VHM,66.2,66.6,66.7,65.9,65.8,65.8
2022-05-24 13:00:00,VHM,66.6,66.0,66.8,65.8,65.7,65.78
2022-05-24 14:00:00,VHM,66.0,66.9,66.9,65.9,65.8,65.72
2022-05-25 09:00:00,VHM,66.8,67.0,67.5,66.4,66.3,66.26
2022-05-25 10:00:00,VHM,67.0,66.8,67.1,66.6,66.5,66.28
2022-05-25 11:00:00,VHM,66.7,67.1,67.2,66.8,66.7,66.32
2022-05-25 13:00:00,VHM,67.1,67.4,67.9,67.2,67.1,66.44
2022-05-25 14:00:00,VHM,67.5,67.9,67.9,67.5,67.4,66.6
2022-05-26 09:00:00,VHM,67.9,69.0,69.3,68.0,67.9,66.88
2022-05-26 10:00:00,VHM,69.0,69.2,69.6,69.0,68.9,67.2
2022-05-26 11:00:00,VHM,69.2,69.1,69.2,69.0,68.9,67.66
2022-05-26 13:00:00,VHM,69.1,68.8,69.2,68.8,68.7,68.02000000000001
2022-05-26 14:00:00,VHM,68.7,68.7,69.0,68.4,68.3,68.28
2022-05-27 09:00:00,VHM,69.0,68.9,69.2,68.6,68.5,68.54
2022-05-27 10:00:00,VHM,68.9,68.6,69.2,68.7,68.6,68.66
2022-05-27 11:00:00,VHM,68.9,68.9,69.0,68.7,68.6,68.6
2022-05-27 13:00:00,VHM,68.9,69.3,69.5,68.9,68.8,68.72
2022-05-27 14:00:00,VHM,69.3,69.7,69.7,69.1,69.0,68.76
2022-05-30 09:00:00,VHM,70.0,69.6,70.0,68.9,68.8,68.86
2022-05-30 10:00:00,VHM,69.7,69.7,69.9,69.3,69.2,68.88
2022-05-30 11:00:00,VHM,69.7,69.8,69.9,69.4,69.3,68.94
2022-05-30 13:00:00,VHM,69.9,70.0,70.4,69.6,69.5,69.04
2022-05-30 14:00:00,VHM,69.9,70.5,70.5,69.7,69.6,69.16
2022-05-31 09:00:00,VHM,68.7,68.8,69.0,68.6,68.5,68.53999999999999
